look: 4 | smell: 3.75 | taste: 4 | feel: 3.75 | overall: 3.75 Can’t believe the low ratings here. It is a unique floraly taste but very delightful. Not real hoppy so that may be the reason but a solid tasteful PA.   
look: 3.75 | smell: 3.25 | taste: 3 | feel: 3.25 | overall: 3.25 Medium light body with a very mild aroma. Theres apricot, some grass, and malt but aroma is mostly apricot.   Taste is a little dry, as well as tasting like dried apricots and just a bit sweet.  Not bad but also not too memorable   
look: 3.5 | smell: 2.5 | taste: 3 | feel: 3.5 | overall: 3.25 
look: 3.75 | smell: 3 | taste: 3.5 | feel: 3.5 | overall: 3.5 When I opened the bottle, the beer smelled bad, like it was old. The taste was bitter . I liked all the other Magic Hat beers I have tried but this one was a real disappointment.   
look: 3.75 | smell: 3.75 | taste: 3.75 | feel: 3.5 | overall: 3.75 Pours to a cooper hue, but head and lacing disappear to quickly. Has an interesting, musty aroma and a crisp, fruity flavor. 
look: 4 | smell: 4 | taste: 4 | feel: 4 | overall: 4 
look: 3.25 | smell: 3.25 | taste: 3.25 | feel: 3.25 | overall: 3.25 
look: 3.25 | smell: 3.25 | taste: 3.25 | feel: 3.25 | overall: 3.25 
look: 3.5 | smell: 3.5 | taste: 3.75 | feel: 3.75 | overall: 3.75 
look: 3.25 | smell: 3.5 | taste: 3.5 | feel: 3.5 | overall: 3.5 
look: 3.25 | smell: 3.25 | taste: 3.25 | feel: 3.25 | overall: 3.25 
look: 4 | smell: 4.25 | taste: 3 | feel: 2.75 | overall: 3.25 
look: 3 | smell: 3 | taste: 3 | feel: 3 | overall: 3 H11 
look: 3 | smell: 2.25 | taste: 2 | feel: 2 | overall: 2 
look: 3 | smell: 3 | taste: 3 | feel: 3 | overall: 3 
look: 2 | smell: 2 | taste: 2 | feel: 2 | overall: 2 
look: 3.25 | smell: 3.25 | taste: 3 | feel: 3.25 | overall: 3.25 
look: 4.25 | smell: 3 | taste: 4 | feel: 4.25 | overall: 4 
look: 3.25 | smell: 3.5 | taste: 3.5 | feel: 3 | overall: 3.25 
look: 3.75 | smell: 4.75 | taste: 3 | feel: 2.75 | overall: 3 
look: 4 | smell: 5 | taste: 4.5 | feel: 4 | overall: 5 One of my all time favorites. Its got a hint of apricot sweetness, but is perfectly balanced with mild hops. I could drink this all day (indeed I have). Its a must try for everyone. Enjoy!   
look: 4 | smell: 4 | taste: 3.75 | feel: 3.5 | overall: 3.75 
look: 3.5 | smell: 3.5 | taste: 3.5 | feel: 3.5 | overall: 3.5 
look: 5 | smell: 4.5 | taste: 4.25 | feel: 4.25 | overall: 4.25 
look: 4 | smell: 4 | taste: 4 | feel: 4 | overall: 4 
look: 3.75 | smell: 3.5 | taste: 3.25 | feel: 3.5 | overall: 3.5 
look: 3.25 | smell: 3.25 | taste: 3.25 | feel: 3.25 | overall: 3.25 
look: 3.25 | smell: 3.25 | taste: 3.5 | feel: 3.5 | overall: 3.25 
look: 3 | smell: 3 | taste: 3 | feel: 3 | overall: 3 
look: 3.5 | smell: 4 | taste: 4.25 | feel: 4 | overall: 3.75 
look: 4 | smell: 4 | taste: 4 | feel: 4 | overall: 4 
look: 3.75 | smell: 3.5 | taste: 3.5 | feel: 3.5 | overall: 3.5 
look: 3.5 | smell: 3.75 | taste: 3.75 | feel: 3.75 | overall: 3.75 
look: 3.5 | smell: 3.5 | taste: 3.75 | feel: 3.75 | overall: 3.75 
look: 3.5 | smell: 2.25 | taste: 2.75 | feel: 3.5 | overall: 2.5 There are some light fruit notes & it is not too hoppy like an IPA. It's lacking in taste & the body is quite thin. There is nothing really that stands out from this beer but it's still worth a try. I highly recommend it to people that are newbies to craft beer. I am going to assume that they add some actual fruit or at least fruit flavoring to make this beer like some apricots or peaches, but I could be wrong about that assumption. Cheers! C   
look: 3.5 | smell: 3.5 | taste: 3.5 | feel: 3.5 | overall: 3.5 
