look: 3.75 | smell: 3.75 | taste: 3.25 | feel: 4 | overall: 3.75 
look: 3.75 | smell: 4.25 | taste: 4.25 | feel: 4 | overall: 4 Aged at least a year 
look: 4 | smell: 4.25 | taste: 4.25 | feel: 4 | overall: 4.25 
look: 4.25 | smell: 4.5 | taste: 4.5 | feel: 4.25 | overall: 4.25 
look: 3.5 | smell: 4.75 | taste: 4.75 | feel: 4 | overall: 4.5 
look: 4.25 | smell: 4.25 | taste: 4.25 | feel: 4.25 | overall: 4.25 
look: 4.25 | smell: 4.25 | taste: 4.5 | feel: 4.25 | overall: 4.25 Looks...dense! Burnt orange color, small head turning into.lacing around the edge of the glass. Opaque with some hop particulate settling at glass's bottom. Smell is unique. Citrus, alcohol and malt combining to give an almost coffe-like aroma. Taste is something else. Almost like eating under-rippened citrus that's been marinated in alcohol. It's got enough malt backing to make it work though. The alcohol hits first, then the citrus and pine shine bright, follwed by a nice bitter taste that really wipes the palate clean. Feel is medium bodied, maybe even a bit full as the carbonation is tight and refreshing. Leaves a nice hoppy aftertaste that leaves you wanting another sip. Overall, not what I expected! I enjoyed this beer a lot but wow! Have to take it slow...the alcohol gives quite a kick. Not as florally hoppy as I thought it would be, and that works really well for this beer.   
look: 4 | smell: 3.75 | taste: 3.75 | feel: 4 | overall: 3.75 
look: 4 | smell: 4.25 | taste: 4 | feel: 3.75 | overall: 3.75 Nah chill 
look: 4.5 | smell: 4 | taste: 4 | feel: 4 | overall: 4.25 12oz bottle dated 09/14/18 poured into a snifter shows a copper-orange body and floats a thick 1+in head of white foam and leaving spotted and erratic lacing.    Aroma is boozy apricot and peach with a bready malt.    Flavors are led by alcohol, yeasty, maybe sourdough bread, and stone fruits. The bitterness climbs up my olfactory while sipping.    Mouthfeel is soft, full and almost chewy with a sticky finish. Warmth builds in the throat and chest.    Overall wow. Beer, huh?   
look: 4.25 | smell: 5 | taste: 4.25 | feel: 4 | overall: 4.25 Bottled March 2018    Burnt orange, approaching umber in shade, nothing visible in suspension, scant cream head which stubbornly remains as a complete ring and surface continent. Lively full curtains of lacing.  Heady full aromas of citrus, earthy pine, malt, alcohol, even light florals.  Wonderful cascade of flavors across the tongue! Sweet malt, pIne, melon, toffee, apricot. Definite alcohol burn in the back of the mouth.   Smooth mouth feel at first, then bitterness and the alcohol accumulate. Residual slickness and yeasty aftertaste.  Glad I saved this for a quiet interlude when I could appreciate all the flavors and aroma. Amazing beer well worth the cost.   
