look: 4 | smell: 3.75 | taste: 4.5 | feel: 4.25 | overall: 4.5 
look: 4 | smell: 4 | taste: 5 | feel: 5 | overall: 5 
look: 5 | smell: 4.5 | taste: 5 | feel: 4.5 | overall: 4.75 My favorite IPA! 
look: 4.25 | smell: 4 | taste: 4 | feel: 4.25 | overall: 4 
look: 4.5 | smell: 3.75 | taste: 4 | feel: 4.25 | overall: 4 Pale amber color, brilliantly clear Pours a white head, moderately sized, but tightly bubbled and long lasting for a 9% beer.    Thick malty aroma with a creamy sweetness. Hop aroma is there, but somewhat muted. Hints of alcohol in the nose.    Big hit of malt, hops, and alcohol right off the bat. Malt gives way to hop flavor (mostly pine to me) and alcohol as it progresses. Overall a fairly nice balance that shifts slightly hoppy late. A more unified flavor profile than many DIPA examples.    Med-full body and medium carbonation. Has a fairly smooth mouthfeel, and just a bit of alcohol warming on the backend.     A style that generally isn't my cup of tea, but a pleasant and drinkable example from DFH. I think it would be better as an 8% beer with less alcohol in the flavor, but I don't get to make those decisions.   
look: 4 | smell: 4 | taste: 4 | feel: 4 | overall: 4 
look: 4.25 | smell: 4.25 | taste: 4.25 | feel: 4.25 | overall: 4.25 
look: 4.25 | smell: 4 | taste: 4.25 | feel: 4.5 | overall: 4.25 Very smooth and drinkable. Nice bite at the end. I really enjoyed this one. 
look: 3.75 | smell: 3.75 | taste: 3.5 | feel: 3.5 | overall: 3.5 
look: 5 | smell: 5 | taste: 5 | feel: 5 | overall: 5 Simply My Favorite Beer. Everything is excellent about it. 
look: 3.75 | smell: 3.75 | taste: 3.75 | feel: 3.75 | overall: 3.75 
look: 4.25 | smell: 4.75 | taste: 4.5 | feel: 4.5 | overall: 4.5 
look: 4.5 | smell: 4.5 | taste: 4.5 | feel: 4.5 | overall: 4.5 
look: 3 | smell: 3 | taste: 3 | feel: 3 | overall: 3 H77 
look: 4 | smell: 4.25 | taste: 4.75 | feel: 4.5 | overall: 4.5 
look: 4 | smell: 4 | taste: 3 | feel: 3.25 | overall: 3 
look: 4 | smell: 4 | taste: 4 | feel: 4 | overall: 4 Ol 90 min 
look: 4 | smell: 3.75 | taste: 4.75 | feel: 4.5 | overall: 4.5 Creamy mouthfeel, smooth flavor yet robust boozy initial punch. Malt finds it’s way in the back door to smooth over the rowdy discussion of hops. The finish is warm and hardy, with a long savory aftertaste.   
look: 4.25 | smell: 4.25 | taste: 4.25 | feel: 4.25 | overall: 4.25 
look: 4 | smell: 4.25 | taste: 4.25 | feel: 4.5 | overall: 4.25 Really good and strong extra IPA. Bit pricey but well worth the try. 
look: 4 | smell: 4 | taste: 4 | feel: 4 | overall: 4 
look: 4.25 | smell: 4.25 | taste: 4.5 | feel: 4.25 | overall: 4.25 
look: 4 | smell: 4 | taste: 4.25 | feel: 4 | overall: 4 
look: 3.75 | smell: 4.5 | taste: 3.5 | feel: 3 | overall: 4.25 
look: 4.25 | smell: 4.5 | taste: 4.75 | feel: 4.5 | overall: 4.75 
look: 4.75 | smell: 4.25 | taste: 4.25 | feel: 4.5 | overall: 4.5 
look: 4.25 | smell: 4.5 | taste: 4.75 | feel: 4.75 | overall: 4.75 
look: 4.5 | smell: 4.5 | taste: 4.25 | feel: 4.25 | overall: 4.5 It grows on you. Best followed by their 60 minute IPA. 
look: 4.25 | smell: 4.25 | taste: 4.25 | feel: 4.25 | overall: 4.25 
look: 4.25 | smell: 4.25 | taste: 4.5 | feel: 4.25 | overall: 4.25 
look: 4.5 | smell: 4 | taste: 4.25 | feel: 4.25 | overall: 4.25 
look: 4.75 | smell: 4.5 | taste: 4.75 | feel: 4.5 | overall: 4.75 Poured into a Door Co. Brewing snifter from 12 oz btl. The perfect beautiful golden color. Thin white head disappears quickly leaving a ring around beer and glass.  Hoppish scent that was slightly more than a malty nose with a bit of alcohol.  Taste is truly one of a kind. As an imperial ipa you would think was piney or bitter. Not at all. Depending on your taste, great or disappointed. I enjoy the crispness of the hops with this smoothness of the malt. A very clean finish with a tingly carbonation at the end.   For an imperial this has a light mouth feel. Very drinkable with rich easy slight alcohol finish.  A true ipa fan will probably be dissatisfied with this but I found it to be a great, refreshing beer regardless of where it fits in the beer spectrum.  I was treated to this beer on tap in the Summer of 2016. With good friends and conversations, I lost track of the refills ( very generous friends) but I do remember how amazing this beer tasted on tap. Always on my tap radar!   
look: 4.25 | smell: 4.25 | taste: 4.5 | feel: 4.5 | overall: 4.5 
look: 4 | smell: 4.25 | taste: 4.5 | feel: 4 | overall: 4.25 
look: 4 | smell: 4.25 | taste: 4.25 | feel: 4.25 | overall: 4.25 
look: 4.25 | smell: 4.25 | taste: 4.25 | feel: 4.25 | overall: 4.25 
look: 4.75 | smell: 5 | taste: 4 | feel: 4 | overall: 4.25 i was surprised by how sweet this was at first touch - almost like candy (if my pedantry were up to speed, i might say 'caramel'). one has to wait a bit for the hoppy finish. not my favorite, but i am very, very impressed by the complexity - and enjoyed it nonetheless.    from a bottle - i don't drink beer, ale, or soft drinks from cans.   
look: 4.5 | smell: 4 | taste: 4.5 | feel: 4.5 | overall: 4.5 
look: 4.75 | smell: 4.75 | taste: 4.75 | feel: 4.75 | overall: 4.75 
look: 4.5 | smell: 4.25 | taste: 4.5 | feel: 4.75 | overall: 4.75 
look: 4 | smell: 4.25 | taste: 4.25 | feel: 4 | overall: 4.25 
look: 4.75 | smell: 4.75 | taste: 4.75 | feel: 4.75 | overall: 4.75 If this is not one of the hall of fame beers I do not know what is 
look: 4.5 | smell: 4.5 | taste: 4.5 | feel: 4.25 | overall: 4.25 
look: 4.5 | smell: 4.5 | taste: 4.5 | feel: 4.5 | overall: 4.5 
look: 4 | smell: 3.5 | taste: 3.25 | feel: 3.5 | overall: 3.5 
look: 4.25 | smell: 4 | taste: 4.5 | feel: 4.5 | overall: 4.5 Big strong hoppy flavor with no piney bite or bitter after-taste....looks great on the pour with a big fluffy head and nice lacing as I sip away....I love this one!   
look: 4.5 | smell: 4.25 | taste: 4.5 | feel: 4.5 | overall: 4.5 
look: 3.5 | smell: 3.5 | taste: 3.5 | feel: 4.5 | overall: 3.5 
look: 3.75 | smell: 3.75 | taste: 4 | feel: 3.75 | overall: 4 
look: 3.5 | smell: 3.25 | taste: 3 | feel: 3.5 | overall: 3 Detected more malt flavor than hops 
look: 4.5 | smell: 4.25 | taste: 3.75 | feel: 4 | overall: 4 
look: 4.25 | smell: 4.25 | taste: 4 | feel: 4 | overall: 4.25 
look: 3.5 | smell: 3.5 | taste: 3.5 | feel: 4 | overall: 3.75 A 12 ounce bottle poured into a tulip glass.    Look- Dark copper, slightly above average head retention and lacing.  Smell- Bready, piney.  Taste- Bready, malty, piney, caramel.  Feel- Medium body, average carbonation.   
look: 3.75 | smell: 4 | taste: 4 | feel: 4 | overall: 4 
look: 4.25 | smell: 4.25 | taste: 4.25 | feel: 4.25 | overall: 4.25 
look: 4.25 | smell: 4 | taste: 4 | feel: 4.25 | overall: 4.25 
look: 4.5 | smell: 4.25 | taste: 4.25 | feel: 4.5 | overall: 4 
look: 4 | smell: 2 | taste: 3.75 | feel: 2.25 | overall: 3.75 I purchased this beer in a bottled 6-pack tonight. I was in the mood for a hop-heavy flavorful beer. It poured nicely and had an appealing amber color. However the smell was surprisingly weak, it does not smell hop-heavy at all to me, compared to many beers I’ve had before it honestly barely has a smell. The taste is good but again, surprisingly weak tasting. I was disappointed since I was craving something with a strong flavor so I searched for reviews and was surprised to find it rated so highly on this site. It’s not a bad beer but with all the great options out there it’s certainly not one I would recommend over others.   
look: 4 | smell: 4.25 | taste: 4.5 | feel: 4.25 | overall: 4.25 
look: 3.75 | smell: 4 | taste: 4 | feel: 4.25 | overall: 4 
look: 3.75 | smell: 3.75 | taste: 4 | feel: 4 | overall: 3.75 
