look: 3.75 | smell: 3.75 | taste: 4.25 | feel: 4 | overall: 4.25 
look: 3.75 | smell: 4 | taste: 4.25 | feel: 4 | overall: 4 
look: 4.25 | smell: 4.25 | taste: 4.5 | feel: 4 | overall: 4 
look: 3.5 | smell: 3.75 | taste: 4 | feel: 3.75 | overall: 3.75 
look: 4.25 | smell: 4.25 | taste: 4.25 | feel: 4.25 | overall: 4.25 
look: 4.5 | smell: 4.5 | taste: 4.5 | feel: 4.5 | overall: 4.5 
look: 4.75 | smell: 5 | taste: 5 | feel: 4.5 | overall: 5 
look: 3.5 | smell: 3.25 | taste: 3.5 | feel: 3.25 | overall: 3.5 
look: 4.75 | smell: 4.5 | taste: 4.25 | feel: 4.5 | overall: 4.25 
look: 3.5 | smell: 4.25 | taste: 4.25 | feel: 4 | overall: 4.25 Yellow straw with one finger head which leaves plenty of lacing. Strong floral notes, lemon, grapefruit, pine, bread. The flavor is pine, citrus with bread. Sweetish with a bitter finish. Medium bodied. Medium to light carbonation.   
look: 4.25 | smell: 4.5 | taste: 3.5 | feel: 4 | overall: 3.5 Look - Pours a light clear yellow color, yet darker than a lager. Small head.  Smell - Potent with hop characteristics and lingering bitterness.  Taste - Initially bold with the hop profile with a creamy, yet still bitter finish.   Feel - Medium mouthfeel. Slightly better than average carbonation.  Overall - Bold with the hops and bitterness like an IPA, but with a creamier and smoother flavor as it lingers. The wheat is minimally pronounced. It is hard for me to discern any wheat flavor among the strong hope profile. A strong, and bitter IPA-like brew that overshadows the American wheat characteristics.   
look: 4 | smell: 4 | taste: 4 | feel: 4 | overall: 4 
look: 4 | smell: 4.25 | taste: 4.25 | feel: 4.25 | overall: 3.75 12oz bottle poured into snifter glass...    Look:  Poured orange/almost ochre with very very slight murk, minimal egg-white head.    Smell:  Slight pungent grapefruit, fragrant, sweet pine, honey, and some bread.    Taste:  Sweet spicy mango, peppery, pine hoppiness.    Feel:  Medium body. Crisp and good carbonation with clean bite.    Overall:  This was a good beer. It’s in a class above average for craft. Since I usually have a taste for something very particular at a given time (i.e. hoppy, wheat, roasted malt, etc.), I don’t know that I would get this again. This brew is a cross-section of many styles... a “fusion” of sorts.   
look: 5 | smell: 5 | taste: 5 | feel: 5 | overall: 5 outstanding beer !!!!!!! 
look: 3 | smell: 3.5 | taste: 1.5 | feel: 3 | overall: 2 
look: 4.5 | smell: 4.5 | taste: 4.5 | feel: 4.5 | overall: 4.5 Never had any beer like this one. Extra points for making something completely different 
look: 4 | smell: 3.75 | taste: 3.75 | feel: 3.75 | overall: 3.75 
look: 3.5 | smell: 3.75 | taste: 4.25 | feel: 3.75 | overall: 4 
look: 4 | smell: 4 | taste: 4 | feel: 4 | overall: 4 
look: 3.5 | smell: 3.75 | taste: 3.5 | feel: 3.75 | overall: 3.5 
look: 3.75 | smell: 3.75 | taste: 3.75 | feel: 4 | overall: 3.75 
look: 4.25 | smell: 4 | taste: 4 | feel: 4.25 | overall: 4.25 
look: 3.75 | smell: 4.25 | taste: 4.5 | feel: 3.75 | overall: 4 
look: 4.25 | smell: 4.75 | taste: 4.5 | feel: 4.5 | overall: 4.5 Just a good beer, period. Nice weight, good flavor, perfect amount of hops. 
look: 4 | smell: 4 | taste: 4 | feel: 4 | overall: 4 
look: 4 | smell: 4 | taste: 4 | feel: 4 | overall: 4 
look: 3.75 | smell: 4 | taste: 4.25 | feel: 4 | overall: 4 From notes 10/31/11: Pours gold with an off-white, 1.5 inch white head that leaves thin lace. Aroma is hoppy backed by malt with faint alcohol. Nice balance of malt sweetness and hop flavor and bitterness. Starts sweet, finishes bittersweet with a bitter aftertaste.   
look: 5 | smell: 5 | taste: 5 | feel: 5 | overall: 5 
look: 4 | smell: 4.25 | taste: 4.5 | feel: 4 | overall: 4.25 
look: 3.5 | smell: 4.5 | taste: 4.25 | feel: 4 | overall: 4.25 
look: 3.25 | smell: 3.25 | taste: 4 | feel: 3.5 | overall: 3.75 
look: 4.25 | smell: 4 | taste: 4.25 | feel: 4.25 | overall: 4.25 
look: 4 | smell: 4.25 | taste: 4.5 | feel: 4 | overall: 4.25 
look: 4 | smell: 4 | taste: 4.25 | feel: 4.25 | overall: 4.25 
look: 4 | smell: 4 | taste: 3.75 | feel: 4.5 | overall: 4.25 
look: 4 | smell: 4 | taste: 4 | feel: 4 | overall: 4 
look: 4 | smell: 4.25 | taste: 4 | feel: 4.25 | overall: 4.25 
look: 3 | smell: 3 | taste: 3 | feel: 3 | overall: 3 
look: 3.75 | smell: 3.5 | taste: 3.5 | feel: 3.5 | overall: 3.5 
look: 4.25 | smell: 4.25 | taste: 4 | feel: 4 | overall: 4.25 
look: 4.25 | smell: 4 | taste: 4.5 | feel: 3.75 | overall: 4.25 I keep my refrigerator stocked with this beer. Good price and quality beer. 
look: 3.75 | smell: 3.75 | taste: 3.5 | feel: 3.5 | overall: 3.5 
look: 4 | smell: 4 | taste: 3.25 | feel: 3.75 | overall: 4 Look: gold limpid color with creamy head  Nose: pine and grass, wood, fermentation, yeast  Taste: a little too mild, a little too flat (maybe that is the profile of this beer). This beer is quite malty, maltier than some crisp IPAs. The taste is a little bitter with a tart after-taste.  Finish: overall, good.   Overall: 3.9   
look: 4.25 | smell: 4.25 | taste: 4.25 | feel: 4 | overall: 4.25 
look: 4 | smell: 4.25 | taste: 4.25 | feel: 4 | overall: 4.25 
look: 4.25 | smell: 4.25 | taste: 4.25 | feel: 4.25 | overall: 4.25 Bursting carbonation. First taste is of hops. Lasts with a bit of fragrant IPA feel 
look: 3 | smell: 3.75 | taste: 3.75 | feel: 4 | overall: 3.75 
look: 4.25 | smell: 4 | taste: 4.25 | feel: 4 | overall: 4.25 
look: 4 | smell: 3.75 | taste: 3.75 | feel: 4 | overall: 3.75 Pours a clear, yellow orange color with a thick, fluffy, white head. Smells of citrus and floral notes. Taste is tropical fruits, wheat, orange peel, and a hint of yeast. Some bitterness kicks in towards the end. Lighter body, low carbonation. Easy drinker, not huge on the flavor but enough so. For it's ABV, it's deceptively easy to drink but not a ton of complexity to it.   
look: 5 | smell: 4.5 | taste: 5 | feel: 5 | overall: 5 
look: 4.25 | smell: 4.5 | taste: 4 | feel: 4.25 | overall: 4.25 
look: 3.75 | smell: 3.5 | taste: 3.5 | feel: 3.5 | overall: 3.5 Nice pour. Good head. Bitter yet smooth. Easy to drink. Don’t notice the higher ABV until you do. Just okay in my book. 
look: 3.75 | smell: 3.75 | taste: 3.75 | feel: 3.75 | overall: 3.75 
look: 4.25 | smell: 4.25 | taste: 4.25 | feel: 4.25 | overall: 4.25 
look: 3 | smell: 3.5 | taste: 4 | feel: 3.5 | overall: 4 Smooth and balanced, but more of a bitter than an IPA, which some places present it as. Don't be fooled like I was. There is virtually no hops presence. A good drinker still, though.   
look: 4 | smell: 4 | taste: 2 | feel: 2.75 | overall: 2.75 H40 
look: 4.25 | smell: 4.5 | taste: 4.5 | feel: 4.5 | overall: 4.5 
look: 3.5 | smell: 3.75 | taste: 3.75 | feel: 4 | overall: 3.75 
look: 1.25 | smell: 3.75 | taste: 3.5 | feel: 3 | overall: 2.75 
look: 4 | smell: 4 | taste: 4.5 | feel: 4 | overall: 4.25 
look: 4 | smell: 3.75 | taste: 4.25 | feel: 4 | overall: 4.25 Light and efferent. Smooth. Slightly different taste than I expected. Pleasing but I was expecting more flavor  Tasted better half way down..,but don’t they all   
look: 4.5 | smell: 4.5 | taste: 4.5 | feel: 4.5 | overall: 4.5 
look: 4 | smell: 4 | taste: 4 | feel: 4 | overall: 4.25 
look: 4.5 | smell: 4 | taste: 4.75 | feel: 4 | overall: 4.5 
look: 3.5 | smell: 3.5 | taste: 3.25 | feel: 3.5 | overall: 3.25 
look: 4.5 | smell: 4.5 | taste: 4.75 | feel: 4.5 | overall: 4.5 
look: 4 | smell: 4 | taste: 4 | feel: 4 | overall: 4 
look: 3.75 | smell: 4 | taste: 4 | feel: 3.75 | overall: 3.75 
look: 5 | smell: 4 | taste: 4 | feel: 3 | overall: 4.25 [Original rating 2012-07-06] Poura a deep gold with a thick white head. Aroma is all citrus, grapefruit and orange. Taste is citrus, a little grass / straw, strong bitter finish. Mouth feel is a bit thin but over all a very good beer.   
look: 5 | smell: 4.75 | taste: 5 | feel: 4.75 | overall: 5 
look: 3 | smell: 3.5 | taste: 3.75 | feel: 3.75 | overall: 4 
look: 4.25 | smell: 4.25 | taste: 4.25 | feel: 4.25 | overall: 4.25 
look: 4 | smell: 4 | taste: 4.5 | feel: 4.25 | overall: 4 
look: 4.25 | smell: 3.5 | taste: 4.25 | feel: 4.25 | overall: 4.25 
look: 4.25 | smell: 4.25 | taste: 4.25 | feel: 4.25 | overall: 4.25 
look: 4.25 | smell: 4.25 | taste: 4.25 | feel: 4.25 | overall: 4.25 
look: 4.5 | smell: 4.25 | taste: 4.25 | feel: 4 | overall: 4.25 This, is an exceptional beer. Also, it is what made me value Lagunitas brewery very high. It has all of the necessary feel and weight into it, and is not a light beer, but at the same time so drinkable and effort-taking. It just slips right down your throat. As I am not an expert, I wonder what is in this ale beer that differentiates it from others. Out of all the beers I've tasted until now, there certainly is "similar" taste to this but I'm sure nothing's exactly the same. Anyways, out of my few (3~4) years of beer tasting (roughly under 50 kinds), goes right up to the top of my list along with Allagash Tripel Ale. I've also tasted Lagunitas IPA, and while that one is somewhere around top 10, this would be in my top 3. Would recommend this beer to others any day.   
look: 4 | smell: 4 | taste: 5 | feel: 4.75 | overall: 4.5 
look: 4.25 | smell: 4.25 | taste: 4.25 | feel: 4.5 | overall: 4.25 This is what Racer 5 and other "delicious" IPAs should taste like. Gone is that nasty IPA aftertaste, replaced with that golden wheat flavor. Has enough fruity yeast tones to keep it interesting. Smell is fantastic and the lacing and clear golden look is beautiful. Has 7.5% alcohol and you could drink it all day (or at least until you pass out on your pizza). Another winner from my neck of the woods.   
look: 4.25 | smell: 4.25 | taste: 4.25 | feel: 4.5 | overall: 4.25 Pours a slightly foggy straw color with two fingers of white, foamy head. Aroma is straw, orange peel, yeast with bread, biscuit, and pale malts. It smells clean. Flavor profile is wheat, straw, orange peel, and a light yeast finish that comes with a little dry rye spice. There is bread, biscuit and pale malts. Mouth feel is slightly effervescent, which mingles well with a light grainy texture to keep this beer drinking smooth and session-able, and yet with a palpable, soothing texture. Overall, a great, straightforward wheat beer that remains well constrained, while still providing a tasty beverage.    Served in a 12oz snifter from a 12oz bottle.   
look: 3.75 | smell: 4.5 | taste: 4.25 | feel: 4.25 | overall: 4.25 
look: 4 | smell: 4.25 | taste: 4.25 | feel: 4 | overall: 4.25 A: Bright straw gold with a half finger head. Nice lacing    S: Fruity, wheaty, mild creamy hops. Some citrus, grapefruit, and honey    T: Starts off with a slight sweetness, after a beat the bitter hops kick in. There's some nice subtle wheat and almost hint of corn. The bitterness and slight astringency leaves a long after taste. Mellows out after some time.    O: Smells really fresh and bright, but is deceptively hoppy and the alcohol is well hidden. Fruity/honey sweetness permeates throughout   
look: 4.25 | smell: 4 | taste: 4.25 | feel: 4.25 | overall: 4.25 
look: 3.75 | smell: 3.75 | taste: 3.75 | feel: 3.75 | overall: 3.75 
