look: 3.75 | smell: 3.5 | taste: 3.75 | feel: 4 | overall: 4 
look: 4.5 | smell: 4 | taste: 4.75 | feel: 4.25 | overall: 4.5 
look: 4.25 | smell: 4.5 | taste: 4.5 | feel: 4.75 | overall: 4.5 Poured from 750ml bottle into glass. Caged and corked bottle.   Amber brown colored body. Each pour brings out a voluminous, fizzy head that recedes very quickly. No coverage of lacing.  Aroma of banana, raisin, cherry, apricot, green apple, sweet light molasses, sweet bread, and cloves.  Taste is sublime and sweet, with toffee, raisin/pear/cherry, banana, sweet malts, tobacco, and cloves/cinnamon.   Medium to full mouth feel. Has alcohol vapors that percolate into the nasal passages. Very good carbonation. Prone to cause burping.   A tremendously tasty, and well put together beer. So easy to drink, even though the higher alcohol % is apparent. Best to drink at the recommended low to mid 50s F.   
look: 4.5 | smell: 4.5 | taste: 4.75 | feel: 4.5 | overall: 4.5 
look: 4.5 | smell: 4.5 | taste: 5 | feel: 4.75 | overall: 5 
look: 4.5 | smell: 4.5 | taste: 4.5 | feel: 4.5 | overall: 4.5 
look: 4.75 | smell: 4 | taste: 4.75 | feel: 4.75 | overall: 5 
look: 4.5 | smell: 4.5 | taste: 4.5 | feel: 4.25 | overall: 4.5 
look: 4 | smell: 4 | taste: 4.5 | feel: 4 | overall: 4 Great imported Belgian quad. 
look: 4.5 | smell: 4.75 | taste: 4.75 | feel: 5 | overall: 4.75 L- Pours a two and a half finger rocky headed ale with a nice live carbonation present. Dark and mahogany in color, with a slight amber tint.   S- Immediate aroma of raison, molasses, dried apricots, ripe pear, tobacco leaf, apple, toffee, yeasty banana, clove, red wine, brown sugar, and an aged oak earthiness. A nice juicy and punchy aroma.   T- Smooth, toned down and delicious. Slight stone fruit, followed by a sweet, but well balanced malty kick, toasted flavor, aged earthy wooden barrel, molasses, tobacco, raison, nice clove and banana, fresh apple and a slight hop bitterness. The 10% alcohol is shielded nearly perfectly, as there is almost no booziness to be found.   F- Medium bodied, wonderful lively carbonation, rewarding warm-smooth mouthfeel. The best mouthfeel of any beer I've had.  O- This is the best Quad the world has to offer, and it's in my top five beers of all time. You could argue that this is beer is one of the best beers ever made. Absolutely delicious, rewarding, and almost perfectly crafted. A near perfect beer.   
look: 4 | smell: 4.25 | taste: 4 | feel: 4 | overall: 4 
look: 4 | smell: 4.5 | taste: 4.75 | feel: 4.25 | overall: 4.5 L: Poured into a chalice. Dark ruby/amber depending on light. Two fingers of rocky tan head that laces in clumps as it dissipates. It's gorgeous.    S: Banana, citrus, dark fruit (raisins, cherries), hint of malt, some booziness, finish is reminiscent of cider or sparkling wine.    T: Malt, raisin, very light toffee, notes of banana, raisin, plum, and cherry. A touch of hops that rounds out well. Brown sugar permeates the experiences as it is finished off with a not of yeast and booze. Just a tad bit of vanilla and spice (clove mostly). As it warms you get hints of banana and more breadiness. So incredibly well-balanced.    F: Medium bodied by way of carbonation. It gets thicker the more it warms. It coats the mouth a bit and the alcohol warms very pleasantly. Excellent carbonation. Another reviewer noted that it isn't cloying, which gets it spot on. It balances well, and comes out so very smooth.    O: This is a phenomenal beer, and quite possibly the best quad I've ever had. Incredibly easy to drink. Too easy for 10%, honestly. Immaculate is the only word I can use to describe it. I'm disappointed it's taken me so long to get hold of a bottle, and I'll be getting more to keep around. You owe yourself to try this.   
look: 4.75 | smell: 4.5 | taste: 5 | feel: 4.75 | overall: 5 Incredible Quad. Perfect blend of spicy, malty , molasses, plums, etc. Very easy to drink! 
look: 4.5 | smell: 4 | taste: 5 | feel: 4.75 | overall: 4.75 
look: 4.5 | smell: 4.5 | taste: 4.75 | feel: 4.5 | overall: 4.5 
look: 3.75 | smell: 4.25 | taste: 4.75 | feel: 4.5 | overall: 4.5 
look: 4.25 | smell: 4.5 | taste: 4.25 | feel: 4.25 | overall: 4.25 
look: 4.5 | smell: 4.25 | taste: 4.75 | feel: 4.25 | overall: 4.5 Holy moly, this is a beast.  L- Huge caramel head, leaves foam clusters down side of glass. Deep chestnut brown.  S- Rich pudding-like spicy malt. Citrus notes with hoppiness in the finish.  T- Wow! Rich Xmas pudding flavours with a clear tang and vapour of alcohol right on it's heels.  F- Rich, alcohol, rounded.  O- I'd drink this again as a dessert-beer, as I might a dessert-wine. Nice and slowly savour it. Would go well with hot rich desserts, or cheese+crackers.  From notes made circa 2-3 years go, lost, so just added now. BB: 6/6-18   
look: 3.75 | smell: 3.5 | taste: 2 | feel: 1.5 | overall: 2.25 
look: 4.75 | smell: 4.5 | taste: 4.75 | feel: 4.25 | overall: 4.75 
look: 4.75 | smell: 4.25 | taste: 4.5 | feel: 4.5 | overall: 4.5 
look: 5 | smell: 5 | taste: 5 | feel: 5 | overall: 5 
look: 4.75 | smell: 5 | taste: 5 | feel: 4.5 | overall: 4.75 
look: 4.5 | smell: 4.5 | taste: 4.5 | feel: 4.5 | overall: 4.5 
look: 3.5 | smell: 4 | taste: 5 | feel: 4.5 | overall: 4.75 Pours a big creamy and rocky off white head. The color is very dark brown, essentially black. If you shit a light through it, it appears garnet.    The nose is raisins, phenolic spicyness, dates, molasses, banana bread.    The flavor is brown sugar, raisin bread, dates, molasses, clove, overripe banana. You can definently taste the alcohol, but it doesn't come accross harsh. Rather, it plays with and amplifies the other notes in the beer.     The mouthfeel is a smooth lightly-thick body. The carbonation is on the lighter side of medium, but it still quite prickly and builds up if you try to drink too quickly. The alcohol warmth is very noticable, but not at all harsh.     This beer is one of my all-time favorites. It is a dangerously drinkable 10 percenter that I have all but finished while writting out this review. It is one of the best beers ever made, and you would remiss if you die without ever trying it.   
look: 3.75 | smell: 3.25 | taste: 4 | feel: 4.25 | overall: 3.75 
