look: 3 | smell: 3.75 | taste: 3.75 | feel: 3.5 | overall: 3.5 A classic and unique beer that has a rich history. Great for just having a light beverage with a lot of character at the end of a long day. Always handy to have around the kitchen as well, as it is a great cooking beer.   
look: 3.5 | smell: 3.5 | taste: 3.75 | feel: 3.5 | overall: 3.5 
look: 4.25 | smell: 4.25 | taste: 4.25 | feel: 4.25 | overall: 4.25 
look: 3 | smell: 2 | taste: 3 | feel: 3 | overall: 3 On tap. Golden in colour. Nice tanish head. Streaming bubbles. slight pine aroma. Taste is smooth. Mouthfeel medium, crisp, refreshing. Overall a great beer.   
look: 3.75 | smell: 3.75 | taste: 4 | feel: 3.75 | overall: 4 great mod+ body with some nice spicy and nutty characteristics, a classic, drink COLD, great winter beer, the history of "steam beer" is awesome and a big part of west coast brewing history   
look: 4.25 | smell: 3.5 | taste: 3.5 | feel: 3.5 | overall: 3.5 
look: 3.75 | smell: 4.5 | taste: 3.75 | feel: 3.75 | overall: 3.75 
look: 4.25 | smell: 3.25 | taste: 3.5 | feel: 4 | overall: 3.75 Aroma-  There's a slight fruitiness, but what little aroma that's present is malt forward. Virtually no hop present in the scent.     Appearance-  Lovely Crystal clear with a light Amber color, and beautiful off white head. A beautiful looking beer.     Body-  Dry, with moderate and appropriate carbonation.     Flavor-   A very slightly toasty malt that's highly attenuated, and therefore has very little if any sweetness. There is a faint yeast fruitiness that matches the aroma. It's quite understated and pleasant. All of this finishes out with a perfectly balanced amount of hop bitterness. There's also some earthy, grassy, lightly danky hop flavor typical of the northern brewer vertital.    Overall-  Very solid beer, that would be easily sessioned. It isn't wildly flavorful or outstanding, but a well made, very balanced product. It's a classic to the American craft scene, and is a beer worthy of its legend.   
look: 4 | smell: 3.25 | taste: 1.75 | feel: 1.5 | overall: 2 
look: 4 | smell: 3.75 | taste: 4 | feel: 4 | overall: 4 This beer still boggles my mind. It’s a lager...no it’s an ale.   What is it?!  Nevertheless it pours a little haze orange burnt amber   Smell is that of a little orange with some Bready malts   Taste is lager sweet up front but then finishes with a nice bitterness.   Great session beer. I get this on tap when I see it cause it’s rare these days   
look: 3.75 | smell: 3.75 | taste: 4 | feel: 3.75 | overall: 3.75 
look: 3 | smell: 3 | taste: 3 | feel: 3 | overall: 3 H44 
look: 2.75 | smell: 3.75 | taste: 3.25 | feel: 3.5 | overall: 3 
look: 5 | smell: 5 | taste: 5 | feel: 5 | overall: 5 
look: 3.75 | smell: 3.75 | taste: 3.75 | feel: 3.75 | overall: 3.75 
look: 4.5 | smell: 4.5 | taste: 4.75 | feel: 4.5 | overall: 4.5 One of the best beers I have ever tasted 
look: 4 | smell: 4 | taste: 4 | feel: 3.75 | overall: 3.75 
look: 4 | smell: 3.5 | taste: 3.25 | feel: 3.25 | overall: 3.5 
look: 3.5 | smell: 3.5 | taste: 3.75 | feel: 3.75 | overall: 3.75 
look: 5 | smell: 4.5 | taste: 4.5 | feel: 4.5 | overall: 4.5 
look: 4 | smell: 3.75 | taste: 4 | feel: 4.25 | overall: 4 Original California craft beer. It defines the style. A true classic! 
look: 3.75 | smell: 3.75 | taste: 3.75 | feel: 3.75 | overall: 3.75 
look: 4 | smell: 3.75 | taste: 3.5 | feel: 3.75 | overall: 3.75 
look: 5 | smell: 5 | taste: 5 | feel: 5 | overall: 5 
look: 3.75 | smell: 4 | taste: 4.25 | feel: 4 | overall: 4 
look: 4 | smell: 4 | taste: 3.75 | feel: 4 | overall: 3.75 
look: 4.25 | smell: 4 | taste: 4.5 | feel: 4.5 | overall: 4.25 
look: 4.25 | smell: 3.75 | taste: 3.75 | feel: 3.75 | overall: 3.5 
look: 4.5 | smell: 4.5 | taste: 5 | feel: 4.5 | overall: 4.75 
look: 3.75 | smell: 3.75 | taste: 3.75 | feel: 3.75 | overall: 3.75 
look: 3.75 | smell: 3.75 | taste: 3.75 | feel: 3.75 | overall: 3.75 
look: 3 | smell: 3 | taste: 3 | feel: 3 | overall: 3 
look: 3.75 | smell: 3.5 | taste: 3.75 | feel: 3.25 | overall: 3.5 Poured from a 12 ounce bottle into a shaker pint.    Look - Crisp clear dark amber orange with a tall white head. Looks nice and hearty without being intimidating.    Smell - Wet grass, caramel, a weird bit of funkiness. Not complex, but it's interesting.    Taste - Not nearly as funky as the smell made me expect. A little spicy but fruity, like a chili pepper or something. At the same time, it's light and refreshing, kinda like an AAL. Nothing really sticks out to me, but it's pleasant enough and well balanced.    Feel - The thin body matches with the taste, but the carbonation is a little high for me. Gives it a fizzy Pop Rocks mouthfeel.    Overall - A fine enough beer. I can't say I've really had anything like it before, but I also don't have much to say about it.   
look: 4 | smell: 3.5 | taste: 4 | feel: 3.75 | overall: 4 Pours a medium amber, coppery coloration with a medium, frothy head. Smell is pretty subdued, with some faint doughy, caramel malt and a certain floral note coming through. Taste follows the nose, with a somewhat faint, but well balanced interplay of doughy, caramel, lightly toasted malt and grassy, floral, lightly herbal hops and mild notes of red berries. Finishes with a medium bitterness and some toasted grains lingering in the aftertaste. Smooth mouthfeel with a medium body and carbonation. This kind of reminds me of an Amber Ale Light and I quite like that in a way. It may lack a strong, assertive flavor profile, but has a very nice, subtle balance to it. Very nice in an old school kinda way.   
look: 2.25 | smell: 2 | taste: 2.5 | feel: 2 | overall: 2.5 
look: 3.75 | smell: 4 | taste: 4 | feel: 4 | overall: 4 
look: 3.75 | smell: 4 | taste: 4 | feel: 4.25 | overall: 4 
look: 4 | smell: 3 | taste: 4.25 | feel: 4 | overall: 4 
look: 3.5 | smell: 3.25 | taste: 3.75 | feel: 3.25 | overall: 3.5 
look: 3.75 | smell: 4 | taste: 4.5 | feel: 3.75 | overall: 4.5 
look: 4 | smell: 4 | taste: 4 | feel: 4 | overall: 4 
look: 4 | smell: 4 | taste: 4 | feel: 4 | overall: 4 
look: 3.5 | smell: 3.75 | taste: 3.75 | feel: 3.5 | overall: 3.75 
look: 3.75 | smell: 4 | taste: 3.75 | feel: 3.75 | overall: 3.75 
look: 4 | smell: 4 | taste: 4.25 | feel: 4.5 | overall: 4.25 12 oz bottle poured into a snifter glass.    A: Fairly small tiny bubbled white head that settles to barely a film. Body is a slightly hazy gold light amber.    S: Light floral hops and a little pepper give way to a lot of toasted malts and breadiness. A very light caramel back.    T: Fairly Light lots of nice light toasted grains and malts finishes very clean.    M: Light crisp and good carbonation. Hardly any lingering after taste.     O: very nice beer easy to drink with a nice breadth toasted taste throughout.   
look: 4.25 | smell: 3.5 | taste: 3.25 | feel: 3.75 | overall: 3.5 
look: 4.25 | smell: 3.5 | taste: 3.75 | feel: 3.75 | overall: 3.75 
look: 4 | smell: 3.75 | taste: 3.75 | feel: 3.75 | overall: 3.75 The beer has a thick off-white head that is quite creamy looking. The beer itself is amber coloured with lots of small ascending bubbles.  Not much is going on in terms of smell, but overall it’s clean and inviting. The taste is toasted malt, some hop bitterness, and a slight sweetness. The beer is light to medium bodied and the finish is dry and refreshing. I quite enjoyed this beer. In some respects it reminds me of Sam Adams’ Boston Lager.   
look: 3.5 | smell: 3.5 | taste: 3.75 | feel: 3.75 | overall: 3.5 
look: 3.5 | smell: 3.25 | taste: 4.25 | feel: 3.75 | overall: 4 
look: 4 | smell: 3.5 | taste: 4 | feel: 3.75 | overall: 4 Pours a clear deep amber color with a one inch slightly off white head that is very well retained but leaves almost no lacing. Smells of roasted malts, caramel, light hop presence and bread. Tastes of lightly toasted bready malts, caramel, slightly bitter hop bite and an earthy presence. Light to medium bodied, medium carbonation smooth mouth feel.   
look: 4.25 | smell: 4 | taste: 4 | feel: 4 | overall: 4 
look: 3.5 | smell: 3 | taste: 3 | feel: 3 | overall: 3 
look: 5 | smell: 5 | taste: 5 | feel: 5 | overall: 5 
look: 3.5 | smell: 3.25 | taste: 4 | feel: 3.75 | overall: 3.5 
look: 3.75 | smell: 3.5 | taste: 3.5 | feel: 3.5 | overall: 3.75 Just a great all year beer for the desert southwest.Cant go wrong with this one! 
look: 4.25 | smell: 4.25 | taste: 3.75 | feel: 4.5 | overall: 4 
look: 4.25 | smell: 3.75 | taste: 4 | feel: 3.75 | overall: 4 
look: 3.5 | smell: 3.5 | taste: 3.25 | feel: 3.25 | overall: 3.5 
look: 4 | smell: 3.25 | taste: 3.5 | feel: 4 | overall: 3.75 Pours a clear amber with a very nice foamy head that slowly dissipates. Smells a little of sweet caramel, bread, some overripe fruit, some toasty quality. What strikes me first is the combination of creaminess with medium carbonation, very nice mouthfeel. Taste is of some caramel malts and pilsener type malts with mild hopping, kind of balanced, with an easy balanced finish.   
look: 3.75 | smell: 3.75 | taste: 4 | feel: 4.25 | overall: 4 
look: 4.25 | smell: 4 | taste: 4 | feel: 4 | overall: 4 
look: 2.5 | smell: 1.5 | taste: 2.5 | feel: 2.75 | overall: 2.5 
look: 3.5 | smell: 3.5 | taste: 3.5 | feel: 3.5 | overall: 3.5 
