look: 4 | smell: 4.25 | taste: 4 | feel: 4 | overall: 4 
look: 4.75 | smell: 4.25 | taste: 4.75 | feel: 4.75 | overall: 4.75 16oz can. Brewed 1/02/19  Poured into English pint glass producing an inch of fluffy off white head, with light lacing on side of glass. Color is deep copper hue with some light filtering through. A bit darker than I expected.  Nose gives up a red ale scent, caramel, a bit of hop. Toasted malt with a bit of biscuit.  First taste reminds me of an imperial red ale. Big, bold taste. Flavor melts to a smoot malt background ending with a slight bitter finish and a delightful alcohol warmth.   Medium mouth feel with just enough carbonation to tickle the tongue.    This beer sets the bar for a year round strong ale. A bit in your face but for a beer that’s available year round, a superb choice. If you are looking to shake up your taste profile and are a fan of ales, than you need to try this one. Nothing fancy. No barrel aging, no coffee, no gimmicks. Just a kick ass ale with a depth and complexity to keep you coming back.   
look: 4.5 | smell: 4.25 | taste: 4 | feel: 4 | overall: 4 Reviewed as part of BJCP training, 22B American strong ale. Enjoy by 4/09/19    Pours a huge frothy tan dense head with great retention and lacing, clear but dark ruby copper color    Nose brings hops out front, citrus, pine, then malts, toasted reddish malts, plenty of caramel and toasted bread crusts, almost coffee like roast    Taste big sweet like malts, rich reddish toasty malts, toasted bread crust, plenty of caramel and a little toffee, hint of malt derived fruit, big hops, very bitter to balance the big sweet malt, hops again bringing citrus, pine, and spicy flavors, a touch of warming alcohol, drier medium full attention, huge bitter spicy piney hops, touch more alcohol    Mouth is fuller bodied, just a touch of warming but smooth alcohol, astringency gets a little high but not too much, fairly high carbonation    Overall def within style although less of the new world hops but that's more likely because this beer came out long before there were many new world hops and essentially defined the style. It's in its own world of beers, enjoyable but almost undrinkable   
look: 4.25 | smell: 4.25 | taste: 3.75 | feel: 4 | overall: 4 
look: 4.25 | smell: 3.75 | taste: 4 | feel: 4 | overall: 4 
look: 4.25 | smell: 4.25 | taste: 4.25 | feel: 4 | overall: 4.25 
look: 4.25 | smell: 4 | taste: 4.25 | feel: 4 | overall: 4 
look: 4 | smell: 3.5 | taste: 3.25 | feel: 3.75 | overall: 3.75 Poured from a bomber into a glass tankard.    L - I really like how this beer looks. It's a really dark amber red with just the tiniest bit of haziness. It has a nice creamy head that stuck around for some time. Not much lacing, but the mug was still a little wet when I poured the beer in, so that might have something to do with it...    S - It really smells nice. I don't drink dark beers very often, so smelling a grain forward brew is kind of refreshing. Toasted, rye maybe? (still learning to distinguish grains). Sweet, malty, nutty, caramely. It smells nice, pretty simple aroma, nothing special.    T - WAY more hops forward than I expected. That piney hop bitterness really dominates the flavor here, with just a background of the malt I go with the smell. Coffee flavors are right up there with pine hops...It's a really bitter beer, which I don't exactly hate, but there's a right way and a wrong way to incorporate bitterness. I feel like this beer just went out of it's way to be almost offensively bitter.    F - I really enjoyed how this beer felt. It's silky, creamy, and coats your mouth in a good way.     Overall - This beverage looks and smells great, reminiscent of a stout, although it's clearer and a bit less smokey on the nose. It's a very bitter beer, and I guess they warn you on the label "This is an aggressive beer. You probably won't like it". I don't hate it, but it feels like it's stuck somewhere between an IPA and a stout. Not bad, just not for me   
look: 3.5 | smell: 2.25 | taste: 1.75 | feel: 3 | overall: 2 Tastes like a Flinstones vitamin from childhood. Chalky. Medicine bitter. Thought about this, multiple attempts. Not good. 
look: 4.25 | smell: 4 | taste: 4.25 | feel: 4 | overall: 4 
look: 4 | smell: 2.75 | taste: 3 | feel: 2.75 | overall: 3 I do not see what the buzz is all about. Perhaps I got an old can. It is missing a maltiness I expected and carries a lingering strong bitterness. 
look: 5 | smell: 5 | taste: 5 | feel: 5 | overall: 5 This is my first and only review. I created this account just to give this beer a review. First of all, I am biased. I used to live in San Diego and have always like Stone Brewery. Secondly, I am not a beer aficionado by any means. I cant go deep into articulating what makes a beer good. All I know is if I like it or not. I actually drink Hefeweizens a lot more which is the complete opposite of IPAs in term of taste, but ABA still ranks #uno for me.    With that out of the way, I usually drink it out of the 22oz bottles. Their branding is a little trollish imo but it doesnt really take anything away from the experience. Love the dark color. Hops instantly fill your nostrils when you pop the cap. Other reviewers smell fruity aromas, I dont. Its straight hops for me and kind of musky smelling. The first sip is always the best...BOOM, a freaking atom bomb in your mouth. Yes, its hoppy and its strong. Deal with it. The taste sticks with you the whole time, it never abates and is always at full mass. I agree with other reviewers who say there are hints of coffee. I have been to the brewery near San Diego and I know they don't use coffee as an ingredient, but the flavor is there somehow. This beer has a bite to it, bitter and sticky. Not to be binged or chugged. A nice beer to chill with and maybe use as a beverage for a meal, though, I tend to like it by itself. Drinking to whole 22oz should get you nice and warm but like I said, it should never be binged and you shouldn't be sauced off you butt.    So thats my rant. Very personal beer for me. Good taste and a good experience. Cheers!   
look: 4 | smell: 3.5 | taste: 3.5 | feel: 3.5 | overall: 3.5 Popped the cap on a bomber of this one while relaxing in my hotel room. I can see where some may really enjoy this one, but I can't get the appeal. There's lots of malt, and a certain aggressiveness. But rather than a hop aggressiveness it tastes rand feels more like a rake across the tongue. I assume this is what they're going for, but it's not for me.   
look: 4 | smell: 4 | taste: 4 | feel: 4 | overall: 4 
look: 4 | smell: 4.75 | taste: 4.75 | feel: 4.25 | overall: 4.5 Another early impression maker, and another top 5 overall, as well as a goto in the 22 ounce bottles. Love the name. 
look: 4 | smell: 4 | taste: 4.5 | feel: 4.5 | overall: 4.25 
look: 4 | smell: 3.75 | taste: 4.25 | feel: 4 | overall: 4.25 
look: 4.5 | smell: 4 | taste: 5 | feel: 5 | overall: 4.75 The monster among beers. Bastard is not for the weak. Bastard is not your bitch drink. A friend of mine referred to it as a brewed boot. I honestly hated the beer at first. Bastard really is not worthy for us mere mortals, I imagine Thor getting fucked up on this in Asgard. My father only drank this beer and it’s brothers. Over time I came to appreciate and respect the demon ale. Bastard will always stand the test of time as a brewing achievement. Thank you Stone for blessing us low life’s with the nectar of the Gods. For Life!!!!   
look: 4.5 | smell: 3 | taste: 2.5 | feel: 3.25 | overall: 2.75 
look: 4 | smell: 3.5 | taste: 3.5 | feel: 4 | overall: 3.75 
look: 4 | smell: 4 | taste: 4.25 | feel: 4.25 | overall: 4 Has a very hoppy bitterness upfront. The malts get lost here. clean finish. 
look: 4 | smell: 3.75 | taste: 4 | feel: 4 | overall: 3.75 
look: 4.25 | smell: 4 | taste: 4 | feel: 4.5 | overall: 4 
look: 3.75 | smell: 3.75 | taste: 4 | feel: 4 | overall: 4 
look: 4.5 | smell: 4.5 | taste: 5 | feel: 4.5 | overall: 5 
look: 3.75 | smell: 3.5 | taste: 4.25 | feel: 4 | overall: 4 
look: 4 | smell: 3.75 | taste: 4 | feel: 3.75 | overall: 4 
look: 4 | smell: 4 | taste: 4 | feel: 4 | overall: 4 
look: 4 | smell: 4 | taste: 4 | feel: 4 | overall: 4 
look: 3.75 | smell: 4 | taste: 4 | feel: 3.75 | overall: 4 
look: 4.25 | smell: 4.75 | taste: 4.5 | feel: 4.25 | overall: 4.5 
look: 4 | smell: 4 | taste: 2.5 | feel: 4 | overall: 3 The lingering industrial bitter aftertaste is just not pleasant. 
look: 4 | smell: 3.75 | taste: 4.5 | feel: 4 | overall: 4.25 
look: 4.5 | smell: 3.75 | taste: 4 | feel: 4 | overall: 4 
look: 5 | smell: 5 | taste: 5 | feel: 5 | overall: 5 This is my favorite I.P.A!!!! Can only find it at one store near me and with the price I only get it as a rare treat. It's perfect for a warm summer night.   
look: 3.25 | smell: 3.75 | taste: 4 | feel: 4.25 | overall: 3.75 Dark yet somehow sweet, a strong ale perhaps not so deserving of its fame , because in Southern California this beer is sacred. Dark in flavor and color.   
look: 4.25 | smell: 4 | taste: 3.75 | feel: 4 | overall: 4 
look: 4.5 | smell: 4.5 | taste: 4.75 | feel: 4.75 | overall: 4.75 
look: 4 | smell: 4 | taste: 4 | feel: 4 | overall: 4 
look: 4.25 | smell: 3.5 | taste: 3.75 | feel: 4.25 | overall: 3.75 
look: 4.25 | smell: 4.25 | taste: 4.25 | feel: 4.25 | overall: 4.5 
look: 4.25 | smell: 3.75 | taste: 3.5 | feel: 3.75 | overall: 3.75 Poured from a 16 ounce can into a pint glass. Brownish ruby body topped by a thick white head. Very hoppy sweet smell. Taste was bitter hop dominating the malts too much. Mouthfeel was refreshing. Just to hop forward for my tastes. Still not a bad experience.   
look: 4 | smell: 4 | taste: 3 | feel: 4 | overall: 3.5 
look: 4.25 | smell: 4 | taste: 4 | feel: 4.25 | overall: 4 
look: 3.75 | smell: 3.5 | taste: 3.5 | feel: 3.5 | overall: 3.5 
look: 4.25 | smell: 4.5 | taste: 4.5 | feel: 4 | overall: 4.5 
look: 4.5 | smell: 4.5 | taste: 4.75 | feel: 4.25 | overall: 4.5 
look: 3.5 | smell: 3.25 | taste: 3.5 | feel: 3.5 | overall: 3.5 
look: 3.75 | smell: 4 | taste: 4.25 | feel: 4 | overall: 4.25 
look: 4 | smell: 3.75 | taste: 4 | feel: 4 | overall: 4.25 
look: 4 | smell: 4 | taste: 4 | feel: 4 | overall: 4 
look: 3 | smell: 2 | taste: 2 | feel: 2.5 | overall: 2.5 
look: 3.75 | smell: 4 | taste: 4.25 | feel: 4 | overall: 4 
look: 2 | smell: 1 | taste: 1.5 | feel: 1 | overall: 1.5 
look: 4.25 | smell: 4.25 | taste: 4.25 | feel: 4.25 | overall: 4.25 
look: 3.75 | smell: 3.75 | taste: 4.25 | feel: 3.75 | overall: 4 Pours clear brown/red with a medium head of tan foam. Not much aroma; not particularly enticing. Taste is complex. Flinty copper metalic up front morphs into bitter hoppiness which remains on tongue. A bit of toasty, buttery malt. Alcohol is not pronounced in taste, though ABV of 7.2% A hint of smoke. Low carbonation. A bit Guinness-like, but more intense flavors. The prominent take-away is the acerbic hop bitter aftertaste. 16 oz can lasts a bit longer, obviously. Good beer to have when you're having only one.    Note: I tend toward the more citrusy, floral, refreshing qualities, like in a good IPA, so maybe I'm a little harsh on beers like strong ales. Arrogant Bastard is a good beer, just not my style.   
