look: 4.25 | smell: 4 | taste: 4.25 | feel: 4 | overall: 4 
look: 4 | smell: 4.25 | taste: 4.25 | feel: 4.25 | overall: 4.25 2017 version - pours a dark ruby brown colour with 1/2 finger tannish head.   Aroma slightly spicy bourbon, toffee, touch of booziness; hints of peat and smoke.   Taste starts malty and sweet with caramel, dark fruits, molasses, and bourbon/scotch, but the a touch more of the oak, peaty flavour with accumulation of bitterness.  The peaty bitterness carries to a rich smooth and malty slightly boozy finish.  Thick rich mouthfeel with slight astringent effec, but pleasantly so. Really tasty.   
look: 4 | smell: 4.25 | taste: 4.25 | feel: 4 | overall: 4.25 
look: 4.75 | smell: 4.75 | taste: 4.75 | feel: 4.75 | overall: 5 
look: 4.5 | smell: 4.5 | taste: 4.25 | feel: 4 | overall: 4.25 
look: 4.25 | smell: 4.25 | taste: 4.5 | feel: 4.25 | overall: 4.25 
look: 1.75 | smell: 1.75 | taste: 1.75 | feel: 1.75 | overall: 1.75 Has a light Rum taste, If you like Rum try Founders Barrel Runner, that has a heavy Rum taste. 
look: 4 | smell: 4.25 | taste: 4.5 | feel: 4.5 | overall: 4.5 
look: 4.5 | smell: 4.5 | taste: 4.5 | feel: 4.5 | overall: 4.5 
look: 4.75 | smell: 4.5 | taste: 4.25 | feel: 4.75 | overall: 4.25 Pours a very deep deep brown, black in the right lighting, but with a very faint reddish glow from beneath. A finger of light tan foam rests atop an obviously viscous body. Sticky.     Nose: On the nose, first and foremost is a rich sticky caramel malt sweetness. There are wisps of notes one might expect from a Highland whisky dram, like apple, orange peel, dried cherry, fig, raisin, plum, and the oak. Unfortunately, I pick up no smoke or peat notes. Something I was particularly excited for. The caramel, vanilla, oak, and even slight molasses aromas register more as bourbon to me. Still, smell is rich and dense, and sweet. Quite similar to Curmudgeon's Better Half, and it should make sense that it smells like bourbon. It's not aged in Scotch barrels, it's aged in bourbon barrels.    Palate: Opens up sweet and malty with thick caramel, toffee, vanilla, cherry, prune, a touch of chocolate, hint of molasses - and then shifts to drier, woody notes, oak, leather, and then shifts slightly bitter into lots of barrel char and, yes, a nice little wisp of smoke in the finish. The bourbon, barrel char, and smoke become more prominent the more you drink, and start to linger longer, balancing out the sweetness a little bit, and becoming almost tannic. You begin to think it's actually the sweetness that's balancing out the ever-growing bitterness. It's not too much, but it's right on the line.     Mouthfeel: This ale is just amazing thick, sticky, viscous, and slick, while both leaving a coating in your mouth, and a drying finish with the charry notes. It's awesome. That feeling when you imagine that perfectly thick, chewy, gooey dessert beer, and you're NOT let down. Nectar.     Overall: This is a good (not so) wee heavy ale. No, it's a fantastic one. There's a lot going on, and it's bold and impressive, and makes a name for itself. I wish the bitter charry finish was a little toned down, letting some more of the smoke and nuance come through, as it becomes a bit aggressive after a while, but then again, maybe it would be too sweet without the bitter balcony point? Who knows. I'd have preferred to see this aged in Islay (or at least some kind of) Scotch barrels, opposed to bourbon, but hey. What can you do? This isn't perfect, but compared to its stylistic counterparts, it stands steadfast and true. A must try.   
look: 4.25 | smell: 4.5 | taste: 4.5 | feel: 4.25 | overall: 4.5 
