look: 4.25 | smell: 4 | taste: 4.25 | feel: 4 | overall: 4.25 
look: 4.25 | smell: 4 | taste: 4 | feel: 3.75 | overall: 4 
look: 4 | smell: 4.25 | taste: 3.75 | feel: 3.75 | overall: 4 Amber color, beige head, intense aroma of caramel, malts citrus and flowers, taste is moderate sweet, heavy bitter, medium body, soft carbonation, quite difficult to drink.   
look: 3.75 | smell: 4 | taste: 4.25 | feel: 4.25 | overall: 4.25 Poured from 12oz bottle into glass. Bottled date on label is '12/14/16 2031'.  Medium amber colored body, which is cloudy. Half finger of off white head sticks around as thin cap. Leaves behind some strings and spots of lacing.  This aroma is not very attractive, but expresses dark fruit prune and raisin. Good hops back up.  Taste is dark roasted with prune and raisin, and bright hops.  Mouth feel is close to full, with dark fruit resonance. Very smooth with the dark fruit influence. Good carbonation.  Expresses as a fully thought out and developed American barleywine beer. Can be sipped or crushed both, according to   how this barleywine is experienced.   
look: 4.5 | smell: 4 | taste: 3.5 | feel: 3.5 | overall: 3.75 Pours a deep vibrant red/copper, nice head with great retention and lacing, color of clay.  Smell is sweat figs and apples with some sweet hop/herb notes. Cherry and caramel hits as well.  Taste is definitely hop forward, quite bitter, tastes like black tea and lightly of lemon or lime peel. some tart apple and more caramel as it warms up. Hadn't had this in years and am honestly shocked at how hoppy it is. This could pass as an imperial IPA.  Mouthfeel is a little on the lighter side. Really surprised at that, it's not watery but it is definitely not dominant or really filling.  Overall this is a really nice english imperial IPA? The most American of American barleywines I suppose. It is assertively hoppy and surprisingly light bodied. Not really what I want when I want barleywine but a nice beer none the less.   
look: 4 | smell: 4 | taste: 4.5 | feel: 4.25 | overall: 4.25 
look: 4.25 | smell: 4 | taste: 4.25 | feel: 4 | overall: 4 Had it on tap in a snifter after watching the Damcing With The Stars road show.    Rich dark reddish brown color with a nice beige head and excellent lacing. Pleasant toffee smell and taste. The taste includes notes of caramel, brown toast and a bit of booze. A very enjoyable beer!   
look: 4.5 | smell: 4.25 | taste: 4 | feel: 4 | overall: 4 
look: 4.25 | smell: 4.25 | taste: 4 | feel: 4 | overall: 4 
look: 3.5 | smell: 3.75 | taste: 3.75 | feel: 3.75 | overall: 3.75 
look: 4 | smell: 4.25 | taste: 4.25 | feel: 4 | overall: 4.25 2/3/2019 This is the first of many reviews of this as a baseline since I've already aged a 2018 sixer and will do likewise with more of this. Poured into a large goblet produced a smaller than expected head over a clear dark brown amber body. Smell is of piney citrusy toffee. Taste was surprisingly not the hop monster I was expecting; don't get me wrong, there was plenty of bitterness but already complex dark sweet flavors underneath with very little overt alcohol. Mouthfeel was particularly bitter on the back end.    2/17/2019 After my 2/4 initial plunge with a 2019, which was at my daughter's and son in law's place in Santa Cruz, I decided when I returned to chez Hate to pop one of the 2018s (bottled 12/01/2017) as a basis of comparison. One huge difference: I store mine in a cellar fridge set between 50-55; God knows what the kids fridge is set at but it's a *lot* colder. Maybe because of that the head was much larger and consistent with what photos here have illustrated. Definitely because of the temp differences the smell was more prominent as was the taste. The hops are still very forward and any drop off is indiscernible to my unrefined palate. There's still an underlying sweetness that I hope comes more to the fore with increased age. I'll probably pick up a 2019 sixer tomorrow for cellaring.   
