look: 4.5 | smell: 4 | taste: 4 | feel: 3.5 | overall: 4 
look: 4.25 | smell: 4 | taste: 4 | feel: 3.75 | overall: 4 
look: 4.25 | smell: 4 | taste: 4 | feel: 4.25 | overall: 4.25 
look: 3.75 | smell: 4 | taste: 4.25 | feel: 4.25 | overall: 4.25 
look: 3.75 | smell: 4 | taste: 4.25 | feel: 4.5 | overall: 4 Quite creamy, almost as smooth as a nitro. Advertises notes of chocolate and coffee. Chocolate definitely comes through more, though flavor is not overpowering. A reasonable price point at $11/six in Iowa. Will definitely stock this stuff for the colder months!   
look: 3 | smell: 3 | taste: 3 | feel: 3 | overall: 3 
look: 4 | smell: 3.5 | taste: 3.75 | feel: 3.75 | overall: 3.75 
look: 4 | smell: 5 | taste: 4.5 | feel: 4.25 | overall: 4.5 
look: 4.25 | smell: 4.25 | taste: 4.25 | feel: 4 | overall: 4.25 Poured into an oversized wine glass. Reddish dark brown body over a tan head that dissipated quickly. Smell of coffee, malts and chocolate. Taste mirrors the smell with a pleasantly understated bitterness. Mouthfeel was slightly thinner than I'd prefer. A very good American Porter justifying all the praise I'd previously heard.   
look: 4.25 | smell: 4.5 | taste: 4.25 | feel: 4.25 | overall: 4.25 
look: 4 | smell: 4 | taste: 4.25 | feel: 4 | overall: 4 
look: 3.5 | smell: 3.5 | taste: 3.5 | feel: 3.5 | overall: 3.5 
look: 4.75 | smell: 4 | taste: 4.25 | feel: 3.75 | overall: 4 
look: 4 | smell: 4.25 | taste: 4 | feel: 3.5 | overall: 4 Pours a very dark brown, nearly black, with a moderate tan head. Aroma and flavor are chocolate, dark roasted malts, and dark fruit/fig. Mouthfeel is somewhat thin.   
look: 4 | smell: 4 | taste: 4 | feel: 3.75 | overall: 4 
look: 4.5 | smell: 4.25 | taste: 4.75 | feel: 4 | overall: 4.25 
look: 4 | smell: 4.5 | taste: 4.5 | feel: 4.5 | overall: 4.5 Look: Very dark, almost black.   Smell: Like most porters I've encountered, smells of coffee and chocolate with a taste to match.  Taste: Sweet and malty with a little hops.  Feel: Medium, with average carbination  Overall: My go-to beer when I'm not sure what I want to drink.   
look: 4 | smell: 4 | taste: 4 | feel: 4 | overall: 4 
look: 3.75 | smell: 3 | taste: 3.75 | feel: 3.75 | overall: 3.75 
look: 4 | smell: 4 | taste: 3.75 | feel: 3.75 | overall: 4 
look: 4 | smell: 4.25 | taste: 4.25 | feel: 4 | overall: 4.25 LOOK - Very dark - slight light penetration. Reddish/brown hue.  SMELL - Some chocolate/coffee/toffee - dark roasted grains.  TASTE - Slight hops - nice bite upfront. Chocolate and coffee hints. Quite dry and toasty. Gets even more dry as you go.  FEEL - Medium bodied - hoped for a fuller feel. Got pretty flat pretty quickly  OVERALL - A really good porter - I think of porters being a tad bit sweeter but this is really good.   
look: 4.75 | smell: 4.5 | taste: 4.75 | feel: 4.75 | overall: 4.75 
look: 4.25 | smell: 4.25 | taste: 4.25 | feel: 4.5 | overall: 4.25 Pours a dark black with medium carbonation. Aroma is a hint of roast, malt. Taste is baking chocolate, a little roast, some maltiness. Very easy drinking with complex flavor that keeps it from being something you could guzzle through easily.   
look: 4 | smell: 4.25 | taste: 4.25 | feel: 4 | overall: 4.25 On tap at Roanoke  Dark mahogany with ebony highlights, scant tan head  Smells like Chocolate, coffee, peanut  Tastes like coffee, walnuts, dark chocolate  Light enough to drink a lot, no flaws, slight char aftertaste.  Super porter with well deserved rep   
look: 4 | smell: 3.75 | taste: 3.75 | feel: 4 | overall: 3.75 
look: 4.25 | smell: 4.25 | taste: 4.25 | feel: 4.75 | overall: 4.5 
look: 4 | smell: 3.75 | taste: 4 | feel: 4.25 | overall: 4 
look: 4.25 | smell: 4 | taste: 4 | feel: 4 | overall: 4 
look: 4 | smell: 4 | taste: 4 | feel: 4 | overall: 4 4 
look: 3.75 | smell: 3.75 | taste: 4 | feel: 4 | overall: 4 
look: 4.25 | smell: 4.25 | taste: 4.5 | feel: 4.25 | overall: 4.25 It pours a dark brown almost black color with a tan head. The smell is of chocolate, mild malts also. Taste is where it shines, sweet chocolate and malts with a little hop taste. The feel is smooth and easy to drink. One of the better porters I have tried.   
look: 4.5 | smell: 4 | taste: 4.5 | feel: 4 | overall: 4.25 
look: 4 | smell: 3.75 | taste: 3.75 | feel: 3.25 | overall: 3.75 The beer is pitch black with a thin head. The smell is a mix of roasted malts, coffee, and a hint of chocolate. The flavor is very similar. There is a slight bitterness that is cut by the sweetness. Beer has average carbonation and is medium bodied.   
look: 4.75 | smell: 4.5 | taste: 4 | feel: 4.25 | overall: 4.25 
look: 4 | smell: 4.25 | taste: 4.25 | feel: 4.25 | overall: 4.25 
look: 4.75 | smell: 4.25 | taste: 4 | feel: 4 | overall: 4 
look: 5 | smell: 4.5 | taste: 3.75 | feel: 4.5 | overall: 4.25 
look: 4.25 | smell: 4 | taste: 4.5 | feel: 4.75 | overall: 4.5 
look: 4.5 | smell: 4.5 | taste: 4.5 | feel: 4.5 | overall: 4.5 
