look: 4 | smell: 4 | taste: 4.25 | feel: 4 | overall: 4.25 
look: 4.25 | smell: 4.25 | taste: 4.5 | feel: 4.5 | overall: 4.25 
look: 4.5 | smell: 4.25 | taste: 4.25 | feel: 4.5 | overall: 4.25 
look: 4.5 | smell: 4.25 | taste: 4.5 | feel: 4.5 | overall: 4.5 Crystal clear, light gold colored body; nice, gently rising carbonation; billowy, sticky, frothy white head; Excellent pine-resin aroma; mild sweet and grainy malt. Clean and bitter flavor; strong hop presence with a light malt backbone. Medium body; crisp and bracing with excellent carbonation prickliness; dry mouthfeel throughout.    A truly exceptional IPA, very eye-appealing, and well-balanced and bracing with an exceptional hop bitterness presence. Bottled 011719.   
look: 4 | smell: 4.25 | taste: 4.5 | feel: 4.25 | overall: 4.5 July 27th, 2015 - The Blind Pig is legendary in San Diego, and here I am having it at the source. We end up enjoying this more than the Pliny, seating it squarely as one of my favorite IPAs of all time. Tasting notes unnecessary.   
look: 4.25 | smell: 4.25 | taste: 4.5 | feel: 4.5 | overall: 4.5 
look: 4.25 | smell: 4.25 | taste: 4.25 | feel: 4.25 | overall: 4.25 
look: 4.5 | smell: 4.5 | taste: 4.5 | feel: 4.5 | overall: 4.5 Incredible balance between crispness and bitterness, pine and citrus. Another classic IPA from Russian River. 
look: 4.75 | smell: 4.5 | taste: 4.75 | feel: 4.75 | overall: 4.75 
look: 4.75 | smell: 4.25 | taste: 4.5 | feel: 4.75 | overall: 4.25 Straight pour from a 1 pt 1.25 oz/510 ml pry-off bottle to a teku. This has a bottling date of December 26, 2018 printed in white ink below the “Bottled On” square at the bottom left of the label (“BOTTLED ON: 122018), which would make this beer about three and a half weeks old at the time of consumption.     Appearance (4.75): Three fingers of fluffy, pillowy foam rise off of the pour, capping a crystal-clear, deep golden-colored body with orange undertones. The head dies away at a very leisurely pace, leaving dramatic meringue sides dissipating to spooky, Spanish moss-looking arms and legs that tie the broken initial collar to a frothy cap. Classic, gorgeous West Coast IPA in appearance.     Smell (4.25): A surprisingly slick, juicy, sweet orange aroma wafts out of the glass at first, chased quickly by grassy, herbal notes that hint at bits of resinous ganja lost in a hayfield when you were out having a picnic. Dry common crackers, pain de campagne insides, and stale biscuit crusts make a very subtle appearance, quietly adding some dry depth for that grassy, herbal, kind of Noble-inflected hop profile.     Taste (4.5): Classically West Coast, this motha flocka is stridently bitter with big notes of yellow grapefruit skin, fresh-cut Timothy grass, and dried flower petals bounding out of the gates. The malt body is, you guessed it, “restrained.” It’s there, but its dryness and floury, not quite starchy presence only serves to emphasize the Alpha bite—which, conversely, makes the following up-and-down of citrusy, grassy flavors pop just a bit more than they would otherwise. (And that’s why West Coast (D)IPAs will always have a place in the American beer canon.) In the finish, the beer manages to dip a toe into “soapy” without giving you an off-putting shock of astringent suds. Like, it doesn’t feel like a mistake, and actually feels natural as the various flavors from the mid-palate mingle with those hop-dominated flavors on the back end, dissipating into a crispness that demands a moment of contemplation. No sign of booze.     Mouthfeel (4.75): For being this dry and bitter, this beer is shockingly smooth—at least in the body. Medium-weight and slick, the body washes in on a thin, but kind of cushy bed of foam that prickles in its own right, just before it washes out. That carbonation is fine-grained at first, medium-grained next, and washes out with a soft, moderately full foam. It’s nice. It definitely drinks like its weight, but still feels almost sessionable. Quenchable AF.     Overall (4.25): Okay, so to be honest I didn’t know what to expect with Blind Pig. Yes, it’s one of the class American West Coast IPAs, but I was unfamiliar with what to expect in its flavor profile. I just assumed yellow grapefruit and pine, and while that’s not wholly wrong, there’s more happening here than I was expecting, in some way. Like, for example, the almost Noble impression that the hops gave me. Also, it’s crazy drinkable and, not surprisingly, a looker. Make no mistake though, this is old school West Coast all the way—and for that reason, probably not for everyone. But if that’s what you’re looking for, then you will not be disappointed. Definitely recommended.   
look: 3.75 | smell: 4.5 | taste: 4.5 | feel: 3.75 | overall: 4.25 O - I think I would be hard-pressed to find a comparable IPA these days. The shelves are lined by Hazies and it's hard to find a fantastic reference to the classic IPA of a decade ago. (Don't get me wrong, I'm a NE IPA fan - but I miss the classic, which has become a rarity.)   --  L - Fantastic clarity. A happy yellow.  S - Lovely base with echos of pine plus citrus notes popping on the backend  T - Cohesive. Complete. Deep bitterness that I tend to miss in the days of Hazy IPAs. IPA without the fuss.  F - Good body, but not distracting. Reminds you that you're drinking a real beer and that you should take your time to savor it.   
look: 4.25 | smell: 4.25 | taste: 4.5 | feel: 4.5 | overall: 4.5 
look: 4 | smell: 4.5 | taste: 4.25 | feel: 4.25 | overall: 4.25 
look: 4.25 | smell: 4.25 | taste: 4.5 | feel: 4.75 | overall: 4.5 
look: 4.5 | smell: 4.5 | taste: 4.5 | feel: 4.25 | overall: 4.25 
look: 4.25 | smell: 4.25 | taste: 4.5 | feel: 4.5 | overall: 4.5 I received this from @bum4ever in the NBS BIF 8.5 Secret Santa. Bottled on 11/30/2018 and poured into a Spiegelau IPA glass. It pours a crystal-clear bright gold with more than two fingers of fluffy, snow white head and thick lacing. The tiny bubbles ascending the glass testify to its effervescence. The nose features lemon and grapefruit, along with heavy pine needles and floral hops. When sipped, the first thing I notice is how dry and bitter it is. Only as the glass warmed did I taste any malt and even then it was deep in the bitter, resinous background. The citrus is dry and bitter but it opened up with some subtle sweetness as the glass warmed. The rather complex hop bill adds intense bitterness. It's hard to believe it's only 62 IBU. This ale is crisp and lite with lively carbonation, and at 6.1% ABV you can easily down a second pour. Overall, this is a quintessential West Coast IPA that is superbly crafted, delicious, and fun to drink.   
look: 4.25 | smell: 4.25 | taste: 4.25 | feel: 4.25 | overall: 4.25 I personally don’t love IPAs, but amongst the category this is a solid beer. Color is darker than a Pilsner with mild carbonation. Taste has hoppiness with a smooth and bitter aftertaste.   
look: 3.5 | smell: 3 | taste: 3 | feel: 3 | overall: 3.5 
look: 4.25 | smell: 4.25 | taste: 4.25 | feel: 4.25 | overall: 4.25 
