look: 2.5 | smell: 2.5 | taste: 2.5 | feel: 2.5 | overall: 2.5 
look: 3.5 | smell: 3.5 | taste: 3.25 | feel: 3 | overall: 3.25 this beer used to be so much better pre-molson/coors bought it, best on tap from a fresh keg with an orange slice 
look: 4 | smell: 2.75 | taste: 2.75 | feel: 2.25 | overall: 3 
look: 3 | smell: 3 | taste: 3 | feel: 3 | overall: 3 H71 
look: 3.5 | smell: 3.5 | taste: 3.75 | feel: 3.75 | overall: 3.75 I can see why many people use this as their entry-level Belgian wheat beer. I remember trying this many years ago and wasn’t too impressed at the time but my palate was only used to drinking light beers and basic domestics. This one actually pleasantly surprised me with its taste and balance. Pours a slightly hazy yellow-orange color with a little scant lasting foamy white head and almost no lacing. Smells faintly of some Belgian yeast, banana and clove, hops and malt. Taste follows the nose but the Belgian yeast was not unpleasant at all, and was actually rather muted. I could see how trying this beer on tap with a nice twist of orange peel could be very pleasant. Smooth, mild, thin mouthfeel with good carbonation. All in all, not a bad beer, and one that I would definitely try again especially on tap.   
look: 4.5 | smell: 4 | taste: 4 | feel: 4.25 | overall: 4 
look: 3.75 | smell: 3.25 | taste: 3.5 | feel: 3 | overall: 3.25 
look: 3.75 | smell: 3.75 | taste: 3.75 | feel: 3.75 | overall: 3.75 
look: 3 | smell: 3 | taste: 3 | feel: 3 | overall: 3 
look: 3.25 | smell: 3.25 | taste: 3.25 | feel: 3.25 | overall: 3.25 
look: 4.5 | smell: 4.5 | taste: 5 | feel: 4.75 | overall: 5 Smooooth & great taste 
look: 3.75 | smell: 3.25 | taste: 3.5 | feel: 3.5 | overall: 3.5 
look: 3.5 | smell: 3.25 | taste: 3.5 | feel: 3.25 | overall: 3.5 
look: 4 | smell: 4 | taste: 4 | feel: 4 | overall: 4 
look: 4.75 | smell: 3.5 | taste: 3.25 | feel: 4 | overall: 3.5 
look: 5 | smell: 5 | taste: 5 | feel: 5 | overall: 5 I love this beer. Keep in mind I love oranges. So this having that sorta background flavor especially when adding an orange slice is wonderful to me. 
look: 3.75 | smell: 3.5 | taste: 2.75 | feel: 3 | overall: 3 
look: 3.75 | smell: 4.25 | taste: 4.5 | feel: 3 | overall: 4 
look: 3.5 | smell: 4 | taste: 4 | feel: 3.5 | overall: 3.75 
look: 3 | smell: 3 | taste: 3 | feel: 3 | overall: 3 
look: 4 | smell: 4 | taste: 3.75 | feel: 3 | overall: 4 
look: 3.25 | smell: 3.25 | taste: 3 | feel: 3 | overall: 3 
look: 3 | smell: 2 | taste: 2.75 | feel: 3.25 | overall: 2.75 
look: 3.75 | smell: 3.5 | taste: 3 | feel: 3.25 | overall: 3.25 
look: 3.75 | smell: 4 | taste: 4 | feel: 4 | overall: 4 
look: 3.5 | smell: 3.25 | taste: 3.75 | feel: 3.25 | overall: 3.5 
look: 4 | smell: 3.75 | taste: 3.75 | feel: 3.5 | overall: 3.75 
look: 3.5 | smell: 3 | taste: 3 | feel: 3 | overall: 3 
look: 3 | smell: 3 | taste: 3 | feel: 3 | overall: 3 
look: 3.25 | smell: 3.75 | taste: 3 | feel: 2.75 | overall: 3 
look: 2.5 | smell: 3.25 | taste: 3.5 | feel: 3.25 | overall: 3.25 
look: 2.5 | smell: 3 | taste: 3.75 | feel: 4 | overall: 3.5 
look: 3.25 | smell: 3.25 | taste: 3.25 | feel: 3.25 | overall: 3.25 
look: 3.5 | smell: 2.5 | taste: 3 | feel: 3 | overall: 3 
look: 2.5 | smell: 2 | taste: 2 | feel: 2.5 | overall: 2.5 
look: 3.5 | smell: 3.5 | taste: 3.75 | feel: 3.5 | overall: 3.5 
look: 3 | smell: 3 | taste: 2 | feel: 3 | overall: 2.5 
look: 5 | smell: 5 | taste: 5 | feel: 5 | overall: 5 
look: 3 | smell: 3 | taste: 3.75 | feel: 3.75 | overall: 3.75 
look: 3.75 | smell: 3.5 | taste: 4 | feel: 3.75 | overall: 3.75 The ultimate Go-To..  Your and your friends' Craft gateway drug, what more needs to be said - but i'll go ahead anyway..  Hazy orange, orange zest & coriander aroma, has a soft sweetness balanced by a zesty citrus, all rounded out by a wheaty taste and feel that lingers but doesnt overpower. Lacks depth but not in a bad way.  It's kind of perfect - not because it's the best beer, but because it's consistent, ubiquitous, and just damn pleasant to drink.    And dont forget to twist and steep your garnish orange when you get it on draft.  Never forget the twist!!   
look: 3.5 | smell: 3.5 | taste: 3.75 | feel: 3.5 | overall: 3.5 
look: 3.75 | smell: 3.75 | taste: 4 | feel: 3.75 | overall: 3.75 
look: 4.5 | smell: 4.5 | taste: 4.5 | feel: 4.5 | overall: 4.5 
look: 3.5 | smell: 3.25 | taste: 3.75 | feel: 4 | overall: 3.75 
look: 4 | smell: 3 | taste: 3.75 | feel: 3 | overall: 3.5 Nice taste, absolutely no smell of beer.  I’ve bought 3 six packs in the past two months and I will certainly buy more. 
look: 3.25 | smell: 3.75 | taste: 3.5 | feel: 3 | overall: 3.5 
look: 3.25 | smell: 3 | taste: 3 | feel: 3.25 | overall: 3 
