look: 4.5 | smell: 4.5 | taste: 4.5 | feel: 4.5 | overall: 4.5 
look: 4.5 | smell: 4.25 | taste: 4.25 | feel: 4.75 | overall: 4.5 
look: 4 | smell: 3.5 | taste: 3.5 | feel: 4 | overall: 3.75 
look: 4.5 | smell: 4.25 | taste: 3.5 | feel: 4 | overall: 3.75 
look: 3.75 | smell: 4.25 | taste: 3.5 | feel: 4.25 | overall: 3.75 Pours seal brown with a paltry skim of khaki foam. Aroma is positively rife with dark chocolate, accented by toffee, chili peppers, coffee, and roasted malt.    The taste features a melange of roasted malt, coffee, chilis, marshmallow, and brown sugar up front, augmented by earthy hops that settle in behind the more overt spiciness of the chilis. Warming coaxes out notes of dark chocolate and vanilla while invigorating the chili spice. Hefty body and moderate carbonation make for a full, substantive mouthfeel.    Overall, this is a beefy, flavorful stout that may have a little too much going on for its own good. I've never been a big believer in chili peppers in beer, and while these ones don't exactly run roughshod over the other ingredients, they clearly hold more sway, quite possibly to its detriment. Nevertheless, it remains a robust, warming offering on a cold winter's night.   
look: 4.5 | smell: 4.25 | taste: 4.5 | feel: 4.75 | overall: 4.5 Not the best imperial stout I've had, but definitely top 3 or 4. I like the heat, but I think it should be dialed down SLIGHTLY to emphasize more of the cocoa nibs and coffee. Absolutely delicious, though and I wish I could rate into the tenths better on this app. Overall, I feel it handsomely earns it's rating. Must have!   
look: 4 | smell: 3.75 | taste: 3.75 | feel: 3.75 | overall: 4 
look: 4.5 | smell: 4.5 | taste: 4.75 | feel: 4.75 | overall: 4.5 
look: 4.25 | smell: 4.5 | taste: 4.25 | feel: 4.5 | overall: 4.5 
look: 4.25 | smell: 4.5 | taste: 4.5 | feel: 4.25 | overall: 4.25 
look: 4.25 | smell: 4.25 | taste: 4.5 | feel: 4.25 | overall: 4.5 
look: 5 | smell: 5 | taste: 5 | feel: 5 | overall: 5 Perfection in a glass. 
look: 4.5 | smell: 4.25 | taste: 4.75 | feel: 4.5 | overall: 4.5 
look: 4.75 | smell: 4.75 | taste: 4.75 | feel: 4.75 | overall: 4.75 
look: 4.5 | smell: 4.25 | taste: 4.5 | feel: 4.25 | overall: 4.5 
look: 4.5 | smell: 4 | taste: 4.25 | feel: 4.25 | overall: 4.25 
look: 1 | smell: 1 | taste: 1 | feel: 1 | overall: 1 
look: 3.75 | smell: 4.25 | taste: 4.5 | feel: 4.25 | overall: 4.25 
look: 4.75 | smell: 4.5 | taste: 4.5 | feel: 4.5 | overall: 4.5 
look: 4.5 | smell: 4.25 | taste: 4.25 | feel: 4 | overall: 4.25 
look: 4.5 | smell: 4.25 | taste: 4 | feel: 4 | overall: 4.25 
look: 4.25 | smell: 3.5 | taste: 4.5 | feel: 4.25 | overall: 4.5 
look: 4.75 | smell: 4.25 | taste: 4 | feel: 4.75 | overall: 4.25 
