look: 5 | smell: 5 | taste: 4.5 | feel: 4.25 | overall: 4.75 
look: 4.5 | smell: 4.5 | taste: 4.25 | feel: 4.75 | overall: 4.5 
look: 4.75 | smell: 4.5 | taste: 4.5 | feel: 4.75 | overall: 4.5 
look: 4.75 | smell: 4.75 | taste: 4.75 | feel: 4.75 | overall: 4.75 
look: 3.75 | smell: 4.5 | taste: 4.75 | feel: 4.25 | overall: 4.5 I received this 2017 Bourbon County Stout through a BIF. It has been patiently waiting for me to consume this delicious nector within. The beer is 50 degree and served in tulip glass. The pour of the beer produced a one finger medium dark tan head. The head dissipated rather quickly and left no lacing on the glass. The color of the beer is SRM 35 a dark brown nearly black. The clarity of the beer is opaque. The only visible sign of the head is a tan ring around the beer.     The coffee aromas from the beer are similar to a fresh pot of coffee brewed. Next, I get dark chocolate, roasted malts, molasses, anise, bready, earthy, vanilla, and a subtle char note.     The flavors of this coffee stout are more impressive than the nose. The coffee is robust and intense and not bitter. The characteristics I get are expresso, anise, bready, dark chocolate, molasses, roasted malts, earthy, vanilla, a touch of char, and a subtle smokiness.    The mouthfeel of the beer is dry and chewy.     The body of the beer is full, low carbonation, and full finish.     I love these flavors in this coffee beer. The harmony is unparallel to other coffee beers I have had in the past. I am so glad I got to drink this beer.   
look: 4 | smell: 4.25 | taste: 4.75 | feel: 4.75 | overall: 4.5 
look: 4.5 | smell: 4.25 | taste: 4.75 | feel: 4.25 | overall: 4.5 
look: 4.5 | smell: 4 | taste: 4.5 | feel: 4.5 | overall: 4.25 
look: 4.5 | smell: 4.5 | taste: 4.5 | feel: 4.5 | overall: 4.5 
look: 4.75 | smell: 5 | taste: 4.5 | feel: 4.75 | overall: 4.5 
look: 4.5 | smell: 4.75 | taste: 4.75 | feel: 4.5 | overall: 4.75 
look: 4.75 | smell: 4.25 | taste: 4 | feel: 4 | overall: 4 
look: 4.5 | smell: 4.5 | taste: 4.25 | feel: 4.25 | overall: 4.5 Poured at cellar temp. 2017 vintage     L - dark midnight appearance. Poured with a tan/mocha head that dissapated into minimal lacing   S - traditional bcbs smell. Coffee is still there but not as much when fresh. Get some ethonal. Great barrel and bourbon sent. Vanilla.   T - bourbon, barrel, coffee, vanilla, marshmello. Some heat   F - think pillowing feel. As it has warmed has thinned out some.   O - great beer that captures all the fundamentals of bcbs and a great adjunct. Recommend drinking this fresher. I think I prefer regular to this   
look: 5 | smell: 4.75 | taste: 4.5 | feel: 4.5 | overall: 4.5 
look: 4 | smell: 5 | taste: 4.5 | feel: 3.75 | overall: 4 
look: 5 | smell: 5 | taste: 5 | feel: 5 | overall: 5 
look: 5 | smell: 5 | taste: 5 | feel: 5 | overall: 5 
look: 4.5 | smell: 4.75 | taste: 4.75 | feel: 4.5 | overall: 4.5 
look: 4.5 | smell: 4.75 | taste: 4.75 | feel: 4.75 | overall: 4.75 
look: 4.75 | smell: 4.75 | taste: 4.75 | feel: 4.75 | overall: 4.75 
look: 5 | smell: 5 | taste: 4.75 | feel: 5 | overall: 5 
look: 4.75 | smell: 4.75 | taste: 4.5 | feel: 4.5 | overall: 4.5 
look: 4 | smell: 4 | taste: 4 | feel: 4 | overall: 4 
look: 4.25 | smell: 4.25 | taste: 4.25 | feel: 4.25 | overall: 4.5 
look: 4.75 | smell: 5 | taste: 4.75 | feel: 4.75 | overall: 4.75 
look: 4.5 | smell: 4.5 | taste: 4.25 | feel: 4.25 | overall: 4.5 
look: 4.5 | smell: 4.5 | taste: 4.5 | feel: 4.25 | overall: 4.5 
look: 4.5 | smell: 4.75 | taste: 4.75 | feel: 4.5 | overall: 4.5 
look: 5 | smell: 5 | taste: 5 | feel: 5 | overall: 5 
look: 4.25 | smell: 5 | taste: 4.5 | feel: 4.5 | overall: 4.75 **  11/29/2018  Bottle to snifter. Side by Side Comparison of 2017 Bourbon County Stout(1), Coffee Stout(2), Northwoods(3), Barleywine(4).    LOOK: dark black, brown head fades, similar to BCBS.  AROMA: coffee drowns out other aromas found in BCBS, but the coffee is unique. Super Smokey.   TASTE: coffee , vanilla, bourbon all work well together. As I drink BCBS and BCBCS together, the coffee seems to "linger" better. BCBS is seeming overly sweet in comparison.  FEEL: thinner than BCBS, but a touch of carbonation cones through.    **   
look: 4.5 | smell: 4.75 | taste: 4.75 | feel: 4.5 | overall: 4.75 
look: 4.5 | smell: 4.25 | taste: 4.25 | feel: 4.5 | overall: 4.25 
look: 4.75 | smell: 5 | taste: 4.75 | feel: 4.75 | overall: 4.75 
look: 4.5 | smell: 4.75 | taste: 4.5 | feel: 4.5 | overall: 4.5 Pours extremely dark with minimal kakhi head that fizzles out quickly. Big coffee aroma, chocolate and barrel presence are there as well. Huge coffee flavor, base BCBS beer is faintly intact, lots of dark chocolate and bourbon barrel on the finish, pretty sweet but not cloying. Carbonation is perfect, the beer is pretty chewy and syrupy. Overall an excellent variant, adjunct is still intact a year later. Pretty amazing brew, especially considering it is available nationallly.    11/25/18  16.9 oz bottle, 2017 vintage  4.5 rating   
look: 4 | smell: 4.25 | taste: 3.75 | feel: 3.75 | overall: 3.75 2017 version. Very decent. Strong coffee notes and boozy upfront. 
look: 4.75 | smell: 4.25 | taste: 4.25 | feel: 4.5 | overall: 4.25 
look: 4.75 | smell: 4.75 | taste: 4.75 | feel: 4.5 | overall: 4.75 
look: 4.5 | smell: 4.75 | taste: 4.75 | feel: 4.5 | overall: 4.75 
look: 5 | smell: 5 | taste: 5 | feel: 5 | overall: 5 
look: 4 | smell: 3.75 | taste: 4 | feel: 3.75 | overall: 4 
look: 4.25 | smell: 4.5 | taste: 4.5 | feel: 4.5 | overall: 4.5 2017 vintage  appearance: very dark brown. Ruby highlights when held to light. Sparse mocha head.  smell: Intense coffee, vanilla, rich molasses, rich and buttery.  taste: Much like the nose though the coffee is more subtle.   
look: 5 | smell: 5 | taste: 5 | feel: 5 | overall: 5 
look: 4.5 | smell: 4.5 | taste: 4 | feel: 4 | overall: 4.25 
look: 5 | smell: 4.75 | taste: 4.5 | feel: 4 | overall: 4.5 
look: 5 | smell: 5 | taste: 4.75 | feel: 5 | overall: 4.75 
look: 4.5 | smell: 5 | taste: 4.75 | feel: 3.75 | overall: 4.5 
look: 4.25 | smell: 4 | taste: 4.25 | feel: 4.25 | overall: 4.5 
look: 4 | smell: 4 | taste: 4 | feel: 4 | overall: 4 
look: 4.75 | smell: 4.5 | taste: 4.5 | feel: 4.25 | overall: 4.5 
