look: 4.25 | smell: 4.5 | taste: 4.25 | feel: 4 | overall: 4.25 
look: 4 | smell: 4.25 | taste: 4.25 | feel: 4.25 | overall: 4.25 
look: 4.75 | smell: 4.5 | taste: 4.75 | feel: 4.5 | overall: 4.75 
look: 4.25 | smell: 4.5 | taste: 4.25 | feel: 4.5 | overall: 4.5 
look: 5 | smell: 4.5 | taste: 4.5 | feel: 4.75 | overall: 4.75 Heavy molasses. Wondering about storing the rest for another year or two. 
look: 4.25 | smell: 4.5 | taste: 4.75 | feel: 4.75 | overall: 4.75 Finally cracked open this treat that I bought for myself over Christmas. Poured a dark chocolate with a one finger mocha frothy head that dissipated quickly to nothing. Aroma is faint molasses, chocolate, malt and bourbon. The aroma becomes more pungent as the brew warms. Taste is sweet malt, bourbon and caramel forward with hints of rich dark chocolate and dark fruit in the middle with black licorice, bourbon and burnt toast on the finish, which lingers. This is a real sipper . . . a thick boozy stout that makes your rear molars float. ;) OMG . . . I'm in love with a sexy woman with rich tastes that I cannot afford! Yet . . . I just have to have her . . . :)   
look: 4 | smell: 4 | taste: 4 | feel: 3.75 | overall: 3.75 
look: 4.5 | smell: 4 | taste: 4.5 | feel: 4.5 | overall: 4.5 Alrighty then.... 
look: 4.5 | smell: 4.75 | taste: 4.5 | feel: 4.5 | overall: 4.5 
look: 4.5 | smell: 4.5 | taste: 4.5 | feel: 4.5 | overall: 4.5 
look: 4.25 | smell: 4.5 | taste: 4.75 | feel: 4.5 | overall: 4.75 
look: 4.5 | smell: 4.5 | taste: 4.5 | feel: 4.75 | overall: 4.5 
look: 5 | smell: 5 | taste: 5 | feel: 5 | overall: 5 
look: 4.5 | smell: 4.25 | taste: 4.5 | feel: 4.5 | overall: 4.5 
look: 5 | smell: 1 | taste: 1 | feel: 1.5 | overall: 1 I love a good stout such as Guinness Extra Stout or Young's Double Chocolate Stout, but this is overrated garbage. It has an overly sweet and syrupy taste that makes me gag at first sip. Imagine someone poured whiskey in your Guiness then added several sugar substitute(Sweet n Low) packets a splash of milk and then let it stew in a sweaty dorm room for a few days. Foul and one of the worst beers I've ever tried. Bought a 12 pack and gave away 9. Tried 3 times to be a convert, but am convinced people are afraid to say it's gross and not be considered a connoisseur.   
