look: 4.5 | smell: 4.25 | taste: 4.25 | feel: 4.75 | overall: 4.25 12 Oz bottle poured into glass  Look - very dark almost black as expected. Medium foam head slowly fades, some excellent glass lacing  Smell - Mocha, lots of chocolate and coffee. A bit of caramel and grain.  Taste - Very bitter chocolate and hops. Creamy coffee and oats. Slight metallic flavor like cherries. It has a full profile, I personally don't think it goes down easy because it is filling. Carbonation is medium. A bit of alcohol warmth. I would like even more coffee flavor.    Overall, it's very good, bold flavor stout. It really is a great morning brew and i would like to try it a few more times to get a consistent idea of what it is. Grade is an A   
look: 5 | smell: 4.75 | taste: 4.75 | feel: 5 | overall: 4.75 
look: 4.25 | smell: 4.5 | taste: 4.5 | feel: 4.75 | overall: 4.5 
look: 4.5 | smell: 4.25 | taste: 4.25 | feel: 4.5 | overall: 4.25 
look: 4.25 | smell: 4.5 | taste: 4.25 | feel: 4.5 | overall: 4.25 
look: 4.25 | smell: 4 | taste: 4 | feel: 4 | overall: 4 
look: 4.75 | smell: 4.25 | taste: 4.5 | feel: 4.25 | overall: 4.25 
look: 5 | smell: 5 | taste: 4.75 | feel: 4.75 | overall: 4.75 
look: 4 | smell: 4 | taste: 4.75 | feel: 4.75 | overall: 4.75 
look: 4 | smell: 4.5 | taste: 4.5 | feel: 4.25 | overall: 4.25 
look: 4.5 | smell: 4.5 | taste: 4.75 | feel: 4.75 | overall: 4.5 One of the best American stouts. Not too bitter or heavy. 
look: 4.5 | smell: 4.5 | taste: 4.5 | feel: 4.25 | overall: 4.5 
look: 5 | smell: 4 | taste: 3.5 | feel: 4.5 | overall: 4 Ok, so let me start-off with a preface. My wifey brings home a lot of, free, dark chocolates...which we always end up giving away.     Now back to the review.     I always drink my stouts a little cooler than room temperature. I do this because I love the head, and because I get the best aromas off the head this way.     First-off...the color was spectacular. The oats gave it a super full body/richness, which also made it super thick and dark.     I grabbed a 350-lumen flashlight, and I could FAINTLY see a dark tan around the very edges of the glass. With a regular flashlight, I could not see any light at all.     Awesome! I love my stouts super dark and full-bodied.    The head was also thick. (I tilt the glass 45° and fill it half way. Then I straighten the glass and slam the rest of the bottle/can into the glass for a nice head).     The bubbles were super small and tight. And it also left a super nice lace.     Mind you, this is a smidgen cooler than room temps. I’m guessing at around 65° F.     As for the smell...it was also great. But sadly (like I started with my preface), I dislike dark chocolate. And the smell was very prevalent with dark chocolate.     The taste was fantastic. I loved that it was not overly bitter at all. As a matter of fact, it was creamy and smooth.     But that dark chocolate taste was extremely prevalent...which I did not like.     Mind you, this is just me. If you like the dark chocolate smell and taste, this might be for you.     But it wasn’t for me.     May I also add that it had a high 8.3. ABV. But both me and my wifey did not feel that it was that high at all.     We both agreed that it felt less than Founders regular porter (my favorite), which is only 6.5 ABV.     So the ABV on our 4-pack was weaker than marked.     Weird.     Anyhoo...it was a bit expensive at $11.00 (BevMo) for only 4 bottles.     I guess it had extra ingredients. But I could not get past the dark chocolate taste.     I’m looking around for a clone recipe of this, and I’ll substitute the dark chocolate with cocoa nibs (or maybe caramel), and it’ll probably rock.     But that’s just me.    Great oat stout otherwise.   
look: 4.75 | smell: 4.75 | taste: 4.75 | feel: 5 | overall: 4.75 
look: 4.25 | smell: 4.25 | taste: 4.25 | feel: 4.25 | overall: 4.25 
look: 5 | smell: 5 | taste: 5 | feel: 5 | overall: 5 My favorite stout at the moment. Absolutely beautiful 
look: 4.25 | smell: 4 | taste: 4 | feel: 4 | overall: 4.25 
look: 4.75 | smell: 4.5 | taste: 4.5 | feel: 4.5 | overall: 4.5 
look: 5 | smell: 5 | taste: 5 | feel: 5 | overall: 5 One of the best stouts around. 
look: 5 | smell: 4.75 | taste: 4 | feel: 3.75 | overall: 4 
look: 4.5 | smell: 4.5 | taste: 4.5 | feel: 4.5 | overall: 4.5 Pours like chocolate milk (full fat!) into the pint glass. Thin, light-brown head. Smells like a mocha espresso from a coffee shop. Taste is dark chocolate, espresso beans, some vanilla and toffee. Goes down easy - too easy. This one is a treat.   
look: 4 | smell: 4 | taste: 4 | feel: 4 | overall: 4 
look: 4 | smell: 4.25 | taste: 4.25 | feel: 4 | overall: 4.25 
look: 4.25 | smell: 4.5 | taste: 4.5 | feel: 4.5 | overall: 4.5 Black color with a rapidly dissipating tan head.  Rich coffee and chocolate aroma.  Chocolate taste up front, followed by dark roast coffee.  Very rich, drinks well as your morning coffee.   
look: 3.5 | smell: 3.5 | taste: 2 | feel: 3 | overall: 2.5 
look: 3.5 | smell: 2 | taste: 2 | feel: 2 | overall: 2.25 
look: 4.25 | smell: 4.5 | taste: 4.25 | feel: 4.5 | overall: 4.25 Excellent coffee and chocolate notes. Pours very dark with a light tan head that dissipates quickly. Thick, rich mouthfeel, decadent almost dessert like. This is one of the best coffee stouts you’ll find anywhere.   
look: 4.5 | smell: 4.5 | taste: 4.75 | feel: 4.75 | overall: 4.5 
look: 4.75 | smell: 4.5 | taste: 4.25 | feel: 4 | overall: 4.5 
look: 4.25 | smell: 4.5 | taste: 4.25 | feel: 4.25 | overall: 4.25 Doesn't get much darker than this brew. Thick black stout. Strong coffee and chocolate aroma. Very heavy. So thick you can almost chew it. Sweet chocolate up front followed by a coffee bitterness. Fantastic.   
look: 4.5 | smell: 4.5 | taste: 4.5 | feel: 4.5 | overall: 4.5 
look: 5 | smell: 5 | taste: 5 | feel: 5 | overall: 5 
look: 4.25 | smell: 4.25 | taste: 4.25 | feel: 4.25 | overall: 4.25 
look: 5 | smell: 4.5 | taste: 5 | feel: 4.75 | overall: 5 
look: 4.5 | smell: 4.5 | taste: 4.5 | feel: 4.25 | overall: 4.25 Another great Founders beer. Can only do a few. Heavy but delicious. 
look: 4.5 | smell: 4 | taste: 4.25 | feel: 4.25 | overall: 4.25 
look: 5 | smell: 5 | taste: 5 | feel: 5 | overall: 5 
look: 4.25 | smell: 4.5 | taste: 4.75 | feel: 4.5 | overall: 4.5 12oz bottle. Pours black with a half finger of brown head. Smells of dark chocolate and roasted grains. Medium feel. Moderate bitterness with rich oat, coffee, and chocolate flavors. Excellent, love world-class beers that are easy to find.   
look: 4.25 | smell: 4.5 | taste: 4.5 | feel: 4.25 | overall: 4.5 
look: 4.75 | smell: 4 | taste: 5 | feel: 5 | overall: 4.5 
look: 5 | smell: 5 | taste: 5 | feel: 5 | overall: 5 Finally got the chance to try this beer.   Look: Black with a dark brown head. Deep red when held up to the light.  Smell: Coffee  Taste: Mildly bitter start with a sweet aftertaste. Lots of coffee and chocolate. Not very boozy at all, which is impressive for such a high alcohol content.   Feel: Very creamy    This one is definitely going into the rotation. One of my favorites!   
look: 5 | smell: 5 | taste: 5 | feel: 5 | overall: 5 
look: 4.75 | smell: 5 | taste: 4.75 | feel: 4.5 | overall: 4.75 
look: 4.25 | smell: 4.5 | taste: 4.25 | feel: 4 | overall: 4.25 
look: 4.5 | smell: 4.25 | taste: 4.25 | feel: 4 | overall: 4.25 
look: 5 | smell: 4 | taste: 4.5 | feel: 4.5 | overall: 4.5 
look: 4.5 | smell: 4 | taste: 4.25 | feel: 4.25 | overall: 4.75 
look: 4.5 | smell: 4.25 | taste: 4.5 | feel: 4.5 | overall: 4.5 
look: 4.5 | smell: 4.25 | taste: 4.5 | feel: 4.5 | overall: 4.25 It's strange that I've never had this until this week. I guess because of the relatively high abv. It's potent, but not especially boozy, which can be a dangerous combination! Anyway, it tasted of chocolate with some coffee notes. A friend thought it smelled more of coffee. It's excellent, though I split part of my bottle with a generous host.   
look: 5 | smell: 4.75 | taste: 5 | feel: 5 | overall: 5 
look: 4.5 | smell: 4.5 | taste: 4.75 | feel: 4.5 | overall: 4.75 
look: 4.5 | smell: 4.5 | taste: 4 | feel: 4.25 | overall: 4.25 
look: 4.5 | smell: 4.5 | taste: 5 | feel: 5 | overall: 4.75 
look: 4.5 | smell: 4.5 | taste: 4.5 | feel: 4.5 | overall: 4.5 
look: 4.5 | smell: 4.25 | taste: 4.25 | feel: 4.25 | overall: 4.25 
look: 4.25 | smell: 4.25 | taste: 4.25 | feel: 4.5 | overall: 4.25 
