look: 4 | smell: 3.75 | taste: 3.75 | feel: 3.75 | overall: 3.5 
look: 5 | smell: 5 | taste: 5 | feel: 5 | overall: 5 I fell in love with this beer. Now I can’t find it. 
look: 4.5 | smell: 4.25 | taste: 4.25 | feel: 4.5 | overall: 4.25 Pours viscous black with rusty orange foam that turns khaki as it settles. Light lacing. Aroma chocolate cherry. Slight sweet bitter cacao lingers. 
look: 4.5 | smell: 4.75 | taste: 5 | feel: 4.5 | overall: 4.75 
look: 4.75 | smell: 4.25 | taste: 4.5 | feel: 4.25 | overall: 4.5 
look: 4 | smell: 4 | taste: 4 | feel: 4 | overall: 4 
look: 5 | smell: 4.5 | taste: 4.25 | feel: 4.25 | overall: 4.25 
look: 4.25 | smell: 4.25 | taste: 4.25 | feel: 3.75 | overall: 4 
look: 4.5 | smell: 4 | taste: 4 | feel: 4 | overall: 4 Rating is based on the Winter 2018 release. Enjoyable bittersweet dark chocolate and heavy roast, a lovely appearance with great retained lacing from an aggressive pour, but a touch of acrid bitterness that takes the roasted notes a slight touch farther than I would prefer.   
look: 4.5 | smell: 5 | taste: 5 | feel: 4.25 | overall: 4.5 
look: 3.75 | smell: 4.25 | taste: 3.5 | feel: 4.25 | overall: 3.75 
look: 4 | smell: 3.75 | taste: 3.75 | feel: 3.75 | overall: 3.75 Winter 2018 bottling    Pours a light black with no translucence and a fluffy cap of caramel-colored foam; nice retention on the head with some sparse walls and stringy patterns of thicker lacing left around the glass.    Aromas of dark cacao nibs and roasty malts dominate; lighter hints of caramel, toffee, and milk chocolate influence the bouquet smoothly in the background.    Taste of dark chocolate and toasted granola upfront, with lighter tones of dark berries/stone fruits, smooth malty roast, and a faint milk chocolate imparting the slightest sweetness toward the finish; bits of booze are somewhat prevalent on the latter part of the profile.    Mouthfeel shows a nice medium body, slightly sticky, and with lower levels of carbonation with an occasional odd spike; hints of booze come through on occasion, but not enough to become a consistent distraction; a well incorporated package of sweet, dry, and roasty.    Integration of dark chocolate really evens out the expected stone fruit and dark berry tones, striking a nice balance where plenty of lighter (mainly sweeter) notes are given space to shine through. I do think this didn’t quite reach the next level, though, as the profile was muddied in spots, and the mouthfeel suffered from the occasional thinness and inconsistency. Overall a really solid brew that does shine in its approachable flavor and drinkability.   
look: 4 | smell: 4 | taste: 4 | feel: 4 | overall: 4 
look: 3.75 | smell: 4 | taste: 3.75 | feel: 3.75 | overall: 3.75 
look: 4 | smell: 4.25 | taste: 4 | feel: 4 | overall: 4.25 Poured a beautiful pitch black, with a finger of Carmel head. Solid lacing. Not much retention. The smell is outstanding! The chocolate notes dominate from start to finish. The chocolate that dominated the nose takes a back seat to the smokey taste. Very good Russian!   
look: 4 | smell: 4.25 | taste: 4.25 | feel: 4 | overall: 4.25 Served on tap in a 13 oz (385 ml) goblet at Alamo Drafthouse in Yonkers, NY.  A: Pours a very dark brown to black color with a one finger, tan head, low retention, and solid lacing.  S: Very light aromas of cafe au lait and chocolate.  T: Semisweet with flavors that follow the nose, although bitterness quite strong.  M: Medium bodied with low carbonation.  O: Tasty and enjoyable.   
look: 4.25 | smell: 3.75 | taste: 4.25 | feel: 4 | overall: 4 
look: 4 | smell: 4.25 | taste: 4.25 | feel: 4.25 | overall: 4.25 
look: 4 | smell: 4.5 | taste: 4.25 | feel: 3.75 | overall: 4 
look: 5 | smell: 5 | taste: 5 | feel: 5 | overall: 5 
look: 4 | smell: 4 | taste: 4 | feel: 4 | overall: 4 
look: 4.5 | smell: 4.25 | taste: 5 | feel: 4 | overall: 4.5 
