look: 4.5 | smell: 3.5 | taste: 3 | feel: 4 | overall: 4 
look: 4 | smell: 3.75 | taste: 4 | feel: 3.75 | overall: 3.75 
look: 4.5 | smell: 4.5 | taste: 4.5 | feel: 4.5 | overall: 4.5 
look: 4 | smell: 4 | taste: 4.25 | feel: 3.75 | overall: 4 
look: 4.5 | smell: 5 | taste: 4.5 | feel: 4.5 | overall: 4.75 
look: 4.25 | smell: 4 | taste: 4.25 | feel: 4.25 | overall: 4 Pours a bourbon brown color without much head.  Has a sweet kinda smell, which follows to the taste. Very smooth going down and through the aftertaste.  Just a hint of a punch to it, probably due to the high abv   
look: 4 | smell: 4 | taste: 4 | feel: 4 | overall: 4 
look: 5 | smell: 5 | taste: 4 | feel: 3.75 | overall: 3.75 
look: 4 | smell: 3.75 | taste: 3.75 | feel: 3.75 | overall: 3.75 
look: 3.5 | smell: 3.5 | taste: 3.5 | feel: 3.5 | overall: 3.5 
look: 4.25 | smell: 4 | taste: 4.5 | feel: 4.25 | overall: 4.5 A: Pours a nice one finger head. Color is a nice darkish amber, like maple syrup    S: Hoppy and caramel. Some maltiness.    T: Sweetness definitely shines through. Hop forward with a good malt backbone. Top of my mouth is bitter while my tongue is sweet. Definitely a new sensation. Finishes with an interesting taste. Pine nuts?    O: Quality brew with an interesting twist. The name is well deserved. Alcohol is undetectable for a 10% beer. So smooth.   
look: 4.25 | smell: 4.25 | taste: 4 | feel: 4.25 | overall: 4.25 
look: 3.75 | smell: 3.75 | taste: 4 | feel: 3.75 | overall: 3.75 Quite a nice strong ale with some well-balanced malt and hoppy notes. Pours a honeyed caramel-amber color with a little bit of head and lingering lacing. Smells mainly of brown sugar, malt, caramel and a little trace of herbal hops. Taste follows the nose, in addition to some brown sugar, molasses and raisin. Almost reminded me of a stronger version of a barleywine. Smooth, mild, slightly thinner mouthfeel with decent carbonation. Higher ABV was fairly well-hidden.   
look: 4 | smell: 4.25 | taste: 5 | feel: 4.5 | overall: 4.5 
look: 4.5 | smell: 4.75 | taste: 4.75 | feel: 4.5 | overall: 4.75 Surprising the taste they got with such a monster ABV. Just delicious. Has a bit of a tang once it sits on your taste buds for about ten seconds, but nearly flawless.   
look: 4 | smell: 3 | taste: 4 | feel: 3.5 | overall: 4 
look: 5 | smell: 5 | taste: 5 | feel: 5 | overall: 5 Purchased six pack on 1/09/19  Glad I did   Lagunitas has exceptional beer at an exceptional price point.  Tastes great 
look: 3.5 | smell: 4.5 | taste: 3.75 | feel: 4 | overall: 4.25 A bourbon hue without much head and dissipates quickly. Caramel brown sugar nose. Hits with hops first, then you get the caramel sweetness, then a bitter finish. Well-balanced but also not that complex. Pretty easy and tasty to drink for a strong ale. Could spend an evening with this.   
look: 4.75 | smell: 4.75 | taste: 5 | feel: 4.75 | overall: 4.75 Superb! 
look: 4 | smell: 4 | taste: 4 | feel: 3.75 | overall: 4 
look: 4.25 | smell: 4 | taste: 4.25 | feel: 4 | overall: 4 
look: 4.25 | smell: 3.75 | taste: 3.75 | feel: 4 | overall: 4 
look: 3.75 | smell: 3.75 | taste: 3.75 | feel: 3.75 | overall: 3.75 
look: 4.25 | smell: 4 | taste: 4.25 | feel: 4 | overall: 4 
look: 4 | smell: 3 | taste: 3.25 | feel: 4.5 | overall: 3.5 
look: 4 | smell: 4 | taste: 4 | feel: 4 | overall: 4 
look: 5 | smell: 5 | taste: 5 | feel: 5 | overall: 5 
look: 4.25 | smell: 4.25 | taste: 4 | feel: 4 | overall: 4 Pours a golden honey color, with a eggshell / very light brown foam head of 1-2 fingers. It has a sweet aroma with a heavy malty biscuit flscor with moderate caramel and pine overtones. Despite being 10% APV, it does not have an overwhelming alcohol taste but is very intense with malt and caramel. It is somewhat fik yet does not set too heavy. Overall it is a another good seasonal offering from Lagunitas.   
look: 4.5 | smell: 4 | taste: 4.25 | feel: 4.5 | overall: 4.25 Normally, I don't like sweet high alcohol beers. This is an exception. It pours with a nice thick and persistent head. The color is a nice deep amber. The head laces nicely as it settles. Nose is nothing special. The mouth feel is thick and smooth. It is sweet but there is enough alcohol and hops bite to balance it.   
look: 4.5 | smell: 3.75 | taste: 3.75 | feel: 4 | overall: 3.75 This is a good beer, but not as much of a sugar bomb as I expected based on the marketing hype. The hops (51 IBUs) mask the sweetness somewhat and the alcohol is very well hidden. This beer tastes like a barleywine/American strong ale that leans sweet. I would have preferred lower hop bitterness so that the sweet malt could shine through more, but this is a pretty good offering and a great value for the price.   
look: 3.75 | smell: 3.5 | taste: 4 | feel: 3.5 | overall: 3.75 Nice clear, light brown color with beige head. Lacing was decent. Smell is a little sweet and definitely displays alcohol content. Flavor is malty, sweet, and boozie and finishes bitter and crisp.   
look: 4.5 | smell: 4 | taste: 4 | feel: 4.25 | overall: 4.25 From notes 10/29/12: Pours a clear, coppery amber producing 2+ fingers of frothy, variously bubbled, beige, moderately lasting head that leaves beautiful webs and bubbles of lace. The degree of lace left behind is variable from purchase to purchase. Aroma is biscuit and toasted malt, brown sugar, figs and hints of caramel, fruity candied apple, yeast, alcohol, pine and citrus hops. Taste is similar to the nose with the fruit being vinous throughout; the alcohol more noticeable as warmth and spice form mid-sip into the aftertaste; and more pine resin and citrus hop flavors especially in the finish and aftertaste. Mouthfeel is full bodied with moderate carbonation, thick and warming it has a dry finish.   
look: 3.75 | smell: 3.5 | taste: 4 | feel: 3.5 | overall: 3.75 
look: 3.75 | smell: 3.75 | taste: 4 | feel: 4 | overall: 4.25 12oz bottle into hop rastal glass   Bottled on day #295 of 2018 10/22/18  Pours clear copper with tan head   Sweet sticky aroma, resin, citrus pith  Big hefty caramel malt, loads of booze, grapefruit bitterness, with a resin-y finish  Medium bodied,  big hefty, syrupy   Overall a unique beer that is big and hefty that has some drinkability, and also nicely balanced between malt hops and booze   
look: 4 | smell: 3.5 | taste: 3.5 | feel: 3.5 | overall: 3.5 
