look: 2 | smell: 2 | taste: 2 | feel: 2 | overall: 2 "break in case of emergency" 
look: 2.5 | smell: 2.5 | taste: 2.5 | feel: 2.5 | overall: 2.5 
look: 1.25 | smell: 1.25 | taste: 1.25 | feel: 1.25 | overall: 1.25 
look: 3.75 | smell: 1.5 | taste: 3 | feel: 2 | overall: 3 
look: 1.25 | smell: 1.25 | taste: 1.25 | feel: 1.5 | overall: 1.25 
look: 2.25 | smell: 2 | taste: 2.25 | feel: 2.25 | overall: 2.25 
look: 2.5 | smell: 2.5 | taste: 2.5 | feel: 2.5 | overall: 2.5 H50 
look: 1.5 | smell: 1.25 | taste: 1 | feel: 1.25 | overall: 1 
look: 2 | smell: 2 | taste: 2 | feel: 2 | overall: 2 
look: 2 | smell: 2 | taste: 1.5 | feel: 1.5 | overall: 1.5 
look: 1.25 | smell: 1 | taste: 1 | feel: 1.5 | overall: 1.25 
look: 2 | smell: 2 | taste: 2 | feel: 2 | overall: 2 
look: 2.5 | smell: 2.25 | taste: 2.5 | feel: 2.5 | overall: 2.5 
look: 1.25 | smell: 1 | taste: 1 | feel: 2 | overall: 1.25 
look: 2 | smell: 2 | taste: 2.5 | feel: 2 | overall: 2 
look: 3.5 | smell: 3 | taste: 3.25 | feel: 4 | overall: 3.75 Pours a nearly completely translucent straw with a finger of white foam. Head retention is poor. Aroma is straw, barley, grain, and play ground pebbles. Flavor profile is straw, barley, lemongrass, herbal hops and corn grain. It's smooth with very little to throw off the balance, then again, there is very little here. Mouth feel crisp with a light effervescence. It has a thin consistency. Overall, a smooth and refreshing beer, but not super flavorful. It makes for a flavorful enough session beer.    Served in a 15.5oz Speigalau from a 12oz can.   
look: 3 | smell: 3 | taste: 2.5 | feel: 3 | overall: 3 Part of my BJCP training, wouldn't normally drink this but it's a style 1A. American light lager  Pours a decent fizzy bubbly head, mild retention, crystal clear watery light pale color    Nose almost nothing, hint of corn and maybe malt    Taste is somewhat fruity which is somehow not supposed to be there, very little malt and some corn notes, no hop bitterness, otherwise pretty much no flavor, a little bitter but corn or DMS like aftertaste    Mouth is thin watery, plenty of carb    Overall almost flavorless useless beer, but it does basically hit the style   
look: 1.75 | smell: 1.75 | taste: 1.75 | feel: 1.75 | overall: 1.75 
look: 1.5 | smell: 1.5 | taste: 1.5 | feel: 1.5 | overall: 1.5 im adding this just for the sake of beer count 
look: 1 | smell: 1 | taste: 1 | feel: 1 | overall: 1 
look: 3 | smell: 2.5 | taste: 3.5 | feel: 3 | overall: 3 
look: 3 | smell: 1.5 | taste: 1 | feel: 1 | overall: 1.25 
look: 1 | smell: 1 | taste: 1 | feel: 1 | overall: 1 
look: 1.25 | smell: 1 | taste: 1 | feel: 2 | overall: 1.25 Just No 
look: 1 | smell: 1 | taste: 1 | feel: 1.75 | overall: 1.25 
look: 1.25 | smell: 1.5 | taste: 2.5 | feel: 2 | overall: 1.75 
look: 1 | smell: 1 | taste: 1.5 | feel: 1.5 | overall: 1.5 12 ounce can into a sturdy solo plastic cup. Urine yellow in color. Zero aroma which in this case a good thing. Overly carbonated with lots of streaming bubbles. Not much of a head and surprisingly some lacing. Taste is almost non existent. Mouthfeel is very watery and a odd aftertaste. Bud Light has a funny whang to it. The only redeeming qualities are the low abv and low calories. Overall this is a horrid beer. I'd rather drink week old Coors than this. Difficult to believe that Bud Light was ranked the most popular beer in the country. Oh and for some reason it says this beer was brewed in Houston rather than Saint Louis. Go figure.   
look: 1 | smell: 1 | taste: 1 | feel: 1 | overall: 1 This is not beer yet its beer flavored water. I dont drink this unless its given to me and I'm already drunk. It's not even bud. It's piss. Warms really quick and has nothing to it.   
look: 1 | smell: 1.25 | taste: 1.5 | feel: 1.25 | overall: 1.25 
look: 2 | smell: 3 | taste: 1.5 | feel: 2 | overall: 1.75 
look: 2.5 | smell: 1.25 | taste: 1.5 | feel: 1 | overall: 1.5 Would never buy any but if it's free, ill drink it. 
look: 2 | smell: 1 | taste: 2 | feel: 3.5 | overall: 2.25 
look: 1.25 | smell: 1.5 | taste: 1.5 | feel: 1.75 | overall: 1.5 I don't know how this beer is so popular. I would not drink this beer even if it was free. 
look: 3.5 | smell: 1.75 | taste: 1.5 | feel: 1.75 | overall: 1.75 
look: 2 | smell: 1.75 | taste: 1.5 | feel: 3 | overall: 2 
look: 2.5 | smell: 2 | taste: 1.25 | feel: 1.5 | overall: 1.75 No flavor but sweet watery beer. This is beer for beginners who want quantity over quality. 
look: 1 | smell: 1 | taste: 1 | feel: 1 | overall: 1 
look: 1.5 | smell: 1.75 | taste: 2 | feel: 2 | overall: 1.75 
look: 1.5 | smell: 1.5 | taste: 1.25 | feel: 1.5 | overall: 1.5 
look: 2.75 | smell: 1.25 | taste: 2 | feel: 2 | overall: 2 
look: 3 | smell: 2.25 | taste: 2.5 | feel: 2.5 | overall: 2.5 
look: 2 | smell: 1.5 | taste: 1 | feel: 1.25 | overall: 1.75 
look: 1 | smell: 1 | taste: 1 | feel: 1 | overall: 1.25 
look: 1.75 | smell: 1.75 | taste: 1.75 | feel: 1.75 | overall: 1.75 
look: 5 | smell: 5 | taste: 5 | feel: 5 | overall: 5 
look: 2.25 | smell: 2.5 | taste: 1.75 | feel: 2 | overall: 2 
look: 1 | smell: 1 | taste: 1 | feel: 1 | overall: 1 Look: carbonated piss  Smell: nonexistent  Taste: not much  Feel: gassy    this is the beer people start with as kids when somebody's older brother buys it when you give him money to keep it a secret. Then as adults we develop taste buds and move on to real beer.    The first thing that happens when I drink this swill is I have to burp. I mean burp as in repeatedly. The taste isn't any better the second time.   
look: 1.25 | smell: 1.25 | taste: 1.5 | feel: 1.5 | overall: 1.5 
look: 3 | smell: 2 | taste: 1.75 | feel: 2.75 | overall: 1.75 
look: 2 | smell: 2 | taste: 1.75 | feel: 2 | overall: 1.75 
look: 1.75 | smell: 1.75 | taste: 1.75 | feel: 1.75 | overall: 1.75 
look: 1.75 | smell: 1.75 | taste: 1.75 | feel: 1.75 | overall: 1.75 
look: 3.5 | smell: 3.25 | taste: 3.5 | feel: 3.25 | overall: 3.5 Decanted from a 12 oz (355 ml) bottle into a conical pint glass; bottled on 12/12/2018.  A: Pours a crystal clear, bright golden color with a one inch, white head, low retention, and limited lacing.  S: Floral, grainy with light melon and citrus notes.  T: Dry. Generally flavors follow the nose. Very minimal bitterness. Very refreshing.  M: Light bodied with low effervescence.  O: Not really designed as a "big flavor" beer, eminently drinkable. Frankly, more flavorful than I though it would be. It is what it is.   
look: 1 | smell: 1 | taste: 1 | feel: 1 | overall: 1 
look: 4.5 | smell: 3 | taste: 3.75 | feel: 4 | overall: 4 You can pound these like no tomorrow...not much taste to it. It is pretty light in appearance; almost transparent when poured into a glass. A beer one can enjoy any time of day, month or year...if you're into light beers of course.   
look: 1.5 | smell: 2 | taste: 2.25 | feel: 2.5 | overall: 2.5 
look: 2 | smell: 1 | taste: 1.5 | feel: 1.5 | overall: 1.75 We know it’s not the best, but there’s a place in our heart for it 
look: 5 | smell: 4.75 | taste: 5 | feel: 5 | overall: 5 Best tasting beer, well priced 
look: 1.25 | smell: 1.75 | taste: 2 | feel: 2.25 | overall: 1.75 From notes 12/26/11: Pours a pale straw producing a couple of fingers of white loosely bubbled head that leaves little lacing as it recedes. Aroma is grain/cereal, white bread, some grassy and lemon hop hints. Taste is a slightly more robust version of the nose. A good choice if you want a beer, are forced to cut calories and can not get Yuengling Light, or if its free.   
