look: 4 | smell: 4.25 | taste: 3.75 | feel: 4 | overall: 4 33cl bottle, 7m old.    Very light straw, extremely clear. Foam is weak, disappears completely, no lace.    Nose is grain, not a strong aroma, but it is exactly as a well-made pils ought to smell like. Very little hops, though. Diacetyl notes.    Taste has even clearer diacetyl mixing with the subdued element of grain. And an understated crispness and edge, presumably from rice. Pleasant, smooth mouthfeel. No hop taste either in terms of aroma or bitterness, which is the main shortcoming... the crispness is the only element bringing any contrast to the smoothness.     In summary, a flawlessly executed subdued hopless version of pils/pilsner..Very well done for what it is trying to achieve. Unjustly over-vilified in my opinion. The diacetyl is not 'corn', maize does not provide much taste at all, and afaik Budweiser does not even have it. Use of rice is no more to sneer at than the Bohemian and German use of it in a very similar fashion at the end of 19th century. Adjunct process is a cornerstone of witbier, why would it be a crime here? A lot of craft beer is poorly balanced and inconsistent and shows little skill. Whether this style is very exciting is another matter, but you cannot fault the execution, as there is very little to hide behind. I suggest trying to make a flawless light lager of your own.   
look: 2 | smell: 2.25 | taste: 2.25 | feel: 2.5 | overall: 2.25 Honestly, it’s not that bad. I was never a big Budweiser drinker back in the day - Bud Light was much more commonly available - but it’s cheap, easy to find, quenches the thirst and is very widely accepted by all. Looks fairly clear, golden, clean with a little foaming white head that quickly dissipated. No real lacing to speak of. Smells mainly of grain and corn, just a little malt. Tastes similarly, with very little aftertaste. No skunkiness or bitterness. Clean, thin mouthfeel and decent carbonation. Goes flat fairly rapidly, however. All in all, a safe beer but not my go-to AAL.   
look: 2 | smell: 2.5 | taste: 3 | feel: 2 | overall: 2.25 
look: 2 | smell: 2 | taste: 2 | feel: 2 | overall: 2 
look: 3.5 | smell: 2.5 | taste: 3.5 | feel: 3 | overall: 3.5 
look: 2.25 | smell: 2.5 | taste: 2 | feel: 2.5 | overall: 2.25 
look: 1.5 | smell: 1.5 | taste: 1.5 | feel: 1.5 | overall: 1.5 Cerveza popular, industrial, inferior a muchas de su estilo y precio. Ligera, de baja carbonatación y de color dorado. Aroma suave a malta. En boca es acuosa, con poco que destacar.   
look: 3.5 | smell: 2 | taste: 2 | feel: 3 | overall: 2 I can't tell you the last time I had a Budweiser, but we had a Super Bowl party and I bought a six pack for one of our guests. He decided to drink wine, so...  Pours a clear yellow/gold with a white head that disappears quickly.  Faint aroma of grain.  Faint taste of corn.  Thirst-quenching like water is.  Just a crappy beer,   
look: 2.5 | smell: 2.25 | taste: 2.5 | feel: 2.25 | overall: 2.5 
look: 3 | smell: 3.25 | taste: 3 | feel: 2.75 | overall: 2.75 
look: 3 | smell: 2.75 | taste: 2.75 | feel: 2.75 | overall: 3 Clear pale watery color, light head    Nose light malt, little sweet like, mild DMS, bitter notes and some off lager notes    Taste light pilsner malts, light lager, mild malt, very light, hint of DMS, mild skunky type flavor but not actually skunky, light finish    Mouth is lighter bod, decent carb    Overall eh, at least it's consistent, as typical for style by meh in general   
