look: 4 | smell: 4 | taste: 4.25 | feel: 4.25 | overall: 4 
look: 4 | smell: 4.25 | taste: 4.25 | feel: 4 | overall: 4.25 Pours a honey cloudy look, rapidly disappearing head. Moderate lacing. Smell represents imperial ipa, sweetish malty note. Smooth mouthfeel, pleasant lingering aftertaste.   Alcohol is hidden, taste wise, it will become obvious later. : )  This is one fine brew from DFH, good job.   
look: 4 | smell: 4 | taste: 4 | feel: 4 | overall: 4 
look: 4.5 | smell: 4.25 | taste: 4.25 | feel: 4.5 | overall: 4.5 
look: 4 | smell: 4.5 | taste: 4.5 | feel: 4.25 | overall: 4.25 Look - poured from a 12 oz bottle. One finger head, bits of lacing. Beer is cloudy and a dark orange color.  Smell - this is where things get interesting. An initial whiff of woodsy sweetness and malts, followed by citrus, pineapple, and some vanilla. A really complex smell, a result of the blending process.  Taste - just as complex as the smell. The hops come through first in the taste that is mellowed out by the woody sweetness. Warmness from the alcohol is also detected, followed by the fruity notes and a very smooth finish. Now that is a tasty beer.  Feel - medium to medium-full body. Medium carbonation, and a heavy hitter at 10% ABV, though it drinks very smooth.  Overall - this was the employee favorite at the brewery, and for good reason. Complex yet easy drinking, "gentle giant" is the perfect way of describing this beer. A real treat.   
look: 4.25 | smell: 4.25 | taste: 4.25 | feel: 4.25 | overall: 4.25 
look: 5 | smell: 5 | taste: 5 | feel: 5 | overall: 5 really easy to pound. goes down fast 
look: 4 | smell: 4 | taste: 4.25 | feel: 4.25 | overall: 4 
look: 3.75 | smell: 3.75 | taste: 3.75 | feel: 3.75 | overall: 3.75 
look: 4.25 | smell: 4.25 | taste: 4.25 | feel: 4.25 | overall: 4.25 
look: 4 | smell: 4.25 | taste: 4.25 | feel: 4 | overall: 4.25 From bottle to pint glass, pours rusty orange with a nice off white head.     Aroma of pineapple, driftwood, palm frond, and saltwater.     Tastes of tropical fruit candy, caramel malt, oak, vanilla, floral (rose maybe), with a smooth saline aftertaste (not sharp salty like a Gose). Noticeable but not overpowering alcohol with a nice warming sensation that gives away the ABV. Full, velvety body.     Overall, a terrific DIPA with a twist. The oak barrel aging really increased this beer’s depth.   
