look: 4.5 | smell: 4.5 | taste: 5 | feel: 4.5 | overall: 4.75 Wow! Exceptional! Complex! 
look: 3.75 | smell: 4.5 | taste: 4.25 | feel: 4 | overall: 4 
look: 4.25 | smell: 4.5 | taste: 4.5 | feel: 4.5 | overall: 4.25 
look: 4.75 | smell: 4.75 | taste: 4.75 | feel: 5 | overall: 4.75 
look: 4.25 | smell: 4.25 | taste: 4.25 | feel: 4.25 | overall: 4.25 
look: 4 | smell: 4 | taste: 4 | feel: 4 | overall: 4 
look: 5 | smell: 4 | taste: 3.75 | feel: 4 | overall: 4 
look: 5 | smell: 4.5 | taste: 3.5 | feel: 5 | overall: 4 Review #1,111 – This is it; my last hurrah, my final long-format review on BeerAdvocate (I’m now on Untappd as “doktorhops” where I will still on occasion dispense beer-laden advice 140 letters at a time). I have several reasons, but it mainly boils down to having two little ones and too limited an amount of time keep writing these reviews (over 458,700 words and counting – that’s enough to fill a novel FFS). So I saved the best for last: Founders Canadian Breakfast Stout. Some ppl know me as “that guy wot wrote the most liked FBS review on BA” and I figured it rather fitting to review one of their most legendary brews: the maple syrup bourbon barrel ripper known affectionately as “CBS”. Spoiler alert: This’ll be bitchen.    Poured from a 355ml bottle into a Duvel tulip.    A: Pours richer, denser, more-viscous than FBS – Wow! What a demonic looking beast this Imp-Stout is! Blacker than a black heart covered in a tar-like ooze, with a thin ring of tan lace, this is the beer that launched a thousand beer nerds – to paraphrase Marlowe. 10/10.    S: Very much a KBS meets a maple syrup barrel kind of aroma: bourbon hints, oak/woody/vanilla tones, dark chocolate and roasted coffee… and of course the signature ingredient: maple syrup! There’s an odd pear/apple ester too – not sure what that’s doing here (not unlike the odd shochu character in KBS). Still this is a complex and well-rounded fragrance, superb work again from Founders. 9/10.    T: Hmmm, much sweeter than I recall KBS. I’m sure you’re thinking “derp man” however it is customary for sweeter flavours from a barrel to mellow out during the ageing – this just feels like KBS with maple syrup added post-ageing. That said, if you’re a sweet-tooth then this is maple heaven. Flavour profile is very much like KBS, powerful with notes of: roasted coffee, dark chocolate, bourbon, oak/woody/vanilla, molasses and a hint of coffee bitterness in the finish. 7/10.    M: Yep, there’s that Founders body – smoother than a Motown R&B singer, this is as heavy and luscious as they come – a perfect 10 like the other BS’s. 10/10.    D: Alas, for me this brew was sweet to the point of a needle – an insulin needle. Too much of a good thing, there is such a beer: Canadian Breakfast Stout. IMO the best of Founders is (and perhaps will always be) KBS. No lie – I struggled to finish this it was so sweet, paying $24 for the bottle helped it go down, I cant abide wasting a beer at this price point. Sorry for the (semi)-sad ending. 8/10.    Food match: Perhaps pancakes could soak up this sugar-bomb of a brew?   
look: 4.25 | smell: 4.5 | taste: 4.25 | feel: 4.25 | overall: 4.25 
look: 5 | smell: 5 | taste: 5 | feel: 5 | overall: 5 
look: 4 | smell: 4.5 | taste: 4.25 | feel: 4.25 | overall: 4.25 
look: 4.5 | smell: 4.5 | taste: 4.5 | feel: 4.5 | overall: 4.5 
look: 5 | smell: 5 | taste: 5 | feel: 5 | overall: 5 
look: 4.5 | smell: 4.5 | taste: 4.75 | feel: 4.5 | overall: 4.5 
look: 4.5 | smell: 4.75 | taste: 4.75 | feel: 4.75 | overall: 4.75 
look: 5 | smell: 4.75 | taste: 4.75 | feel: 4.5 | overall: 4.5 
look: 5 | smell: 4.75 | taste: 5 | feel: 4.75 | overall: 5 
look: 4.5 | smell: 4.75 | taste: 4.5 | feel: 4.5 | overall: 4.75 
look: 4.5 | smell: 4.5 | taste: 4.5 | feel: 4.75 | overall: 4.5 On tap at Brewer’s Fork in Charlestown, MA.  Look: dark mahogany with thin tan lacing  Smell: maple, bourbon, wood  Taste: prominent maple syrup, caramel, coffee, baker’s chcoclate. Extremely sweet but not cloyingly so.  Feel: thick and syrupy   Overall: a great dessert beer. Glad I got to try some on tap. Might be too heavy for a full pint, but a 9-12 oz pour puts you in a good place.   
look: 4 | smell: 4.25 | taste: 5 | feel: 5 | overall: 5 
look: 4.25 | smell: 4.75 | taste: 4.75 | feel: 4.25 | overall: 4.75 
look: 4.5 | smell: 4.5 | taste: 4.5 | feel: 4.5 | overall: 4.5 
look: 4.25 | smell: 4.5 | taste: 4.25 | feel: 4 | overall: 4.5 
look: 4.75 | smell: 4.5 | taste: 4.75 | feel: 4.25 | overall: 4.75 
look: 5 | smell: 5 | taste: 5 | feel: 4.75 | overall: 4.75 
look: 4.25 | smell: 4.25 | taste: 4.25 | feel: 4.5 | overall: 4.25 
