look: 4.25 | smell: 3.75 | taste: 4.25 | feel: 4.25 | overall: 4.25 
look: 4 | smell: 4 | taste: 4 | feel: 4 | overall: 4 
look: 5 | smell: 4.25 | taste: 4.75 | feel: 4.75 | overall: 4.5 
look: 4.25 | smell: 4.25 | taste: 4.5 | feel: 4.25 | overall: 4.25 
look: 3.75 | smell: 4 | taste: 3.5 | feel: 4.25 | overall: 3.75 
look: 3.75 | smell: 4 | taste: 3.75 | feel: 4 | overall: 3.75 
look: 4 | smell: 4.25 | taste: 4.25 | feel: 4 | overall: 4.25 
look: 4 | smell: 4 | taste: 4.25 | feel: 4.25 | overall: 4.25 
look: 4 | smell: 4 | taste: 4 | feel: 4 | overall: 4 
look: 3.75 | smell: 3.75 | taste: 4 | feel: 3.75 | overall: 3.75 
look: 4 | smell: 4 | taste: 4 | feel: 4 | overall: 4 
look: 4 | smell: 4 | taste: 4 | feel: 4 | overall: 4 
look: 3.5 | smell: 3.5 | taste: 3.75 | feel: 3.75 | overall: 3.75 
look: 4 | smell: 3.75 | taste: 4 | feel: 4.25 | overall: 4.25 
look: 4 | smell: 3.75 | taste: 4 | feel: 4 | overall: 4 
look: 3.5 | smell: 4.5 | taste: 4.5 | feel: 4.5 | overall: 4.25 Delicious, great 
look: 5 | smell: 4.75 | taste: 4.75 | feel: 5 | overall: 4.75 I am not a very good reviewer, but I do enjoy this year's batch even more than usual it seems. The 2018 version seems to be an almost perfect brew to me. I am also a Sierra Nevada Torpedo fan, but this seems a bit less overwhelming. To me it is just the right amount of hoppiness, carbonation and body. These days there are so many over hopped IPAs that I will definitely miss the 2018 Celebration when it is gone.   
look: 4.25 | smell: 4 | taste: 4.25 | feel: 4.25 | overall: 4.25 
look: 3.75 | smell: 4 | taste: 3.75 | feel: 4.25 | overall: 3.5 Pours a very old school deep orange/amber for an IPA. Nice off white head with great retention and great carbonation.  Smell is brightly piney with light citrus notes and a pleasant crackery sweetness. Again showing a very old school bent compared to the tropical fruit salad of modern american IPAs.  Taste is pleasantly balanced between sharply bitter pine hops and rich bready malt. Reminiscent of a hoppy amber or red ale. The sweet/bitter flavor dance plays out well across the whole flavor.  Mouthfeel is nicely crisp with an adequate body. This is definitely a classic crisp IPA.   This is a classic and an old favorite of mine but I do feel like it's showing its age. Not so exciting as it once was and certainly not the best fresh hop beer available anymore. A nice yearly treat none the less though.   
look: 4 | smell: 4 | taste: 4.5 | feel: 4.25 | overall: 4.25 
look: 4.5 | smell: 4 | taste: 3.75 | feel: 4.25 | overall: 3.75 Based off the look i was very excited about this ipa but the taste was a slight let down. It's not bursting with flavor it is pretty mild, still enjoyable, but not what i was expecting. Given the opportunity i would drink it again but would first check my other options.   
look: 3 | smell: 4 | taste: 4.75 | feel: 4 | overall: 4.5 
look: 5 | smell: 3 | taste: 2 | feel: 2 | overall: 2 I haven’t ever tried an ipa before this and wasnt convinced with this guy. The reviews are high on this, so I don’t know if I grabbed a bad one. It came off really bitter and tasted like paint with a bad after taste. Maybe just my palate. Glad people can enjoy it, just wasn’t me.   
look: 4.75 | smell: 4.75 | taste: 4.75 | feel: 4.75 | overall: 4.75 Consistently awesome seasonal - beautifully balanced IPA. This beer will stand the test of time and trends.    You never have to worry about a bad bottle, because it is only around a short while.   
