look: 4.5 | smell: 4.25 | taste: 4.5 | feel: 4.5 | overall: 4.5 
look: 4.25 | smell: 4.5 | taste: 4.75 | feel: 4.25 | overall: 4.5 Appearance:  Deep dark Amber color with short quickly disappearing head.    Aroma:  Raisins and cookie maltiness. Smells delectable.     Flavor:  Roasty malt, raisin, cookie with a touch of chocolate fades into a warming alcohol and touch of balancing hop bitterness. It's complex, it's smooth, and it's cohesive.     Body:  Medium body with a fair amount of carbonation. On point for the style.     Overall:  This is the bar for Dopplebock as far as I know it. Excellent beer.   
look: 3.75 | smell: 3.75 | taste: 3.75 | feel: 3.75 | overall: 3.75 
look: 4.75 | smell: 4.75 | taste: 4.75 | feel: 4.5 | overall: 4.75 
look: 4.25 | smell: 3.75 | taste: 4.5 | feel: 4.25 | overall: 4.25 
look: 4 | smell: 4 | taste: 4 | feel: 4 | overall: 4 
look: 4 | smell: 4.25 | taste: 4.25 | feel: 4.25 | overall: 4.25 
look: 4 | smell: 4.25 | taste: 4.5 | feel: 4.25 | overall: 4.25 
look: 4 | smell: 4 | taste: 4 | feel: 4 | overall: 4 
look: 4 | smell: 4 | taste: 4.25 | feel: 4.25 | overall: 4.25 
look: 4.75 | smell: 5 | taste: 4.5 | feel: 4.5 | overall: 4.5 
look: 4.5 | smell: 4.25 | taste: 4.5 | feel: 4.25 | overall: 4.5 Poured from a bottle into a tulip glass.     Beautiful dark brown with a good beige head and lacing. Chocolate and toffee smell and taste. Toasted malt. Always liked this beer, surprised I hadn’t reviewed it before.   
look: 5 | smell: 4.5 | taste: 4.5 | feel: 5 | overall: 4.75 Dark dark brown with a ruby red highlight. Tan, creamy, foamy head that mostly dissipates, but lingers around the edges of the glass.    In the nose I get notes of chocolate, malt, and brown sugar / cookie dough.    The taste is amazing. Very full chocolate malty flavor that finishes with toffee. Slight bitterness and alcohol heat.    Great creamy mouthfeel with good carbonation.    This is my first time having this beer and I'm blown away. Definitely will be getting more.   
look: 4.25 | smell: 4.25 | taste: 4.5 | feel: 4.25 | overall: 4.5 Always have a case for the holidays. But, it great all year. 
look: 4.25 | smell: 4 | taste: 4 | feel: 4 | overall: 4 
look: 4.5 | smell: 3.5 | taste: 4.25 | feel: 5 | overall: 4.5 Toasty molasses and prune with a slight burnt sugar bite. Creamy mouthfeel. Rich tan head. 
look: 4.25 | smell: 4.25 | taste: 4.25 | feel: 4.25 | overall: 4.25 
look: 4.25 | smell: 4.5 | taste: 4 | feel: 4.25 | overall: 4.25 
look: 4.25 | smell: 4.25 | taste: 4.5 | feel: 4 | overall: 4.25 
look: 4.5 | smell: 4 | taste: 4.25 | feel: 4 | overall: 4.25 
look: 4.5 | smell: 4 | taste: 4.5 | feel: 4.5 | overall: 4.25 Beautiful brown-ruby brew with a malty heft that is much smoother than you'd expect. Creamy mouthfeel that masks its 6.7%. Super balanced. 
look: 4 | smell: 4 | taste: 4 | feel: 4 | overall: 4 
look: 4.25 | smell: 4.25 | taste: 4 | feel: 4.5 | overall: 4.25 
look: 4.25 | smell: 4 | taste: 4.5 | feel: 4.25 | overall: 4.25 
look: 4.5 | smell: 5 | taste: 4.5 | feel: 4.25 | overall: 4.5 A dark ruby brown liquid with minimal head which sticks around. The scent is toffee, chocolate, and coffee all at the same time and layered one on top of the other. Taste follows the nose but it begins and ends with the toffee. Flavor is huge and I love it. Mouthfeel is medium and creamy. Overall this is a fantastic beer and I’m greateful to have tried it.   
look: 4 | smell: 3.5 | taste: 4.25 | feel: 4.25 | overall: 4.25 
look: 3.75 | smell: 4 | taste: 4.25 | feel: 4 | overall: 4 Un muy buen ejemplo de una buena Doppelbock. Es de cuerpo medio y baja carbonatación. Tiene un color negro con algunas notas rojizas. Aroma caramelo, chocolate y café. En boca es ligera, acuosa, destacando el caramelo, además de toffee y frutas rojas. Final seco pero agradable.   
look: 4.25 | smell: 3.75 | taste: 4 | feel: 4 | overall: 3.75 
look: 4.5 | smell: 4.5 | taste: 4.25 | feel: 4.5 | overall: 4.25 
look: 4.25 | smell: 4 | taste: 4.5 | feel: 4.25 | overall: 4.25 Delicious beer. Dark color, thick tan head with some lacing. Malty roated chocolate. Smooth beer 
look: 3.75 | smell: 4 | taste: 4.25 | feel: 4 | overall: 4 
look: 4.25 | smell: 4 | taste: 4 | feel: 4.25 | overall: 4.25 11.2oz bottle poured into a pilsner glass    Look:  Dark mahogany brown. Creamy mocha head (four finger to thin layer) and stuck lacing that lasted the entirety.    Smell:  Brown sugar/molasses oatmeal. Dark fruit ’n prune. Cookie dough.    Taste:  Roasty, malty, sweet and a little tart. Chocolate. Slight alcohol warmth.    Feel:  Incredibly soft. Smooth and creamy.     Overall:  This is a fantastic beer. Don’t hate me but I actually liked Spaten Optimator better. It might be tied with Weihenstephaner Korbinian. It’s time for a three-way battle. Also I prefer more carbonation/fizz. This one has soft and smoothness like no other. Celebrator costs more and in my opinion not worth spending the extra $.   
look: 3.25 | smell: 3.25 | taste: 3.25 | feel: 3.25 | overall: 3.25 
look: 4 | smell: 3.75 | taste: 4.25 | feel: 4 | overall: 4.25 
look: 4.75 | smell: 4 | taste: 5 | feel: 5 | overall: 5 
look: 4 | smell: 4.25 | taste: 4.5 | feel: 3.75 | overall: 4.25 
look: 4.5 | smell: 4.5 | taste: 4 | feel: 4 | overall: 4 
look: 4.25 | smell: 4.25 | taste: 4.5 | feel: 4.5 | overall: 4.5 
look: 4 | smell: 3.75 | taste: 4.25 | feel: 3.75 | overall: 4 On tap at the berghoff  Nearly black, little head.  Smell is complex, slightly bready  Lighter mouth feel than you might expect.  Very tasty 
look: 4.5 | smell: 4.25 | taste: 4.5 | feel: 4.25 | overall: 4.5 
look: 4.5 | smell: 4.75 | taste: 5 | feel: 4 | overall: 4.75 
look: 4.75 | smell: 4.75 | taste: 4.75 | feel: 4.75 | overall: 4.75 
look: 4.75 | smell: 4 | taste: 5 | feel: 4.75 | overall: 4.5 
look: 4.5 | smell: 3.75 | taste: 4.5 | feel: 4.25 | overall: 4.25 Pours a dark brown with ruby highlights, a very well retained half inch beige head that leaves excellent lacing. Smell is on the mild side with roasted malts, molasses and an earthy quality. Tastes of roasted malts, toast, molasses, dark chocolate, coffee, cloves dark fruits and yeast. Medium to full bodied, medium carbonation creamy mouth feel.   
look: 4.25 | smell: 4.25 | taste: 4.25 | feel: 4 | overall: 4.25 
look: 4.5 | smell: 4 | taste: 4.5 | feel: 4.5 | overall: 4.5 
look: 4.25 | smell: 4 | taste: 4 | feel: 4.5 | overall: 4 
look: 5 | smell: 4.75 | taste: 4.75 | feel: 4.5 | overall: 4.75 
look: 4 | smell: 4.5 | taste: 4.25 | feel: 4.25 | overall: 4.25 
look: 4.75 | smell: 4.5 | taste: 5 | feel: 4.75 | overall: 4.75 
look: 3.75 | smell: 2.75 | taste: 3.75 | feel: 4 | overall: 3.75 
look: 4 | smell: 3.75 | taste: 3.75 | feel: 4 | overall: 3.75 
look: 4.25 | smell: 4.25 | taste: 4.5 | feel: 4.5 | overall: 4.5 
look: 4 | smell: 4.25 | taste: 4.25 | feel: 3.75 | overall: 4 
look: 3.5 | smell: 3.75 | taste: 3.75 | feel: 3.5 | overall: 3.5 
look: 4.25 | smell: 4.25 | taste: 4.25 | feel: 4.25 | overall: 4.25 
look: 3.5 | smell: 3.5 | taste: 3.5 | feel: 3.5 | overall: 3.5 
look: 4.5 | smell: 4.25 | taste: 4.25 | feel: 4.5 | overall: 4.25 On tap at BC's Pizza & Beer    A: Pours dark brown with a frothy khaki head that hangs around for a while and leaves some very nice lacing.    S: Toasty, roasty, earthy, lots of dark fruit, and toffee sweetness.    T: Toasty, a little roasty, bittersweet chocolate, a touch of coffee, big dark fruit, fig, raisin, and plum, earthy, a hint of smoke, and toffee sweetness.    M: Full body, moderate carbonation, creamy smooth.    O: Can't say I'm all that familiar with this style, but you can tell pretty quickly that this one is world class. Really impressive beer.   
look: 4.25 | smell: 4 | taste: 4.75 | feel: 4.5 | overall: 4.5 
look: 4.5 | smell: 4.25 | taste: 4.25 | feel: 4.5 | overall: 4.25 
look: 4.25 | smell: 4.25 | taste: 4.25 | feel: 4.5 | overall: 4.25 
look: 4.5 | smell: 4.25 | taste: 4.75 | feel: 4.5 | overall: 4.5 
look: 4.5 | smell: 3.75 | taste: 4.75 | feel: 4.75 | overall: 4.5 L: Pours choclately dark brown color. A very dark mahogany. Active head that came out a very bright white color. Thinned quickly.    S: very subtle. Smells of molasses and malts but very light. Nothing that really wakes me up or prepares me.    T: the taste on the other hand is incredibly smooth and carries a complexity of sweet molasses and delicious toasted malts. Both sweet and sour in some respects. Both smooth and slightly bitter to the finish. Incredibly balanced and thoroughly tasty.    F:. A thick beer that handles the alcohol content gracefully and yet clears the back of the palate lightly. Big bold malts that get close to the coffee flavors that are encountered in great stouts.     O: A great double Bock. Stays true to tradition and is a fine example of lasting recipes that stand the test of time. This one does not need to be fiddled with. Just has a slight confusion with such a bland scent throwing me off the track.   
look: 4.5 | smell: 3.5 | taste: 4.25 | feel: 4.25 | overall: 4 L8037 bottle    Nose if pretty faint with a roasted breadiness, clovey spice, slight suggestion of bitter dark chocolate. Taste is much more pronounced with a clean malt roast and slight to medium bitterness, dark chocolate notes with hints of coffee bean, and a banana clovey finish. Not a sweet beer by any means but the roast is very clean and upfront. Classic taste.   
look: 4 | smell: 4 | taste: 4 | feel: 4.25 | overall: 4 
look: 3 | smell: 2.75 | taste: 3.5 | feel: 3.25 | overall: 3.25 Looks slightly lighter than cola. Smells like fresh baked bread or a Hawaiian sweat roll. Tastes like liquid bread and coffee, maybe a tiny bit of sweetness. Medium-full body.   Overall a very enjoyable drink but I would save it for winter.   
look: 4.5 | smell: 3.5 | taste: 3.5 | feel: 3.75 | overall: 3.75 
look: 4.5 | smell: 4 | taste: 4 | feel: 4.25 | overall: 4 
look: 4.5 | smell: 4.75 | taste: 4.75 | feel: 4.25 | overall: 4.75 A classic!! 
look: 5 | smell: 5 | taste: 5 | feel: 5 | overall: 5 My absolute favorite beer. Brown/dark reddish caramel color, complex malty smells, medium carbonation with a two finger head that leaves a lingering tan lace. Smooth to the palate, full bodied with rich malt taste, balanced with a host of notes that tickle every taste bud on the way down.   
look: 4 | smell: 4 | taste: 4 | feel: 3.75 | overall: 4 
look: 4.25 | smell: 4 | taste: 4.25 | feel: 4 | overall: 4.25 
look: 5 | smell: 5 | taste: 5 | feel: 5 | overall: 5 
look: 4.5 | smell: 4.5 | taste: 4.5 | feel: 4.5 | overall: 4.5 
look: 4.75 | smell: 4.75 | taste: 4.5 | feel: 4.5 | overall: 4.5 Fantastic. Pours dark amber, mahogany. Smell is caramel, coffee, brown sugar. Taste is heavy caramel, brown sugar, currants, malt. Cherries and slightest hint of pepper in the back. Bark and earthy comes in after taste. Complex.   
look: 3.75 | smell: 4.25 | taste: 4.25 | feel: 4.25 | overall: 4.25 
look: 4.5 | smell: 4.5 | taste: 4.5 | feel: 4.25 | overall: 4.5 Lovely deep amber body. Aromas are rich with toffee, caramel, fruity yeast ester, and coffee. Tons of banana bread yeast character and a nice toasted sweet maltiness that is not syrupy. Delicious stuff and good pricing     90/100   
look: 3.75 | smell: 3.75 | taste: 3.75 | feel: 3.75 | overall: 3.75 
look: 4.25 | smell: 4.5 | taste: 4.25 | feel: 4.25 | overall: 4.25 a: mixture of dark ruby red and murky light brown. thin, tan head on top    s: toffee, caramel, molasses, candi sugar, earthy roasted malts, sweet berries, and a big bready aroma    t: follows the nose pretty close. big hit of toffee, molasses and caramel upfront. brown sugar and light toasted malts behind that. there is that sweet berry flavor in there as well. a mild nutty flavor towards the backend as well. a hint of booze and some more toffee to close out    m: medium mouth with mid-level carbonation    o: fantastic beer. malty and delicious   
look: 5 | smell: 4.75 | taste: 5 | feel: 5 | overall: 5 
