look: 3.75 | smell: 3.75 | taste: 3.75 | feel: 4 | overall: 3.75 
look: 4 | smell: 4.25 | taste: 4.25 | feel: 4.25 | overall: 4.25 
look: 4 | smell: 4 | taste: 4.25 | feel: 4 | overall: 4.25 
look: 4.25 | smell: 4 | taste: 4.25 | feel: 4.25 | overall: 4.25 Poured from a bottle at 45 degrees into a pint glass,    Look: Pours a dark brown, opaque color with a good to moderate amount of foamy head that lingers.  Smell: The smell is heavy and of earthy, yet citrusy and sweet nectar.  Taste: The taste is bitter and hoppy, yet heavy and with enough malty sweetness to perfectly round out the flavor.  Feel: The mouthfeel is heavy. The beer is well carbonated but heavy and oily for an IPA. This hides the alcohol well.    Overall: This is an excellent American IPA. Strong, heavy, and flavorful. Not a sessionable IPA by any means, but this one will kick you with enough hops and flavor that you won't need to come back for more.   
look: 3.5 | smell: 3.75 | taste: 3.5 | feel: 3.5 | overall: 3.5 
look: 4 | smell: 3.5 | taste: 3.75 | feel: 4 | overall: 3.75 12oz can poured into a pint glass    L: Amber and Red. Definitely a beer. Foamy head that falls Pretty quickly  S: Hops and yeasty/bready smell. A little sweet  T: A little pine and caramel, but not as sweet as the nose would suggest. Not too too hoppy but there is a slightly bitter finish. Can't taste the alcohol (which is par to the course for a 7.2% for most IPAs  F: A little denser than some IPAs but that might be because I am more used to the crisp fruity ones. Feel is good. Carbonation doesn't have much bite, just enough. Perfect for an IPA that isn't juicy.   O: Not my favorite but it is pretty great. Cheap considering the quality; in my area it is about $17US for a 15 pack and it may become a mainstay in my fridge.   
look: 4.25 | smell: 4.25 | taste: 4.25 | feel: 4.25 | overall: 4.25 
look: 4 | smell: 4.25 | taste: 2.75 | feel: 3.75 | overall: 3.5 
look: 4 | smell: 4.25 | taste: 4.25 | feel: 4 | overall: 4.25 
look: 4.5 | smell: 4.25 | taste: 4.25 | feel: 4.25 | overall: 4.25 
look: 4.25 | smell: 4 | taste: 4 | feel: 4 | overall: 4 Bright amber color, good clarity. Pours a big just off white head, creamy and lingering.    Big pine dominated hop aroma, along with some caramel sweetness.     A nice melding of malt sweetness and hop flavor on the front end. A mix of caramel and pine/earthiness. Bitterness is surprisingly soft, but it does have a lingering bitter finish.     Medium body and carbonation. No astringency, very slightly warming.     A nice IPA with a strong malt backbone. Tastes more like IPAs used to take - nice to try something that isn't overly fruity. Need to try this alongside Bell's 2 Hearted given their similarities.   
look: 4.25 | smell: 4.5 | taste: 4.5 | feel: 4.25 | overall: 4.25 
look: 4 | smell: 4 | taste: 4 | feel: 4 | overall: 4 
look: 4.25 | smell: 3.75 | taste: 4 | feel: 4 | overall: 4 
look: 4.5 | smell: 4 | taste: 4.25 | feel: 5 | overall: 4.25 L: Poured into pint glass at fridge temp. Amber color with a hint of red, clear with some minimal haze. Rocky head at first that gets foamier as it settles.   S: Floral hops with grapefruit and maybe some caramel. Nice aroma overall, about what I expected.  T: Getting the hops on the nose while the foam from the head creates a pleasant creaminess to go with some malty notes and caramel. Some slight bitterness on the back end, but not as bitter as a lot of IPAs I've tried around this abv. Drier on the finish.  F: Good level of carbonation balanced with the bubbly foam of the head. There is a perfect heaviness to the feel of this beer.  O: Definitely a solid IPA but not mind-blowing or anything. I can see why a lot of people like it, given that there are no real weaknesses of this beer and it is very well priced in my area. I would have no qualms with drinking this regularly.   
look: 4.5 | smell: 4.25 | taste: 4.5 | feel: 4 | overall: 4.5 
look: 4.25 | smell: 4.25 | taste: 4.25 | feel: 4.25 | overall: 4.25 
look: 4 | smell: 4 | taste: 4.25 | feel: 4 | overall: 4.25 
look: 3.75 | smell: 4 | taste: 4 | feel: 4 | overall: 4.25 
look: 3.75 | smell: 4.75 | taste: 4 | feel: 4.5 | overall: 4 I love the smell of this beer.. Caramel and tropical fruit. Very malty for an ipa, a little surprising. Almost reminiscent of a scotch ale, and then the hops take over. Citrus tropical fruit and pine all work together. Mouthfeel is great.   
look: 4 | smell: 3.75 | taste: 4.5 | feel: 4 | overall: 4.5 12 oz bottle. Pours amber with a long lasting foamy white head and nice lacing. Aroma is of tropical fruit, caramel malt and herbal hops. Body is full and tangy. Herbal hops dominate the palate, with caramel and ripe fruit in the background. Long spicy finish. Great brew.   
look: 4.25 | smell: 3.5 | taste: 4.25 | feel: 4.25 | overall: 4.25 
look: 5 | smell: 4.75 | taste: 4.75 | feel: 4.5 | overall: 4.75 This is my go to beer. The color, aroma, heavy citrus and earthy overtones. And it's conveniently in a 15 pack. I trade off with Mosaic Promise sometimes but I lean toward the Centennial IPA.   
look: 3.75 | smell: 3.75 | taste: 3.75 | feel: 3.75 | overall: 3.75 
look: 4.25 | smell: 4.25 | taste: 4.25 | feel: 4 | overall: 4.25 
look: 4 | smell: 3.75 | taste: 3.25 | feel: 4 | overall: 3.5 Pretty good beer, but not nearly as good as everyone else seems to think. Pretty malty, but not as hoppy as a lot of other IPAs. Don’t understand all these five star reviews. Better than Bud, but would not buy again.   
look: 4.5 | smell: 4 | taste: 4.25 | feel: 4 | overall: 4 
look: 3.75 | smell: 4 | taste: 3.75 | feel: 4 | overall: 4 
look: 4 | smell: 4.25 | taste: 4 | feel: 3.75 | overall: 4 My 289th American IPA and it's about time to cross the No. 8 most-reviewed IPA off the list. (Blind Pig is up next at No. 16 - anyone care to help me out with that one?). This reminds me of Two Hearted with flowery hops and hints of citrus and pine. It's a solid beer and if I run across a 15-pack for 15 or 16 bucks in the future I'll bite.   
look: 4 | smell: 3.5 | taste: 4.25 | feel: 4 | overall: 4.25 Sudsy Light tan head, glorious lacing. Medium aroma of hops, yeast, bread , malt, carmel, the taste also represents all of these, a blend, not overpowering, none predominant. Mouthfeel a nice “sudseyness”, well done. One of my favorites, will buy again, again and again.   
look: 4 | smell: 3.75 | taste: 3.75 | feel: 3.75 | overall: 4 
look: 4 | smell: 4 | taste: 4 | feel: 4 | overall: 4 
look: 4 | smell: 4 | taste: 4.25 | feel: 4 | overall: 4.25 
look: 4.25 | smell: 3.75 | taste: 3.75 | feel: 3.5 | overall: 3.75 Pours copper color with white foamy head. Mild on the nose and heavy on the hops this slightly bitter brew is for the the IPA lover only. Good medium high alchohol with piney oaky notes and bitter and bold grapefruit peel accents.   
look: 3.5 | smell: 3.5 | taste: 3.25 | feel: 3.5 | overall: 3.5 Ok for hosting parties or holdays. No other reason to buy this. 
look: 3.75 | smell: 4 | taste: 3.5 | feel: 3.75 | overall: 3.75 
look: 4.25 | smell: 4 | taste: 4 | feel: 4 | overall: 4 
look: 4 | smell: 4.25 | taste: 4.5 | feel: 4 | overall: 4.25 
look: 4 | smell: 4 | taste: 4 | feel: 4 | overall: 4 
look: 4.25 | smell: 3.75 | taste: 3.75 | feel: 4.25 | overall: 4 
look: 3.75 | smell: 3.5 | taste: 3.5 | feel: 3.25 | overall: 3.5 
look: 4 | smell: 4 | taste: 4 | feel: 4 | overall: 5 
look: 3.5 | smell: 3.75 | taste: 4 | feel: 3.75 | overall: 3.75 
look: 4.25 | smell: 4 | taste: 4 | feel: 4.5 | overall: 4.25 12 ounce bottle poured into a tulip glass.     L---Dark, amber orange color. Slightly cloudy. Nice off-white head faded quickly to a coating and left very nice lacing.    S---Lightly piney. Mostly tropical fruit with a showing of molasses maltiness.    T---Very well balanced between hops & malts. It finds the fine line so many IPAs miss. Taste is just like the smell. Tropical fruit, mild pine and molasses.    F---A little sticky, but not too much. Thick & meaty for an IPA, I suppose the maltiness provides that.     O---Damn fine beer. I'll keep an eye out for this one again.   
look: 4.5 | smell: 4.25 | taste: 4.75 | feel: 4.75 | overall: 4.75 
look: 3.5 | smell: 3.75 | taste: 3.75 | feel: 3.75 | overall: 3.75 
look: 3.5 | smell: 4 | taste: 4.5 | feel: 3 | overall: 4 
look: 4 | smell: 3.75 | taste: 3.5 | feel: 3.75 | overall: 3.75 
look: 4.25 | smell: 4.25 | taste: 4.25 | feel: 4.25 | overall: 4.25 
look: 3.5 | smell: 3.5 | taste: 3.5 | feel: 3.5 | overall: 3.5 
look: 4.25 | smell: 4.25 | taste: 4 | feel: 4.25 | overall: 4.25 
look: 3 | smell: 3 | taste: 3 | feel: 3 | overall: 3 Blooming meadow in fall. Tangerines slapped with lemon and bitter hops. Well balanced. I gave it a 3 because I brew IPA and know what amazing is. I'm not saying mine is better, its just the blind taste tests of this beer against mine..out of 12 people all choose mine. I source my ingredients in bulk. I dont pay much at all to brew a beer, that according to 12 IPA lovers, is better...   
look: 4.5 | smell: 4.25 | taste: 4.25 | feel: 4.5 | overall: 4.25 Very good basic ipa. when cost matters this is very hoppy full taste ipa.cans are a plus for go to daily brews.Craft brews have gotten so good it is easy to take this ale for granted   
look: 4.5 | smell: 4.25 | taste: 4.75 | feel: 4.5 | overall: 4.75 Basic, but in a good way. this beer is not anything exceptional or overwhelming, they keep it simple with this one and I respect that again with a successful recipe. This is worth a six pack!   
look: 4 | smell: 4 | taste: 4 | feel: 4 | overall: 4 
look: 4.5 | smell: 4.5 | taste: 4.5 | feel: 4.5 | overall: 4.5 A: Pours a thick 2 finger head that has good retention. Clear copper orange, the color at the end of a sunset. Some lacing sticks throughout    S: Fresh citrus, lemons, oranges, maybe pomelo? Oily hops, woody, floral and an almost caramel smell adds some weightiness    T: A hoppy beer that has just enough control to maintain balance. The caramel maltiness and a certain breadiness harmonizes with the woody hops very well.    O: This beer encapsulates autumn for me. It has some heft for an IPA, giving some warmth for when the days get chilly. The taste somehow resembles the leaves changing colors. There's still some of the brightness and bitterness of green, but it's been mellowed out and a rich orange has settled in. Easy to drink, an exceptional IPA in my book.   
look: 4.75 | smell: 4.75 | taste: 4.75 | feel: 4.75 | overall: 4.75 
look: 3.5 | smell: 3 | taste: 3.5 | feel: 3.75 | overall: 3.75 Centennial just does not seem to cut it for me as the primary hop most of the time. Not a bad beer by any means but it was a relatively boring flavor for me. It did have a great feel.   
look: 4 | smell: 3.75 | taste: 3.75 | feel: 4 | overall: 3.75 
look: 4 | smell: 4 | taste: 4.25 | feel: 4 | overall: 4 
look: 4.25 | smell: 4.25 | taste: 1.75 | feel: 1.75 | overall: 3 Very similar to founders all day IPA but with more kick to it and definitely more bitterness. 
look: 4.5 | smell: 4.5 | taste: 4.25 | feel: 4 | overall: 4.25 
look: 4 | smell: 4 | taste: 3.75 | feel: 3.75 | overall: 4 
look: 3.75 | smell: 4 | taste: 3.5 | feel: 3.5 | overall: 3.5 
look: 4.75 | smell: 4.25 | taste: 4 | feel: 3.75 | overall: 4.25 
look: 4 | smell: 3 | taste: 3.75 | feel: 4 | overall: 3.25 6 years ago this was a good to really good IPA... These days it's a good value and extremely average at best. Waaaaay to malty! But again a great value.   
look: 4 | smell: 4.25 | taste: 4.25 | feel: 4 | overall: 4 12-oz. bottle poured into a 16-oz. mug, an easy pour produced a finger sized off white head with stringy lacing.   The head retreated to a cap 1/3 the way down.  Amber-gold with slight haze, looks light amber-yellow in front of light.  Smell features fruity and herbal hops with toasted biscuit malt.   Taste has semi-sweet caramel malt up front as citrusy hops bitter the middle. The finish is semi-dry as the malt fades and the piney hops take over. There is a peppery bite at the end that lingers.  Medium-rich mouthfeel with abundant carbonation, alcohol is noticeable yet the peppery taste is balanced with the piney/citrusy hops.  A happy revisit, this was one of my 1st IPAs years ago, malty and hoppy, balanced yet full of taste.  Easy drink (be care full) despite high ABV and hop flavors from all angles.   
look: 4.25 | smell: 4.25 | taste: 3.75 | feel: 3.5 | overall: 3.75 
look: 4.25 | smell: 4.25 | taste: 4.5 | feel: 4.25 | overall: 4.25 My trout stream house IPA together with the Sierra Nevada Torpedo. Orange-amber pour with nice foamy head. Fresh hop, slightly fruity and moderate piney nose. Nice bitterness balance to hoppy flavor. Despite high alcohol, not a hot finish. Better from can than bottle unless bottle is truly fresh. Great price for 15 can pack. Solid IPA for everyday drinking.   
look: 4 | smell: 3.75 | taste: 4 | feel: 4.25 | overall: 4 
look: 4 | smell: 4 | taste: 4 | feel: 4 | overall: 4 
look: 3.5 | smell: 4 | taste: 3.75 | feel: 4 | overall: 4 
look: 3.5 | smell: 3.5 | taste: 4 | feel: 3.75 | overall: 4 Lots of hops but no stand out notes. More muddled than cleat, but the drinkability is tops/ 
look: 4.5 | smell: 4 | taste: 4.5 | feel: 4 | overall: 4.25 Pours out of can with a two finger head. Real crisp taste with great notes of flavor that hits the tongue right off the first sip. Great value for Founders and once of the better IPA's you can drink from a can   
look: 4 | smell: 3.75 | taste: 3.75 | feel: 4 | overall: 4 
look: 4 | smell: 4 | taste: 4.25 | feel: 4.25 | overall: 4 
look: 4.25 | smell: 4.25 | taste: 4.25 | feel: 4.25 | overall: 4.25 
look: 4 | smell: 4 | taste: 4 | feel: 4 | overall: 4 
look: 4.25 | smell: 4.75 | taste: 4.25 | feel: 4 | overall: 4.25 
look: 3.5 | smell: 3.5 | taste: 3.5 | feel: 3.5 | overall: 3.5 This is a full melt nice bitterness IPA with a relatively high alcohol content. I can see how some people give this a review of 4 or more stars. If you like the full malt ipas, this would probably be something you would enjoy. Certainly not as much as Lagunitas Maximus or some of its contemporaries, but still. For me, however, maltiness needs to be offset bye a relatively complex hop character, where this one is a one-note hop character. It satisfies, and is a bargain at around a buck a can, and I have enjoyed it on many occasions. If I were going to an IPA tasting with hop connoisseurs, however, this would not be one that I would consider bringing. But if you like the heavy malt high alcohol ipas, you can certainly try this, and your rating May well be higher than mine.   
look: 4 | smell: 3.5 | taste: 4 | feel: 4.5 | overall: 4 A good IPA,very malty and clean finish.  I would like a little pine kicker,but overall s very good beer.  Sidenote I just bottled a very similar IPA, anxious to do a blind taste test.   
look: 4.25 | smell: 4.5 | taste: 4.75 | feel: 4.75 | overall: 4.75 
look: 2 | smell: 3 | taste: 3.25 | feel: 2.75 | overall: 3 
look: 4 | smell: 4 | taste: 3.25 | feel: 3.5 | overall: 3.75 
look: 4.5 | smell: 4.75 | taste: 4 | feel: 4.25 | overall: 4 
look: 4 | smell: 4 | taste: 4.25 | feel: 4 | overall: 4 
look: 4 | smell: 3 | taste: 3.75 | feel: 3.75 | overall: 3.75 
look: 4 | smell: 4.25 | taste: 4 | feel: 4 | overall: 4 
look: 4.25 | smell: 4 | taste: 4.25 | feel: 4 | overall: 4.25 
look: 4.25 | smell: 4 | taste: 4 | feel: 4 | overall: 4 
look: 4 | smell: 4 | taste: 4.25 | feel: 4.25 | overall: 4.25 Dark hazy orange-amber with nice tan head that sticks around. Good lacing. Nicely thick and chewy with light carbonation. Heavy taste of toasted malts and a few fruity notes coming through. Nicely hopped. The hops don't overpower the malts, but they are still strong. Has a rather dry finish. This is a very well made IPA, though it could stand a little more carbonation and a little more complexity to its flavor.   
look: 4.5 | smell: 4.5 | taste: 4 | feel: 4 | overall: 4 Very solid and good ipa. Can’t go wrong with this one. Centennial hop flavor through out. 
look: 4.25 | smell: 4.25 | taste: 4.25 | feel: 4.25 | overall: 4.25 
look: 4 | smell: 4.25 | taste: 4.25 | feel: 4.25 | overall: 4.25 
look: 3.25 | smell: 3.5 | taste: 3.5 | feel: 3.5 | overall: 3.5 
look: 4 | smell: 4 | taste: 4 | feel: 4 | overall: 4 
look: 4 | smell: 4 | taste: 4 | feel: 4 | overall: 4 
look: 4 | smell: 4 | taste: 4.25 | feel: 4 | overall: 4 
look: 3.75 | smell: 3.75 | taste: 4 | feel: 4 | overall: 4 
look: 4 | smell: 4 | taste: 4.25 | feel: 4.25 | overall: 4 
look: 4 | smell: 3.75 | taste: 4 | feel: 3.75 | overall: 4 
look: 4.25 | smell: 4.25 | taste: 4.25 | feel: 4.25 | overall: 4.25 
look: 4 | smell: 3.75 | taste: 3.75 | feel: 3.75 | overall: 3.75 Arma isn't overpowering but there's tropical and citrus fruit,followed by some grain,floral,and some malt  Taste isnt too different than aroma and is a little weak like the aroma. Overall it's good but not sure I need to revisit this one   
look: 4.25 | smell: 3.75 | taste: 3.75 | feel: 4 | overall: 3.75 
look: 4.5 | smell: 4 | taste: 4.75 | feel: 4.75 | overall: 4.5 
look: 3.75 | smell: 3.75 | taste: 4 | feel: 4 | overall: 3.75 
look: 4 | smell: 4 | taste: 4 | feel: 4.5 | overall: 4 
look: 4 | smell: 4 | taste: 4.25 | feel: 4 | overall: 4.25 Bottled 5/24/18, enjoyed in snifter, Ale pours a deep copper with an inch and half head that leaves some nice lacing. Fresh hop aroma, taste was dominated with delicious hop flavor with some sweet malt in the middle to balance. Finishes pleasantly bitter. At 7.2% ABV and at $8.99/6 this outstanding IPA is probably the best value available to me.   
look: 4.25 | smell: 4.25 | taste: 4.5 | feel: 4.5 | overall: 4.75 
look: 3.75 | smell: 4 | taste: 3.75 | feel: 3.75 | overall: 3.75 
look: 4.25 | smell: 4.25 | taste: 4.75 | feel: 4.5 | overall: 4.5 
look: 4.25 | smell: 4 | taste: 4.25 | feel: 4.5 | overall: 4 Good everyday IPA. Pours 1 finger head. the smell is piney and the feel is fresh, with low bitterness and you feel like you are having a crisp IPA. There is great touch of a crisp fresh beer into this beer and it is not a dull bitter IPA. Well balanced in carbonation, crispiness and hops. It can be used as an everyday IPA or even served in parties.   
look: 3.75 | smell: 3.75 | taste: 4 | feel: 3.75 | overall: 3.75 Solid IPA 
look: 4.5 | smell: 5 | taste: 4 | feel: 4 | overall: 4.25 
look: 4 | smell: 4 | taste: 4 | feel: 4 | overall: 4 top drinkability! 
look: 4.5 | smell: 4.5 | taste: 5 | feel: 4.5 | overall: 4.75 
look: 4 | smell: 4 | taste: 4 | feel: 4.5 | overall: 4.25 
look: 2.5 | smell: 2.5 | taste: 2.5 | feel: 2.5 | overall: 2.5 
look: 4 | smell: 4 | taste: 4 | feel: 4 | overall: 4 
look: 4.25 | smell: 4 | taste: 4.25 | feel: 4.25 | overall: 4.25 Drank out of a can from a 15 pack. While this IPA may not stand out of the crowd of iPas today given how many extreme and experimental ones are out there, I consider it to be a master class example of balance. Founders is well known for the all day session IPA, but I consider this to be a great EVERYDAY IPA. It's such a great value at under $20 for a 15 pack, and never disappoints. I also appreciate how clearly they show the date that it was canned/bottled on. Too many breweries either don't disclose that, try to hide it, give you a best by date, or want you to decipher some Julian code printed in black ink on a brown bottle. Look: a nice golden hue. Much darker than a lot of iPas (especially west coast ones) with a good bit of head. Smell: a bit of piney hops and some fruity type aromas. Taste: amazing. Nice and hoppy with a dry finish, a tiny bit of fruitiness, and no discernable alcohol. This is a crazy refreshing ipa consider it clocks in at 7.2.....probably even more refreshing than the all day IPA or any other session one. The sturdy background of malt adds a good bit of crackery bready feel to it. Feel: refreshing all around. Good bit of carbonation without being overly carbonated. Thin enough that it goes down easily but not thin the point it's watery. Overall: I get why some may be underwhelmed with this beer when they've heard nothing but hype and try to compare it to some hard to find world class IPA, but looking at in the right perspective of a fairly standard, well made and balanced IPA at a good price it doesn't disappoint in the least.   
look: 4.75 | smell: 4.75 | taste: 4.5 | feel: 4.25 | overall: 4.75 
look: 4 | smell: 4.25 | taste: 4.25 | feel: 4 | overall: 4 
look: 4.5 | smell: 4 | taste: 4.25 | feel: 4.25 | overall: 4.25 
look: 3.75 | smell: 3.75 | taste: 4 | feel: 4 | overall: 4 
look: 4.5 | smell: 4 | taste: 4 | feel: 4 | overall: 4 
look: 4 | smell: 4 | taste: 4 | feel: 3.75 | overall: 4 
look: 4 | smell: 3.75 | taste: 4 | feel: 4 | overall: 3.75 
look: 4 | smell: 4 | taste: 4 | feel: 4 | overall: 4 
look: 3.75 | smell: 5 | taste: 3.5 | feel: 3.75 | overall: 4 
look: 4.5 | smell: 4.5 | taste: 4.5 | feel: 4.5 | overall: 4.5 
