look: 4.25 | smell: 4.25 | taste: 4.75 | feel: 4.5 | overall: 4.75 Hazy dark brown, almost black, with lighter brown highlights. Topped by a creamy off white head with great retention and streaky lacing.  Smells dried sweet cherry, plum, fig, date, brown sugar, honey, toffee, toast, caramel, and hay. Rich, sweet, and spicy.  Tastes of dried sweet cherry, plum, fig, date, raisin, brown sugar, honey, molasses, toffee, toasted brown bread, ginger, and hay. Fairly sweet and caramelized throughout, with a moderately spicy and lightly dry finish.  Creamy and pillowy, medium-plus mouthfeel with effervescent carbonation.  A fantastic Belgian ale! One of my favorites.   
look: 4.25 | smell: 4.25 | taste: 4.25 | feel: 4.25 | overall: 4.25 
look: 4.5 | smell: 4.5 | taste: 4.5 | feel: 4.5 | overall: 4.5 
look: 3 | smell: 3 | taste: 3 | feel: 3.5 | overall: 3 It's very sweet with some dark fruit notes. This is not my thing & i'm not going to wait 5 years for it to age & mellow out either. Cheers! B- 
look: 4.25 | smell: 4.25 | taste: 4.25 | feel: 4.5 | overall: 4.25 
look: 4 | smell: 4 | taste: 4.25 | feel: 4.5 | overall: 4.25 2017 bottle. Today 2019-01-31.  I've tried this a few times and found it too sweet for my tastes: I'm no expert beer reviewer, and do have a preference for pils, so this is foreign to me. Then I tried it one time with a ripe characterful raw milk brie cheese, and I loved it.  This time round the bottle is a little older (not sure if that a factor). the cheese isn't so good, but I'm loving the beer:  sure it's sweet -- but it's complex sweet -- and there's a perfectly balancing bitterness comes through after.  Carbonation is very fine, like bottle conditioned, the phrase 'melt in your mouth' came to mind -- not logical yet I found myself sipping again and again to get that wonderful smooth prickly mouthfeel with that lovely bitter finish.   
look: 4.5 | smell: 4.5 | taste: 4.25 | feel: 4.25 | overall: 4.25 
look: 4 | smell: 4 | taste: 4 | feel: 4 | overall: 4 
look: 4 | smell: 4 | taste: 4 | feel: 4 | overall: 4 
look: 4 | smell: 3.75 | taste: 4 | feel: 4 | overall: 4 
look: 4.25 | smell: 4.25 | taste: 4.5 | feel: 4.25 | overall: 4.25 
look: 4 | smell: 4.5 | taste: 4 | feel: 4 | overall: 3.75 
look: 2.75 | smell: 4 | taste: 3 | feel: 3.5 | overall: 3.25 
look: 4.25 | smell: 4.5 | taste: 4.25 | feel: 4 | overall: 4.25 
look: 4.25 | smell: 4 | taste: 4 | feel: 4 | overall: 4 
look: 4.25 | smell: 4.5 | taste: 4 | feel: 4.5 | overall: 4.25 Bottle, 2018.    Deep amber, lace.    Drive-by aroma is full of pear. Very strong and distinct. Taking a deeper sniff broadens that to phenols reminding me of Duvel.     Taste continues to concentrate on the fruit and the phenols with a bit of alcohol. Body is moderate, carbonation just right. A complex but not imposing bitterness envelopes the tongue, mixing a bit of hop-derived with yeast-derived notes. In a version this young, the phenols are still a bit rough around the edges, especially as the beer warms up. Alcohol is therefore a bit too prominent.    I wish this site allowed an easier way to review different ages of a beer. This one is still too clumsy to live up to its potential, yet it is already a very good classic. Having tried to clone Chimay myself, the nimbleness of this is actually quite impressive. The yeast very easily produces over the top aromas. Which gets tiring. Not here.   
look: 4 | smell: 4 | taste: 4.25 | feel: 4 | overall: 4 
look: 4 | smell: 4.25 | taste: 4.25 | feel: 4 | overall: 4 
look: 4.25 | smell: 4.5 | taste: 4.5 | feel: 4.25 | overall: 4.5 
look: 4.5 | smell: 4.75 | taste: 5 | feel: 4.5 | overall: 5 
look: 4 | smell: 4 | taste: 4.25 | feel: 3.75 | overall: 4 A Belgian Classic that was one of my first many many moons ago .  You can never go wrong :)  CHEERS !! 
look: 4.5 | smell: 4.25 | taste: 4.25 | feel: 4 | overall: 4.25 This is the Grande Reserve 2012. Pours a deep mahogany color with quickly dissipating khaki head. Nose is sweet malt and stone fruit with some holiday baking spices -smells really good. Taste is quite similar to nose. Finishes a little flat but it is 6 years old. It has held up quite well.   
look: 4.5 | smell: 4.25 | taste: 4.5 | feel: 4.25 | overall: 4.5 
