look: 3.75 | smell: 3 | taste: 3.75 | feel: 4 | overall: 3.5 
look: 4.25 | smell: 4.25 | taste: 4.5 | feel: 4 | overall: 4.5 12 oz can poured into pint glass.  Amber in appearance, soft white head, long lasting.  Smells of caramel, wood, pine resin, biscuit and a touch of yeast.  Tastes of caramel, cedar, pine resin, biscuit, lemon-orange.  Medium body, smooth, solid mid-section, clean finish.  Overall, very well balanced (hops, malt, yeast contributions), flavorful beer. I had not had a Dale's in over 5 years. I assumed it would not stand up to all the new beers; on the contrary, it stands out more than ever - for its evenhanded, pleasing complexity. A beer for all occasions.   
look: 4 | smell: 3.75 | taste: 4.25 | feel: 3.75 | overall: 4 Damn good go to ale. 
look: 4 | smell: 4 | taste: 4 | feel: 4 | overall: 4 Really a nice overall beer.     Poured from a can into a tulip glass. Slightly cloudy golden yellow color with a nice foamy head and good lacing. Nice citrus and pine smell. Some lemon, honey, and pine taste. Pleasant amount of bitterness. Not wait long to have again.   
look: 4 | smell: 3.25 | taste: 3.5 | feel: 3.75 | overall: 3.75 
look: 4.25 | smell: 3.5 | taste: 4 | feel: 3.75 | overall: 4 Appearance: Really pretty looking beer. An aggressive pour gets you a thick frothy head you see in the picture. Crystal clear burnt orange color.     Smell: Aroma is malty with some light piney notes. I feel like I should get more from the nose, but its just not there. Its simple, mild and straightforward    Taste: The taste is where this one really shines - You get that old school prominent malty flavor with notes of grapefruit, orange and pine. Its a classic and the profile is right on. Its a pale ale, so nothing is too strong, but it avoids the pitfalls of other pale ales and is never watery or weak.     Feel: Easy drinking, not overly bitter, and even somewhat refreshing.    Overall a very good pale ale, classic in profile and one I'd happily revisit.   
look: 3.75 | smell: 3.75 | taste: 3.75 | feel: 3.75 | overall: 3.75 
look: 4 | smell: 3.75 | taste: 3.5 | feel: 3.5 | overall: 3.5 
look: 4 | smell: 3.75 | taste: 4 | feel: 3.75 | overall: 3.75 
look: 4 | smell: 4 | taste: 4 | feel: 4 | overall: 4 
look: 3 | smell: 2 | taste: 1.25 | feel: 2.25 | overall: 2.25 Sour! 
look: 4 | smell: 3.75 | taste: 4 | feel: 3.75 | overall: 4 An easy pour from a 1-Pint 3.2-oz can(11/29/18) produced a fat finger of rocky off-white froth with average retention and blotches of lacing. Clear light orange amber with rising bubbles.  Mild smell of bready yeast and floral hops.  The taste begins semi-dry with above average spicy hop bitterness and a grassy tang.  Caramel malt controls the middle with an apple cider fizz from abundant CO2.  Dryness and bitterness are highest at the finish with a long lingering hoppy aftertaste.  Medium body, above average carbonation. Smooth rich feel.  Label says "Mountain Pale Ale", its big alright, lots of malt and IPA level hops.   
look: 3.5 | smell: 3.5 | taste: 3.5 | feel: 3.5 | overall: 3.5 
look: 4 | smell: 4 | taste: 4 | feel: 4 | overall: 4 
look: 4 | smell: 4 | taste: 4 | feel: 4 | overall: 4 
look: 5 | smell: 5 | taste: 5 | feel: 5 | overall: 5 
look: 3.75 | smell: 4 | taste: 4 | feel: 3.75 | overall: 3.75 
look: 4.5 | smell: 3.5 | taste: 4 | feel: 3.75 | overall: 3.75 Ain't that unusual, this beer, not yet reviewed, literally consumed about 100 times. What struck me early on as these guys were leading the way with the canning of craft beer, was how similar this beer was to SNPA. The color is a slight SRM shade lighter, but ultimately it comes in that dark gold to light amber. Great clarity, solid 3/5" white head. The aroma is a lot of those old school Cascade hop tree and grapefruit feels.     Taste, yeah man, that old school bitterness, aspirin, pine, grapefruit. Slight caramel malt underpinnings hold things together and give it that comfort food vibe like the heartiness of a sturdier, maltier pale ale of yesteryear. This is one of those beers that deserves to be in the Hall of Fame beer wise. Its been around, led the can format, available, affordable, consistent.     It also fits into almost any scenario. On the beach? It works. After the slopes? It works. Tacos? It works. This beer is the bad ass dude wearing the WWII hat at the VFW.   
look: 5 | smell: 5 | taste: 5 | feel: 5 | overall: 5 You wimps did not know what it was like before you could put good beer in a can. This is the classic the Rolling Stones of Craft beer in a can. And the best thing is.....it tastes like beer!   
look: 4.25 | smell: 3.5 | taste: 3.5 | feel: 3.25 | overall: 3.5 
look: 4 | smell: 3.5 | taste: 3.5 | feel: 4 | overall: 3.5 
look: 3 | smell: 3 | taste: 3.5 | feel: 3 | overall: 3.25 
look: 5 | smell: 3.5 | taste: 4.5 | feel: 4.25 | overall: 4.5 L: copper orange, clear, 1-finger cream head  S: subtle orange, caramel, slightly dank hop aroma  T: sweet caramel malt, orange, grapefruit, plum, herbal hop bitterness on the back end   M: medium with clean finish   O: a tasty and refreshing Pale Ale with pleasing complexity   
look: 3.5 | smell: 3.75 | taste: 3.75 | feel: 4 | overall: 4 
look: 4 | smell: 3.5 | taste: 4 | feel: 3.5 | overall: 4.25 
look: 3.25 | smell: 3 | taste: 3 | feel: 4 | overall: 3.25 
look: 3.75 | smell: 3.5 | taste: 3.75 | feel: 4.25 | overall: 4.25 
look: 4 | smell: 4 | taste: 3.75 | feel: 3.75 | overall: 3.75 
look: 3.5 | smell: 3.75 | taste: 3.5 | feel: 3.75 | overall: 3.75 
look: 4.25 | smell: 3.5 | taste: 3.5 | feel: 3.75 | overall: 3.75 
