look: 4 | smell: 4 | taste: 4 | feel: 4 | overall: 4 
look: 3.75 | smell: 3 | taste: 3.25 | feel: 3.5 | overall: 3 
look: 4 | smell: 4 | taste: 4 | feel: 4 | overall: 4 
look: 4 | smell: 4.25 | taste: 4.5 | feel: 4.25 | overall: 4.25 
look: 3.5 | smell: 3.5 | taste: 3.5 | feel: 3.5 | overall: 3.5 i agree this beer is quite sweet but it's worth a try if you have not had a maibock before. Cheers! B 
look: 3.5 | smell: 3.5 | taste: 4.25 | feel: 4 | overall: 4 
look: 5 | smell: 3.5 | taste: 4.25 | feel: 4.5 | overall: 3.75 
look: 3.5 | smell: 3.25 | taste: 3.75 | feel: 3.75 | overall: 3.5 
look: 4 | smell: 4 | taste: 3.75 | feel: 3.75 | overall: 3.75 It's a bit too sweet for me but other than that it's really good. 
look: 4 | smell: 4 | taste: 4 | feel: 4 | overall: 4 
look: 3.75 | smell: 4.5 | taste: 4 | feel: 4.5 | overall: 4.25 Wow. Just wow. Poured from a bottle to a pint glass, Older bottle on sale at local liquor store.  L- Amber/slightly brown color, thin light tan head that dissipates quickly with nearly no lacing, (possibly due to age of the bottle?)  S- Sweet. Malty and caramelly with a whiff of home brewed sweet tea. Just a touch of hip to the nose but only slightly and under everything else.  T- Follows the nose, tastes very much like a slightly sweet tea, big caramel and malt flavors, just the slightest hint of hop bitters on the finish. A bit of nuttiness comes through subtly.  F- Smooth, slightly....oily maybe? Possibly more like a thin syrup, I can’t quite articulate the feeling. Almost zero carbonation. Whatever it is I love it!  O- Love this beer. Wouldn’t be something I drink all day, but I feel that it would go great after a hearty meal, almost a dessert beer. Absolutely great even with all the sweetness. Cheers!   
look: 4.5 | smell: 4.25 | taste: 4.25 | feel: 4.25 | overall: 4.25 
look: 5 | smell: 5 | taste: 5 | feel: 5 | overall: 5 
look: 3.25 | smell: 3 | taste: 3.25 | feel: 3.25 | overall: 3.25 
look: 3 | smell: 3 | taste: 3 | feel: 3 | overall: 3 H10 
look: 3.5 | smell: 3.75 | taste: 3.75 | feel: 3.5 | overall: 3.5 Poured from a 12 ounce can into a pilsner glass.    Look - Pours a cloudy amber with a short white head that quickly dies down to some mild lacing.    Smell - Very mild tones of sourdough bread and not much else. It's a slight but enticing scent.    Taste - Pleasant mildly sweet bready and chocolate notes that I'd expect from a bock.    Feel - Nice medium body with just enough carbonation.    Overall - A decent bock from an American brewery. If I was given this blind, I might have assumed it was a real German beer.   
look: 3.5 | smell: 3.75 | taste: 3.75 | feel: 3.5 | overall: 3.75 
look: 4 | smell: 3.75 | taste: 3.75 | feel: 3.5 | overall: 4 
look: 3.5 | smell: 2.25 | taste: 2.5 | feel: 2.75 | overall: 2.5 
look: 3.75 | smell: 4 | taste: 4 | feel: 4 | overall: 3.75 
look: 4 | smell: 4 | taste: 4 | feel: 4 | overall: 4 
look: 3.75 | smell: 4.25 | taste: 4.25 | feel: 3.5 | overall: 3.75 
look: 3.25 | smell: 3.5 | taste: 3.5 | feel: 3 | overall: 3.5 Pours a dark, amber color with almost no head. Carbonation appears to be low in general.    Smells like sweet, caramel malt. Maybe a little spiciness.    Taste is sweet malts with a slight kiss of hop bitterness on the finish. Actually reminds me of an Oktoberfest. The more I drink, the more the spice note comes through.    Mouthfeel is a bit light and the carbonation seems low which, to me, detracts from the overall enjoyment.    I ended up enjoying it more than I thought I would after I poured it. It kind of grew on me the more I drank it. Good beer.   
look: 4 | smell: 4 | taste: 4.5 | feel: 4 | overall: 4.25 I really like this but it's not my top beer. Really tasty but I guess I'm a beer snob. Still a great beer by all means. Highly reccomended especially if you like hoppy beers.   
look: 4.5 | smell: 4 | taste: 4.25 | feel: 4.5 | overall: 4.5 
look: 4 | smell: 4.25 | taste: 4.5 | feel: 2 | overall: 4 
look: 4 | smell: 4 | taste: 4.25 | feel: 4.25 | overall: 4.25 
look: 4 | smell: 5 | taste: 5 | feel: 5 | overall: 4.75 One of my personal favorites. I've never really been one to say I have a brand, but this is my brand. I love it. 
look: 4 | smell: 4 | taste: 4.25 | feel: 4.25 | overall: 4.25 
look: 3 | smell: 3.5 | taste: 4.25 | feel: 4 | overall: 4 One of my favorite all around brews. My go to to serve to people who aren't super into beer, but love the light bitterness. Get it every time its an option.   
look: 4 | smell: 4 | taste: 4 | feel: 4 | overall: 4 
look: 4.25 | smell: 4.25 | taste: 4.25 | feel: 4.25 | overall: 4.25 Malty and delicious. 
look: 3.75 | smell: 4 | taste: 4 | feel: 3.75 | overall: 4 
look: 4 | smell: 3.75 | taste: 4 | feel: 4 | overall: 4 
look: 4 | smell: 3.5 | taste: 4 | feel: 4 | overall: 4 
look: 4 | smell: 3.75 | taste: 4.25 | feel: 4 | overall: 4 Great-tasting, smooth beer that seemed perfect for the fall/winter weather. Enjoyed it on tap at a local restaurant. Pours a nice rich amber color with some mild head and great-looking sheets of lingering lacing. Smells rather faintly of some caramel, spice, hoppiness and a little malt. Taste follows the nose, along with more seasonal spice/clove flavors, caramel, bread and a trace of wood. Smooth, gently rich mouthfeel and good carbonation. A very enjoyable beer and I will definitely try more from this style.   
look: 4.5 | smell: 4 | taste: 4.25 | feel: 4.25 | overall: 4 
look: 4.5 | smell: 4 | taste: 3.75 | feel: 4.25 | overall: 4.25 
look: 3.75 | smell: 4 | taste: 4 | feel: 3.75 | overall: 4 
look: 4 | smell: 4 | taste: 4 | feel: 4 | overall: 4.25 
look: 4.25 | smell: 3.75 | taste: 3.75 | feel: 3.5 | overall: 3.5 
look: 4 | smell: 4 | taste: 4 | feel: 4 | overall: 4 
look: 4 | smell: 4 | taste: 4.25 | feel: 4 | overall: 4.25 Pours clear ruby copper color with a nice looking beige colored head that left good spotty lacing.    Sweet and malty, this brew is rich with caramel, brown sugar, toasted grains, syrup drenched bread, tea leaf, floral hops and minerals. Easy drinking and very malty, this is a fine fall brew.   
look: 4 | smell: 3.25 | taste: 3.5 | feel: 3.25 | overall: 3.5 
look: 4.25 | smell: 4 | taste: 4 | feel: 4 | overall: 4 Pours a deep orange color. Sweet bread notes, followed by a deep yeast. Some spoty lacing. A little boozy finish the hops are faint. Overall, pretty good.   
look: 4.75 | smell: 4.75 | taste: 5 | feel: 4.5 | overall: 4.75 
look: 3.75 | smell: 3.5 | taste: 4 | feel: 3.75 | overall: 4 
look: 4 | smell: 3.25 | taste: 3.5 | feel: 3.5 | overall: 3.5 Draught pint at The Brass Tap in Baltimore. The bock is much better than the pumpkin. 
look: 3 | smell: 3.5 | taste: 3.25 | feel: 3.5 | overall: 3.25 
look: 4 | smell: 3.75 | taste: 3.75 | feel: 3.75 | overall: 3.75 Poured a hazy honey color with a thin white head that dissipated quickly. A bit confused with the taste. Malt, caramel, tea and some unidentified spice. Yet, still good. Moderate body and carbonation.   
look: 4 | smell: 4 | taste: 4 | feel: 4 | overall: 4 Medium amber with coppery-red hues and a faint haze in the body, a slim foam head that quickly slipped into a faint collar... Lightly, sweetly bready with a honeyed finish... Little bit of herbal and sweet citrus, like orange, maybe some wood and clove and caramel...Some spice, mildly bitter, moderately sweet... Medium body-weight... Actually pretty enjoyable, but perhaps not something I usually crave... This was worth checking out...   
look: 3.75 | smell: 3.5 | taste: 2.75 | feel: 3 | overall: 3 
look: 2 | smell: 2 | taste: 2.25 | feel: 2.5 | overall: 2.25 
look: 3.75 | smell: 3.75 | taste: 3.75 | feel: 3.75 | overall: 3.75 
look: 4 | smell: 3.5 | taste: 4 | feel: 3.75 | overall: 4 
look: 3.75 | smell: 3.75 | taste: 3.75 | feel: 3.75 | overall: 3.75 
look: 4.25 | smell: 3.75 | taste: 3.75 | feel: 4.25 | overall: 3.75 
look: 4 | smell: 3.75 | taste: 4 | feel: 3.75 | overall: 3.75 
look: 4 | smell: 4.25 | taste: 4 | feel: 4 | overall: 4 
look: 3.5 | smell: 3.5 | taste: 3.75 | feel: 3.25 | overall: 3.5 10/10/18 (Chicago): $6.25 16 ounce pint glass draft pour at The Garage Bar & Sandwiches. Red copper pour, malt and honey aroma. Nice strong taste, honey comes through well, malt and caramel. Thin mouth feel, easy drinking. Overall good pour.   
look: 4.25 | smell: 4 | taste: 4 | feel: 4.25 | overall: 4.25 
look: 3.75 | smell: 3.75 | taste: 3.75 | feel: 3.75 | overall: 3.75 eh 
look: 4 | smell: 3.75 | taste: 4.25 | feel: 4.25 | overall: 4.25 On draft, served in a pint glass. Very thin foam and thin lace in some spots around the glass. Amber color. Well balanced taste between hops and malts with a Caramel and bready flavor. Smooth and balanced.   
look: 4.25 | smell: 4 | taste: 4 | feel: 4 | overall: 4 Can't believe it's taken me over 15 years to review one of my gateways. Long overdue.    Dead Guy pours a lovely burnt orange with great clarity and an impressive off white foam that coats the glass from head to toe.    A rediculous amount of caramel and bready malts rise from the surface. Some dark fruits and woody, spicy hops give this almost the impression of a Barleywine. Lighter, obviously.    Flavor follows nicely with an abundance of caramel and orange marmalade slathered on some biscuits. It cuts quickly over into nutmeg like spice, then once again with the herbal, woody, spicy hop finish.    It's a medium, bordering fuller bodied beer, though seems masked by a lively carbonation that lifts the spices giving it a bit of a tingle. Pretty well balanced with an abrupt flip flop from sweet to bittere. There's even a touch of warmth noticed as the sticky, bittered finish draws it to an end.    Still, after all these years, Rogue Dead Guy is a respectable beer. A great fall beer on a drizzly day for sure. One beer that year after year I seem to still reach for on occasion. A little confusing to why they went with an ale format when Maibocks are lagers, but that's nitpicking. Cheers.   
look: 3.75 | smell: 4 | taste: 4.25 | feel: 4 | overall: 4 Pours a deep amber, very light cloudiness, a thin tan head and little lacing. Smells on the sweet side, bready malts and earthy hops. Tastes of bready malts, molasses, caramel, toffee, raisins and a very mild hop presence on the finish. Medium bodied and carbonated, smooth mouth feel,   
look: 3.75 | smell: 3.5 | taste: 3.75 | feel: 3.75 | overall: 4 
look: 4 | smell: 3.75 | taste: 3.75 | feel: 3.5 | overall: 3.75 Black bear burrito 
look: 4 | smell: 4 | taste: 4 | feel: 4 | overall: 4 
look: 3.25 | smell: 2.5 | taste: 2.5 | feel: 3 | overall: 2.75 
look: 4.25 | smell: 4.25 | taste: 4.25 | feel: 4.25 | overall: 4.25 
look: 4 | smell: 4 | taste: 4 | feel: 3.75 | overall: 4 
