look: 3.75 | smell: 4.25 | taste: 4.25 | feel: 4 | overall: 4 Very nice double IPA with some great flavors and nice blend of hops. Pours a slightly darker yellow color with some faint haze, small amount of white foamy head and some spotty lingering lacing. Smells great, nice combination of citrus zest and floral hops - and those floral hops really pop at the end of a long inhale. Also a little malt, vanilla and caramel. Tastes of fruity hops - mainly grapefruit, mango, tangerine and pineapple. The floral hops are less pronounced. Nice notes of vanilla, bread, caramel and malt. Smooth, clean, crisp, mild mouthfeel and good carbonation. I didn’t experience as much bitterness as other reviews had described - instead, I was struck by the bright floral hoppy notes and good mild malt backbone that didn’t overwhelm the flavors. Very well done.   
look: 5 | smell: 5 | taste: 5 | feel: 5 | overall: 5 
look: 3.75 | smell: 3.75 | taste: 3.75 | feel: 3.75 | overall: 3.75 
look: 4 | smell: 4 | taste: 4 | feel: 4 | overall: 4 
look: 4 | smell: 4.25 | taste: 4.5 | feel: 4.5 | overall: 4.5 
look: 4.25 | smell: 4 | taste: 4.25 | feel: 3.5 | overall: 4 
look: 3.5 | smell: 4 | taste: 4.5 | feel: 4.5 | overall: 4.25 
look: 4.25 | smell: 4.25 | taste: 4.25 | feel: 4.25 | overall: 4.25 9/15/2018 
look: 3.75 | smell: 4.25 | taste: 3.75 | feel: 3.75 | overall: 4 
look: 4.25 | smell: 3.75 | taste: 3.5 | feel: 3.5 | overall: 3.75 
look: 4 | smell: 4.25 | taste: 4.25 | feel: 4 | overall: 4 
look: 4 | smell: 4.25 | taste: 4.5 | feel: 3.75 | overall: 4.25 
look: 3.25 | smell: 3.25 | taste: 3.25 | feel: 3.25 | overall: 3.25 
look: 4 | smell: 4 | taste: 4.25 | feel: 4 | overall: 4 
look: 4 | smell: 4 | taste: 3.75 | feel: 4 | overall: 4 Presentation: Draft, served in a snifter.    Appearance: It's a crystal clear gold color with a one finger head that goes away quickly leaving some patchy lacing behind.    Smell: Mostly fruit and citrus with notes of fresh grapefruit and oranges along with some more zesty citrus peel aromas.    Taste: It's very bitter and fruity. There's grapefruit, tangerine and the slightest hint of malt sweetness in the background.    Mouthfeel: It's full bodied, smooth and creamy with medium carbonation.    Overall: A fruity and robust DIPA that's very bitter but still manageable.   
look: 4.25 | smell: 4.5 | taste: 4.5 | feel: 4.25 | overall: 4.5 
look: 4 | smell: 4.25 | taste: 4.25 | feel: 4 | overall: 4.25 Dangerously easy drinking. Nice aroma and body, very balanced. Citrus dominates. Just an overall really solid DIPA. 
look: 4.75 | smell: 4.75 | taste: 4.75 | feel: 4.75 | overall: 4.75 
look: 4 | smell: 3.5 | taste: 3 | feel: 3 | overall: 3 
look: 4.5 | smell: 4.25 | taste: 4.5 | feel: 4.25 | overall: 4.25 
look: 4.25 | smell: 3.75 | taste: 4 | feel: 4 | overall: 4.25 
look: 4 | smell: 4 | taste: 4 | feel: 4.25 | overall: 4 
look: 3.75 | smell: 4 | taste: 4.25 | feel: 4.5 | overall: 4.25 
look: 4.25 | smell: 4.25 | taste: 4.25 | feel: 4.25 | overall: 4.25 
look: 4.25 | smell: 4.5 | taste: 4.5 | feel: 4.25 | overall: 4.5 Has a nice brilliant gold color to go along with the hgold medal it deserves... it with a slight off bright white foam that has nice longevity & lacing.  Aroma is slendid... with very mouth watering fruity citrus with a slight something to it.  As for taste...forget about it! it has everthing the "old factory" picks up in aroma and more, smooth fruity with a little something something at the end. Very nice accent to it.  For the feel...kind of the same, smooth with a slight bitter kick at the end. Superb!!!  This is a great double IPA and worthy of its 8.7ABV in every way.   
look: 3.75 | smell: 3.5 | taste: 4.25 | feel: 4 | overall: 4 
look: 4.5 | smell: 4.75 | taste: 4.5 | feel: 4.5 | overall: 4.5 
look: 4.25 | smell: 4.25 | taste: 4.25 | feel: 4.25 | overall: 4.25 
look: 4.25 | smell: 4.25 | taste: 4.25 | feel: 4.25 | overall: 4.25 
look: 5 | smell: 4.25 | taste: 4.5 | feel: 4.5 | overall: 4.5 Pours a crystal clear light honey yellow with a large white head with staying power. Nice lacing. Aroma is full of citrus fruits and a touch of dankness. Flavor is sweet ripe citrus up front with a strong bitter finish. Feel is medium light with great carbonation. Overall a super double IPA.   
look: 4.25 | smell: 4.25 | taste: 4.5 | feel: 4.25 | overall: 4.25 
look: 4.25 | smell: 4.75 | taste: 4.75 | feel: 4.5 | overall: 4.75 Rating if for the bottled version. Recently, at the brewery in Downingtown, PA., my son and I had it out of the tap. That one is a 5 all the way. 
look: 2.5 | smell: 3.25 | taste: 3.25 | feel: 3 | overall: 3 
look: 3.75 | smell: 4.25 | taste: 4 | feel: 4 | overall: 4 An awesome beer, one of my favorites! You'll definitely feel it in your gut the next day. 
look: 4.5 | smell: 3.5 | taste: 4.5 | feel: 3.5 | overall: 4.25 
look: 4 | smell: 4.5 | taste: 4.75 | feel: 4.25 | overall: 4.5 Awesome Double IPA from my hometown! Has a hoppy bite that other IPAs are lacking. Better than Victory’s new Mighty Things Imperial IPA. 
look: 4.25 | smell: 4 | taste: 4 | feel: 4.25 | overall: 4.25 
