look: 3.75 | smell: 3.75 | taste: 3.75 | feel: 3.75 | overall: 3.75 Scotch ale not quite as dark as a porter. Should have liked but the flavor was really blaah 
look: 4.25 | smell: 4 | taste: 4.25 | feel: 4.25 | overall: 4.25 Nice dark color with strong malty taste and smooth finish. 
look: 3.75 | smell: 3 | taste: 3.75 | feel: 3.75 | overall: 4 
look: 4 | smell: 4.25 | taste: 3.75 | feel: 3.75 | overall: 4 
look: 4.25 | smell: 4 | taste: 4.25 | feel: 4 | overall: 4.25 12oz bottle. Very smooth and toasty. The ABV is very well hidden by the toast flavor. Extremely smooth to drink. After bite is very minimal. A solid brew.   
look: 4 | smell: 4.25 | taste: 4.25 | feel: 4 | overall: 4.25 
look: 4 | smell: 4 | taste: 4 | feel: 3.75 | overall: 4 
look: 4.25 | smell: 4.25 | taste: 4.25 | feel: 4.25 | overall: 4.25 
look: 4.25 | smell: 4.25 | taste: 3.75 | feel: 3.75 | overall: 3.75 
look: 4 | smell: 4 | taste: 4 | feel: 4 | overall: 4 
look: 4 | smell: 4 | taste: 4 | feel: 4 | overall: 4 
look: 4 | smell: 3.75 | taste: 3.75 | feel: 4 | overall: 3.75 A: Pours a thick 2 finger tanned head. Color is a deep ruby    S: Sweet barley, grain, wheat, some dark fruit. Figs, prunes perhaps? A twinge of a wine-like acidity    T: Barley creaminess throughout. The hops show up in blips, unusual for the style. Some roasted bitterness, same dark fruit     O: A fine beer. Some unexpected notes that holds me back from fully enjoying this beer.   
look: 4 | smell: 4.25 | taste: 4 | feel: 4 | overall: 4 A stronger than average pour was needed for thin finger of light tan short lived froth, a ring lasted on. Translucent deep dark amber-brown, pales to a basic brown in front of light.  Bold smell of malt, roasted and caramel with preserved apples and spiced pears.  Taste begins semi-sweet and lightly bitter, malty with fruit and faint smoke. The middle is sweeter from caramel malt with an orange juice tang. The finish is smooth and lasting, transitions into a mild yet spicy/bitter hops aftertaste.   Medium bodied, below average carbonation, smooth and malty.   Easy drinker, alcohol is cleverly hidden (the spice). This was another happy revisit.   
look: 3 | smell: 3 | taste: 3 | feel: 3 | overall: 3 12 ounce bottle into an English style pint glass. Date on bottle was 12/12/2018. Poured black/dark brown with a khaki head. Good retention and lacing. Faint whiff of coffee and dark fruits aroma wise. Flavor was good. Malty, chocolate, dark fruits. Mouth feel was smooth and creamy. About 50 ibus. Finish was clean without any lingering aftertaste. At 8.5 abv this is a sipper. I'm normally afraid of the higher gravity beers but "Dirty Bastard" is a delicious beer. Well worth the price. I would recommend this to stout/porter/Scottish style ale drinkers. Not for wee lads according to the label blurb and I would agree. (As a goof give to Bud drinkers and watch them make faces).   
look: 4 | smell: 4.25 | taste: 4 | feel: 4 | overall: 4 
look: 3.5 | smell: 3 | taste: 2.25 | feel: 3 | overall: 3 
