look: 3.75 | smell: 4 | taste: 4 | feel: 4.25 | overall: 4.25 
look: 4.5 | smell: 4.25 | taste: 4.25 | feel: 4 | overall: 4.25 
look: 4.5 | smell: 4.5 | taste: 4 | feel: 4.25 | overall: 4.25 A: The beer is coppery amber in color. Light tan carbonation that retains around the rim with no lacing.  S: Strong barley malt aroma is awesome. Sweet caramel and alcohol notes with a touch of hops.   T: tastes like a malt bomb explosion of high alcohol sweetness. Caramel and brown sugar up front. Then the self-proclaimed unreasonable amount of hops pokes through. Noticeable alcohol warming and vodka-like aftertaste. Moderate bitterness and hops balance out the sweetness making this a well-balanced, if unusual concoction.   M: Body is fairly light and syrupy, like a day old coke.   O: I think this beer is awesome. That being said, I like aggressive, in your face flavors. Your mom will hate this beer. But isn’t that a reason to try it?   
look: 4 | smell: 4 | taste: 4 | feel: 4 | overall: 4 
look: 4 | smell: 4.5 | taste: 4.5 | feel: 4.5 | overall: 4 
look: 4 | smell: 4 | taste: 4 | feel: 4 | overall: 4 
look: 4 | smell: 4 | taste: 4.25 | feel: 4.5 | overall: 4.25 
look: 4 | smell: 3.75 | taste: 3.75 | feel: 3.75 | overall: 3.75 
look: 4.25 | smell: 4.25 | taste: 4.25 | feel: 4.25 | overall: 4.25 
look: 4.5 | smell: 4.5 | taste: 4.75 | feel: 4.5 | overall: 4.5 
look: 4 | smell: 4 | taste: 4 | feel: 4 | overall: 4.25 
look: 4 | smell: 4.75 | taste: 4.5 | feel: 4.25 | overall: 4.5 
look: 4 | smell: 4.25 | taste: 3.75 | feel: 3.75 | overall: 4 
look: 4.25 | smell: 4.25 | taste: 4.25 | feel: 4.5 | overall: 4.5 
look: 4.5 | smell: 3.75 | taste: 4.75 | feel: 4.75 | overall: 4.5 
look: 4.25 | smell: 4 | taste: 3.75 | feel: 4.25 | overall: 4 
look: 4.25 | smell: 4 | taste: 4.25 | feel: 4.25 | overall: 4.25 
look: 4.25 | smell: 3.75 | taste: 3.25 | feel: 3.25 | overall: 3.5 
look: 4.25 | smell: 4.5 | taste: 4.5 | feel: 4.5 | overall: 4.25 all i can say is don't finish the night with it.....other wise a great beer 
look: 3.5 | smell: 3.5 | taste: 3.5 | feel: 3.5 | overall: 3.5 
look: 4.25 | smell: 4.25 | taste: 4.25 | feel: 4 | overall: 4.25 
look: 4 | smell: 4.25 | taste: 4.25 | feel: 4.25 | overall: 4.25 
look: 3 | smell: 3 | taste: 3 | feel: 3 | overall: 3 
look: 4 | smell: 4 | taste: 4 | feel: 4 | overall: 4 
look: 4.5 | smell: 4.5 | taste: 4.25 | feel: 4.5 | overall: 4.25 
look: 4.25 | smell: 4.75 | taste: 4.5 | feel: 4.75 | overall: 4.75 
look: 4.25 | smell: 4.25 | taste: 4.25 | feel: 4.25 | overall: 4.25 
look: 4.75 | smell: 4.75 | taste: 4.75 | feel: 5 | overall: 4.75 Pours golden copper with double the arrogant alcohol and bite / very nice but watch out at 11%! 
look: 4.25 | smell: 4.25 | taste: 4.25 | feel: 4.25 | overall: 4.25 
look: 4.75 | smell: 4.75 | taste: 4.75 | feel: 4.75 | overall: 4.75 
look: 4 | smell: 4.25 | taste: 4 | feel: 4.25 | overall: 4 
look: 3.75 | smell: 3.75 | taste: 4 | feel: 3.75 | overall: 4 
look: 4 | smell: 3.75 | taste: 3.5 | feel: 3.75 | overall: 3.5 
look: 4.5 | smell: 4 | taste: 4.25 | feel: 4.25 | overall: 4.25 
look: 4.5 | smell: 4.5 | taste: 4.5 | feel: 4.5 | overall: 4.5 
look: 3.5 | smell: 3.75 | taste: 4 | feel: 3.75 | overall: 3.75 
look: 4.5 | smell: 4.25 | taste: 4.5 | feel: 4.25 | overall: 4.5 
look: 4.5 | smell: 4.25 | taste: 4.75 | feel: 4.5 | overall: 4.5 
look: 4.25 | smell: 4.25 | taste: 4.25 | feel: 4.25 | overall: 4.25 
look: 4.5 | smell: 4 | taste: 4.25 | feel: 4.25 | overall: 4.25 This is a 2016 that I've been sitting on for a year or more. Can't believe I haven't reviewed this famous bastard. Big, tight bubbled head above a dark amber body. Sticky lace already apparant. Dark druit, briny hops, and big chocolate malts in the nose.     Huge aggressive pine loaded with medicinal note takes the lead, but the balance here is supurb. Hard to believe this is eleven percent. Strong flavor, but little alcohol leakage. Not for everyday drinking, but when you want something both diabolical and well crafted...   
look: 3.75 | smell: 4 | taste: 4 | feel: 4 | overall: 4 
look: 4.25 | smell: 4.25 | taste: 4.25 | feel: 4 | overall: 4.25 
look: 5 | smell: 5 | taste: 5 | feel: 5 | overall: 5 
look: 4.5 | smell: 4.25 | taste: 4.25 | feel: 4.25 | overall: 4.25 
look: 5 | smell: 4 | taste: 4 | feel: 5 | overall: 4.5 
look: 4 | smell: 4 | taste: 4 | feel: 4.5 | overall: 4.25 
look: 4.25 | smell: 4.25 | taste: 4.5 | feel: 4 | overall: 4.25 
look: 4.5 | smell: 4.5 | taste: 4.75 | feel: 4.5 | overall: 4.5 
look: 4 | smell: 4 | taste: 4 | feel: 4 | overall: 4 
look: 4 | smell: 4.25 | taste: 4 | feel: 4.25 | overall: 4 
look: 4 | smell: 4 | taste: 4 | feel: 4 | overall: 4 
look: 4 | smell: 4 | taste: 4 | feel: 4 | overall: 4 
look: 3.75 | smell: 3.75 | taste: 3.5 | feel: 3.75 | overall: 3.75 
look: 3.75 | smell: 4 | taste: 4.5 | feel: 3.75 | overall: 4.25 this is a 2010 age tap pour (well-cellared). -mahogany with a thin tan head. Aroma and flavor are dominated by oak and leather. The finish is smooth, but there is a touch of alcohol heat.   
look: 3.75 | smell: 4 | taste: 4.25 | feel: 3.5 | overall: 4 
look: 4 | smell: 3.75 | taste: 3.5 | feel: 3.75 | overall: 3.75 2008 bottle. Has definitely lost its umph. Would rather not rate it, but BA says I have to. Fairly oxidized. Just not the same anymore. Still better than most.   
look: 4.25 | smell: 4.25 | taste: 4.25 | feel: 4.25 | overall: 4.25 
look: 4.25 | smell: 4.5 | taste: 4.75 | feel: 4.75 | overall: 4.5 Bomber bottled 9/9/15    Light cherrywood color. Scant several millimeters of head. Spotty lacing.  Strong aroma of plums and caramel, slight pine.  Wonderful cherry, tea, toffee, leather, with hoppy dank and pine in combination.  Smooth, full mouthfeel. Alcohol is noticeable, even after two years, but not hot or dominating.  Equally appropriate for a bleak midwinter’s eve alone, or a jolly gathering of friends. Looking forward to its return.   
look: 2 | smell: 2 | taste: 2 | feel: 2 | overall: 2 
look: 4.5 | smell: 4.5 | taste: 4.75 | feel: 4.5 | overall: 4.5 Pours a deep, dark amber coloration with a large, creamy head. Smells of caramel malt, toffee, red berries citrus and pine. Taste follows the nose, with a caramel, biscuity malt backbone and some toffee, chocolate and red berries, complemented by hoppy notes of citrus and pine. This really is an Imperial Arrogant Bastard, which really piles on the malt, without losing much of the hops. Depth of flavor seems more intense compared to normal AB, especially when it comes to the malt presence and fruitiness. Hop profile seems a little more mellow, although there still is considerate piney bitterness (this may be due to the 26 months old bottle). The higher ABV is noticeable as a slight, warming presence, but there really is no unpleasant boozyness to this at all. What really needs to be highlighted compared to normal AB is the thick, smooth mouthfeel, which is absolutely sublime.   
look: 4.25 | smell: 4.25 | taste: 4.25 | feel: 4.25 | overall: 4.25 
look: 5 | smell: 5 | taste: 5 | feel: 5 | overall: 5 
look: 4.75 | smell: 4.5 | taste: 4.5 | feel: 5 | overall: 4.5 
look: 4 | smell: 4 | taste: 4 | feel: 4 | overall: 4 
look: 4.5 | smell: 4 | taste: 4.25 | feel: 4.25 | overall: 4.25 
look: 4 | smell: 4.25 | taste: 4 | feel: 4.5 | overall: 4.25 
look: 4 | smell: 4.5 | taste: 4.25 | feel: 4.5 | overall: 4.25 
look: 4 | smell: 4 | taste: 4.25 | feel: 4.25 | overall: 4.25 
look: 3.25 | smell: 3 | taste: 3 | feel: 3 | overall: 3 
look: 3.75 | smell: 4 | taste: 4.25 | feel: 4 | overall: 4 2013 bottle.    Appearance is amber red, with a fairly minimal head. There's a big nose, a combination of sweet caramel and hops. The taste is complex, but hops and bitterness dominate the taste. It's just slightly sweet in the taste, enough to make it interesting, but not enough to compete with the bitterness. The ABV is not particularly noticeable, but that might be because the hops are strong enough that who has time to notice the ABV?    This beer is about midway between a classic hoppy barleywine and a conventional strong ale. What I mean is that a strong ale is something you can drink, while a barleywine is usually just a sipper. This one is tempting to drink, not just to sip a bit, but then all that bitterness makes me hold back.    I wind up respecting this beer, but it's not really in my wheelhouse.   
look: 4.5 | smell: 4.5 | taste: 4.5 | feel: 4 | overall: 4.5 Sweet malty begining with a slightly bitter hop finish. Complete ale taste 
look: 4 | smell: 3.5 | taste: 3.5 | feel: 3.5 | overall: 3.5 
look: 4 | smell: 3.75 | taste: 3.75 | feel: 4 | overall: 3.75 
look: 4 | smell: 3.75 | taste: 4 | feel: 4 | overall: 4.25 
look: 4 | smell: 4.5 | taste: 4.25 | feel: 4.25 | overall: 4.25 
look: 4.75 | smell: 4 | taste: 4.5 | feel: 4.75 | overall: 4.5 
look: 3 | smell: 2.25 | taste: 2.5 | feel: 2.5 | overall: 3 
look: 4.25 | smell: 4.5 | taste: 4.75 | feel: 4.5 | overall: 4.5 one of my favorite strong ales. Darkish red almost brown in color with about a quarter inch head. Smells of sweet bready malts that are immediately followed by piney citric hops. The taste follows the nose well with a big hit of bitterness followed by a fairly big hit of malts. overall a very nice big bear that is very well crafted   
look: 4 | smell: 4.25 | taste: 4.25 | feel: 4.25 | overall: 4.25 Poured from tap into pint.   L: dark brown with a no foam head.   S: plums, caramel.   T: bittersweet, dark fruits.   F: tight body and soft carbonation.   O: awesome ale. Must taste.   
look: 4 | smell: 4.25 | taste: 4.25 | feel: 4.5 | overall: 4.25 
look: 4 | smell: 4.5 | taste: 4.25 | feel: 4.25 | overall: 4.25 
look: 4 | smell: 4.25 | taste: 4.5 | feel: 4.25 | overall: 4.25 Pours a very hazy dark red amber with almost no head. Smells of citrus, tons of hops, tropical fruits, and malts. Tastes of bitter hops, citrus zest, topical fruits, a great malt backbone, spices, and alcohol. Medium-high body with medium carbonation. Overall this is a delicious and intense beer.   
