look: 4 | smell: 3.5 | taste: 3.75 | feel: 4 | overall: 3.75 A 22oz bottle of bourbon barrel aged stout dated 12/18/18. Slick oily black appearance with a thin veneer of brown head. Mild aroma of sour mash. Flavor is all about that bourbon barrel, boozy with vanilla and oak. Stout flavors are clearly an afterthought here. Roasted barley provides the color, like a porter, but roasty and toasty flavors hardly make an appearance. Though boozy, it doesn't burn, and at 11% this could prove quite dangerous (I'd have guessed around 8.5%-9%). BBA imperial stout is BBA imperial stout... but this one doesn't impress.   
look: 3.75 | smell: 4.5 | taste: 3.75 | feel: 4 | overall: 3.75 
look: 4 | smell: 3.5 | taste: 3.5 | feel: 3.5 | overall: 3.5 
look: 4.5 | smell: 4.25 | taste: 4.5 | feel: 4.25 | overall: 4.25 
look: 3.5 | smell: 3 | taste: 4 | feel: 4 | overall: 3.75 
look: 4 | smell: 4.5 | taste: 4.5 | feel: 4 | overall: 4.75 
look: 4.5 | smell: 4.75 | taste: 4 | feel: 4 | overall: 4 
look: 4.25 | smell: 4.25 | taste: 4.5 | feel: 4.5 | overall: 4.5 
look: 4 | smell: 4 | taste: 4 | feel: 3.75 | overall: 4 
look: 4.25 | smell: 4.5 | taste: 4.75 | feel: 4.25 | overall: 4.5 
look: 5 | smell: 5 | taste: 5 | feel: 4.5 | overall: 4.75 Smooth, smooth, smooth. Can't really taste the alcohol, yet it is 11%. A real stout too (not one of those desert stouts). One is enough, but I'd love to have two.   
look: 3.25 | smell: 3.25 | taste: 3.25 | feel: 3 | overall: 3.25 
look: 4.25 | smell: 4 | taste: 4 | feel: 4 | overall: 4 
look: 5 | smell: 4 | taste: 4 | feel: 4 | overall: 4 
look: 4.25 | smell: 4 | taste: 4 | feel: 4 | overall: 4.25 States on the bottle that this is a "Bourbon Barrel" aged stout.  I tasted this twice, using different drinking temps. First, at 39 Degrees and the this evening, at 60 degrees. As we know, Cold temps often mask the beers true flavors (That's why you HAVE to drink Bud, and Miller at 32.5 Degrees) anyway, This brew pours very dark, with a thick tan colored head that at both temps dissipated in about 5 Minutes. I found the flavor at both temps very good. but at the warmer temp, I noticed a smoother richness. The malt notes were more noticeable. the hops less pronounced and the overall sweetness was enhanced. At 11.0 ABV, this brew is a bit boozy, no matter what temp you sample it at. Not for the faint of heart. Hence the name. A excellent stout. It has a spot in the "Beer Fridge".   
look: 4.5 | smell: 4.75 | taste: 4.75 | feel: 4.5 | overall: 4.5 
look: 3.75 | smell: 3.75 | taste: 4 | feel: 3.75 | overall: 3.75 Poured from a single serve into a tulip    Pours an opaque black with a thin tan head, and a somewhat thin viscosity (probably from the barrel aging) but good lacing. A good pour overall.    Aromas of coffee, vanilla, oak, graham cracker, and char. Milk stout sweetness mixed with some astringent character.    The flavor is very oakey and boozy up front--almost too boozy. However, after the initial "brace" of those notes, chocolate, root beer/aged vanilla, and char come through, along with black licorice and herbal notes.    The mouthfeel is solid but not special. A little sticky in some ways--although the carbonation helps lift it a bit.    Overall, I wanted to like this brew more. It is pretty good, but not top of the line.   
look: 3.75 | smell: 3.75 | taste: 4 | feel: 4 | overall: 4 
look: 4.75 | smell: 3.75 | taste: 3.5 | feel: 4 | overall: 3.75 
look: 4.25 | smell: 4.25 | taste: 4.5 | feel: 4.5 | overall: 4.5 
look: 3.75 | smell: 4.25 | taste: 4.25 | feel: 4.25 | overall: 4 
look: 4.25 | smell: 4.25 | taste: 4.25 | feel: 4.25 | overall: 4.25 
look: 4.25 | smell: 4 | taste: 4 | feel: 4 | overall: 4 
look: 4.25 | smell: 4 | taste: 4.5 | feel: 4.25 | overall: 4.25 
look: 4 | smell: 3.75 | taste: 3.75 | feel: 4 | overall: 3.75 
look: 4.25 | smell: 4.25 | taste: 4.25 | feel: 4.25 | overall: 4.25 This stout is a great go to! Good flavor and just a good amount is sweetness. A great favorite! 
look: 3.75 | smell: 4 | taste: 3.25 | feel: 3.75 | overall: 3.5 
look: 4.25 | smell: 4.25 | taste: 4.25 | feel: 4.5 | overall: 4.25 
look: 4 | smell: 4.25 | taste: 4 | feel: 4 | overall: 4 
look: 4 | smell: 4 | taste: 4 | feel: 4 | overall: 4 
