look: 4 | smell: 4 | taste: 4.25 | feel: 4 | overall: 4.25 
look: 4.5 | smell: 4.5 | taste: 4.5 | feel: 4.5 | overall: 4.5 
look: 4.5 | smell: 4.5 | taste: 4.75 | feel: 4.5 | overall: 4.5 
look: 4 | smell: 4.25 | taste: 4.5 | feel: 4.5 | overall: 4.25 22 oz bottle from Mack’s Beverage in Cleveland. Slightly hazy golden orange pour with one finger off white head. Aroma hoppy malt with grapefruit, pineapple, orange, and hints of dank pine.   Taste starts sweet - caramel malt with citrus - orange, grapefruit, mango, followed by finishing piney bitterness that is super well balanced with the malt. Mouthfeel is full - slightly astringent - leaving with a fantastic sticky coating bitterness.   
look: 4.25 | smell: 4 | taste: 4.75 | feel: 4.25 | overall: 4.5 Always my got to whenever I visit the brewery. 
look: 4.5 | smell: 4.5 | taste: 4.5 | feel: 4.5 | overall: 4.5 
look: 4.5 | smell: 4.25 | taste: 5 | feel: 4.75 | overall: 4.75 
look: 4.25 | smell: 4.25 | taste: 4.25 | feel: 4.25 | overall: 4.25 22oz bomber served in a Duvel tulip glass. No date that I could find on the bottle.     Appearance: Mostly clear copper-amber color. Persistent thin off-white foam. Lots of strands and sheets of persistent lacing.     Smell: Grapefruit, pine, peach, mango, orange.     Taste: Grapefruit, peach, mango, orange rind, a solid caramel malt middle, and a bitter finish with more grapefruit and pine.     Mouthfeel: Nicely thick, good carbonation, a definite stickiness on the teeth due to all the hops.     Overall / Drinkability: Intense, but all the hops are nicely balanced by the right amount of malt sweetness. Dangerously drinkable with well-hidden alcohol. Went well with mac and cheese and I'll definitely have to pick this one up again to pair with some other meals.   
look: 4.5 | smell: 3.75 | taste: 4 | feel: 4 | overall: 4 22 oz bomber fresh  Dark gold translucent appearance with foamy khaki head and tons of lacing.  Smells like lemon.  Taste of sweet malt and bitter lemony hops.  Medium body.  Warm alcohol finish.   
look: 3.5 | smell: 3.75 | taste: 4 | feel: 4 | overall: 3.5 
look: 3 | smell: 3 | taste: 3.5 | feel: 3 | overall: 3.75 
look: 4.75 | smell: 4.75 | taste: 4.75 | feel: 4.75 | overall: 4.75 
look: 4.25 | smell: 4 | taste: 4.25 | feel: 4 | overall: 4 
look: 3.75 | smell: 4.5 | taste: 4.5 | feel: 4.5 | overall: 4.5 
look: 4.25 | smell: 4 | taste: 4 | feel: 4 | overall: 4 
look: 4.25 | smell: 4.25 | taste: 4.25 | feel: 4.25 | overall: 4.25 
look: 4.5 | smell: 4 | taste: 4.75 | feel: 4.5 | overall: 4.5 
look: 4.25 | smell: 4 | taste: 4.25 | feel: 4 | overall: 4.25 
look: 5 | smell: 5 | taste: 5 | feel: 4.75 | overall: 4.75 
look: 4 | smell: 4 | taste: 3.75 | feel: 4 | overall: 3.75 
look: 4.75 | smell: 4.75 | taste: 4.75 | feel: 4.75 | overall: 4.75 I've been to the brewery and it's good there but I've also experienced barrel-aged at beer festivals -- and that is to die for. Stuff is so rich it leaves a slick on the glass. Amazing all-around   
look: 4.5 | smell: 4.5 | taste: 4 | feel: 5 | overall: 4.25 
look: 4.5 | smell: 5 | taste: 4.75 | feel: 4.5 | overall: 4.75 
