look: 4 | smell: 4.25 | taste: 4.25 | feel: 4.5 | overall: 4.25 
look: 4.5 | smell: 4 | taste: 4.25 | feel: 3.5 | overall: 4 A- Golden yellow with a thick white pillowy head with plenty of bubbles from the high carbonation   S- Citrus and banana at the forefront with musk notes and an element of herbal spices   M- very high-end carbonation with a medium alcohol laden Matthew   T-Good bold flavour with a developed malt flavour and a very subtle citrusy sweetness  O- I don’t like Belgian beers in general but this is a well-crafted brew, it’s the high carbonation that gets me defeated   
look: 4.25 | smell: 4.25 | taste: 4.25 | feel: 4.25 | overall: 4.25 
look: 4 | smell: 4 | taste: 4 | feel: 3.75 | overall: 4 
look: 4.25 | smell: 4 | taste: 4.25 | feel: 4 | overall: 4.25 
look: 5 | smell: 5 | taste: 5 | feel: 5 | overall: 5 This wondrous pinnacle of the brewer's art has everything that zymurgy could offer...and more. For me--a devotee of the crisp, light-bodied, pale but strong and effusively effervescent--Duvel presents the best of all worlds.   
look: 4.25 | smell: 3.5 | taste: 4 | feel: 4 | overall: 4.25 
look: 4 | smell: 4 | taste: 4 | feel: 4 | overall: 4 
look: 4 | smell: 4.25 | taste: 4.5 | feel: 4.5 | overall: 4.5 
look: 4 | smell: 4.5 | taste: 4 | feel: 4 | overall: 4.25 Look: Pale, cloudy gold with a fluffy white head. Pour cautiously, as it gets very foamy.    Smell: Sweet malts, citrus, hops, and booze. Hints of banana and cloves as well. This beer has a very strong scent, which I really like.     Taste: Immediately, malts, cloves, and pepper, sort of bitter yeast mixed with bittersweet grapefruit and orange peel. Aftertaste is spicy, bready, and a bit boozy.    Feel: Medium body, normal carbonation. Nice warm, dry aftertaste.    Overall: Excellent brew!   
look: 4.25 | smell: 4 | taste: 4.25 | feel: 4 | overall: 4.25 
look: 4.5 | smell: 4.25 | taste: 4.25 | feel: 4 | overall: 4.25 
