look: 4.5 | smell: 4.25 | taste: 4.75 | feel: 4.5 | overall: 4.5 
look: 3.75 | smell: 3.75 | taste: 3.75 | feel: 3.75 | overall: 3.75 
look: 4.25 | smell: 4 | taste: 4.5 | feel: 4.25 | overall: 4.5 
look: 4 | smell: 4.25 | taste: 4.25 | feel: 4.25 | overall: 4.25 
look: 4.25 | smell: 4 | taste: 4 | feel: 4 | overall: 4 A enjoyable nice rich Porter, complex yet drinkable, kind of an everyday Porter.... Not something you want to have once in a while, far. Far better than that. Planning on making it a standard in my fridge.... Darn good brew from Great Lakes.    Added : after giving him the second try I find the coffee of undertones to be a bit heavy if not in the proper mood.   This isn't a porter that you want to drink in quantity or rush... Its a sipper, with strong chocolate coffee undertones that's to be enjoyed in It's time.   
look: 3.5 | smell: 3.75 | taste: 4 | feel: 3.75 | overall: 3.75 My first impression of this required me to try it again, as I was not too impressed with it. Yes, it was a good porter. Nice dark brown color, Not as heavy, or as thick as a stout. A lighter malt flavor, with a greater hop presents than I normally like in this style of beer. Almost like a dark IPA. Still, I almost always have a few bottles on hand in my beer fridge As I said : "It's a good porter".     BTW: Read Edward Stonehouse's Book on the sinking of the Edmund Fitzgerald. It will give you great insight about this ship.   
look: 4.25 | smell: 4.75 | taste: 4.25 | feel: 3.5 | overall: 4.5 Let me start off by saying that I am grateful to drink a beer from an OG brewery such as Great Lakes, yes this is the first beer that I have had from them. Much respect to the Edmund Fitzgerald crew members that lost their life that fateful day. There is a bottled on date so I know that I am drinking it fresh. This is quite tasty especially on a cold winter night like this one. I'm getting dark chocolate notes, some roasted malts, quite tasty, very smooth, nice lacing on the beer glass. Cheers! A-   
look: 4 | smell: 4.25 | taste: 4.25 | feel: 4.25 | overall: 4 
look: 4 | smell: 4 | taste: 4 | feel: 4 | overall: 4 
look: 4.25 | smell: 4.25 | taste: 4.25 | feel: 4.25 | overall: 4.25 
look: 4 | smell: 4 | taste: 4.25 | feel: 4 | overall: 4 
look: 5 | smell: 5 | taste: 5 | feel: 5 | overall: 5 One of my favorites. Top. 
look: 4.5 | smell: 4.25 | taste: 4 | feel: 4 | overall: 4 A nice dark brown color with a tan head, it looks the part of a quality porter.  Some coffee and chocolate in the aroma with a hint of something vegetal.  The taste is roasty coffee, with chocolate, an somewhat unusual vegetal flavor, and a little hop bite to go with the dark malt. I’ve long heard the legend of this beer but it caught me a little off guard since it was frequently mentioned with Founders as the best in class, but they are very different in flavor profile, IMO. I enjoyed and appreciated it more the second go round, and can understand why denizens of the Midwest like it so much; it’s a good beer!   
look: 4 | smell: 3.5 | taste: 4.25 | feel: 4 | overall: 4 Near black with medium light tan head. There's a fruitiness and a resin, slight pine aroma along with a sort of chocolate, sort of coffee roastiness, and molasses. The resiny, earthy, bitter hoppiness is even stronger in the flavor, and blends quite nicely with the roast. Sweet and smooth with a decent carbonation bite.   
look: 4 | smell: 3.5 | taste: 3.75 | feel: 4 | overall: 3.75 
look: 4 | smell: 3.75 | taste: 3.75 | feel: 4.25 | overall: 4 
look: 3.5 | smell: 3.25 | taste: 2.5 | feel: 3.5 | overall: 3.25 
look: 4.5 | smell: 4.75 | taste: 4.5 | feel: 4.5 | overall: 4.5 So good! Every drink makes me stop and go *whoa*; every...single...drink...    Love it. Exceptional. 
look: 4 | smell: 3.75 | taste: 3.5 | feel: 3.5 | overall: 3.75 
look: 3.5 | smell: 3 | taste: 3.25 | feel: 3 | overall: 3 
look: 4 | smell: 3.5 | taste: 2.5 | feel: 2 | overall: 2.5 
look: 4 | smell: 4 | taste: 3.5 | feel: 3.5 | overall: 3.75 
look: 4 | smell: 4 | taste: 4 | feel: 4 | overall: 4 
look: 4.25 | smell: 4.25 | taste: 4.75 | feel: 4.5 | overall: 4.5 
look: 3.75 | smell: 4 | taste: 4.25 | feel: 4.25 | overall: 4 
look: 4 | smell: 4 | taste: 4 | feel: 4 | overall: 4 
look: 4.25 | smell: 4 | taste: 4.5 | feel: 4 | overall: 4.5 
look: 3.75 | smell: 4.25 | taste: 4.25 | feel: 4 | overall: 4.25 Very tasty. Dark porter but smoothe. The best of great lakes 
look: 4.25 | smell: 4 | taste: 4 | feel: 3.5 | overall: 4.25 
look: 4.75 | smell: 4 | taste: 4.75 | feel: 4.5 | overall: 4.75 
look: 4 | smell: 4 | taste: 4 | feel: 4 | overall: 4 A nice option. I like Founders better though. 
look: 4.75 | smell: 4.5 | taste: 4.5 | feel: 4.5 | overall: 4.5 Total wine had a truckload of their beer shipped to Arizona.Never sent here before.A good solid porter that I wish would be available on a regular basis.Tastes superb with homemade hot ass Arizona chili   
look: 4 | smell: 3.75 | taste: 4.25 | feel: 4 | overall: 4 When in Cleveland.... This iconic porter pours a clear cola colour - deep brown trying to be black with 1/2 finger tan to mocha head. Aroma is robust roasty with coffee dominant, almost burnt - a little hint of a slightly metallic smell. Taste follows with robust burnt sugar, coffee bitterness, mild hop presence - balances well. Well carbonated with surprisingly thin yet appropriate mouthfeel. Really good.   
look: 4.5 | smell: 4.75 | taste: 4.5 | feel: 4.25 | overall: 4.5 Im suprrised this is a porter. Reminds me of a less creamy guiness but in a good way. 
look: 4 | smell: 4 | taste: 4 | feel: 4 | overall: 4 
look: 4.5 | smell: 3.75 | taste: 2 | feel: 4.5 | overall: 2.25 Appearance: didn't see it in darkness broken only by a kitchen nightlite. Saw it a while ago and it's dark and pretty.    Aroma: roasty, slightly molasses/sweet but burnt.    Taste: hops, burnt character overbalanced by bitterness. Hoppy aftertaste that lingers unpleasantly. Not a fan of the new and spreading American hops fetish.    Mouthfeel: like a medium-bodied porter beer.    Overall: Too bitter to be fully enjoyable. Promises sweetness in the nose but disappoints hop haters.   
look: 4 | smell: 4 | taste: 4 | feel: 4 | overall: 4 Pint at Sidecar in Birmingham. Really liked this full review next time. 
look: 4.25 | smell: 4.25 | taste: 4.25 | feel: 4.25 | overall: 4.25 
look: 4.5 | smell: 4 | taste: 4 | feel: 3.75 | overall: 4 
look: 4 | smell: 3.75 | taste: 4 | feel: 3.5 | overall: 3.75 
look: 5 | smell: 5 | taste: 5 | feel: 5 | overall: 5 
look: 4 | smell: 4 | taste: 5 | feel: 4 | overall: 4 From what I can remember this was one of my first introductions to the style, this one is worth another try but definitely a good one. I just can remember some of the taste and that is all that matters. It might get a higher rating if it did not remind me so much of a Guinness want to be.   
look: 4.5 | smell: 4.75 | taste: 5 | feel: 4.75 | overall: 4.75 
look: 4.25 | smell: 4.25 | taste: 4.5 | feel: 4.25 | overall: 4.5 
look: 4 | smell: 3.75 | taste: 4 | feel: 4 | overall: 4 
look: 4 | smell: 4 | taste: 3.75 | feel: 3.75 | overall: 3.75 Poured from a 12 oz bottle into a Dogfish Head tulip    L: Dark, dark brown pour... nearly black with 2 fingers of foamy tannish head. Great lacing.    S: Roast and coffee mixed with burned sugars.    T/F: Follows the nose. Roasted grains/malts and sweet burned sugars. Coffee and dark cocoa... Bitter roast and mild hops play nicely with the dark sugars giving a complex and balanced brew. Medium to light bodied... well carbonated. The finish is more bitter roast and sweet sugars.    O: A really nice porter, and easy to see why this is one of Great Lakes flagship beers.   
look: 4.5 | smell: 4.75 | taste: 4 | feel: 4.25 | overall: 4 
look: 4.75 | smell: 4.75 | taste: 4.75 | feel: 4.75 | overall: 4.75 
look: 4.75 | smell: 4.5 | taste: 4.5 | feel: 4.75 | overall: 4.5 
look: 2.75 | smell: 2.75 | taste: 2.75 | feel: 2.75 | overall: 2.75 
look: 4 | smell: 4.25 | taste: 4.25 | feel: 4.25 | overall: 4.25 
look: 4.25 | smell: 4 | taste: 4.25 | feel: 4 | overall: 4.25 
look: 4.25 | smell: 3.75 | taste: 3.75 | feel: 3.75 | overall: 3.75 
look: 4 | smell: 4 | taste: 4 | feel: 4 | overall: 4 
look: 3.5 | smell: 3 | taste: 3.25 | feel: 3.25 | overall: 3.25 
look: 4 | smell: 3.75 | taste: 4.5 | feel: 4 | overall: 4.25 
look: 3 | smell: 3 | taste: 3 | feel: 3 | overall: 3 
look: 4 | smell: 4.5 | taste: 3.5 | feel: 4 | overall: 3.75 
look: 4.25 | smell: 4.25 | taste: 4.5 | feel: 4.5 | overall: 4.5 Excellent beer, which will always have a special place in my heart. 
look: 3.75 | smell: 3.75 | taste: 3.75 | feel: 3.75 | overall: 3.75 
look: 4.25 | smell: 4.25 | taste: 4.25 | feel: 4.25 | overall: 4.25 
look: 4.5 | smell: 4.25 | taste: 4.5 | feel: 4.5 | overall: 4.5 
look: 4.25 | smell: 4.25 | taste: 4.5 | feel: 4.25 | overall: 4.25 
look: 4 | smell: 4.25 | taste: 3.75 | feel: 4 | overall: 3.75 
look: 4.25 | smell: 4.25 | taste: 4.75 | feel: 4 | overall: 4.5 One of the best porters on the market. Robust and flavorful, this beer will make you want more. Excellent smell that leaves you eager for the taste. This beer is truly exceptional and a must have for fans of a good porter and for fans of craft beer in general.   
look: 4 | smell: 4 | taste: 4 | feel: 4 | overall: 4 
look: 4.5 | smell: 4.5 | taste: 4.75 | feel: 4.5 | overall: 4.5 Deffo one of the best 'straight up' porters to be found. This particular style has been corrupted, in my view, with too many variants including coffee beans, vanilla, and other flavorings that just do not belong in a porter. Edmund Fitz is superb all 'round, with a lovely deep-auburn/hazel color, great body and nice moderate head, and absolutely none of the tangy finish that is present in some other examples. Highly recommended.   
look: 4.25 | smell: 4 | taste: 4 | feel: 4 | overall: 4 
look: 5 | smell: 5 | taste: 5 | feel: 5 | overall: 5 This is one of my go to porters. Pours deep brown with a 1-2 inch tan head. Beautiful lacing and moderate carbonation. Hints of chocolate and molasses. Creamy mouthfeel and lingering finish. Not too high of an ABV that you can't have more than one.   
look: 3.75 | smell: 4 | taste: 4.25 | feel: 4 | overall: 4 
look: 4.25 | smell: 4 | taste: 4.25 | feel: 4.5 | overall: 4.25 12oz bottle bb 2/6/19 poured into a tulip pint glass at fridge temp 6% ABV 37 IBU. The beer pours dark brown with ruby highlights and light brown head. The head recedes to a thin cap and leaves a little lacing. The aroma is faint baker's chocolate, roasted malt and earthy hops. The taste is roasty malts and firm, earthy (roast driven) bitterness throughout. The mouthfeel is medium bodied, adequately carbonated and nearly dry in the finish. There is a creaminess to the body that offsets the roasty bitterness, especially as the beer warms. Overall, very good. This is a beautiful unadulterated American porter. I will also add that there is no tangy aspects to this beer which I, personally, do not enjoy.   
look: 4 | smell: 4.25 | taste: 4.25 | feel: 4 | overall: 4.25 Pours a dark brown with a khaki head with some spotty lacing. Snot locker gets some roasted malts, coffee and maybe some toffee. Flavor matches the nose, I think this is a bit thin but overall it's probably the "gold standard" for porters.   
look: 4.25 | smell: 4.25 | taste: 4.25 | feel: 4.25 | overall: 4.25 
look: 3.5 | smell: 3.5 | taste: 3.5 | feel: 2.25 | overall: 3.25 
