look: 4.25 | smell: 4.5 | taste: 4.5 | feel: 4.25 | overall: 4.5 
look: 4.5 | smell: 4.5 | taste: 4.5 | feel: 4.5 | overall: 4.5 
look: 4 | smell: 4.25 | taste: 4.25 | feel: 4.25 | overall: 4.25 
look: 3.75 | smell: 4 | taste: 4 | feel: 4 | overall: 3.75 
look: 4 | smell: 3.75 | taste: 4 | feel: 4 | overall: 4 
look: 4.5 | smell: 4.25 | taste: 4.75 | feel: 4.75 | overall: 4.5 Maybe a new favorite??  A double that feels like 6%. Alcohol is hidden, flavors abound. Crisp and has bite without being cloying or heavy. I’ve had on tap last year and canned this year. Not hazy. Good, crisp ipa. Grab some now!   
look: 3.75 | smell: 3.25 | taste: 3.25 | feel: 3.25 | overall: 3.25 
look: 4.75 | smell: 4.5 | taste: 5 | feel: 4.75 | overall: 4.75 It’s was a Christmas miracle for me today when I found this at my Piggly Wiggly. I’ve know about this beer for years but I could never find it in my area. What a Great Beer! Pours a crystal clear amber with great lacing. Smells of fresh pine and citrusy bliss. So smooth at first with a big hoppy bite you want in an IPA. Mouthfeel is outstanding with very light carbonation. 9.4%ABV is sneaky because this beer is so smooth and refreshing. Merry Christmas to all and to all a Great DIPA.   
look: 4 | smell: 4.5 | taste: 4.25 | feel: 4.25 | overall: 4.75 Poured on tap...    Look:  Gold and clear. Sticky lacing.     Smell:  Sweet pine, nectar. Guava.     Taste:  Follows smell. One of the nicest, sweet and dank pine flavors. Hop bitterness. Citrus rind. Finishes dry.     Feel:  Good fizzy carbonation but not overdone. Med-light body.    Overall:  On the front end this is one of the nicest DIPA’s available if you crave big hops that lean sweet nectar-y flavors. It does have a bitter bite finish that lingers. I would return to this again whenever craving this particular profile.   
look: 4 | smell: 4.25 | taste: 4.5 | feel: 4.5 | overall: 4.75 
look: 4.5 | smell: 4.75 | taste: 4.5 | feel: 4.75 | overall: 4.5 This is my kind of IPA from a brewery that is passionate about hoppy beers!! Heavy pine, tropical fruit, pineapple, grapefruit, juicy, dank, the works!! One of my all-time favorites!   
look: 4 | smell: 4.5 | taste: 4.5 | feel: 4.25 | overall: 4.5 
look: 4 | smell: 4 | taste: 4 | feel: 4 | overall: 4 
look: 4 | smell: 4.25 | taste: 4.5 | feel: 4.5 | overall: 4.25 Damn if that isn’t one of the freshest IPAs I’ve had in a long time. I thought the “enjoy by” thing on the front of the can might have been a gimmick, and surely this beer couldn’t be as good as the reviews say? But it was everything I could have hoped for, and more. Nice bright light copper-amber color with some foamy head and just a trace of spotty lingering lacing. Smells great, nice big bold citrus zest aromas with a little pine in the background. Tastes amazing. Loads of fresh citrus fruit - passionfruit, orange, tangerine, mango, grapefruit, lemon - as well as piney hops, floral hops, vanilla, bread and a great well-balanced malt backbone. So smooth, easy to drink and great mild mouthfeel. Just the right amount of carbonation. It’s additionally an imperial IPA but you’d never guess it since the higher ABV is well-hidden and the bitterness is just right, not too bracing, not too subtle. An outstanding beer and I will venture back to a local pub to sample this one on tap.   
look: 4 | smell: 4.5 | taste: 4.5 | feel: 5 | overall: 4.5 [Original rating 2015-12-30] Draft at Horseshoe Pub, Hudson, MA. Aroma of citrus, a little pine. Taste is fresh citrusy hops, perfectly balanced with malt. Excellent IIPA.   
look: 4.75 | smell: 4.5 | taste: 4.75 | feel: 4.5 | overall: 4.75 Not a NE style (thank God!). Just a beautiful Westcoaster bought at Sam’s in Durham, NC in a canned sixer for a fair price. Should have bought more because I only get there a couple times a year. Clear (no gassy yeast!), hoppy, a tad of sweet malt; this is one of their best. Don’t be scared of the monster on the can, just trust the masters at Stone and your Holloween will be perfect!   
look: 4 | smell: 4.25 | taste: 4.25 | feel: 4.25 | overall: 4.25 
look: 4 | smell: 4.25 | taste: 4 | feel: 4 | overall: 4 
look: 4.5 | smell: 4.25 | taste: 4.25 | feel: 4.5 | overall: 4.25 Enjoy by 10.31.18 -     22 oz. bottle:    Pours amber to copper with a creamy lasting white head. Lacing sticks.    The smell is robust - pine and grapefruit - some alcohol.    The taste is of pine/resin with grapefruit. A sweet touch with spicy alcohol comes through. Rounded bitterness in the finish. Alcohol shows but doesn't overwhelm.    It has a rich, full body with a silky smoothness despite alcohol bite.    Another winner from Stone! A big DIPA - big on hops and malt that interplay with each other well. Nice!   
look: 4 | smell: 4.25 | taste: 4.25 | feel: 4.25 | overall: 4.25 10.31.18 was a very good offering. 
look: 4.25 | smell: 4 | taste: 4 | feel: 4 | overall: 4 
look: 4.5 | smell: 4.5 | taste: 4.75 | feel: 4.5 | overall: 4.5 I really enjoyed "Enjoy by 10.31.18" from Stone, ABV 9.40%, IBU 90. I liked it better than the unfiltered Enjoy By, which had a garlic undertone (this one doesn't).    Look: Amber color, bubbly, with an inch thick white head    Aroma: grapefruit, mango, pine resin    Flavor: It's grapefruit, mango, floral hops notably significant pine resin, and despite the ABV 9.4% there's no alcohol taste.    Feel: Light-medium, fresh and juicy and refreshing   
