look: 3.5 | smell: 3.5 | taste: 3.5 | feel: 4 | overall: 3.75 
look: 4 | smell: 4.25 | taste: 3.75 | feel: 4 | overall: 3.75 
look: 3.75 | smell: 3.25 | taste: 3.75 | feel: 3.75 | overall: 3.75 
look: 4.25 | smell: 3.5 | taste: 3.5 | feel: 4 | overall: 4 
look: 4.25 | smell: 4.5 | taste: 4.75 | feel: 4.5 | overall: 4.75 
look: 3.5 | smell: 3.75 | taste: 3.25 | feel: 3.5 | overall: 3.5 
look: 3.25 | smell: 3.5 | taste: 3.5 | feel: 3 | overall: 3.25 
look: 3.25 | smell: 3.25 | taste: 3 | feel: 3.25 | overall: 3.25 
look: 3 | smell: 3 | taste: 3 | feel: 3 | overall: 3 
look: 3 | smell: 3.5 | taste: 3.25 | feel: 3.25 | overall: 3.25 
look: 4 | smell: 4 | taste: 4 | feel: 4 | overall: 4 
look: 4 | smell: 4 | taste: 4.25 | feel: 4 | overall: 4 
look: 3.5 | smell: 3 | taste: 3.75 | feel: 3 | overall: 3.75 
look: 3.75 | smell: 3 | taste: 3.25 | feel: 3.25 | overall: 3.25 
look: 3 | smell: 3 | taste: 3.5 | feel: 3 | overall: 3 
look: 4 | smell: 4 | taste: 4.25 | feel: 4 | overall: 4 
look: 4 | smell: 2 | taste: 2.25 | feel: 3 | overall: 2.75 Bright copper color with a finger and a half of head and little lacing. Little aroma. Straight malty flavor with little going on. Some sour and plastic aftertaste.   
look: 3.75 | smell: 3.75 | taste: 3.75 | feel: 3.75 | overall: 3.75 
look: 2.5 | smell: 3.75 | taste: 3.25 | feel: 2.75 | overall: 3.25 
look: 3.25 | smell: 3.5 | taste: 2.75 | feel: 3.75 | overall: 3.75 
look: 4.25 | smell: 4 | taste: 4 | feel: 3.75 | overall: 4 
look: 4.75 | smell: 4 | taste: 3 | feel: 3 | overall: 3.5 
look: 3.75 | smell: 3.5 | taste: 3.75 | feel: 4 | overall: 3.75 
look: 4 | smell: 3.5 | taste: 3.5 | feel: 4 | overall: 3.5 
look: 3 | smell: 3 | taste: 3 | feel: 3 | overall: 3 H22 
look: 3.5 | smell: 3.75 | taste: 3.5 | feel: 3.5 | overall: 3.5 
look: 5 | smell: 4.5 | taste: 5 | feel: 4.5 | overall: 4.5 
look: 3.5 | smell: 3.5 | taste: 3.5 | feel: 3.5 | overall: 3.5 
look: 3.5 | smell: 4 | taste: 4.25 | feel: 3.25 | overall: 3.75 Cloudy yellow pour with quick-fading cap of white that leaves a ring. Aroma of banana, honey, and mild spice. Flavor is surprisingly good, I enjoy a nice malt presence and it's hear for certain. The Belgian yeast complements the malt well. Finish is slightly effervescent but fairly balanced with just a bit of lingering herbal spice.   
look: 3.75 | smell: 3 | taste: 3 | feel: 3 | overall: 3 
look: 3.75 | smell: 3.5 | taste: 3 | feel: 3.25 | overall: 3.5 
look: 3.75 | smell: 3.5 | taste: 3.75 | feel: 3.5 | overall: 3.75 Head clears too quickly but has a nice hoppy, bready flavor. Good but not great. 
look: 3 | smell: 3 | taste: 3 | feel: 3 | overall: 3 
look: 3.5 | smell: 3.75 | taste: 3.75 | feel: 3.5 | overall: 3.75 
look: 3.75 | smell: 3.75 | taste: 4 | feel: 4 | overall: 4 It's kind of a classic. I grab this when I need a malt fix as it's very malt forward, in a really nice way. It's not too sweet or overbearing, just a good session beer or social/party beer.   
look: 3.75 | smell: 4 | taste: 3.75 | feel: 3.5 | overall: 3.75 
look: 4 | smell: 4 | taste: 4.5 | feel: 4 | overall: 4.25 
look: 3.75 | smell: 3.75 | taste: 4 | feel: 3.75 | overall: 3.75 
look: 3.25 | smell: 3 | taste: 3 | feel: 3.25 | overall: 3.25 
look: 4 | smell: 3 | taste: 3 | feel: 3.75 | overall: 3 
look: 4 | smell: 4 | taste: 4 | feel: 4 | overall: 4 
look: 4 | smell: 4 | taste: 4 | feel: 4 | overall: 4 
look: 3.75 | smell: 3.75 | taste: 3.5 | feel: 3.5 | overall: 3.75 I have drinking this craft beer classic for a very long time, so imagine my surprise when I realized I never reviewed it! Long over due:    Pours out a clear Amber with golden highlights. A soft and subtle white foam forms high, settles down fast but leaves plenty of coverage and a bit of sticky lace.    The nose had aroma's reminiscent of an English pale ale and Belgian Amber. Exactly how the description states, sweet and toasty style malt, buttery, honey scented with some subtle spice from the yeast. The hops are very subtle in the nose but give off some pine and cedar style effects.     A medium body, crispy and then long and slick malty feel gives this a bit of extra hefty, but deep down it's pretty crispy.    A combo of slightly spicy Belgian-inspired yeast with the honey-soaked bready effect of the malt makes for a very unique amber ale. A little, Belgian, a little English in all the ingredients and American in overall style. Malt and spicy yeast with a subtle hop taste of pine and grasses rounds out the flavor spectrum.    Overall, it's a classic. Unique and fun. Not mind blowingly complex but a nice choice if your in a pinch.   
look: 3.5 | smell: 4.5 | taste: 4 | feel: 4.25 | overall: 4 
look: 3 | smell: 3.5 | taste: 3.5 | feel: 3 | overall: 3.25 
look: 3.75 | smell: 3.5 | taste: 3.5 | feel: 3.75 | overall: 3.5 
look: 4 | smell: 3.75 | taste: 3.5 | feel: 3.75 | overall: 3.75 
look: 4 | smell: 3.25 | taste: 4 | feel: 3.5 | overall: 3.5 
look: 3 | smell: 3 | taste: 3 | feel: 3 | overall: 3 
look: 3.5 | smell: 3.75 | taste: 4.5 | feel: 4 | overall: 4.25 
look: 3.75 | smell: 3.5 | taste: 3.5 | feel: 3.5 | overall: 3.5 
look: 3.75 | smell: 3.75 | taste: 3.75 | feel: 4 | overall: 3.75 
look: 4 | smell: 3.75 | taste: 3.75 | feel: 4 | overall: 3.75 Pale pineapple juice look, unfiltered, thick, white head with good retention.  Mild, spiced, coriander, toasted malt aromas.  Juicy and light, lightly fruity. Tangerine, mango. Some yeast spiciness, again, in moderation. Light carbonation makes this go down easy, light body. Soft and slightly oily feel.   
look: 3.25 | smell: 4 | taste: 4.5 | feel: 4 | overall: 4 
look: 4.75 | smell: 3.25 | taste: 4.5 | feel: 4 | overall: 4.25 
look: 5 | smell: 3 | taste: 4 | feel: 4 | overall: 4 
look: 4 | smell: 3.75 | taste: 3.75 | feel: 4 | overall: 3.75 
look: 3.25 | smell: 4 | taste: 4.75 | feel: 2.75 | overall: 3.5 
look: 3.75 | smell: 4 | taste: 3.75 | feel: 3.75 | overall: 3.75 I don't often drink amber ales any more - Fat Tired used to be something of a grilling beer for me. It pairs really well with fried chicken, burgers, or steaks. I also used to bring it when I went fishing - I'd be particularly happy if I could find the variety packs as I always enjoyed 1554.    It's still a solid beer, but I've fallen sort of out of love with it.   
look: 4 | smell: 3.5 | taste: 3.75 | feel: 3.75 | overall: 3.75 
look: 2.5 | smell: 2.25 | taste: 2.75 | feel: 2.5 | overall: 2.75 
look: 4 | smell: 3.5 | taste: 3.5 | feel: 4 | overall: 3.5 
look: 3 | smell: 3.25 | taste: 3.75 | feel: 3.25 | overall: 3.75 Great beer alot of flavor. 
look: 3.5 | smell: 3 | taste: 4 | feel: 4 | overall: 4 
look: 3.5 | smell: 3 | taste: 3 | feel: 4 | overall: 3.5 L: Poured from a bottle, producing an amber color with a light head, and decent amount of lacing.    S: Malty aroma with slight spices and a hint of grass.    T: Essentially a biscuit malt with a mild hop flavor, and hints of citrus.    F: Smooth and creamy, with a high carbonation.    O: Nice and easy to drink, not too overpowering on the pallet, with a balanced taste profile.   
look: 4 | smell: 3 | taste: 3 | feel: 3.25 | overall: 3 
look: 3.75 | smell: 3.5 | taste: 3.75 | feel: 3.75 | overall: 3.75 
look: 4.25 | smell: 3.75 | taste: 4 | feel: 4 | overall: 4 
look: 4 | smell: 3.5 | taste: 3.5 | feel: 3.5 | overall: 3.5 Rich amber color in a tulip glass, clear as glass, with finger or two of off-white foam... Something of an amalgam between an English bitter and an American amber, only vaguely suggestive of Belgian ales... And that said, I've had much better bitters and ambers and Belgians than this... Herbal and floral, with some light shellac and a bit of muted, deep citrus; smooth and rather flat-feeling... Not particularly bitter, but did have a mild coating feeling to it; and maybe mild-to-moderately sweet... A decent enough drink, but nothing that makes me want another...   
look: 4 | smell: 2 | taste: 3.5 | feel: 4 | overall: 3.5 
look: 3.5 | smell: 3.5 | taste: 3.5 | feel: 3.75 | overall: 3.5 
look: 3.5 | smell: 3 | taste: 4 | feel: 4 | overall: 3.75 
look: 4 | smell: 3.5 | taste: 3.75 | feel: 3.75 | overall: 3.75 
look: 4.25 | smell: 4.25 | taste: 4.25 | feel: 4 | overall: 4.25 
look: 3.75 | smell: 3.75 | taste: 3.75 | feel: 3.75 | overall: 3.75 
look: 4 | smell: 4 | taste: 4 | feel: 3.75 | overall: 3.75 
look: 3.5 | smell: 4 | taste: 4 | feel: 3.75 | overall: 4 Solid choice. 
look: 4.25 | smell: 3.75 | taste: 3.5 | feel: 4.25 | overall: 3.5 
look: 3 | smell: 3.25 | taste: 2.25 | feel: 2.75 | overall: 2.5 
look: 4 | smell: 3.5 | taste: 3.5 | feel: 3.5 | overall: 3.5 
look: 3.5 | smell: 3.5 | taste: 4 | feel: 4 | overall: 3.75 
look: 4 | smell: 2 | taste: 2 | feel: 2 | overall: 2 
look: 3.5 | smell: 3.25 | taste: 3.5 | feel: 3.75 | overall: 3.5 
look: 3.75 | smell: 3.5 | taste: 3.5 | feel: 3.25 | overall: 3.5 
look: 5 | smell: 5 | taste: 5 | feel: 5 | overall: 5 Classics never die. An excellent beer! 
look: 3.75 | smell: 3.75 | taste: 3.75 | feel: 3.75 | overall: 3.75 
look: 3.5 | smell: 3 | taste: 3.5 | feel: 3 | overall: 3.25 
look: 4.25 | smell: 4 | taste: 3.5 | feel: 3.5 | overall: 3.75 
look: 3.5 | smell: 3.75 | taste: 3.75 | feel: 3.75 | overall: 3.5 I enjoy the Belgian Blond Beers. Fat Tire is not a Blond but is a less fruity and less bubble gum tasting Belgiian Beer. More like the German style. A little expensive at $11 a six pack bottles.   
look: 3.75 | smell: 3 | taste: 3.75 | feel: 3.5 | overall: 3.75 12 Oz bottle poured into glass (Disclaimer on this one, been sitting in fridge for over a month, so not as fresh as ideal)  Look - bronze, copper colored with a medium foam head, some lacing on glass  Smell - Somewhat weak aroma, Belgian yeast with the malt presence and its fairly sweet. Some spicy fruits.  Taste - very fruity, its actually quite different that a typical Belgian style. Less banana or orange flavor and really no coriander. It's sort of like a pale ale to be real about it. Hops are certainly part of the flavor. Its fairly drinkable. Medium carbonation.     Well, it's hard to tell if this would be drastically better if it was freshly bottled but its a good beer overall. Not what i expected when i saw the words "Belgian style" but didn't know it was an amber ale. So i will give this beer a B+   
look: 4 | smell: 3.5 | taste: 3.5 | feel: 4 | overall: 3.5 
look: 4.25 | smell: 3.75 | taste: 3.75 | feel: 4.25 | overall: 4 
look: 5 | smell: 4.5 | taste: 4.25 | feel: 4.5 | overall: 4.5 
look: 4 | smell: 3 | taste: 3.75 | feel: 3 | overall: 4 
look: 3.75 | smell: 3.75 | taste: 3.5 | feel: 3.5 | overall: 3.5 
look: 4 | smell: 3.75 | taste: 3.5 | feel: 3.5 | overall: 3.5 
look: 3.75 | smell: 3.75 | taste: 3.75 | feel: 3.75 | overall: 3.75 
look: 3 | smell: 3 | taste: 3 | feel: 3 | overall: 3 
look: 4 | smell: 3.75 | taste: 3.75 | feel: 3.75 | overall: 3.75 
look: 4.25 | smell: 3.75 | taste: 4.25 | feel: 4 | overall: 4.25 
look: 2.75 | smell: 2.5 | taste: 2.75 | feel: 2.75 | overall: 2.25 
look: 4 | smell: 3.25 | taste: 3.25 | feel: 4 | overall: 3.5 
