look: 5 | smell: 5 | taste: 4.5 | feel: 5 | overall: 4.75 
look: 4 | smell: 3.75 | taste: 4 | feel: 3.5 | overall: 3.75 
look: 5 | smell: 3.5 | taste: 3.75 | feel: 4.5 | overall: 4 Poured from one of those widget cans into a glass. Beautiful nitro pour with huge thick off white head. Light roast aroma. Tastes mildly roasty with a hint of malt sweetness coming through. Balanced bitterness, no hop flavor or aroma. Super silky mouthfeel. Great experience when nitro tap setup is not available. A classic beer, rich and rewarding given the lower abv.   
look: 4.25 | smell: 4 | taste: 4.25 | feel: 4.25 | overall: 4.25 
look: 5 | smell: 4.5 | taste: 5 | feel: 4.5 | overall: 4.5 
look: 4 | smell: 3.75 | taste: 3 | feel: 3 | overall: 3.25 
look: 5 | smell: 3.5 | taste: 4 | feel: 4.25 | overall: 4.5 
look: 5 | smell: 4.25 | taste: 4.75 | feel: 4.25 | overall: 4.5 
look: 4 | smell: 4 | taste: 4 | feel: 3.75 | overall: 4 
look: 4.25 | smell: 3 | taste: 3.25 | feel: 3.25 | overall: 3.25 The stout for folks who don't want their stout to taste like a stout. The look is extremely deceptive. Weak, flavorless, and watery. Many others are much more efficient, not to mention far thicker and tastier. If you're really set on a Guinness, Extra Stout is the way to go.   
look: 4 | smell: 3.5 | taste: 4 | feel: 3.5 | overall: 3.75 
look: 4.5 | smell: 4 | taste: 4.25 | feel: 4 | overall: 4 
look: 4.5 | smell: 3.5 | taste: 3 | feel: 3.25 | overall: 3 
look: 5 | smell: 4.5 | taste: 5 | feel: 5 | overall: 5 
look: 5 | smell: 4.25 | taste: 4.25 | feel: 4.5 | overall: 4.5 
look: 3 | smell: 3 | taste: 3 | feel: 3 | overall: 3 A solid stout without much in the way of adulteration. A little thin, otherwise it’d be just about a clean 4. 2018/12/27 
look: 3.75 | smell: 2.5 | taste: 2 | feel: 3 | overall: 2.25 
look: 3 | smell: 3 | taste: 3 | feel: 3 | overall: 3 
look: 5 | smell: 5 | taste: 5 | feel: 5 | overall: 5 
look: 4.5 | smell: 3.25 | taste: 3 | feel: 3.75 | overall: 3 
look: 3.5 | smell: 3.25 | taste: 3.25 | feel: 3.25 | overall: 3.25 
