look: 4 | smell: 4 | taste: 4 | feel: 4 | overall: 4 Dark for an ipa but interesting taste. 
look: 4 | smell: 4 | taste: 4 | feel: 4 | overall: 4 
look: 3.5 | smell: 3.25 | taste: 3 | feel: 2.75 | overall: 3.25 Dark reddish amber 3 finger head that foams down, I kind of pick up a light chocolate smell with a little citrus, the taste is good but doesn't really have a lot going for it, feels a bit oily   
look: 5 | smell: 5 | taste: 5 | feel: 5 | overall: 5 
look: 3.25 | smell: 2.75 | taste: 3 | feel: 4 | overall: 3.75 Quite malty for an IPA, but that's not too much of a bad thing in my book. It' a decent IPA, well worth a try if you can get this in your area. Cheers! B-   
look: 3.75 | smell: 3.5 | taste: 3.75 | feel: 3.75 | overall: 3.75 
look: 1 | smell: 1 | taste: 1 | feel: 1 | overall: 1 Tastes like cigar ash 
look: 4.25 | smell: 4.25 | taste: 4.25 | feel: 3.75 | overall: 4.25 Nut brown with a hint of red and nice head without much retention. Well-balanced and mildly sweet with plenty of caramel, malty, bread notes. Hops provide just the right amount of backbone, but don’t overwhelm the beer. Very tasty and unusual; not west coast and not New England. More of a brown IPA/Scotch ale profile.   
look: 3.75 | smell: 4 | taste: 3.75 | feel: 4 | overall: 3.75 
look: 4.25 | smell: 4 | taste: 4.25 | feel: 4 | overall: 4.25 
look: 4 | smell: 3.5 | taste: 3.75 | feel: 3.5 | overall: 3.75 
look: 4 | smell: 4 | taste: 4 | feel: 4 | overall: 4 
look: 4 | smell: 3.5 | taste: 3.5 | feel: 3 | overall: 3.5 I get why others like this beer so much, but it just didn't do it for me. There was something about the taste that just felt unbalanced. The floral notes are really nice, but they quickly give way into an astringent bitterness that isn't exactly as nice a follow up as some other IPAs I've had. Beyond that, I didn't much care for the oily mouthfeel. Overall, an okay beer. Not one I would buy again.   
look: 3 | smell: 3 | taste: 3 | feel: 3 | overall: 3 
look: 4.25 | smell: 4 | taste: 4 | feel: 4.25 | overall: 4 
look: 3.75 | smell: 4.25 | taste: 4 | feel: 4 | overall: 4 
look: 3.25 | smell: 3.25 | taste: 3.25 | feel: 3 | overall: 3.25 
look: 4.5 | smell: 4 | taste: 4.25 | feel: 4.25 | overall: 4.25 
look: 4.25 | smell: 4.25 | taste: 4.25 | feel: 4.25 | overall: 4.25 
look: 4 | smell: 4 | taste: 4 | feel: 3.75 | overall: 4 
look: 4 | smell: 3.75 | taste: 4 | feel: 4 | overall: 4 From notes 3/6/14: Pours clear medium amber producing 2+ fingers of frothy, off-white, somewhat lasting head that leaves rings and wisps of lace. Aroma is floral and citrus hoppiness with caramel malt tones and hits of dog urine. Taste like the nose is floral and citrus with a hint of tropical fruits, moderately lively spice and backed by sweet caramel malts. The dog urine hint is in the mouth as in the nose. Starts hoppy and slightly sweet, balancing toward bitter hips/sweet malt in the middle, gravitating slowly towards bitter again in the finish but transitioning t o a full bitter hop bite and slightly astringent aftertaste. Just enough malt sweetness here to call this brew moderately balanced. Mouthfeel is medium bodied, a little oily and spicy with moderate carbonation. 4 stars.   
look: 3.75 | smell: 3.5 | taste: 3.75 | feel: 3.5 | overall: 3.75 
look: 4 | smell: 4 | taste: 4 | feel: 4.25 | overall: 4 
look: 4 | smell: 4 | taste: 4 | feel: 4 | overall: 4 It pours a nice deep amber color with about a finger of off white head. There was nice lacing left on the glass. It a really good beer for the style, my only problem with it is beers of that ABV, make me sleepy after consuming. I got all of the typical things you would associate with an IPA . Definitely worth a try.   
look: 4 | smell: 4 | taste: 4.25 | feel: 4 | overall: 4 
look: 4.5 | smell: 4.25 | taste: 4 | feel: 4.25 | overall: 4.25 
look: 4.5 | smell: 4 | taste: 4 | feel: 4 | overall: 4.25 
look: 4 | smell: 4 | taste: 4 | feel: 4 | overall: 4 This brings back memories of one of my favorite ales from years gone by: Pete's Wicked Ale! If Pete's was still around, I bet they would have improved and evolved into this. This pours slightly brown and coppery. Hint of caramel with a perfect balance of hops. Good choice if you are in the mood to have more than a few. I would call this an American Brown IPA. Like it.   
look: 4.75 | smell: 4.5 | taste: 4.25 | feel: 4.25 | overall: 4.25 
look: 3.75 | smell: 4 | taste: 4.25 | feel: 4 | overall: 4 
look: 4 | smell: 4.25 | taste: 4.25 | feel: 4 | overall: 4 
look: 4 | smell: 3.5 | taste: 3.75 | feel: 4.25 | overall: 4 Serving: Can  Best before: Sep-23-2018      A:  Pours a crystal clear copper color with a couple fingers of airy beige head that settles to a healthy film. Leaving nice lacing. (4)    S:  Caramel and spicy herbal licorice. (3.5)    T:  Nice flat bitterness on a vaguely bready malt middle with some grassy-medicinal bite in the finish.  (3.75)    M:  Mediumish body with bright carbonation and a dry hop-shellac finish. (4.25)    O:  This is a nice "old school" IPA. I don't necessarily like that term, but here we are.  Looks exactly like you'd hope, clear with all right retention. The aroma and flavor are both of spicy, somewhat earthy hop flavors intermingled with bready/caramely malt flavors. It is dry and drinkable with medium bitterness. Whenever I have beers like this these days it is a breath of fresh air. I adore NEIPAs as much as the next guy, but being so swamped with them makes beers like this that much more enjoyable. Nothing too fancy, a straightforward profile, dry and drinkable, bracing and tasty. (4)   
look: 1 | smell: 1 | taste: 1 | feel: 1 | overall: 1 
look: 3.5 | smell: 3.5 | taste: 3.5 | feel: 3.5 | overall: 3.5 
look: 3.5 | smell: 3.5 | taste: 3.5 | feel: 3.5 | overall: 3.5 
look: 4 | smell: 4 | taste: 3.75 | feel: 4 | overall: 4 
