look: 3.5 | smell: 3.75 | taste: 3.75 | feel: 4 | overall: 3.75 Poured from a single serve bottle into a tulip...    Pours crystal clear orange with visible carbonation, a limited head, but good lacing. Solid but not spectacular.    The aromas are classic DIPA, although mellow. Grapefruit flesh and zest, mango/guava, floral notes, grass, and white pepper. The hops present with somewhat of an oily aroma.    This DIPA has a strong malt presence at the forefront, but good hop balance. I was expecting more of an uneven hop bomb and was pleasantly surprised by the delivery. The crackery malt seamlessly gives way to grapefruit, pineapple, resin, white pepper, and grass. The ABV is well hidden.    The mouthfeel is medium with a good crisp finish thanks to excellent carbonation.     Overall a solid DIPA.   
look: 4.25 | smell: 4 | taste: 4.25 | feel: 4 | overall: 4 
look: 4.5 | smell: 4.75 | taste: 4.75 | feel: 4.5 | overall: 4.75 
look: 4 | smell: 4.5 | taste: 4 | feel: 4.25 | overall: 4 Poured from a 12oz bottle into a glass at 40-45 degrees,    Look: Pours a clear, vibrant orange color with a thick foamy, white head.  Smell: Aroma is overwhelming of hops.  Taste: The hop flavor is strong, but not too bitter.  Feel: The mouthfeel is thick and oily for an IPA.    Overall: This is a unique craft. As described it is overwhelming with hops. It must have been dry-hopped and then dry-hopped again, because while the bitterness remains low, the aroma and flavor is abounding with hops.   
look: 4 | smell: 4.25 | taste: 4.5 | feel: 4 | overall: 4.25 Light yellow, dense foam that keeps. Smells of lemon, pine, hints of grapefruit, maybe peach? Taste is citrusy, with intense, but pleasant hop bite. Bitterness lingers on the back of the tongue. Goes down smooth. Very flavorful. A keeper.   
look: 4 | smell: 4 | taste: 4 | feel: 4 | overall: 4 
look: 3.75 | smell: 4 | taste: 3.75 | feel: 3.25 | overall: 3.75 Just came off drinking Brown Shugga' a couple times, so I thought this would be great. Just an unremarkable beer with a pretty flat buzz. Won't buy again at anything close to nine bucks a six pack.   
look: 4 | smell: 4.25 | taste: 4.25 | feel: 4 | overall: 4.25 
look: 4.25 | smell: 4 | taste: 4.25 | feel: 4.25 | overall: 4.25 
look: 4 | smell: 4.25 | taste: 4.25 | feel: 4 | overall: 4.25 
look: 3.75 | smell: 4 | taste: 3.75 | feel: 4 | overall: 4 
look: 4.25 | smell: 4.25 | taste: 4 | feel: 4 | overall: 4.25 
look: 4.25 | smell: 4.25 | taste: 4.25 | feel: 4.25 | overall: 4.25 12oz bottled 10/17/18 (67 days ago Chicago) poured into a Spiegelau IPA glass at fridge temp 8% ABV 102 IBU. The beer pours mostly bright honey colored amber with sticky off white head. The head recedes to a thin cap and leaves a little lacing. The aroma is candied orange, tangerine, pine and caramel. The taste is semisweet caramel with a liberal dose of piney bitterness. Mouthfeel is medium to thin bodied and adequately carbonated. The finish is mostly dry, but not sweet, just sticky from the hops. Overall, very good. Classic west coast DIPA. Wish the dates were easier to read and decipher, as this would be an easy repeat buy.   
look: 4 | smell: 4.5 | taste: 4.5 | feel: 4 | overall: 4.25 LOOK: Crystal clear dark gold / copper / bronze color. Only a 1 finger head that dissipates quickly. Left with some lacing and a foam ring around the glass.  SMELL: Pungent Hops! All are in there: mango, pine, citrus, catty, etc. Some maltiness comes through.  TASTE: An absolute BLAST of hops - not on the bitterness side - although there is a slight bite at first. There is a sweetness of caramel and malt, but the hops quickly overtake the malt and the brew dries out slightly. There is a slight earthiness and woodiness to the tail end. All hop flavors come through strong: mango, pine, citrus, cattiness. Pretty complex with a lot of hop flavor. Very crisp and clean tasting.  FEEL: Medium bodied - could be better with a bit more carbonation - it seemed to flatten out fairly quickly.   OVERALL: A very tasty beer. This is so flavorful that any pale ale / IPA fan should enjoy. It's more like a Pale Ale that is turbo charged with late addition hops (so that there isn't much bitterness but tons of hop oils that infuse into the beer). I would grab more of these no problem.   
look: 4.25 | smell: 4.25 | taste: 4.25 | feel: 4.25 | overall: 4.25 
look: 4 | smell: 4 | taste: 4.25 | feel: 4.25 | overall: 4.25 The name originally drew me into this beer; "Hop Stoopid" is just so ridiculous I had to try it. On the label, the company had written "Life is Uncertain. Don't Sip" and other personal messages. In addition, I'vebeen searching for a high alcohol percentage beer, this one is 8%, that I didn't find too heavy.    The color was golden with little head. The smell was fresh and light. There was little carbonation and had a lovely hoppy flavor. It does have a bitter aftertaste, but it lighter than other beers I have had with this alcohol content. Overall, I liked the presentation of this beer, both in the glass and not, and the flavor. Would reccomend as a beer one can happily enjoy all night.   
look: 4 | smell: 5 | taste: 4.5 | feel: 4.75 | overall: 4.75 
look: 4.5 | smell: 4.75 | taste: 4.75 | feel: 4.5 | overall: 4.5 A clear golden color with slight Amber hues. Chunky seafoam style topping stays afloat with thick, sticky lace all over. An awe inspiring appearance.    This one is fueled by hop extract. Not the actual plant material we all know and pray to. But, it sure does smell like whole cone, fresh hops!!   Sticky lupilin, herbal earthiness...if you've ever crushed up a fresh hop cone in your hands...you know what I mean. A light, herbal and grainy malt thing also is detected in the fine aromatics of this Stoopid ale.    The first sip is just...wow. Soo clean, but wildly complex. The golden ale style malt brings out this grainy and herbal malty flavor that I just love. Clean, but mean. Light bodied feel, crisp with maybe a dash of sweet bread. The malt plays the role of a very flavorful and excellent feeling base, or low end, like a bass guitar. The hops, or the hop extract is the lead guitar, rythm, singer and drummer! It's hard to separate the hop flavors, because it just tastes like a fresh-hop, whole cone style lupilin explosion. 102 ibu's?? There is almost no bitterness...just layers of fresh hop flavor. Earthy, subtle pine, very herbal and "hearty". 8% abv?? Doesn't seem possible. I'm thinking 6% tops. This stuff is Soo damn easy to drink, it's dangerous.     Hop Stoopid....damn. just really impressive how such a complex brew can be Soo easy. I love the earthy and grainy hop after taste and malty backbone. The balance of flavor blurs the lines of tradition and makes it's own, new tradition.   
