look: 4.25 | smell: 4 | taste: 4 | feel: 4.25 | overall: 4 (2019)    A: Pours a light copper-orange when held to the light. Has a quickly dissipating white foam head.     S: The honey actually comes through a little bit, along with a faint floral aroma.     T: Overall, the taste is a balanced mixture of the quintessential west-coast floral/pine hop profile and a dollop of honey. I like the addition of honey, as it provides a unique alternative to the "malt backbone" that other DIPAs have. In particular, the flavors I get on this beer are sweet grapefruit, pinecone, honey, orange pith, and a dank oily hop presence.     M: I'd say this is on the heavier side, but with enough carbonation to balance things out. It's obviously not stout-like.     O: Wonderful beer. To me, Hopslam's flavor has a story: it's a beer that once was a typical west-coast DIPA, lost in the sea of millions of the same style. But then, somehow, it got bit by a radioactive bee and turned into a super honey-infused west-coast DIPA that saved the city.   
look: 3.75 | smell: 4.25 | taste: 4.25 | feel: 4 | overall: 4 Poured a transparent copper with a finger high head. I must admit, I neglected to read that this is a double brewed with honey, so I wasn't expecting the honey to be worked into the bouquet. It wasn't cloying, and turned out to be quite the harmonious aspect on the palate, balancing out the deep piney bitterness and working well with the citrus rind. Good snag, as always with Bells.   
look: 4.5 | smell: 5 | taste: 5 | feel: 4.25 | overall: 4.5 
look: 4.25 | smell: 4.25 | taste: 4.25 | feel: 4.25 | overall: 4.25 
look: 4.5 | smell: 4.75 | taste: 4.75 | feel: 4.5 | overall: 4.75 
look: 4.25 | smell: 4.25 | taste: 4.5 | feel: 4.5 | overall: 4.5 Tried this at Eli Cannon's in Middletown, CT. Came in a tulip glass with about a half inch of foamy head. Crystal clear copper color and decent, soapy lacing. The aroma hit me from the moment it hit the table. Nice and floral and fruity and very citrus forward. The flavor is in the pocket for a double IPA. Great beer, would drink again in a heartbeat.   
look: 4.75 | smell: 4.25 | taste: 4.5 | feel: 4.25 | overall: 4.75 Serving: 12 oz can (stamped “PKGD 23:28 011719”) poured into a Spiegelau IPA glass.    Appearance: Clear, bright bronze gold color with a towering head of white bubbly foam. Heads holds well and leaves and intricate lace pattern.    Smell: Pine needles and citrus zest (lemon, grapefruit) rounded out by warmer caramel malt and fruity hop notes. Faint hints of alcohol sneak through.    Taste: Boldly bitter, but balanced. Pine and citrus continue from the nose, along with crisp leafy bitterness. Full bodied malt and honey notes provide a welcome balance.    Mouthfeel: Medium body with a smooth, oily feel, and moderate carbonation.    Overall: Terrifically balanced and integrated DIPA with plenty of hip goodness but malt (and honey) to match.   
look: 5 | smell: 5 | taste: 5 | feel: 5 | overall: 5 It's the best double IPA in Indianapolis right now!!! 
look: 4 | smell: 4 | taste: 4.25 | feel: 4.25 | overall: 4.25 
look: 4.25 | smell: 4.25 | taste: 4.25 | feel: 4.25 | overall: 4.25 
look: 4.25 | smell: 4 | taste: 3.75 | feel: 4 | overall: 4 
look: 4.25 | smell: 4.5 | taste: 4.25 | feel: 4.25 | overall: 4.25 
look: 4 | smell: 4.25 | taste: 4.5 | feel: 4.5 | overall: 4.5 
look: 4 | smell: 4 | taste: 4.25 | feel: 4 | overall: 4 
