look: 4 | smell: 4 | taste: 4 | feel: 4 | overall: 4 
look: 4.25 | smell: 4.25 | taste: 4.5 | feel: 4.25 | overall: 4.25 I really enjoy this beer. They've done a nice job with it. *Almost* a nice NE Triple or something. Sweetness of the malt hides the alcohol well. Not hazy or cloudy . Has a nice mouth feel but not at all creamy, just hoppy. I actually don't know why this isn't rated higher.   
look: 4 | smell: 4 | taste: 4 | feel: 4 | overall: 4 
look: 5 | smell: 5 | taste: 5 | feel: 5 | overall: 5 
look: 4 | smell: 3.75 | taste: 4.25 | feel: 4 | overall: 4 
look: 3.75 | smell: 3.75 | taste: 3.75 | feel: 3.75 | overall: 3.75 
look: 3.75 | smell: 4 | taste: 4 | feel: 4 | overall: 4 
look: 4.25 | smell: 4 | taste: 4.25 | feel: 4.25 | overall: 4.25 
look: 4.25 | smell: 4.25 | taste: 4.25 | feel: 4.5 | overall: 4.25 
look: 4 | smell: 4 | taste: 4 | feel: 4 | overall: 4 
look: 4.25 | smell: 3.75 | taste: 4 | feel: 3.75 | overall: 4 
look: 4 | smell: 4.25 | taste: 4.25 | feel: 4.25 | overall: 4.25 Got a bottle from Bodega liquor, SD  Look: dark yellow, with some head but not too much, and dissipated quickly.   Taste: piney at first, and then the taste of orange peel, fruitiness, malt sweetness.  Feel: full body, first the bitterness on your tongue, but when that faded away, sweetness is all that's left, and orange peel taste.    An excellent brew. Will recommend it to anyone!   
look: 4 | smell: 3.75 | taste: 4 | feel: 4.25 | overall: 4 
look: 4 | smell: 4 | taste: 4.25 | feel: 4 | overall: 4 
look: 4.25 | smell: 4.25 | taste: 4.25 | feel: 4 | overall: 4.25 
look: 4.25 | smell: 4.25 | taste: 4.25 | feel: 4.25 | overall: 4.25 
look: 4 | smell: 4.25 | taste: 4.25 | feel: 4 | overall: 4.25 OMFG! How izzit that I have NOT drank, reviewed & rated this beer until now?!? Granted, it only comes in Bottled format, but still, I have had at least one every year since its inception. I must have been drinking them out in town, away from my keyboard, but it is high time to correct that oversight!    From the Bottle: "Distinguished, yet devilishly hoppy"; "Every year, we try to top ourselves by making the hoppiest, most intense and most flavorful IPA we can muster. This year, we chose the most flavorful hops and pushed them beyond their limits in this all-new triple IPA. This reimagined Hoptimum is our hoppiest beer yet, providing a blend of tropical and citrus hop aroma that delivers a refined yet aggressive character."; "We brew in Chico, CA, and Mills River, NC, to bring you the finest quality beer."    I felt really lucky to score a single bottle of the 2018 Edition & I was anxious to get started, so I "Use[d a] Bottle Opener" on the "Fresh Seal Cap" & began a C-Line pour. It jumped up to greet me like an eager puppy upon its master's return from a day at work! I got just under three fingers of dense, foamy, rocky, tawny head with good retention that left elegant lacing in its wake. Color was Amber to Deep Amber/Light Copper (SRM = > 9, < 13) with NE-quality clarity. Nose smelled very tropical with loads of mango, papaya, guava & passionfruit. Mmm. I don't get as excited for Southern Hemisphere hops as I once did, but this set my mouth to watering. Mouthfeel was medium, a little light for this big style. The taste was indicative of what I hope is the coming DIPA trend - a blend of PNW and SoHem hops to offset the (usually) cloying sweetness of the tropical fruitiness with the bitterness from citrusy hops. Here, the tropical fruit salad party was disrupted by the sudden jangly arrival of grapefruit, but the two factions got along well. It was still sweet ... ish, but the bitter citrusiness was not only welcome, but it helped to hold the sweetness in check. Not to be overlooked, the alcohol content cast a fusel heat on the party, reminding the participants to take it easy & NOT to slug it down as though it were nothing. Finish was pleasantly dry & you can bet your bottom dollar that I will be partaking again next year!   
look: 4 | smell: 4.5 | taste: 4 | feel: 4 | overall: 4 
look: 3.25 | smell: 3.75 | taste: 3.5 | feel: 3.5 | overall: 3.5 
look: 4 | smell: 3 | taste: 4.25 | feel: 4 | overall: 4.25 Nice smooth, fruity finish. Not too hoppy. 
look: 4.25 | smell: 4 | taste: 4 | feel: 4.25 | overall: 4 
look: 4 | smell: 3.75 | taste: 4.25 | feel: 4 | overall: 4 Deep, rich gold color with good white cap and lacing.    Aroma of resin, citrus and a deeper scent I'll call ripe fruit.    Hops are upfront and strong, as expected, yet held together by an invisible cord that keeps the whole hop bundle continuous rather than strands fraying off. I can identify certain hop flavors but indistinctly because each blends with the other so well there is no clear line when one leaves off and another starts. Very complex and dry.    Brewer says hoppy and I believe it, not from bitterness, rather from sheer hop presence. Very complex and balanced with an emphasis on hop levels geared toward the true hop fan.   
look: 4.25 | smell: 3.75 | taste: 4 | feel: 4.5 | overall: 4 
look: 4.25 | smell: 4.5 | taste: 4.5 | feel: 4.5 | overall: 4.25 
look: 4 | smell: 4.25 | taste: 4 | feel: 4.25 | overall: 4.25 
look: 3.75 | smell: 4.5 | taste: 4.5 | feel: 4.5 | overall: 4.5 From Decervecitas. In Teku glass. Playing Avadon 3. Nice herbal and citrusy notes above a deliciously sweet malty body, with the high abv well hidden and an adequate bitterness compensating   
look: 4.5 | smell: 4.5 | taste: 4.25 | feel: 4 | overall: 4.5 
look: 3.75 | smell: 3.5 | taste: 4.25 | feel: 4.25 | overall: 4 
look: 4.25 | smell: 4 | taste: 4 | feel: 3.75 | overall: 4 Pours a classic cpper color and off white head with crystal clarity. Nothing hazy here. Nose is citrus and pinecones. Not overly aggressive so far.     Big hop flavors initially, with medicinal and herbal hops joining the thrust and parry of citrus and pine. Alcohol comes on in the second half of the sip but quickly subsides. There is even the faintest hint of malty bread notes in the finish, not that this necessarily makes this balanced, but still. A bit heavy in the texture. Not my favorite DIPA, but certainly a solid effort on the style.   
look: 4 | smell: 4.25 | taste: 4 | feel: 4.25 | overall: 4.25 
look: 4 | smell: 4.25 | taste: 4.25 | feel: 4 | overall: 4 
look: 4 | smell: 3.75 | taste: 3.75 | feel: 4 | overall: 4 Look is a burnt orange with a flat head. Smells dank, piney with a hint of citra hop. Taste is smooth and very boozy. Fells like velvet but with a heavy alcohol presence at the end. Overall this is a put you on your ass DIPA. 2 will do the the trick but 3 will keep you from doing any tricks.   
look: 4 | smell: 3.75 | taste: 4 | feel: 3.75 | overall: 4 
look: 4 | smell: 4 | taste: 3.75 | feel: 3.5 | overall: 3.75 
look: 4 | smell: 4 | taste: 4 | feel: 4 | overall: 4 
