look: 4.25 | smell: 4.25 | taste: 4.25 | feel: 4.5 | overall: 4.25 
look: 5 | smell: 4 | taste: 4 | feel: 3.75 | overall: 4 
look: 4 | smell: 4.25 | taste: 4 | feel: 4 | overall: 4 
look: 4.5 | smell: 4.5 | taste: 3.5 | feel: 3.5 | overall: 4 
look: 4 | smell: 3.5 | taste: 3 | feel: 3 | overall: 3.25 
look: 4 | smell: 3 | taste: 4 | feel: 3.75 | overall: 4 
look: 3.75 | smell: 3.5 | taste: 3.75 | feel: 3.75 | overall: 3.75 This is definitely a good beginner IPA. It indicates what your personal taste wants from an IPA. More fruit or citrus flavor or more malt to balnce out the the hops.   Beer looks good as it has lots of little carbonation bubbles. Head dissapates after short time. Smell was unexpectedly not potent with some citris and pine. Taste follows suit with slight initial sweetness quickly followed by moderate pine bitterness. Very dry.  I need something in one direction or the other. Probably not fair to compare to Sculpin /Fresh Squeezed or Union Jack/Two Hearted. Standard IPA.   
look: 4 | smell: 4.25 | taste: 4.5 | feel: 4.25 | overall: 4.5 
look: 5 | smell: 3.5 | taste: 5 | feel: 5 | overall: 4.75 
look: 4 | smell: 4 | taste: 4 | feel: 4 | overall: 4 
look: 4.25 | smell: 4.25 | taste: 4.25 | feel: 4.25 | overall: 4.25 
look: 4.75 | smell: 4.5 | taste: 4.5 | feel: 4 | overall: 4.5 
look: 4 | smell: 4 | taste: 4.25 | feel: 4.25 | overall: 4 
look: 4.5 | smell: 4.25 | taste: 4.5 | feel: 4.25 | overall: 4.25 
look: 3.75 | smell: 3.75 | taste: 3.5 | feel: 3.75 | overall: 3.75 Part of a variety 12-pack $18.99 Target  Citrus smells  Clear golden amber tinged color  Medium mouthfeel  Medium carbonation  Citrus flavors, bitter aftertaste  Overall a typical IPA. Nothing outstanding. Not worth the premium price.   
look: 4 | smell: 4.25 | taste: 4 | feel: 4.5 | overall: 4.25 
look: 4 | smell: 4 | taste: 4 | feel: 4 | overall: 4 
look: 3.75 | smell: 3.5 | taste: 3.25 | feel: 3.25 | overall: 3.5 Not too much to say. This IPA is just like standard IPA. The hop scent is a bit more perky than some other IPA's, but this is just a normal IPA on the market. Enjoyable, but kinda normal.   
look: 3.5 | smell: 4.25 | taste: 4 | feel: 4 | overall: 4.25 Stone cold shiz... 
look: 4 | smell: 3.75 | taste: 4 | feel: 3.75 | overall: 4 
look: 4.25 | smell: 4 | taste: 4 | feel: 4.25 | overall: 4 Poured from a single-serve into a pub glass.    Pours a classic amber-gold with a fine two-finger head and good lacing. Just a hint of haze.     The aromas are subdued, but excellent. Grapefruit citrus and oily pine resin hops in equal measures meld with just a hint of crackery malt--not sweetness, but just enough maltiness to balance.    The flavor is skewed hoppy, but not overwhelmingly so. Floral hops hit the beginning of the sip, with citrus (grapefruit flesh and pith) rounding out the middle palate, and oily pine hops and a touch of booze at the finish. The malts present on the nose are, again, just barely noticeable here.    The mouthfeel is excellent. Medium-bodied with a fine crisp finish.    I don't remember the last time I had one of these, but it would good to revisit an old-timer. There are certainly better and more creative offerings of the style now, but this is a solid rock.   
look: 4.5 | smell: 4.5 | taste: 4.75 | feel: 4.5 | overall: 4.5 
look: 4 | smell: 4.25 | taste: 4 | feel: 4 | overall: 4 
look: 4 | smell: 4.25 | taste: 4 | feel: 4 | overall: 4.25 
look: 4.5 | smell: 4.25 | taste: 4 | feel: 4 | overall: 4 
look: 4 | smell: 4 | taste: 4 | feel: 3.75 | overall: 4 
look: 3.75 | smell: 4.25 | taste: 4.5 | feel: 4 | overall: 4.25 
look: 4.75 | smell: 3.75 | taste: 3.75 | feel: 4 | overall: 4 It has been so long since I have had this beer. One of the first IPAs I have ever had if I correctly recall.   L: Pours dark straw yellow in color. Nearly perfectly transparent, as is the case with most of these OG WCIPAs. From a simple pour, a frothy 3 finger of head was formed that settled down to what amounts to about a fingers worth of the same, densely packed head. Heaps of lacing on the glass, a true pleasant site. It coats the glass and makes me ever more so enthused.   S: Malt-forward, with healthy amounts of citrus and dankness. A smell that instantly harkens you back to the days of the OG WCIPAs. Dank and citrusy with a malt backbone.   T: Very hoppy and bitter up front, the you get the cascade of sweetness from the malts on the finish. Citrus flavor is present throughout, primarily consisting of lemon and grapefruit. Aftertaste is pine with dank resinous flavor and finally sweet malt at the finish. Sweeter than I remember, maybe due to bottle age.   F: Light in body, more medium in weight. Carbonation is moderate for the style. Smooth and easy to drink.   O: It still holds up well and is fun to revisit classics like this. Very drinkable at 6.9abv. Like I said, it is sweeter than I remember, but still tastes great on this rainy day. I am very glad to have re-tried. Cheers!   
look: 4 | smell: 4 | taste: 3.5 | feel: 3.5 | overall: 3.5 
look: 4.25 | smell: 4.25 | taste: 4.5 | feel: 4.25 | overall: 4.25 
look: 4 | smell: 4 | taste: 4 | feel: 4 | overall: 4 Look: Clear light amber; 1 finger of dissipating white foam on top; lacey.    Smell: earthy, pine, pineapple / mango    Taste: Opens with sweet citrus / tropical fruit that transitions to a lingering grapefruit pith at the close.    Feel: smooth; silky; welcoming    Overall: A classic IPA with all the components of the style very nicely represented; unassuming and  highly drinkable.   
look: 4.25 | smell: 4.25 | taste: 4.25 | feel: 4.25 | overall: 4.25 As far as a straight up, regular, no-frills IPA goes, this is a good one. Better than Yards. 
look: 4 | smell: 4 | taste: 4.25 | feel: 4 | overall: 4 
look: 4 | smell: 4 | taste: 4 | feel: 4 | overall: 4 
