look: 3 | smell: 3 | taste: 2.5 | feel: 2.5 | overall: 2.5 
look: 4 | smell: 4 | taste: 4 | feel: 4 | overall: 4 
look: 4.5 | smell: 4 | taste: 4.25 | feel: 4 | overall: 4.25 
look: 4.5 | smell: 4.25 | taste: 4.25 | feel: 4.25 | overall: 4.25 
look: 4 | smell: 4 | taste: 3.5 | feel: 3.75 | overall: 3.75 Poured from a 12oz can at 45 degrees,    Look: Pours a hazy dark orange color with a strong white head.  Smell: Aroma of citrus, with a hint of pine backed by some sweetness  Taste: Well-hopped and bitter with flavors of candied orange or clementine, but surprisingly dry.  Feel: Well carbonated with a little spicy kick.  Overall:   
look: 3.75 | smell: 3.75 | taste: 3.75 | feel: 3.75 | overall: 3.75 
look: 4.75 | smell: 4 | taste: 4 | feel: 4 | overall: 4.25 Nice near clear copper with dense rocky head and lace. Citrus pine and cereal aroma. Medium light cereal sweetness with light fruitiness. Medium-strong assertive grapefruit pine bitterness in fairly dry spicy finish. Medium body lively. Excellent.   
look: 4.5 | smell: 4.25 | taste: 4.25 | feel: 3.5 | overall: 4.5 Smooth and sweet not overpowered by alcohol. Good balance of hops and carbonation. Alot of citrus flavor. 
look: 4 | smell: 3.5 | taste: 4 | feel: 3.75 | overall: 4 
look: 3.5 | smell: 4.5 | taste: 4 | feel: 3.75 | overall: 4 From the 12 fl. oz. can dated 01/30/2019. Sampled on February 12, 2019.    The appearance is golden, heady, and with excellent clarity. Not one of those juicy or foggy IPAs that are so popular these days.    This has a boisterous aroma of citrus and pine with an ester of grainy or white bread malts. It is pretty fresh and for a 7.5% I do not get any alcohol on the nose.    Smooth, medium mouthfeel.    As for the taste, there is an introductory sweet breadiness that quickly evolves into a powerful citrus and pine hop finale. It is also far more bitter than I expected and the bitterness lingers. I see why it gets such high ratings.   
look: 4 | smell: 4.25 | taste: 4.25 | feel: 4 | overall: 4.25 
look: 4.25 | smell: 4.25 | taste: 3.75 | feel: 4 | overall: 3.75 
look: 4.75 | smell: 5 | taste: 4.75 | feel: 4.5 | overall: 4.75 
look: 4 | smell: 4 | taste: 4.25 | feel: 4 | overall: 4.25 
look: 4 | smell: 4.25 | taste: 4.5 | feel: 4.25 | overall: 4.25 
look: 4 | smell: 4 | taste: 4.25 | feel: 4.25 | overall: 4 
look: 4.25 | smell: 4.25 | taste: 4.75 | feel: 4.5 | overall: 4.75 One of the best IPAs I've ever had. Very citrusy, almost like it was brewed with grapefruit zest. Love that citrus bite, just a tiny bit of sweetness comes through to balance it out nicely. No burn even though it's over 7% abv, easy to throw a few of these back. This would be great in the hot Florida sun with some fish tacos.   
look: 4 | smell: 4.25 | taste: 4.25 | feel: 4 | overall: 4.25 
look: 4.25 | smell: 4.5 | taste: 4.25 | feel: 4 | overall: 4.25 
look: 4.25 | smell: 4 | taste: 4.25 | feel: 4.25 | overall: 4.25 
look: 4 | smell: 4 | taste: 4.5 | feel: 4.5 | overall: 4.5 I am not huge into IPAs and was a bit turned off by the 7.5 ABV but this beer was excellent. From my naive taste point, i thought it was lighter than most IPAs with a clean, crisp taste. Definitely could appreciate the citrus. Having this in dead of winter (-20 today) gave me a bit of reprieve and made me feel like I was sitting in a crab shack in tampa!   
look: 4 | smell: 4.25 | taste: 4.25 | feel: 4.25 | overall: 4.25 
look: 4 | smell: 4 | taste: 4.25 | feel: 4 | overall: 4.25 
look: 4.25 | smell: 4 | taste: 4.5 | feel: 4.5 | overall: 4.5 
look: 3.75 | smell: 3.5 | taste: 3.5 | feel: 3.75 | overall: 3.5 I used to LOVE this beer. The first time I tried it, many years ago in Orlando, I was blown away. Whenever someone I knew was driving to Maryland from Florida I would always try to wrangle a case. So I was very excited when it became available locally, though I was a little skeptical of the Oskar Blues thing. Anyway, I tried one of the first batches from OB. Not impressed. Apparently they were not using a centrifuge for the hops. So I gave it some time, tried again, still not impressed.  I finally decided to give one more shot. Cans dated 1/9/19. Really disappointing. What happened to the wonderful tropical fruit deliciousness? What happened to the balance? This beer is a shadow of its former self. I can't believe the folks at Cigar City and Oskar Blues think this is acceptable. This has gone from being a unique, delicious brew to an unremarkable generic "craft beer". What a shame. I expect this sort of thing from AB InBev, but Oskar Blues should do better. Never again.   
look: 4 | smell: 4.5 | taste: 4.5 | feel: 4 | overall: 4.25 On tap at The Blue Tusk, Syracuse NY. Tried a sample, compared to one of our favorites, Ithaca's Flower Power. Both my wife and I decided on the Jai Alai. Great decision. Super taste and aftertaste. Went great with our food. Might be the best IPA I've tried, and that is quite a few. Will drink it again, anytime I have the chance.   
look: 4 | smell: 4.25 | taste: 4.25 | feel: 4.25 | overall: 4.25 
look: 4.5 | smell: 4 | taste: 3.75 | feel: 4 | overall: 4 
look: 4.5 | smell: 4.5 | taste: 4.5 | feel: 4.5 | overall: 4.5 
look: 4 | smell: 4.25 | taste: 4.5 | feel: 4.25 | overall: 4.25 
look: 4.25 | smell: 4.5 | taste: 4.75 | feel: 4.75 | overall: 4.75 Appearance:  Light copper, hazy with some particles floating. Medium-fast raising bubbles. Thick rocky head. Very good head retention. Leaves a very nice lacing behind.    Aroma:  Bright, citrusy, grapefruit, some herbal, slight onion, sweet bread, caramel, hint of toffee.    Taste/Finish/Body:  Burst of bright hops up front, citrus, grapefruit, tangerine, herbal, some resinous, touch of onion. Solid malt backbone, sweet bread, caramel, some butterscotch. Finish is bitter-sweet, lingers long. Medium bodied, sticky, juicy, crisp, refreshing, medium carbonation, super drinkable.     Overall:  It's a world class American IPA!!   
look: 4 | smell: 4 | taste: 4.25 | feel: 4 | overall: 4 
look: 4.25 | smell: 3.75 | taste: 4.25 | feel: 4.5 | overall: 4.25 
look: 5 | smell: 4.75 | taste: 4.75 | feel: 5 | overall: 4.75 Nice, bright and hoppy!   A perfect every-day-kind of IPA.   Solid recommendation all around. 
look: 3.5 | smell: 4 | taste: 4.25 | feel: 3.75 | overall: 4 
look: 4.5 | smell: 4.75 | taste: 4.25 | feel: 4.25 | overall: 4.25 
look: 2.75 | smell: 3.5 | taste: 2 | feel: 3.25 | overall: 2.5 This is just too bitter for me to really get into, but hey if you like your IPA's with an intense bitterness then this might be the beer for you. You have to be a big IPA fan to really like this beer because this is a bitter one I tell you, it's worth a try if your into that kind of thing. Cheers! C   
look: 4 | smell: 4.5 | taste: 4.5 | feel: 4 | overall: 4.25 
look: 4 | smell: 4 | taste: 4 | feel: 4.5 | overall: 4.25 
look: 4.75 | smell: 4 | taste: 4.5 | feel: 4.25 | overall: 4.25 The IPA is about a forty-five days old. The last beer out of the six pack. I have thoroughly enjoyed this beer. The beer is 45 degrees and served in a pint glass. The pour of the beer produced a two finger creamy and frothy white head. The head dissipated fairly slowly and left lacing on the glass. The lacing on the glass is thick and coating. The color of the beer is SRM 4 a pale gold with a touch of amber. The clarity of the beer is clear. The beer has carbonation bubbles but not a lot. Overall this is a beautiful beer. 4.5  The initial aroma in the beer is juicy oranges and tropical notes (pineapple and papaya). Next, I get lightly toasted malts, toasted bread crumbs, a touch of caramel, pine, floral, and resin. Lastly, I smell yeast and herbal. The nose could have more robust aromas. 4  The flavors in the beer are pine, herbal, resin, grapefruit, lemons, tropical, toasted bread crumbs, a subtle malt sweetness, yeast, herbal, and grass. The flavor is where this beer shines. 4.25  The mouthfeel of the beer is astringent and dry. 4.25  The body of the beer is medium, medium carbonation, and a medium-plus finish.   Overall this beer is a solid IPA. I was hoping for the beer's nose was more pungent. This is a must try beer for any IPA fan. Great flavors and a well-balanced beer. 4.25   
look: 4 | smell: 4.75 | taste: 4.5 | feel: 4.25 | overall: 4.5 
look: 3.75 | smell: 4.25 | taste: 4.5 | feel: 4 | overall: 4.5 
look: 5 | smell: 5 | taste: 5 | feel: 5 | overall: 5 I love this stuff! So tasty! If you've never had it, you have to try it. On my second 1/2 barrel keg and I'm still not tired of it. It's one of my favorite go to beers!   
look: 4.5 | smell: 4.5 | taste: 4.75 | feel: 4.5 | overall: 4.75 
look: 3.75 | smell: 3.25 | taste: 4 | feel: 4.25 | overall: 4 Supposedly one on FL best IPA's, maybe one of the best sellers? 
look: 4 | smell: 3.75 | taste: 4.25 | feel: 4 | overall: 4 
look: 3.75 | smell: 4 | taste: 4 | feel: 4 | overall: 4 
look: 3.25 | smell: 3.5 | taste: 4 | feel: 3.75 | overall: 4.25 
look: 4.25 | smell: 3.75 | taste: 4.25 | feel: 4.25 | overall: 4.25 Canned 20 Nov, purchased at Kings in Phoenix.     A clear copper with a dense offwhite head with good retention and lacing this looks great. The nose has a nice blend of pungent grapefruit, fragrant Clementine, pine and some caramel. Mild notes of toast and alcohol heat as well. The palate opens bitter and with plenty of grapefruit pith and zest, along with orange peel, Clementine and a little floral honey. The mid palate has a mild caramel note. Drying, bitter and juicy on the finish, this beer is medium light in body and softly carbonated. Quite excellent.   
look: 4 | smell: 4 | taste: 4 | feel: 4 | overall: 3.75 
look: 4.25 | smell: 4.25 | taste: 4.25 | feel: 4.25 | overall: 4.25 
look: 4.5 | smell: 4.25 | taste: 4.25 | feel: 4.5 | overall: 4.25 
look: 4 | smell: 3.5 | taste: 3.5 | feel: 4.25 | overall: 3.75 Canned on 12/12/18. 12oz bottle poured into a tulip. Pours golden with some haze to it along with some subtle clarity to it as well; creamy eggshell white head that falls slowly leaving great retention and sticky lacing. The aromas have some citrus and floral notes going on. Some bread, crackers and caramel. Malts are there. The aromas are kind of mild, but open up a bit as it slightly warms. The flavors have a nice scathing bitterness. Citrus is there. Some grapefruit and orange. Lots of pine resin. Hints of caramel. More bread and crackers. Malts do their thing without dominating the hops. It finishes juicy and dry at the same time. Alcohol basically goes unnoticed. Mouthfeel is full-bodied with moderate to active carbonation. It's fluffy, creamy, thick and sharp. It's pretty smooth for the most part.     This is a solid IPA. It's pretty bold. The craftsmanship is on point and really takes this one to the next level. I might not be personally crazy about this one, but I appreciate it and am enjoying it.   
look: 3.5 | smell: 3.5 | taste: 3.5 | feel: 3.5 | overall: 3.5 16oz from the tap.  Cooper, a little maltier than expected. Low carbonation.     It's pretty good, but it came with some higher expectations than it delivered. Not sure why it's held in such high esteem. Availability, maybe?   
look: 4.25 | smell: 4 | taste: 4.25 | feel: 4.25 | overall: 4.25 
look: 4 | smell: 4 | taste: 4 | feel: 4 | overall: 4 
look: 4 | smell: 4 | taste: 4.5 | feel: 4.5 | overall: 4.5 
look: 4.25 | smell: 4.25 | taste: 4.25 | feel: 4.25 | overall: 4.25 
look: 4.25 | smell: 4.25 | taste: 4.25 | feel: 4.25 | overall: 4.25 
look: 4.5 | smell: 4.25 | taste: 4.25 | feel: 4.25 | overall: 4.25 
look: 4.25 | smell: 4.25 | taste: 4.5 | feel: 4.25 | overall: 4.25 
look: 4 | smell: 4 | taste: 3.75 | feel: 4 | overall: 4 
look: 4 | smell: 4.25 | taste: 5 | feel: 4.75 | overall: 4.75 
look: 4.25 | smell: 4.25 | taste: 4.25 | feel: 4.25 | overall: 4.25 
look: 4.5 | smell: 4.25 | taste: 4.25 | feel: 4.5 | overall: 4.5 
look: 4.25 | smell: 4 | taste: 4.25 | feel: 4.25 | overall: 4 
look: 4.5 | smell: 4.75 | taste: 5 | feel: 4.25 | overall: 4.5 Balanced and delicious IPA. Makes living in the Tampa Area that much better. 
look: 4.25 | smell: 3.5 | taste: 4 | feel: 3.25 | overall: 3.75 
look: 4.25 | smell: 4.5 | taste: 4.25 | feel: 4 | overall: 4.75 
look: 4 | smell: 4 | taste: 4.5 | feel: 4.25 | overall: 4.5 
look: 4.25 | smell: 4.75 | taste: 4.75 | feel: 4.5 | overall: 4.5 
look: 3.5 | smell: 4 | taste: 4 | feel: 3.75 | overall: 4 
look: 4.25 | smell: 3.75 | taste: 4.5 | feel: 4.25 | overall: 4.25 
look: 4.25 | smell: 4 | taste: 4.25 | feel: 3.75 | overall: 4 From notes 12/7/11: Pours a deep gold producing 2.5 fingers of loose, frothy, eggshell tan, lasting head. Aroma is malty sweetness, honey, lots of citrus hop notes and apple juice. Taste is grapefruit up front, sweet caramel malt in the middle followed by by a nice, mild hoppy bite. Finishes acidic with a hoppy bitterness that builds and lingers in the aftertaste.   
look: 4.25 | smell: 4.25 | taste: 4.25 | feel: 4.25 | overall: 4.25 
look: 4 | smell: 4 | taste: 4 | feel: 4 | overall: 4 Had this with Rich at Sierra Tavern 
look: 4.25 | smell: 4.25 | taste: 4 | feel: 4 | overall: 4 
look: 4.25 | smell: 4.25 | taste: 4.25 | feel: 4.25 | overall: 4.25 
look: 4 | smell: 4 | taste: 4.5 | feel: 4 | overall: 4.5 
look: 4.75 | smell: 4.5 | taste: 4.75 | feel: 4.25 | overall: 4.75 
look: 4.25 | smell: 3.75 | taste: 3.75 | feel: 3.5 | overall: 3.75 
look: 4.25 | smell: 4 | taste: 4.25 | feel: 4.25 | overall: 4.25 
look: 3.75 | smell: 3.75 | taste: 3.5 | feel: 3.5 | overall: 3.75 
look: 4.5 | smell: 4.5 | taste: 4.75 | feel: 4.75 | overall: 4.75 
look: 4.5 | smell: 4.75 | taste: 4.75 | feel: 4.5 | overall: 4.75 
look: 3.75 | smell: 4 | taste: 4.25 | feel: 4 | overall: 4 
look: 4 | smell: 4 | taste: 4.5 | feel: 4.25 | overall: 4.5 
look: 4.25 | smell: 4.25 | taste: 4.5 | feel: 4.25 | overall: 4.25 
look: 4.75 | smell: 4.5 | taste: 5 | feel: 4.5 | overall: 5 
look: 4 | smell: 4 | taste: 4 | feel: 4 | overall: 4 
look: 4.5 | smell: 4.5 | taste: 4.5 | feel: 4.5 | overall: 4.5 
look: 4.5 | smell: 4.25 | taste: 4.25 | feel: 4.5 | overall: 4.5 
look: 5 | smell: 5 | taste: 5 | feel: 5 | overall: 5 
look: 4 | smell: 4.25 | taste: 4.25 | feel: 4 | overall: 4 Nice malty backbone. This beer has changed over the years but still an excellent IPA. 
look: 4 | smell: 4.5 | taste: 4.25 | feel: 4 | overall: 4 
look: 4 | smell: 4 | taste: 4 | feel: 4 | overall: 4 
