look: 4.5 | smell: 4.75 | taste: 4.75 | feel: 4.5 | overall: 4.75 
look: 4 | smell: 4 | taste: 4 | feel: 4 | overall: 4.25 Bottle @ home (bb date was November 2017, enjoyed this about 15 months after that. Pitch black colour. Mocha coloured head with short retention. The nose is full of roasted malts, ground coffee and dark chocolate, with a touch of red fruit, umami and booze. Lots of coffee retronasal with just hints of bourbon. Flavour is moderate sweet with the bitterness of roasted coffee and dark chocolate. Medium bodied. Long finish with lots of roast and chocolate, light bitterness.   
look: 4.5 | smell: 4.25 | taste: 4.25 | feel: 4.5 | overall: 4.25 
look: 4 | smell: 4 | taste: 4 | feel: 4 | overall: 4 
look: 4.5 | smell: 4.5 | taste: 4.5 | feel: 4.5 | overall: 4.5 
look: 4 | smell: 4.75 | taste: 4.75 | feel: 4.5 | overall: 4.5 Look - poured into a 5 oz tasting glass. Pitch black with a small head and some lacing.  Smell - strong coffee, dark chocolate, vanilla, caramel, and smokiness from the aging. Incredible complexity. Some booziness detected in the smell too.  Taste - coffee flavor dominates, followed by hints of chocolate and vanilla. A fair bit of carbonation, and smokiness is definitely present. Kind of like actually drinking an iced coffee. Finish is long and smooth. Really delicious.  Feel - full bodied, higher on carbonation than I would expect out of the style. A strong brew at 12.3%, but if you didn't check, you wouldn't even know because the alcohol is so well masked.  Overall - a phenomenal barrel aged stout that is really done right. Complexity paired with drinkability = perfection.   
look: 5 | smell: 4.75 | taste: 4.25 | feel: 4.75 | overall: 4.5 
look: 4.75 | smell: 4.75 | taste: 4.75 | feel: 4.75 | overall: 4.75 
look: 4.5 | smell: 4.75 | taste: 4.5 | feel: 4.5 | overall: 4.5 
look: 4.5 | smell: 4.5 | taste: 4.5 | feel: 4.25 | overall: 4.5 
look: 3 | smell: 2.5 | taste: 2.5 | feel: 2 | overall: 2.5 
look: 5 | smell: 4.75 | taste: 4.75 | feel: 4.75 | overall: 4.75 
look: 4.5 | smell: 4.25 | taste: 4.25 | feel: 4.5 | overall: 4.5 
look: 4.5 | smell: 4.25 | taste: 4.25 | feel: 4.5 | overall: 4.25 
look: 4.75 | smell: 4.5 | taste: 4.75 | feel: 4.75 | overall: 4.75 
look: 5 | smell: 5 | taste: 4.75 | feel: 4.75 | overall: 4.75 
look: 5 | smell: 4.75 | taste: 5 | feel: 5 | overall: 5 
