look: 3.75 | smell: 3.75 | taste: 4 | feel: 4.25 | overall: 4 
look: 3 | smell: 3 | taste: 1.5 | feel: 1.5 | overall: 1.75 
look: 4 | smell: 4 | taste: 4 | feel: 4 | overall: 4 
look: 3.75 | smell: 3.75 | taste: 4 | feel: 4 | overall: 3.75 
look: 4 | smell: 3.75 | taste: 3 | feel: 3.5 | overall: 3.5 
look: 4.25 | smell: 4 | taste: 3.5 | feel: 3.5 | overall: 3.5 
look: 4 | smell: 3.75 | taste: 3.75 | feel: 3.75 | overall: 3.75 
look: 3.5 | smell: 3.5 | taste: 3.5 | feel: 3.5 | overall: 3.75 this is a solid aall around ipa with wide availability and fair price, the brass at Heineken have this everywhere now, would always get local craft over this but still a solid ipa   
look: 3.5 | smell: 3.75 | taste: 4 | feel: 3.75 | overall: 3.75 
look: 3.25 | smell: 3.25 | taste: 3.25 | feel: 3.25 | overall: 3.25 
look: 4 | smell: 3.75 | taste: 4 | feel: 4 | overall: 4 
look: 3.75 | smell: 4 | taste: 4 | feel: 4 | overall: 4 
look: 4.25 | smell: 4.25 | taste: 4.25 | feel: 4.25 | overall: 4.25 
look: 3.75 | smell: 3.75 | taste: 3.75 | feel: 3.75 | overall: 3.75 
look: 4 | smell: 4 | taste: 4 | feel: 4 | overall: 4 Very clear amber color. Around medium carbonation with a slightly thin body.  Aroma is grapefruit, citrus peel,a little pine  Taste is citrus, some malt, astringent grapefruit, mild bitterness which made this an easy drinking beer   
look: 4 | smell: 4 | taste: 4 | feel: 4 | overall: 4 
look: 3.5 | smell: 3.5 | taste: 3.5 | feel: 3.5 | overall: 3.5 
look: 4 | smell: 3.75 | taste: 4 | feel: 4 | overall: 4 
look: 4 | smell: 4 | taste: 4 | feel: 4 | overall: 4 
look: 3.75 | smell: 4 | taste: 4 | feel: 3.75 | overall: 4 
look: 3.75 | smell: 3.75 | taste: 3.75 | feel: 3.75 | overall: 3.75 
look: 4.25 | smell: 4.25 | taste: 4 | feel: 3.75 | overall: 4 
look: 3.5 | smell: 3.5 | taste: 3.5 | feel: 3.5 | overall: 3.75 Light tropical fruit notes, fair amount of bitterness, i have to agree that this is a well done west coast style IPA. Cheers! B 
look: 4 | smell: 3.75 | taste: 3.75 | feel: 4 | overall: 4 
look: 3.5 | smell: 3.5 | taste: 4.5 | feel: 4 | overall: 4 
look: 3.5 | smell: 3.75 | taste: 4 | feel: 4 | overall: 4 
look: 4 | smell: 4 | taste: 4 | feel: 4 | overall: 4 Nice IPA with good color small head and just the right amount of hoppiness to this beer. Goes down extremly smooth and fninishes even smoother to boot   
look: 4 | smell: 3.75 | taste: 4 | feel: 4 | overall: 4 
look: 3.5 | smell: 3.5 | taste: 3.5 | feel: 3.5 | overall: 3.5 
look: 3.75 | smell: 3.75 | taste: 3.75 | feel: 3.75 | overall: 3.75 
look: 3.75 | smell: 3.75 | taste: 4 | feel: 4 | overall: 4 
look: 3.5 | smell: 4 | taste: 4 | feel: 4 | overall: 3.75 On draft. Extremely clear for an IPA. Honey colored. Nice hoppy aroma with a pineapple fruit front taste with nicely balanced bitterness. Just like the look the feel is very clean. Solid all around West Coast Style IPA.   
look: 3.75 | smell: 4 | taste: 3.5 | feel: 4 | overall: 3.5 Tap. Clear gold with one finger head fluffy head. American hops: grapefruit, pine. The hops are less citrus in the taste, more earth, with pine and dankness. It has a pretty nice malt background. Nice and smooth with a medium-full mouthfeel. Higher carbonation and bitterness   
look: 4.25 | smell: 3.5 | taste: 3.75 | feel: 4 | overall: 3.75 Split a pitcher of this brew. Looked very nice in plastic and glass both. Sharp nose, but mild on the tongue. An easier drinking IPA than most, and I was hardly tired of it by the third glass.   
look: 3.75 | smell: 3.75 | taste: 3.5 | feel: 3.75 | overall: 3.5 
look: 4.25 | smell: 3.5 | taste: 4 | feel: 4 | overall: 4 Pillowy white head. Crystal clear light Amber color.     Nose is citrus, floral, piney, and bready.     Taste is citrus and bready malts. Quite bitter. Sweet in the middle. Finishes dry.     Mouthfeel is just under medium bodied. Light alcohol warmth. Very quafable.     Overall, a soldid beer that still holds up against the crazy variety in the IPA genre.   
look: 3.75 | smell: 4 | taste: 3.75 | feel: 3.5 | overall: 3.5 
look: 4 | smell: 3.75 | taste: 4.25 | feel: 4 | overall: 4 
look: 3.75 | smell: 3.75 | taste: 3.75 | feel: 3.75 | overall: 3.75 
look: 3.75 | smell: 3.75 | taste: 3.75 | feel: 3.75 | overall: 3.75 
look: 3.25 | smell: 3.25 | taste: 3.25 | feel: 3.75 | overall: 3.5 
look: 3.5 | smell: 3.5 | taste: 3.5 | feel: 3.5 | overall: 3.5 The Problem is .... that this is probably on of the most skunked beers... it is popular but I believe it sits around a long time at some of these restaurants.   
look: 3.75 | smell: 3.75 | taste: 3.25 | feel: 3.75 | overall: 3.5 
look: 3.5 | smell: 3.75 | taste: 4 | feel: 3.75 | overall: 3.75 
look: 3.5 | smell: 3.5 | taste: 3.75 | feel: 3.5 | overall: 3.75 
look: 4 | smell: 4 | taste: 4 | feel: 4 | overall: 4 
look: 4.25 | smell: 4 | taste: 4.25 | feel: 4 | overall: 4.25 
look: 4 | smell: 4 | taste: 4.5 | feel: 4.25 | overall: 4.25 
look: 3.75 | smell: 3.75 | taste: 4 | feel: 4 | overall: 4 
look: 4.25 | smell: 4 | taste: 4.25 | feel: 4.25 | overall: 4.25 
look: 4 | smell: 4.5 | taste: 4.25 | feel: 4 | overall: 4.5 
look: 4.5 | smell: 4.5 | taste: 5 | feel: 4.75 | overall: 4.75 Brewer says made with 43 different hops and 65 different malts. Obviously, I can't check the truth of that claim but this beer definitely has a unique and delightful taste.    Okay, forget the 43 different hops and 65 different malts which I assume the person in charge of their website considered witty. Anyway, I found a video supposedly of their Brewmaster, Jeremy Marshall, in which it says that the beer is made with 2-row, English Crystal and Caramel Malts, then hopped with CTZ, Willamette and Cascade hops.    At least the taste of the brew is honest. It is simply great!   
