look: 4 | smell: 4 | taste: 4 | feel: 4 | overall: 4 
look: 4.5 | smell: 4.25 | taste: 4.25 | feel: 4.25 | overall: 4.25 
look: 4.5 | smell: 4.25 | taste: 4.5 | feel: 4.5 | overall: 4.5 Excellent DIPA! Well balanced. Very tasty IPA! I prefer high IBU and dank IPAs and this was a good one. 
look: 4.25 | smell: 4.25 | taste: 4 | feel: 4.25 | overall: 4.25 
look: 4.5 | smell: 4.25 | taste: 4.75 | feel: 5 | overall: 4.5 
look: 4.25 | smell: 4 | taste: 3.75 | feel: 4 | overall: 4 12oz can into a goblet. canned 11/8/18, so 6 weeks old.     Dull hazy orange body. Small white head leaving excellent lacing.    Strong hop aroma here.     Hoppy, VERY dank, somewhat bitter. No other flavors. The 10.0 abv is nigh undetectable, so drinker beware.     Mouth close to full and bitey. Finish bitter.    Overall, I've been looking to try a fresh one of these for some time, since in this part of PA, the shelves only have 4-8 month old Maharaja. Must admit to being slightly disappointed by this beer. Not bad in any way, and dank is certainly not my preferred IPA flavor profile. The beer just didn't grab me the way I hoped.   
look: 4.25 | smell: 4 | taste: 4.5 | feel: 4 | overall: 4.5 
look: 4 | smell: 4 | taste: 4 | feel: 4.25 | overall: 4 
look: 4.75 | smell: 4.25 | taste: 4.5 | feel: 4 | overall: 4.25 
look: 4.25 | smell: 4 | taste: 3.75 | feel: 4.25 | overall: 4 
look: 4 | smell: 4.25 | taste: 4.25 | feel: 4.25 | overall: 4.25 
look: 5 | smell: 5 | taste: 5 | feel: 5 | overall: 5 exactly what I want in a beer 
look: 4.25 | smell: 4 | taste: 4 | feel: 4.25 | overall: 4 
look: 3.75 | smell: 3.75 | taste: 3.75 | feel: 3.75 | overall: 3.75 
look: 4.25 | smell: 4.25 | taste: 4.25 | feel: 4.25 | overall: 4.25 
look: 5 | smell: 4 | taste: 4 | feel: 5 | overall: 4 
look: 4.25 | smell: 4.5 | taste: 4.75 | feel: 4.25 | overall: 4.5 Truly one of the greatest Imperial IPAs that is currently being brewed. Dark and heavy, but not dank, slightly syrupy, but not sickeningly sweet. Amazing hops! Very well balanced.    I first tried this at Avery's taproom in Boulder a few beers... years ago. My wife and I sampled at least half of the available beers that day, so at least a dozen of the 20+ beers on tap. This one stood out in to both of us as being the most perfectly balanced offering they had. Even the tap master (bartenders are for mixing sissy drinks in bars, this was a Tap Room) said this was one of his absolute favorites.     If you like DIPAs or Imperial IPAs, find some of this and try it. You will most likely love it.   
