look: 3.5 | smell: 3 | taste: 3 | feel: 3.5 | overall: 3.5 
look: 4 | smell: 4.25 | taste: 4 | feel: 4.5 | overall: 4 
look: 4.25 | smell: 3.75 | taste: 3.5 | feel: 3.5 | overall: 3.75 
look: 4 | smell: 3.5 | taste: 3.5 | feel: 4.25 | overall: 3.25 The lactose milk sugar is big in this beer but its lacking in flavor compared to other milk stouts that I have had, the coffee note is faint, it's an okay milk stout but I have had better. Cheers! B   
look: 3.75 | smell: 3.75 | taste: 3.75 | feel: 3.75 | overall: 3.75 
look: 4 | smell: 4.25 | taste: 4 | feel: 4 | overall: 4 One of my favorite stouts. Definitely in my top 10 
look: 4 | smell: 4 | taste: 4 | feel: 4 | overall: 4 
look: 4 | smell: 4 | taste: 4 | feel: 4 | overall: 4 
look: 4.25 | smell: 3.75 | taste: 4.25 | feel: 4 | overall: 4 
look: 4 | smell: 3.5 | taste: 3.25 | feel: 3.25 | overall: 3.25 
look: 4.5 | smell: 4.25 | taste: 4.5 | feel: 4.25 | overall: 4.25 
look: 3.75 | smell: 4 | taste: 4 | feel: 3.75 | overall: 4.5 Had this at a Cajun/creole restaurant in Roswell, GA. It was poured from a bottle into a shaker, both of which were very, very cold…..at least 35°F. Super-dark brown, but not what I’d call black.  I think the over-chilling significantly affected the head (super-thin) and subdued the aroma. Aroma was mostly coffee and mild chocolate, with a touch of roasted malt.  There was more coffee and roast in the taste than chocolate. Minimal hops in the taste.  Mouthfeel was another casualty of the temperature….it seemed almost flat. However, the bittering provided a decent back-bite that was surprisingly effective at clearing the palate for another spoonful of super-sweet bread pudding.  I’d have this again and make sure it’s a little warmer. The beer I received suffered from being served too cold.   
look: 4 | smell: 4 | taste: 4.25 | feel: 4 | overall: 4 
look: 4.25 | smell: 4 | taste: 4 | feel: 4.25 | overall: 4 
look: 4 | smell: 3.75 | taste: 4 | feel: 3.75 | overall: 4 
look: 4.75 | smell: 5 | taste: 4.75 | feel: 5 | overall: 4.75 
look: 4.25 | smell: 4 | taste: 4.25 | feel: 4 | overall: 4.25 
look: 4 | smell: 4.25 | taste: 4.25 | feel: 4 | overall: 4.25 
look: 4 | smell: 4 | taste: 4 | feel: 4 | overall: 4 
look: 3.5 | smell: 3.5 | taste: 3.75 | feel: 3.5 | overall: 4 
look: 3.75 | smell: 3.75 | taste: 3.75 | feel: 3.75 | overall: 3.75 I expect more sweetness in milk stout. This is more dunkel like. 
look: 4 | smell: 4.25 | taste: 4 | feel: 4 | overall: 4 Poured from 12oz bottle into stout glass. No dating information found.  Dark brown colored body, with brown backlit highlights. Half a finger of creamy tan head sticks around. Each sip leaves behind a widely dispersed pattern of lacing.  Aroma of roasted malt, coffee, chocolate, and a touch of vanilla.  Taste of roasted malt, coffee, and dark chocolate. Provides a little sting to the tongue but no bitterness.  Medium to full, smooth mouth feel. Okay carbonation.  Very tasty milk stout that brings a smoothness and avoids any sour bitterness.   
look: 4 | smell: 4 | taste: 4.25 | feel: 4 | overall: 4 
look: 4.25 | smell: 4 | taste: 4.25 | feel: 4.25 | overall: 4.25 Bottle poured into a Mountain Rambler Brewing Co pint glass    A: Pours nearly black with a frothy tawny brown head that settles to a light layer and laces well.     S: Roasty, toasty, slightly nutty, chocolate, cocoa powder, hints of coffee, slightly earthy, with some lactose and toffee sweetness.     T: Smooth roasted malt, chocolate, hints of coffee, earthy, slightly nutty, faint herbal notes, sweet cream, and a little toffee sweetness.     M: Medium body, mild carbonation, creamy smooth.     O: One of the best milk stouts around. As much as I love the nitro version, the standard is just as good.   
look: 4 | smell: 4 | taste: 4 | feel: 4 | overall: 4 
look: 4.75 | smell: 4.5 | taste: 4.75 | feel: 4.75 | overall: 4.75 
look: 4.5 | smell: 4.5 | taste: 4.5 | feel: 4.5 | overall: 4.5 
look: 4 | smell: 3.75 | taste: 4 | feel: 3.75 | overall: 3.75 
look: 4 | smell: 4 | taste: 4.5 | feel: 4.25 | overall: 4.5 Perfect beer as we approach the holidays! Goes down very smooth and is one of the best Milk Stouts out there on the market. Like it better than the Nitro Stout!   
look: 4 | smell: 4 | taste: 4 | feel: 4 | overall: 4 
look: 3.75 | smell: 3.75 | taste: 3.75 | feel: 4 | overall: 3.75 
look: 4.25 | smell: 4 | taste: 4.5 | feel: 4.25 | overall: 4.25 Great colour and head on the pour. So smooth and great nutty/coffee flavour notes. This stout has an amazing flavour that goes down easy. 
look: 4 | smell: 3.75 | taste: 3.5 | feel: 3.5 | overall: 3.75 
look: 4 | smell: 3.75 | taste: 4.25 | feel: 4.75 | overall: 4 great feel on the way in, wonderful creamy taste 
