look: 4 | smell: 3.75 | taste: 4 | feel: 3.75 | overall: 4 12 oz can into IPA glass. Dated best by 5/17/19.  Look is fairly clear reddish brown. Smell is fairly light hops/yeast/malt balance. Taste follows nose. Very balanced. Feel is light. Overall a nice beer but I would not seek it out but would drink again.   
look: 4 | smell: 3.75 | taste: 3.75 | feel: 4.5 | overall: 4.25 
look: 4 | smell: 4 | taste: 4 | feel: 4 | overall: 4 
look: 4 | smell: 3.75 | taste: 4.25 | feel: 4 | overall: 4.25 
look: 4.25 | smell: 4.5 | taste: 4.25 | feel: 3.75 | overall: 4.25 
look: 4.25 | smell: 3.75 | taste: 4.25 | feel: 4.25 | overall: 4 
look: 4.5 | smell: 4.5 | taste: 4.25 | feel: 4.25 | overall: 4.25 12-oz. can, Freshest By 05/17/2019. An easy pour creates a finger of light beige froth with long retention and ridges of lacing. Clear deep copper-amber, orange-amber in front of light.  Bright hops; pine, citrus, herbal and spicy greet the nose with some caramel malt and faint alcohol.  Semi-sweet, caramel malt-rich start to the taste with semi-bitter hops. The hop flavors and bitterness increases during the middle with apple and citrus fruit. The finish is fast and clean, a little dry and bitter with the hop flavors lingering for a long aftertaste. Alcohol is hidden during the taste. Medium-full bodied, ample carbonation. Smooth easy drinker. Great looks, smell, taste and feel. Hoppy as all hell yet balanced by the abundance of malt.   
look: 4.5 | smell: 4.5 | taste: 4.5 | feel: 4.5 | overall: 4.5 A WONDERFUL drinking experience.   Golden finish, an amazing hops experience.   I can't say I've ever tried a "Imperial Red Ale" before this...But I loved it!   Solid recommendation.  So much character in a single glass.  Can't wait for my next one!   
look: 4.5 | smell: 4 | taste: 4 | feel: 4.25 | overall: 4.25 Nitro pint at The Brass Tap in Baltimore. The NO2 seemed to smooth out the aggressive hops, and it was just the right brew for a "false" Spring day. 
look: 4.25 | smell: 4.25 | taste: 4.25 | feel: 4.25 | overall: 4.25 
look: 4.5 | smell: 4.25 | taste: 4.25 | feel: 4 | overall: 4.25 Pours a translucent amber with two fingers of white foam that retains beautifully well, with a long lingering foam ring. Aroma is pine, resin, citrus, and sticky hops forming a lightly sweet, balanced nose. Bready, earthy, caramel malts round out the remainder of the aroma profile. Flavor profile is pine, resin, citrus, and lightly dank hops for a semi-sweet opening that is balanced out well by malts. Malts are bready, earthy, and caramel. Mouth feel is lightly fuzzy, with a touch of effervescence. It's a little too fuzzy to be 'crisp', but nears that level of refreshment. It has a medium thickness. Overall, balance between hops and malts are fantastic, with both being allowed to shine.     Served in a 15.5oz Speigalau tulip from a 12oz bottle.   
look: 4.5 | smell: 4.25 | taste: 4.5 | feel: 4.25 | overall: 4.25 
look: 4.25 | smell: 4.25 | taste: 4.5 | feel: 4.5 | overall: 4.5 This beer never disappoints, great hop showcase. 
look: 5 | smell: 4.25 | taste: 4.25 | feel: 4.25 | overall: 4.5 Look ? Ooooooo!!! Beautiful copper-orange!!! A lot of people don't like orange....anything... I do :) ("Official beer of Oompa Lumpas everywhere!" ??? :P ) . Luxurious off-white head, that persists for awhile, and leaves a good amount of lacing.    Aroma is ruby grapefruit, on the sweet end of the grapefruit spectrum, some sweet, honey-ish toasted malt , and some mango , as promised on the label.    Taste is pine, sweetish grapefruit, bitter-grapefruit pith, and some fruited-mead-like sweet/sour. It finishes with a rounded stab of pine/grapefruit bitterness , on the anterior quarter of the tongue, that lingers for a minute or so.    Feel is moderately oily/creamy, with some very fine carbonation tingle that mixes in, builds, and takes over on the finish.     Overall, very good. Nice balance between the fruity elements, the pine, and the sweetish malt. Smooth, and easy-drinking. The total is greater than the sum of the parts.   
look: 4.25 | smell: 3.5 | taste: 3 | feel: 3 | overall: 2.75 
look: 4.5 | smell: 4.25 | taste: 4.25 | feel: 4.5 | overall: 4.5 
look: 3.75 | smell: 3.75 | taste: 3.75 | feel: 3.75 | overall: 3.75 Meh? Its alright but definitely overrated. I was expecting something incredible special and was somewhat disappointed. Anticipated more of a potent amber ale with some hoppy snap added, but just got another IPA really. I'm suffering from IPA fatigue and really don't need another. I'll finish my sixer and that'll be it.   
look: 4 | smell: 4.25 | taste: 4.25 | feel: 4 | overall: 4.25 
look: 5 | smell: 5 | taste: 4.75 | feel: 4.75 | overall: 4.75 I tend to say away from hoppy beers but this one is just plain fantastic. The hops have a pleasant almost grapefruit like taste that balances well with the sweetness of the beer. I am on my second one and will grab another six pack tomorrow.   
look: 3.75 | smell: 3.75 | taste: 3.75 | feel: 3.75 | overall: 3.75 
look: 4.5 | smell: 4 | taste: 5 | feel: 4.5 | overall: 4.5 My favorite beer, hands down! I hate the fact it’s seasonal. 
look: 3.75 | smell: 3.25 | taste: 3.5 | feel: 3 | overall: 3.5 
look: 4.5 | smell: 4.25 | taste: 4.5 | feel: 4.25 | overall: 4.25 
look: 4.5 | smell: 4 | taste: 4.25 | feel: 4 | overall: 4 
look: 4 | smell: 4 | taste: 4 | feel: 4 | overall: 4 
look: 4.25 | smell: 4 | taste: 4.5 | feel: 4 | overall: 4.25 
look: 4.5 | smell: 4.5 | taste: 4.25 | feel: 4.25 | overall: 4.25 
look: 4.25 | smell: 4 | taste: 4.5 | feel: 4.25 | overall: 4.25 
look: 4.5 | smell: 4.5 | taste: 4.5 | feel: 4.25 | overall: 4.5 
look: 4.75 | smell: 4.5 | taste: 4.75 | feel: 4.75 | overall: 4.75 
look: 4.25 | smell: 4 | taste: 3.75 | feel: 4 | overall: 3.75 Nice smooth and easy to drink. 
look: 4.25 | smell: 4.25 | taste: 4.25 | feel: 4.25 | overall: 4.25 
look: 4 | smell: 3.75 | taste: 3.75 | feel: 3.75 | overall: 3.75 This beer was ok, but not in my wheelhouse. It has a fair amount of hop, so I was not turned of by too much malt (which happens with some red ales). However, it is kind of boozy. I had this from a can a couple of months ago.   
look: 3.75 | smell: 3.5 | taste: 3 | feel: 3 | overall: 3 
look: 5 | smell: 5 | taste: 5 | feel: 5 | overall: 5 
look: 4.25 | smell: 4.25 | taste: 4.25 | feel: 4.25 | overall: 4.25 
look: 4 | smell: 3.75 | taste: 3.75 | feel: 3.75 | overall: 3.75 
look: 4.5 | smell: 4.25 | taste: 4.25 | feel: 4 | overall: 4.25 
look: 4.5 | smell: 4.5 | taste: 4.5 | feel: 4.5 | overall: 4.5 
look: 4.25 | smell: 4 | taste: 4.5 | feel: 4.25 | overall: 4.25 
