look: 4 | smell: 4 | taste: 4.5 | feel: 4 | overall: 4.25 
look: 4.25 | smell: 4 | taste: 4 | feel: 4.25 | overall: 4 
look: 4.25 | smell: 3.5 | taste: 4 | feel: 3.5 | overall: 4.25 From 530 mil bottle into pint glass. L. Initial inch of light tan, tightly bubbled head over black body. Head subsides to about 1 cm but remains throughout most of the bottle. S. Slightly pungent, yeasty, a touch of fruit, grain. T. A surprise up front, quite strong molasses/vegemite (Promite or Marmite equivalent), liquorice with a little grain. Not sweet at all, and finishes quite dry. F. Has that silky feel of oatmeal stouts but otherwise lighter than expected. Don't really notice carbonation. O. Obviously an iconic stout but quite different to the oily, choc/coffee ones that seem so prevalent (which I love, by the way). Surprisingly drinkable and easy to put a way a few!   
look: 5 | smell: 4 | taste: 3.75 | feel: 5 | overall: 4 Light chocolate, oat smell. Taste is a little bitter at first, then you really taste the oats and a hint of raisin and a lot of malt. Drink ability is very good.   
look: 4 | smell: 3.75 | taste: 3.75 | feel: 4 | overall: 3.75 
look: 4 | smell: 4 | taste: 4 | feel: 4 | overall: 4 
look: 4 | smell: 4 | taste: 4.25 | feel: 4.25 | overall: 4.25 
look: 4 | smell: 4 | taste: 4 | feel: 4 | overall: 4 
look: 4 | smell: 4.25 | taste: 4.25 | feel: 4.5 | overall: 4.25 550ml bottle    Pours a wonderful finger and a half of light brown head into my Samuel Smith nitro (British pint) glass. Looks very creamy and pillowy. Body is completely black, even when held up to the light, only small hues of mahogany appear. Head retention was maybe a touch better than average. A sturdy film, along with good initial lacing is left behind. Overall it looks quite nice so far.    Up front the nose has the sweet british malt aroma, almost molasses esque. A little bitterness/sour aroma. Notes of velvet chocolate. Not getting much of the traditional roasty or oatmeal notes, but I'm not used to drinking british beers. Overall very sweet, almost desert like, with a little bitterness at well. Smells pretty good.    It's pretty well balanced on the flavor. Not nearly as sweet as the nose would indicate, which is totally fine. Somewhat surprising hop presence, not terribly high, but again, way more than the nose suggested. Not really much oatmeal, that aspect stays true. Maybe just a hair of roasted malt, along with a nice malty backbone. Light caramel notes, though not biscuity. Very nice flavor.    Mouthfeel is interesting. Pretty light bodied, almost crisp. Carbonation is about medium. The beer is malty on the flavor, but there aren't any invasive sugars, it drinks relatively dry - pretty sure I like that aspect a fair amount. Yeah, it rounds out to be a super crushable stout, and doesn't assault my mouth with sticky sugars.    The drinkability is very high overall. It's tasty, light, dry, and goes down easy.    The appearance turned out decent. Lacing was present throughout most of the glass, but was certainly a little patchy. Tough one to grade here because it started out pretty strong. I think it's still a pretty good looking beer overall.    Overall this is a really pleasant beer to drink. Pretty flavorful, well balanced, dry and sessionable as well.   
look: 3 | smell: 1 | taste: 3 | feel: 3 | overall: 3 550ml bottle into a pint glass.     Pours jet black w/eggshell white head. Smells of biscuit/white bread crust/dark fruits. Taste is the same w/chocolate and malt. Mouth feel is creamy and smooth. Over all a delightfully delicious stout. A solid A +. Abv 5% so I can drink two pints easily.   
look: 4 | smell: 4 | taste: 3.75 | feel: 3.5 | overall: 3.5 
look: 4.25 | smell: 4 | taste: 4.25 | feel: 4 | overall: 4 
look: 5 | smell: 5 | taste: 5 | feel: 5 | overall: 5 One of the first stouts I have ever had. This one is oat meal heaven! Still easily one of the best stouts I have ever had, this one is full bodied along with a gigantic flavor profile.   
look: 4.5 | smell: 4.5 | taste: 4.75 | feel: 4.5 | overall: 4.5 
look: 4.25 | smell: 4.25 | taste: 4.25 | feel: 4.25 | overall: 4.25 
look: 4.25 | smell: 4.25 | taste: 4.25 | feel: 3.5 | overall: 4 
look: 4.5 | smell: 4.25 | taste: 4.5 | feel: 4.25 | overall: 4.25 
look: 4.25 | smell: 4.25 | taste: 4.25 | feel: 4.25 | overall: 4.25 
look: 4.5 | smell: 4 | taste: 4.25 | feel: 4.75 | overall: 4.5 
look: 4 | smell: 4 | taste: 4 | feel: 4 | overall: 4 Had a small pout in a flight, but I'm sure I've had it in the past as well. It's a tastier stout, though this pour was a bit maltier than I remembered.   
look: 4 | smell: 4.25 | taste: 4 | feel: 4.25 | overall: 4 
look: 3.75 | smell: 3.75 | taste: 4.25 | feel: 4 | overall: 4 
look: 4.5 | smell: 4.5 | taste: 4.75 | feel: 4.5 | overall: 4.5 
look: 4 | smell: 4.25 | taste: 4.25 | feel: 4 | overall: 4.25 
look: 4 | smell: 3.75 | taste: 4 | feel: 4 | overall: 3.75 
look: 4 | smell: 4 | taste: 4 | feel: 4 | overall: 4 
look: 3.5 | smell: 3.25 | taste: 3.75 | feel: 3.5 | overall: 3.5 
look: 3.25 | smell: 4 | taste: 3 | feel: 2.75 | overall: 3.25 
look: 4 | smell: 4.25 | taste: 4.25 | feel: 4 | overall: 4.25 
look: 5 | smell: 4.5 | taste: 5 | feel: 4.5 | overall: 5 One of my absolute favorite beers. Not another stout that I like more and I make it a point to try as many as I can. If you're looking for a rich stout, you can't beat this oatmeal one. Everything else from Samuel Smith is great too.   
look: 4.25 | smell: 4 | taste: 4.25 | feel: 4.25 | overall: 4.25 
look: 4 | smell: 4.5 | taste: 4.75 | feel: 5 | overall: 4.75 
look: 4 | smell: 4 | taste: 4.5 | feel: 4.25 | overall: 4 From notes 8/1/12: Pours a very deep brown (appears black) with ruby hued edges when held to the light. The pour produces 2+ fingers of variously bubbled frothy, somewhat lasting, mocha head that a moderate coating of lace. Aroma is dark malt notes of chocolate, fig, prune with hints of coffee and anise. Faint hops in the background. Taste is roasted malt notes of Tootsie Roll chocolate, toasted dark bread, molasses, prune, faint smoke with a light bitter character initiating at mid-sip, intensifying in the finish and rapidly diminishing in the aftertaste. Mouthfeel is medium to low-heavy body with low-moderate carbonation, smooth and creamy.   
look: 4 | smell: 4.25 | taste: 3.75 | feel: 4 | overall: 4 
look: 4 | smell: 4 | taste: 4.25 | feel: 4 | overall: 4.25 
look: 4.5 | smell: 4.25 | taste: 4.5 | feel: 4.5 | overall: 4.5 
look: 4.25 | smell: 4 | taste: 4 | feel: 3.75 | overall: 4.25 Smooth and well-balanced. Mostly chocolate/coffee flavors up front, with the oatmeal coming in and fading later. Deep, rich brown color, almost opaque.   
look: 4.5 | smell: 4.25 | taste: 4.5 | feel: 4.25 | overall: 4.5 
