look: 3.75 | smell: 3.75 | taste: 4 | feel: 3.75 | overall: 3.75 
look: 3.5 | smell: 3 | taste: 3.75 | feel: 3.5 | overall: 4 This beer is citrus forward & the wheat is there but it's not overpowering. It's a solid warm weather type of beer. Cheers! B 
look: 3.75 | smell: 3.75 | taste: 3.75 | feel: 3.75 | overall: 3.75 
look: 3 | smell: 3 | taste: 3 | feel: 3 | overall: 3 H66 
look: 4.25 | smell: 4 | taste: 4.25 | feel: 4.25 | overall: 4.25 
look: 5 | smell: 4.5 | taste: 4 | feel: 4 | overall: 4 
look: 4 | smell: 4.25 | taste: 4.25 | feel: 4 | overall: 4.25 
look: 4 | smell: 4 | taste: 4 | feel: 4 | overall: 4 Solid overall. 
look: 4 | smell: 4 | taste: 4 | feel: 4 | overall: 4 
look: 4.5 | smell: 5 | taste: 4 | feel: 4 | overall: 4 
look: 4 | smell: 4.25 | taste: 4.5 | feel: 3.75 | overall: 4.25 
look: 4 | smell: 3.75 | taste: 3.75 | feel: 3.25 | overall: 3.5 
look: 3.75 | smell: 3 | taste: 3.75 | feel: 3.5 | overall: 3.5 
look: 5 | smell: 5 | taste: 5 | feel: 5 | overall: 5 
look: 3.5 | smell: 3 | taste: 3 | feel: 3 | overall: 2.75 
look: 4 | smell: 3.75 | taste: 3.5 | feel: 3.75 | overall: 3.75 
look: 4 | smell: 3.5 | taste: 3.5 | feel: 3.75 | overall: 3.5 
look: 5 | smell: 4 | taste: 4 | feel: 4.5 | overall: 4.5 
look: 3.75 | smell: 4 | taste: 4.25 | feel: 3.75 | overall: 4 
look: 4 | smell: 4 | taste: 4.5 | feel: 4 | overall: 4.25 
look: 3.75 | smell: 3.75 | taste: 3.75 | feel: 3.75 | overall: 3.75 
look: 4.25 | smell: 4.25 | taste: 4.5 | feel: 4.25 | overall: 4.5 
look: 5 | smell: 4.5 | taste: 4.75 | feel: 3.75 | overall: 4.75 
look: 4 | smell: 4 | taste: 4 | feel: 4 | overall: 4 
look: 2.5 | smell: 2.5 | taste: 2.5 | feel: 2.5 | overall: 2.5 
look: 3.75 | smell: 3.75 | taste: 3.75 | feel: 3.75 | overall: 3.75 Clearly out of season, but whatever - I'm giving it a try... Medium-gold and clear with a coupla fingers of white head... Has a mild citrus and gentle spice character - kicks off herbal and floral aromas... Feel is smooth but lively, amply carbonated, mildly sweet, mildly bitter... Very easy to drink...     Definitely not my style but a decent enough beer for what it is...   
look: 4 | smell: 4 | taste: 4.25 | feel: 4 | overall: 4 Yellow in color, tastes fruity like a summer beer, and feels heavy on the mouth. 
look: 4 | smell: 3.5 | taste: 3.75 | feel: 3.75 | overall: 3.75 
look: 4 | smell: 3.75 | taste: 3.75 | feel: 3.5 | overall: 3.5 
look: 4.25 | smell: 3.5 | taste: 3.5 | feel: 3.75 | overall: 3.5 Pours a cloudy golden color with a finger width foamy head. Head retention is good. Lacing is very good. A wheat and citrus aroma. A little grainy and spicy. Taste is a little off. Wheat and grain. Some citrus and mild spiciness. Honey? Light bodied with moderate to heavy carbonation.   
look: 3.75 | smell: 3.75 | taste: 4 | feel: 4 | overall: 3.75 
look: 3 | smell: 3 | taste: 3 | feel: 3 | overall: 3 Pretty good wheat ale. Can’t say much more but I’m interested in having another. 2018/08/03 
look: 3.75 | smell: 3.5 | taste: 4 | feel: 3.75 | overall: 3.75 
look: 3.5 | smell: 4 | taste: 4 | feel: 4 | overall: 4 Goto Summer beer while lounging on the beach when not drinking IPA's 
look: 3.75 | smell: 3.75 | taste: 4 | feel: 4 | overall: 4 
look: 3.5 | smell: 3.5 | taste: 3.75 | feel: 3.5 | overall: 3.75 
look: 4.25 | smell: 3.75 | taste: 3.75 | feel: 4 | overall: 4 
look: 4.75 | smell: 4 | taste: 4 | feel: 4 | overall: 4 
look: 3.75 | smell: 3.75 | taste: 3.25 | feel: 3.75 | overall: 3.5 
look: 3.75 | smell: 4 | taste: 4.25 | feel: 4 | overall: 4 My first Bell's. Found it in Cincinnati, Terry's Turf Club. Nice beer, not overpowering fruity smell. Better than other popular wheat beers if you can find it.   
look: 4 | smell: 4 | taste: 4 | feel: 4 | overall: 4 
