look: 4.75 | smell: 4.5 | taste: 4.5 | feel: 4.5 | overall: 4.75 
look: 4 | smell: 4 | taste: 3 | feel: 3 | overall: 3.5 Too much citrus taste. 
look: 4.25 | smell: 4.5 | taste: 4.25 | feel: 4.25 | overall: 4.5 
look: 4.5 | smell: 4.25 | taste: 4.75 | feel: 4.25 | overall: 4.5 
look: 4 | smell: 4 | taste: 4 | feel: 4 | overall: 4 
look: 5 | smell: 4.5 | taste: 4.75 | feel: 4.75 | overall: 4.75 I've been drinking Old Rasputin for a long, long time now. I think I'm finally ready to review him.    When it comes to appearances, Old Raspy is second to none. Obsidian black, reflective, clean, and gorgeous. The brightest light in the world won't be seen through the other side. Chestnut highlights can be seen, but only down the barrel of the glass as sips are indulged upon. And resting above, a memory foam pillow of tan, frothy, silky, root beer float like suds. After what seems like an eternity, it starts to settle leaving a layer frosted above the surface and a blanket of lacing on every square inch it touches.    Next, that unmistakable aroma. Charred toast and spent roasted grain. Ashes left over from last nights embers. A hint of salinity reminiscent of black olives. Mineral water heavy with alkalinity. Earth, with all its raw dirt and herbal goodness saturates the nostrils.    And then, what we have all been waiting for. The burst of flavors that come from what seems like a harmless aroma is overwhelming at first. The amount of roast is unequalled. Once the shudder down my spine and the goosebumps have faded, another sip is in order. The charred toast is slathered in molasses then brûléed giving off a note of burnt chocolate. The mineral water quality comes next, like it was freshly drawn from the river and boiled in a copper kettle. Airborne particles from freshly swept dusty floors get in there blending with a hint of vanilla and nuts making for a one of a kind sweet and earthy finish. It tastes old. As in "Old World".    Old Rasputin has a well made slough of textures. Smooth yet not creamy with a barrel like stripping dryness on the end, but without the barrel. The quick initial molasses sweetness is quickly overcome by roasted and bitter bakers chocolate. The alcohol is almost completely undetected, dangerously so. He ends with a lip smacking glue and a musty bitter bite.    Old Rasputin has stood against the test of time. Rightfully so as this beer has it all. Classic flavors, quality craftsmanship, incomparable availability, steal of a pricetag, reputation both impressive and frightening. An icon that would please any Czar, and one that has and will continue to frequent my fridge. Breweries and their stouts come and go, but He won't die.   
look: 3.75 | smell: 3.5 | taste: 4.5 | feel: 4.25 | overall: 4.25 
look: 4.25 | smell: 4.25 | taste: 4.25 | feel: 4.25 | overall: 4.25 Old Rasputin brewed by North Coast Brewing Co. ,with an ABV of 9.00% This Russian Imperial Stout pours out of a 12oz glass bottle into a pint beer an deep brown color with an a nice light brown head. This brew has the look of black coffee, not saying that is a bad thing. There is also a nice amount of lacing to this brew, it sticks to the side of the glass well. The smell is rich with roasted goodness. You pick up on a lot of roasted grains and malts. Then a nice mix of hop bitterness at the end to tie it all together. So far Old Rasputin is a nice inviting brew. Now for the taste, it is Bold an Rich with flavors. You first pick on all the roasted goodness. Lots of nice smooth roasted malts and grains. The body of Old Rasputin is a medium to heavy. Not to heavy but definitely a lot heavier than other Stouts on the market. It is hard to pick up on the 9.00% ABV in this brew, it goes down just that smooth. This brew would go nice with dinner or on a cold winter day. The mouth feel is Rich, Bold, Roasted, Clean, Smooth, and Refreshing. Overall I am going to give Old Rasputin a 4.25 out of 5. I would definitely look this brew up again giving the opportunity to. North Coast Brewing Co., did a super nice job with this Russian Imperial Stout.   
look: 4.25 | smell: 4 | taste: 4.25 | feel: 4 | overall: 4 This beer has been around for years and years, if it’s on a restaurant menu and you love stouts you’re probably going to order this. It’s everytning you want in a stout.   Deep dark licorice in color, strong smell of coffee and molasses, a rich full flavor with the bite of a stout.   It’s a really good stout, but you probably already knew that.   
look: 5 | smell: 4.5 | taste: 4.5 | feel: 4 | overall: 4.75 
look: 4 | smell: 3.75 | taste: 3.75 | feel: 4 | overall: 3.75 
