look: 3.25 | smell: 3 | taste: 3 | feel: 2.75 | overall: 3 
look: 4 | smell: 4 | taste: 4.25 | feel: 4 | overall: 3.75 
look: 2 | smell: 2 | taste: 2 | feel: 2 | overall: 2 
look: 2.5 | smell: 1 | taste: 2 | feel: 2 | overall: 2.75 
look: 3.25 | smell: 3.25 | taste: 3.5 | feel: 3.5 | overall: 3.5 
look: 2.75 | smell: 2.75 | taste: 3.5 | feel: 3.25 | overall: 3.25 
look: 2.25 | smell: 2.25 | taste: 2.25 | feel: 2.25 | overall: 2.25 
look: 2 | smell: 2 | taste: 2 | feel: 2 | overall: 2 
look: 3 | smell: 2.75 | taste: 3 | feel: 3 | overall: 3 
look: 3.5 | smell: 3.5 | taste: 4 | feel: 3.5 | overall: 3.75 
look: 3 | smell: 3 | taste: 3 | feel: 3 | overall: 3 
look: 5 | smell: 4.5 | taste: 4 | feel: 4.5 | overall: 4.75 It’s PBR. A beer that predates the American Civil war. When men were men and women were too. It’s not some pansy frilly beer to tickle your hipster stash. It’s a mans beer, for those loggers, mechanics, welders, farmers. You know.... people we call Men. Sadly, women have more testosterone than the boys bashing this beer. But not everyone can enjoy a mans beer.    Some people need to learn how to write reviews. It’s not an IPA it’s not a top of the line import. It’s nothing more than an old school American beer. If you think anything more or less of this, stop writing reviews please.     I’ll keep it simple. If you are on here, you probably don’t drink Milwaukee’s best or natural light. Chances are you may not like this. It’s better than most beers in its price range, typically lower than coors light.     A lot of people compare this to Schlitz which is a malt. A lot of people relate this beer to your redneck back woods beer. It has a revival in cities like NY and Philadelphia among the newer generations who tend to steer toward the IPAs. Some social circles have even rebranded PBR as the new hipster beer.     Regardless of what you hear, it’s worth a shot. It has a harsh taste at first but it is smooth compared to other beers people on this site compare it to.   
look: 4 | smell: 4 | taste: 4 | feel: 4 | overall: 4 "Heiniken? F-Heineken! Pabst Blue Ribbon!!!" -Dennis Hopper    Me and PBR have a 40-year+ deeply involved rock-steady relationship.  Always my go-to brew over the years. Never disappoints.  Good value, nice inexpensive date.  Won the blue ribbon at the 1893 Columbian Exposition in Chicago... also known as the Chicago World's Fair, over AB Michelob, although I prefer AB Michelob a bit more today if they were to hold the contest again. Still, PBR is one fine AAB brew, although I am concerned about GMOs mentioned in a few articles, but I believe Pabst got the message.   
look: 2.75 | smell: 2.75 | taste: 3 | feel: 2.5 | overall: 2.5 
look: 1.5 | smell: 1.5 | taste: 1.5 | feel: 1.5 | overall: 1.5 
look: 4 | smell: 3.5 | taste: 4 | feel: 4.25 | overall: 4.25 
look: 3 | smell: 3.25 | taste: 3.5 | feel: 3.5 | overall: 3.25 
look: 4.25 | smell: 2.75 | taste: 2.75 | feel: 3.5 | overall: 2.75 Part of my BJCP training, wouldn't normally drink this but it's a style 1B. American lager    Pours a big pillowy foamy persistent head, nice lacing, crystal clear pale light golden color    Nose fairly light, little malt note but not much, really nothing else    Taste mild malt, with touch of perceived sweetness, light herbal hop bitterness almost mineral skunky note, dry finish little icky bitterness lingering    Mouth is med to lighter bod, plenty of carb    Overall really boring beer, not offensive other than mild icky bitter almost skunky notes, otherwise basically useless for beer   
look: 2.5 | smell: 2.5 | taste: 2.5 | feel: 2.5 | overall: 2.5 
look: 3 | smell: 3 | taste: 3 | feel: 3 | overall: 3 good ole faithful 
look: 2.75 | smell: 2.5 | taste: 3.75 | feel: 3 | overall: 3.25 
look: 3.5 | smell: 3.75 | taste: 4.25 | feel: 4.25 | overall: 4 It's PBR for gods sake, not some $$$ IPA. People need to get a grip. If you don't like it, that's OK. Don't drink it.  Like a person who hates brussels sprouts, Jesus won't you fuckin whistle.    It tastes good to me so stick it IPA Snob.   
look: 2 | smell: 2.75 | taste: 1.5 | feel: 1.75 | overall: 2 
look: 2.75 | smell: 2.5 | taste: 2.25 | feel: 2.25 | overall: 2.25 Thought was a bad beer when I first tried it 40 years ago. Give it a try every so often, thinking it will get better. So far, it has not. 
look: 3 | smell: 4.75 | taste: 4.75 | feel: 4.25 | overall: 4.75 Nice and malty. I like the vibes it gives, reminds me of hipsters and red necks. It’s my go to beer. It doesn’t taste watery like other cheap beers. Pairs well with cheese and crackers!   
look: 3.25 | smell: 3.25 | taste: 3.75 | feel: 3.25 | overall: 3.5 
look: 3 | smell: 3 | taste: 3 | feel: 3 | overall: 3 
look: 3.25 | smell: 3.5 | taste: 3.25 | feel: 3 | overall: 3.25 
look: 2.75 | smell: 2.75 | taste: 2.5 | feel: 4.25 | overall: 3 
look: 5 | smell: 2.5 | taste: 3.5 | feel: 4 | overall: 3.75 
look: 4.75 | smell: 3.5 | taste: 2.75 | feel: 2.5 | overall: 2.75 16oz can bb 3/25/19 poured into a vintage PBR thumbprint goblet at fridge temp, no ABV listed on can. The beer pours bright golden straw yellow in color with nearly white head. The head recedes to a thin cap and leaves a little lacing. The aroma is faint with a little grain and a barely tart tinge. The taste is grainy, barely tart, corny with a malt liquor sweet edge. Almost no bitterness in the non-dry buttery finish. The mouthfeel is thin bodied and highly carbonated. Overall, not good. Too sweet and way too much oily/soapy/buttery aftertaste.   
look: 4.5 | smell: 2.25 | taste: 2.5 | feel: 3 | overall: 2.75 PBR, my go-to fridge stocker. Great for a hot day while outside and mowing the lawn, or working in the garage. Overall I think it has more flavor compared to other american adjuncts. Also at a price you can't beat, $18 for a case of 30 here in Texas.   
look: 3 | smell: 2.75 | taste: 2.75 | feel: 2.75 | overall: 2.75 Poured from a 12 oz bottle into a Dogfish Head tulip.     L: Clear light golden pour with 2 fingers of fluffy white head. Modest ring of lacing.    S: Light grains and adjuncts... corn and light hops.    T/F: Light... grains and more adjuncts. Some sweetness with modest bitterness. Not much hop flavor... relatively crisp/clean. It's primary flavor is probably 'cold' but at least it's not overtly unpleasant. Thin bodied.    O: A generic adjunct lager. Amazingly this is the 1st time I've tried this old standby. To me... it's primary virtue is not tasting overtly bad. Maybe fine on a really hot day... at a ballgame... or maybe with a meal. It tastes like being in college on a budget.   
look: 2.5 | smell: 2.5 | taste: 3 | feel: 2.25 | overall: 2.5 
look: 3.5 | smell: 3.25 | taste: 3 | feel: 2.5 | overall: 3.25 
look: 5 | smell: 5 | taste: 5 | feel: 5 | overall: 5 Classic 
look: 3 | smell: 2.5 | taste: 3 | feel: 3 | overall: 2.75 
look: 3.5 | smell: 3.5 | taste: 3.5 | feel: 3.5 | overall: 3.5 
look: 5 | smell: 5 | taste: 5 | feel: 5 | overall: 5 
look: 4 | smell: 4 | taste: 4 | feel: 4 | overall: 3.75 
look: 2 | smell: 2.5 | taste: 2.25 | feel: 2.75 | overall: 2.25 
look: 3.5 | smell: 4 | taste: 2.5 | feel: 1.25 | overall: 2 
look: 3 | smell: 3 | taste: 4 | feel: 4 | overall: 4 I always hear about how this is a "Hipster Beer".    My Grandfather drank this before Hipster was even a phrase. Clint Eastwood has been seen drinking PBR! And if you call Clint Eastwood a Hipster, then no one will take you serious. People just want something to hate on.    Always have PBR stocked in my fridge! (Only in bottles, though. Aluminum cans taint the taste, but that goes for all beer)   
look: 3.25 | smell: 3 | taste: 3 | feel: 3.25 | overall: 3 I like this beer. It's refreshing and easy to drink. 
look: 3 | smell: 3 | taste: 3 | feel: 3 | overall: 3 
look: 3.5 | smell: 3.25 | taste: 3.25 | feel: 3.5 | overall: 3.25 
look: 2 | smell: 1.75 | taste: 1.75 | feel: 2 | overall: 2 
look: 3.25 | smell: 3.25 | taste: 3.25 | feel: 3.25 | overall: 3.25 
look: 2.75 | smell: 3 | taste: 3 | feel: 2.75 | overall: 3 
look: 2.25 | smell: 2.25 | taste: 2.25 | feel: 2.25 | overall: 2.25 Yuck! Why do people drink this? Somehow I thought it was going to be a reasonable-tasting lager, but it is just piss-poor... Watery, close to flavorless... No real aroma other than what I consider to be a stale beer smell... But fuck it, i bought it for the tick, and that's about all I got out of it...   
