look: 4 | smell: 4 | taste: 4.25 | feel: 4 | overall: 4.25 
look: 4 | smell: 4 | taste: 4 | feel: 4 | overall: 4 
look: 3.5 | smell: 3 | taste: 3 | feel: 3.25 | overall: 3.25 Super woody with almost an acidic bite to it .. Strange brew that I'm not turned off by completely but I dont think I would buy it again honestly . 
look: 4 | smell: 4 | taste: 4 | feel: 3.75 | overall: 4 
look: 4.5 | smell: 4.5 | taste: 4.75 | feel: 4.5 | overall: 4.5 Best served warmer than refrigerator cold. It has a slight licorice after taste & a pretty tan head.  The 12ABV is well hidden & can sneak up on you. 
look: 4.5 | smell: 4 | taste: 4.25 | feel: 3.75 | overall: 4 
look: 4.25 | smell: 4 | taste: 4.25 | feel: 4 | overall: 4.25 
look: 3.75 | smell: 3.75 | taste: 4 | feel: 4 | overall: 4 
look: 3.75 | smell: 3.75 | taste: 3.75 | feel: 3.75 | overall: 3.75 
look: 4 | smell: 3.75 | taste: 4.5 | feel: 4.25 | overall: 4.25 
look: 4.5 | smell: 4 | taste: 4.5 | feel: 4.5 | overall: 4.5 
look: 4.5 | smell: 4.5 | taste: 4.5 | feel: 4.5 | overall: 4.5 
look: 4 | smell: 4.25 | taste: 4.5 | feel: 4.25 | overall: 4.25 Let this ale warm to cellar temperature before even considering opening it. Totally opaque. Lighter head, even after an agressive pour. The nose is woody, with rich roasted grains, vanilla and expresso. Sip a bit and enjoy layers of flavor come forward...complex wood and stone fruits come forward, followed with a touch of bitterness on the tongue. The hefty 12% ABV is absolutely hidden, so beware. We'd pair this with a grilled steak, in place of a barrel aged Zindfadel -- it's that good.   
look: 4 | smell: 4 | taste: 3.75 | feel: 3.75 | overall: 4 Well lets start with...I wish I would have rated this brew years ago when I first tried it, because the new brew for which I am rating now is a slight bit different. (still excellent, but not superb like before)  It pours a nice rich dark ebony with nice heavy tan foam...with very nice lacing.  As for the aroma seems to be a lil' on the sweet side, maybe like a cherry coke...with a hint of the wood aged coming thru.  The taste is what i think is a lil' different, but follows the nose...I remember it a tad bit smoother. It does still follow the nose... with a little more of the wood age coming through...and the cherry coke in the background, and the ABV is very well hidden. So I need to finish this review before it shows up!  The feel seems to be a lil' different as well...i remember it a bit smoother, but still very enjoyable by all means with the ABV being there.  Overall it is still a wonderful brew and will keep sampling...nudge, nudge, wink, wink don't cha know.   
look: 4.75 | smell: 4.25 | taste: 4.25 | feel: 4.5 | overall: 4.5 
look: 4 | smell: 4 | taste: 4 | feel: 4 | overall: 4 
look: 3.75 | smell: 4.25 | taste: 4.25 | feel: 4 | overall: 3.75 Bottled 8/5/16 
look: 3.5 | smell: 3 | taste: 2.5 | feel: 3 | overall: 2.5 
look: 4.25 | smell: 4.25 | taste: 4.5 | feel: 4.5 | overall: 4.25 
look: 4.25 | smell: 4.5 | taste: 4 | feel: 4.5 | overall: 4.25 Bottle dated 7/2018  Pours almost black, thin tan head of small bubbles.  Nose is cherries, cola, raisin, nice light woody notes. Back end is sweet smelling.  Tastes is vanilla, woody- though not it a bourbon sense, cherry and cola notes come through as well. Some boozy notes though they are mild.  Mouthfeel is thick, soft creamy carb.  This beer is a winner for me. Browns are not something I've sought out before but I'm making an effort to try more. The nose on this is very interesting and sets it apart from what I expected. This one doesn't disappoint.   
look: 4.25 | smell: 4.25 | taste: 4 | feel: 4 | overall: 4 
look: 5 | smell: 5 | taste: 5 | feel: 5 | overall: 5 
look: 4.5 | smell: 4.5 | taste: 4.75 | feel: 4.75 | overall: 4.5 
