look: 4.25 | smell: 4.25 | taste: 4.75 | feel: 4.5 | overall: 4.75 
look: 4.75 | smell: 5 | taste: 4.75 | feel: 5 | overall: 4.75 had a pint bottle purchased from the Windsor brewery, 6 days from bottling    Look is clear golden with a fluffy head that persists    Aroma is piney west coast ipa, familiar     Taste is balanced - hops, malt, enough bitterness in the finish to remind you it’s beer, not a child’s juice box    Overall the beer geeks’ tastes have moved on a bit but this is still delicious treat. If you have a chance to try it you should.   
look: 3.5 | smell: 3.75 | taste: 3.75 | feel: 4 | overall: 3.75 good but not the greatest , highly overrated. word of mouth marketing and the power of suggestion have elevated what is an otherwise solid beer , its definitely been placed on pedestal and to be honest I think you can find a better IPA at a better price without having to go out of your way.   
look: 4.5 | smell: 4.5 | taste: 4.75 | feel: 4.5 | overall: 4.75 
look: 3 | smell: 3.5 | taste: 2.5 | feel: 3 | overall: 3 
look: 4.75 | smell: 5 | taste: 5 | feel: 5 | overall: 5 
look: 5 | smell: 5 | taste: 5 | feel: 5 | overall: 5 
look: 3 | smell: 3.75 | taste: 3.5 | feel: 4 | overall: 3.75 
look: 4 | smell: 4 | taste: 3.75 | feel: 3.5 | overall: 3.5 
look: 4 | smell: 4.5 | taste: 4.5 | feel: 4.5 | overall: 4.5 
look: 5 | smell: 5 | taste: 5 | feel: 5 | overall: 5 
look: 4 | smell: 4.25 | taste: 4.75 | feel: 4.5 | overall: 4.5 July 27th, 2015 - The time has come for Pliny the Elder, straight from the font. It's a legendary beer, and looks resplendent in its throne here in Santa Rosa. With a slightly sweeter smell exceptionally balanced against hops, the flavor is immensely deep. Even though I tend to enjoy hoppy brews more for the bouquet than the taste, this offers plenty of both. Sweeter, like a broiled grapefruit, it plays with its ethanol quite well. In contention for my favorite California IPA, it is only rivaled by the Blind Pig. And as I try to determine which I prefer, I suckle on the aftertaste which is punching and long, with a slightly resinous note to enjoy. It is one of the perfect IPAs, rare best served chilled, straight here at the tap.   
look: 4.5 | smell: 4.5 | taste: 4.25 | feel: 4.25 | overall: 4.5 
look: 4.5 | smell: 4.5 | taste: 4.5 | feel: 4.5 | overall: 4.25 
look: 4 | smell: 4.25 | taste: 5 | feel: 5 | overall: 4.75 The beer speaks for itself. It definitely lives up to the hype. The best part about this beer is the finish of each sip has this brilliant tingle that leaves me wanting more.   
look: 4.5 | smell: 4.5 | taste: 4.5 | feel: 4.5 | overall: 4.5 510ml with a bottled on date of 1-22-19 (opened 2-2-19).  Golden, pale - clean. Active carbonation lifting a 1 1/2" white head. Good retention and thick, foamy lace.  Classic. WC aromas of pine, grapefruit, lime, citrus, hint of pineapple - clean, fresh hop aromas!  Bright flavors match the aroma, full of fresh fruit and citrus...  8% is undetectable, as delicious as this is I'd be on the floor before figuring it out.  Bright, clean entry with a medium body, medium carbonation, and a LONG and flavorful finish.   True classic and a pleasure to drink anytime.   
look: 4.25 | smell: 4.25 | taste: 4.5 | feel: 4.5 | overall: 4.5 
look: 4.75 | smell: 4.75 | taste: 4.5 | feel: 4.5 | overall: 4.5 Being an East Coast guy, I expected more. Maybe that's because of the hype. Still, this was a good beer. Transparent, piney, clean, crisp. The quintessential West Coast IPA   
look: 4 | smell: 3.75 | taste: 2 | feel: 2 | overall: 1.5 
look: 4.25 | smell: 4.25 | taste: 4.5 | feel: 5 | overall: 4.25 Straight pour from a 1 pt 1.25 oz/510 ml pry-off bottle to a teku. This has a bottling date of January 08, 2019 printed in white ink near the bottom-left corner of the front label (“BOTTLED ON: 010819”), making this beer just under three weeks old at the time of consumption. Purchased cold, coming right out of the box on its way to the cooler.     Appearance (4.25): A solid three fingers of eager, whipped foam the color of custard comes right off of the pour, capping a crystal-clear, 24 ct. gold-colored body. The head dies down slowly, leaving a pock-marked cap and scattered legs of wide, foamy splotches that look like an archipelago of coral atolls. It dies down almost completely after some time, but still shows good retention.     Smell (4.25): A radiant, clean blend of citrusy fruit (even amounts of ripe pineapple flesh, navel orange zest, and kumquat) and a slurry of herbaceous and resinous notes (pine needles, fresh cut grass, and some ganja for good measure) dominate the nose. Very light, clean grain appears as well, offering a crisp, clean note of common crackers alongside stale, floury pita bread—just very clean, plain flatbread. This is all quite faint in the face of the bouquet of hops here, though.     Taste (4.5): Compared to the nose, the palate is (at first) dominated by ganja and pine, offering dank, resinous bitterness flanked by lightly astringent conifers and a hint of earthy spice, like rich tobacco leaf. It does have undertones of bright citrus, with a soft pineapple sweetness nearly obscured by the aforementioned resin while strong, pink grapefruit pith rises out of that bitterness and continues to ring loud and clear, long into the lingering finish (which itself trails off quite evenly and slowly, fading away with no sudden drop-off). There is a bit of grain hidden in here, again offering that plain but earthy feel of multigrain flatbread with a dry, slightly starchy, floury finish, but it really is dominated by the array of bitter notes that fan out from the middle of the palate all the way through to the finish. No sign of booze. It’s shockingly dry and clean, frankly.     Mouthfeel (5.0): Carbonation washes in with a soft, medium-grit body of gentle bubbles that tingle happily as they cover all surfaces. It easily holds up the body, which feels medium-weight but on the light- side of full thanks to just how dry and crisp it is. That carbonation foams up easily, floating all of the bitter hop compounds before they settle in and feel too astringent. Still, that bitterness really dries out the body, bringing it from medium-weight and crisp to almost vaporous. Again, no sign of booze.     Overall (4.25): What is this beer? The archetypal West Coast (D)IPA, in its most balanced, clean, crisp, and clear form. It’s not my favorite beer ever in that category, because I’ve had others that evoke bombast and utilize unexpected combinations of flavors and aromas—and those are the ones that typically stick with me longer. They may not be the best of the best within this substyle, because they often are prone to some imbalance and the more interesting they are, the more it feels like comparing them is an apples and oranges scenario. This, however, may be near the top of that substyle, thanks to its balance, very obvious technical precision in its brewing and production, and masterful use of hops to deliver a big, powerful bitterness without feeling too challenging (if you like hops). You don’t need me to recommend this beer. Of course you should try it. Will it change your world? Maybe not in 2019, but it’s worth trying to understand why it ruled the world in 2009—and it’s an amazing drink in its own right, even today, any day of the week.   
look: 4 | smell: 4.5 | taste: 4.75 | feel: 4.75 | overall: 4.75 
look: 4 | smell: 4 | taste: 4.5 | feel: 4.5 | overall: 4.5 
look: 5 | smell: 4.75 | taste: 5 | feel: 5 | overall: 5 
look: 4.75 | smell: 4.75 | taste: 5 | feel: 5 | overall: 5 
look: 4.5 | smell: 4.25 | taste: 4.25 | feel: 4.25 | overall: 4.25 
look: 4.5 | smell: 4.75 | taste: 5 | feel: 4.75 | overall: 4.75 Look: Poured from a bottle into a pint glass. Very light coloring, head dissipates quickly leaving some nice rings.     Smell: Strong smell for the coloring. Initial smell of pine, orange, hops, and some underlying sweetness like caramel.    Taste: Outstanding. Bitter citrus at first, then the hops really come through. Tastes like your typical west coast IPA but with an underlying sweetness that is tough to place. There’s no denying the obvious quality of this beer.    Feel: carbonation is relatively high but pleasant. 8.0% ABV and very drinkable. Mouthfeel is a bit oily and sticky but it goes down very easy.    Overall: I wanted to try this because of the hype and was able to find it at a local health food grocery store. There was a limit of 2 per person. Typically, hype ruins things for me, but my first thought was ‘damn that’s good.’ If you’re able to find this mythical unicorn of a beer, don’t hesitate!   
look: 4.5 | smell: 4.25 | taste: 5 | feel: 5 | overall: 4.75 
look: 4.25 | smell: 4.25 | taste: 4.75 | feel: 4.75 | overall: 4.5 Extremely balanced Imperial IPA. Lives up to the hype. 
look: 4.75 | smell: 4.5 | taste: 5 | feel: 4.75 | overall: 4.75 
look: 4.5 | smell: 4.5 | taste: 4 | feel: 4 | overall: 4.25 
look: 4.75 | smell: 4.75 | taste: 4.75 | feel: 4.75 | overall: 4.75 
look: 3.5 | smell: 4.5 | taste: 4.25 | feel: 4.5 | overall: 4.5 
look: 3.5 | smell: 3.5 | taste: 4 | feel: 4 | overall: 4 
look: 4.75 | smell: 5 | taste: 4.5 | feel: 4.5 | overall: 4.75 
look: 4.25 | smell: 4.5 | taste: 4.5 | feel: 4.5 | overall: 4.5 
look: 4.75 | smell: 4.5 | taste: 5 | feel: 4.75 | overall: 4.75 
look: 4.75 | smell: 5 | taste: 4.75 | feel: 4.75 | overall: 5 
look: 4.75 | smell: 5 | taste: 5 | feel: 5 | overall: 5 One of the best IPAs out there. 
look: 4.75 | smell: 5 | taste: 5 | feel: 5 | overall: 5 121418 bottle  Opened on 12/28/18  Right when I opened the bottle the smell was amazing.    Best west coast IPA I've had 
look: 5 | smell: 4 | taste: 4.25 | feel: 4.75 | overall: 4.25 
look: 4.25 | smell: 5 | taste: 5 | feel: 4.5 | overall: 5 
look: 4.75 | smell: 4.5 | taste: 4.75 | feel: 4.75 | overall: 4.75 Nothing to complain for this.. 
look: 4.5 | smell: 4.5 | taste: 4.75 | feel: 4.75 | overall: 4.75 I received this from @bum4ever. Bottled on 12/11/2018 and poured into a Spiegelau IPA glass. It pours a crystal clear, golden-straw color with a large, fluffy, bright white cap and copious, soapy lacing. Large numbers of tiny bubbles ascend the glass. The nose features lemon and grapefruit. It's extremely crisp and clean. This is as clean and bitter as they come. There is tart, bitter citrus. The Amarillo, Centennial, CTZ, and Simcoe hops are amazingly flavorful and provide a strong, bitter bite. It's the quintessential West Coast IPA. It is crisp and dry with an easy drinking 8% ABV. I don't know what more I can say; this is truly exquisite as fine an IPA as you'll find. I'm grateful to have tried it. Thanks, Josh!   
look: 5 | smell: 4.5 | taste: 4.75 | feel: 4.75 | overall: 4.75 
look: 4.75 | smell: 4.5 | taste: 5 | feel: 5 | overall: 5 
look: 5 | smell: 5 | taste: 5 | feel: 4.75 | overall: 4.75 
look: 4 | smell: 4.5 | taste: 4.5 | feel: 4.5 | overall: 4.5 
look: 4 | smell: 4.5 | taste: 4.25 | feel: 4.25 | overall: 4.25 
look: 5 | smell: 5 | taste: 5 | feel: 5 | overall: 5 It lived up the the hype. Monks Cafe - thank you for having this on tap so this guy from Dallas could try the legend! 
look: 4.75 | smell: 4.75 | taste: 4.5 | feel: 4.75 | overall: 4.5 
look: 4.75 | smell: 4.75 | taste: 4.75 | feel: 4.75 | overall: 4.75 
look: 4.75 | smell: 4.5 | taste: 4.75 | feel: 4.5 | overall: 4.5 
look: 4.5 | smell: 4.5 | taste: 4.75 | feel: 4.5 | overall: 4.5 
look: 4.75 | smell: 4.5 | taste: 4.75 | feel: 4.25 | overall: 4.5 From notes 12/14/11: Absolutely a hopheads delight. Pours a clear medium, wedding band, gold.The pour produces 2+ fingers of fluffy, moderately lasting, white head which leaves behind clumpy, sticky lacing. Super aroma with kaleidoscopic hoppiness: Pine, grapefruit, and thin tropical; sweet caramel malt and a earthy, leafy, herbal tea-like note. Taste is grapefruit and pine from start to finish back by malty caramel sweetness, a hint of toast and the leafy tea-like hint is there too. Very resinous. Mouthfeel is lighter than I would have thought but still medium bodied with good carbonation, a little sticky and oily but smooth. Among the finest IPAs.   
look: 4.75 | smell: 4.75 | taste: 4.75 | feel: 5 | overall: 4.75 
look: 4.5 | smell: 4.5 | taste: 4.5 | feel: 4.75 | overall: 4.5 
look: 4.75 | smell: 4.5 | taste: 4.5 | feel: 4.75 | overall: 4.5 
look: 4 | smell: 4.5 | taste: 4.5 | feel: 4.5 | overall: 4.25 
look: 4.5 | smell: 4 | taste: 4.5 | feel: 5 | overall: 4.5 Actually quite good. People compare it to Hop Stoopid, and while I'll readily admit that there are a lot of similarities between the two, I think this one is far more balanced. Here goes:    A: Very good. Relatively clear yellow-orange; body looks quite nice. It pours a large head that leaves a ton of lacing; the body carbonation is also decent. Again, very good.    S: Only OK part of the beer. Some dankness, but only very lightly so. Some pine and grapefruit, but not much else.    T: Very good. Refreshing and well-balanced. Lots of piney sweetness, some grapefruit (but not overwhelming), and a fair portion of tropical fruits. The sticky, sweet pine is the most prominent flavor. Great mixture of sweet and hoppy flavors. I liked it a lot.    F: Perfect. Very drinkable.    O: A great beer.   
look: 5 | smell: 4.5 | taste: 5 | feel: 5 | overall: 4.75 L: perfect for style - orange. Nice beaded head  S: minor area of lack, giant aroma beers are now sought, me included  T: super balance of sweet and hop, classic  F: like it’s right there as World class.   O: Too bad they just don’t make and distribute it more   
look: 4.5 | smell: 4.25 | taste: 4.75 | feel: 4.5 | overall: 4.75 
look: 5 | smell: 5 | taste: 5 | feel: 5 | overall: 5 In my opinion the finest IPA on planet earth. A perfect balance of hop profiles, and a true classic of the craft beer world. Pliny is a must try for any craft beer fan.   
look: 4.75 | smell: 4.75 | taste: 4.5 | feel: 4.75 | overall: 4.5 
look: 4.75 | smell: 4.5 | taste: 4.5 | feel: 4.75 | overall: 4.5 
look: 4.5 | smell: 4.75 | taste: 5 | feel: 4.75 | overall: 5 
look: 4.5 | smell: 4.75 | taste: 5 | feel: 4.25 | overall: 5 
look: 4.25 | smell: 4.75 | taste: 4.75 | feel: 4.5 | overall: 4.75 
look: 4.75 | smell: 4.75 | taste: 4.5 | feel: 4.5 | overall: 4.75 
look: 4.75 | smell: 4.25 | taste: 4.75 | feel: 4.75 | overall: 4.75 
look: 4.5 | smell: 4.25 | taste: 4 | feel: 4 | overall: 4.25 
look: 4 | smell: 4.25 | taste: 4.5 | feel: 4.25 | overall: 4.25 
look: 5 | smell: 5 | taste: 5 | feel: 5 | overall: 5 
look: 3.75 | smell: 4 | taste: 4.25 | feel: 4.25 | overall: 4.25 
look: 4.5 | smell: 4.25 | taste: 4.25 | feel: 4 | overall: 4.25 
look: 4.25 | smell: 4.5 | taste: 4.75 | feel: 4.25 | overall: 4.75 
look: 4.5 | smell: 4.25 | taste: 4.5 | feel: 4.5 | overall: 4.5 
look: 4.25 | smell: 4.5 | taste: 4.25 | feel: 4.5 | overall: 4.5 
look: 4.25 | smell: 4.5 | taste: 4.5 | feel: 4.25 | overall: 4.5 
look: 4.75 | smell: 4.75 | taste: 4.75 | feel: 4.75 | overall: 4.75 
look: 4.25 | smell: 4.25 | taste: 4.5 | feel: 4.5 | overall: 4.5 
look: 4.25 | smell: 4.25 | taste: 4.25 | feel: 4 | overall: 4.25 
look: 4.5 | smell: 4.5 | taste: 4.75 | feel: 4.75 | overall: 4.5 
look: 4.5 | smell: 5 | taste: 4.5 | feel: 4.25 | overall: 4.5 
look: 4.25 | smell: 4.5 | taste: 4.5 | feel: 4.5 | overall: 4.5 
look: 4.25 | smell: 4.5 | taste: 4.5 | feel: 4.5 | overall: 4.5 
look: 5 | smell: 5 | taste: 5 | feel: 5 | overall: 5 
look: 5 | smell: 4.75 | taste: 4.75 | feel: 4.5 | overall: 4.75 
look: 5 | smell: 4.25 | taste: 4.5 | feel: 4.5 | overall: 4.75 The pinnacle of West Coast style... Enough said. 
look: 4 | smell: 4 | taste: 4 | feel: 4 | overall: 4 
look: 4.5 | smell: 4.75 | taste: 4.75 | feel: 4.5 | overall: 4.75 
look: 4.5 | smell: 4.5 | taste: 4.5 | feel: 4.5 | overall: 4.5 
look: 4.5 | smell: 4.25 | taste: 4.5 | feel: 4.5 | overall: 4.5 
look: 4.5 | smell: 5 | taste: 5 | feel: 4.5 | overall: 4.75 
