look: 4.5 | smell: 4.25 | taste: 4.5 | feel: 4.5 | overall: 4.25 
look: 4 | smell: 4 | taste: 4 | feel: 4 | overall: 4 
look: 4.25 | smell: 4.25 | taste: 4.25 | feel: 4.25 | overall: 4.25 
look: 4.25 | smell: 4 | taste: 4 | feel: 4 | overall: 4 
look: 4.5 | smell: 4.5 | taste: 4.5 | feel: 4.5 | overall: 4.5 
look: 4.25 | smell: 4.25 | taste: 4.25 | feel: 4.25 | overall: 4.25 
look: 3.75 | smell: 3.75 | taste: 3.75 | feel: 3.75 | overall: 3.75 
look: 3.75 | smell: 3.75 | taste: 3.75 | feel: 3.75 | overall: 3.75 
look: 4.5 | smell: 4 | taste: 4.25 | feel: 4.25 | overall: 4.25 
look: 4.5 | smell: 4.25 | taste: 4.25 | feel: 4.5 | overall: 4.25 Wow! I must start this by saying I am an IPA guy, but damn this is good. Up until I tried this, my favorite Porter had been Peoples Porter my favorite local brewery, Foothills Brewing in Winston-Salem, NC. But this offering changed all of that. This pours a dark, rich, Chalkley Brown with a nice beige foam head that smells of what else... Chocolate period. It's aroma is intoxicating!!!! And it tastes even better. It is a perfect balance between heavy and light on the palate...perfect. I will certainly be having this again and again and again.   
look: 4 | smell: 3.5 | taste: 3.75 | feel: 3.25 | overall: 3.75 Very roasty. A very good beer. It looks good and makes a beautiful statement in the glass. Coffee and chocolate notes take the lead here, and body is somewhat on the heavy side for what it claims to be, as I would have rated this higher had it been presented a stout (4.5, 4.25, 4, 4.5 = 4.5). It is not a classic porter, but if semantics don't concern you, you will enjoy this immensely with a seafood bisque or even a chocolate lava cake, following.   
look: 4.25 | smell: 3.75 | taste: 4 | feel: 4.25 | overall: 4 
look: 4.25 | smell: 4 | taste: 4.25 | feel: 3.75 | overall: 4.25 
look: 4.75 | smell: 4.25 | taste: 4.25 | feel: 3.75 | overall: 4 Probably the darkest head I’ve seen, thick & foamy & fun to watch the different sized bubbles.   Pleasant aroma of chocolate & mild hops. Slightly sweet with mild bitterness. Nice chocolate flavor, not much malt, hops & a noticeable alcohol finish. Feel is smooth but thinner than it looks, not much carbonation. The tongue is bored. Overall it’s delicious.   
look: 4.25 | smell: 4.75 | taste: 4.5 | feel: 4.5 | overall: 4.5 Poured into a chilled 12oz glass. Looks like Mil-L-7808C turbine oil after 25 Hrs! LOL Smells of roasting coffee. Mouth is full and not watery at all. After taste though dry has a slight brown sugar taste. This is definitely a go to representative porter!   
look: 4.25 | smell: 4 | taste: 4.25 | feel: 4 | overall: 4.5 
look: 4 | smell: 4 | taste: 4.25 | feel: 4 | overall: 4 
look: 4.5 | smell: 4.5 | taste: 4.25 | feel: 4.25 | overall: 4.25 What a pleasant surprise.   Pours a thick, oily black, beautiful khaki head and lacing.  Aroma of heavily roasted malts and cocoa. Taste is similar. Big, thick and chewy mouthfeel. This could very well make the everyday drinker list.   
look: 4 | smell: 4 | taste: 4.25 | feel: 4 | overall: 4.25 
look: 4.5 | smell: 2.75 | taste: 2.5 | feel: 4.25 | overall: 2.75 
look: 4.25 | smell: 4.25 | taste: 4.25 | feel: 4.25 | overall: 4.25 
look: 4 | smell: 4 | taste: 4.25 | feel: 4 | overall: 4.25 
look: 4.5 | smell: 4 | taste: 4.25 | feel: 4 | overall: 4.25 
look: 4 | smell: 4.25 | taste: 4 | feel: 4.25 | overall: 4.25 
look: 4.25 | smell: 4 | taste: 4.25 | feel: 4 | overall: 4 
look: 4.25 | smell: 4 | taste: 4 | feel: 4.5 | overall: 4.25 Had this on tap at Seymour in Greenfield, MA. The beer had a black appearance with a large, brown head. Aromas were very rich in a milk chocolate smell. The taste followed the nose with a hint of a little burnt coffee. Mouthfeel was decadent; a good dessert beer. Overall, really loved the mouthfeel to this beer.   
look: 5 | smell: 5 | taste: 5 | feel: 5 | overall: 5 
