look: 4 | smell: 4 | taste: 4 | feel: 4 | overall: 4 
look: 4.75 | smell: 5 | taste: 4.75 | feel: 4.5 | overall: 4.75 
look: 4.25 | smell: 4.25 | taste: 3.75 | feel: 3.5 | overall: 3.75 
look: 5 | smell: 5 | taste: 5 | feel: 5 | overall: 5 
look: 4 | smell: 4.25 | taste: 4 | feel: 4 | overall: 4 
look: 4 | smell: 4 | taste: 4 | feel: 4 | overall: 4 
look: 4.75 | smell: 5 | taste: 5 | feel: 4.75 | overall: 4.75 
look: 5 | smell: 5 | taste: 5 | feel: 5 | overall: 5 
look: 3 | smell: 2.75 | taste: 3.75 | feel: 3.25 | overall: 3.5 
look: 4.25 | smell: 4.5 | taste: 4.5 | feel: 4.25 | overall: 4.5 
look: 4 | smell: 4.25 | taste: 4 | feel: 4 | overall: 4.25 
look: 3.5 | smell: 4.25 | taste: 4.25 | feel: 4 | overall: 4 
look: 4 | smell: 4 | taste: 3.5 | feel: 4 | overall: 3.75 
look: 5 | smell: 5 | taste: 5 | feel: 5 | overall: 5 By far the tastiest pumpkin ale. Very potent. 
look: 3.75 | smell: 3.5 | taste: 3.5 | feel: 4 | overall: 3.5 Pours a fairly clear amber with fine, tan head.    Smell is sweet and spicy, with notes of cinnamon, nutmeg and some wheat dough.    Taste follows the nose but ups the sweetness and adds a bit of booze.    Mouthfeel is medium, wel carbonated.    Overall, a decent beer, bit way too sweet.   
look: 4 | smell: 4 | taste: 4 | feel: 4 | overall: 4 I think this is the one that started the craze a few years ago. and to think this used to be hard to find 
look: 4.25 | smell: 4.5 | taste: 4 | feel: 4.5 | overall: 4.25 Overall one of the best pumpkin beers I have tried. I generally like smooth dark ales and this fit right in. Just like a pumpkin pie in a bottle with a slight kick at the end of the glass. Definitely preferred from a tap but the bottles were almost as good.   
look: 4.25 | smell: 4 | taste: 4 | feel: 4.25 | overall: 4 
look: 3.75 | smell: 4.25 | taste: 4.5 | feel: 4.25 | overall: 4.25 
look: 3.5 | smell: 4.25 | taste: 3.25 | feel: 4 | overall: 3.75 
look: 5 | smell: 4.5 | taste: 4.75 | feel: 4.75 | overall: 4.75 Smooth and tasty with a mild kick. 
look: 4 | smell: 4 | taste: 4.25 | feel: 4.25 | overall: 4 
look: 3.25 | smell: 3.25 | taste: 3.25 | feel: 3.25 | overall: 3.25 
look: 3 | smell: 2.75 | taste: 2.75 | feel: 2.75 | overall: 3 
look: 4.25 | smell: 4.25 | taste: 4.25 | feel: 4.25 | overall: 4.25 
look: 3.75 | smell: 3.75 | taste: 4.25 | feel: 4 | overall: 4 
look: 4.25 | smell: 4.25 | taste: 4.25 | feel: 4 | overall: 4 Look: Crisp, golden body with some effervescence, soft, offwhite head with a mixture of bubble sizes that is well retained.    Smell: Like fall spices, some pumpkin, some graininess. No hops or earthiness. It actually smells kind of like a wreath in a craft store. Smell got better as the beer warmed up, additional pumpkin pie notes and whipped cream and vanilla.     Taste: (Cold) Gourd-like with probably unflavored pumpkin, some fall spices come through, some caramel and vanilla that compliment the beer well overall. Some bitterness with it that lingers on the tongue. (Warm) Totally different. Alcohol was clearly present. Got the vanilla. Got the pumpkin pie. And more alcohol.     Feel: Medium-thick mouthfeel, smooth carbonation, goes down easy. Heat from the alcohol.     Overall: Mix between a sipper and a take your time beer. Does it live up to the hype... it's pretty good but not mind blowing.   
look: 4.25 | smell: 4.25 | taste: 4.25 | feel: 4 | overall: 4.25 
look: 4 | smell: 4 | taste: 4.5 | feel: 3.75 | overall: 4 
look: 4 | smell: 3.5 | taste: 4 | feel: 3.75 | overall: 4 Appearance - Pours super clear copper color with a dense white head that settles to a thin cap. Spotty lacing.    Aroma - Very light pumpkin spice and nutmeg, clove, mild alcohol aroma and cinnamon.    Taste - Taste is much better and stronger than the aroma. Sweet potato, nutmeg, pumpkin spice, vanilla. Alcohol is still coming through a little. cinnamon and brown sugar.    Feel - thin mouth feel, little warmth from the alcohol, would be much better if it was a little thicker.    Overall - Not a bad pumpkin beer, nose is thin and weak taste is pretty solid.   
look: 5 | smell: 4.75 | taste: 1.25 | feel: 1.5 | overall: 1.5 The Color of this Bre is Beautiful. A nice Amber Color. Almost the color of Whiskey. The aroma is that of Caramel. I wasn’t very inpressed with the flavor of this beer; it almost taste like fingernail polish remover. I will not have this beer again especially for the expensive price. Not worth it.   
