look: 4 | smell: 3.75 | taste: 4 | feel: 3.75 | overall: 4 
look: 5 | smell: 5 | taste: 5 | feel: 5 | overall: 5 
look: 4 | smell: 4 | taste: 4.25 | feel: 4 | overall: 4.25 
look: 4 | smell: 4 | taste: 4 | feel: 4 | overall: 4 
look: 3.75 | smell: 3.75 | taste: 3.75 | feel: 3.75 | overall: 3.75 
look: 3.5 | smell: 3.25 | taste: 3.5 | feel: 3.5 | overall: 3.5 
look: 4 | smell: 3 | taste: 3.5 | feel: 3.75 | overall: 3.5 
look: 3 | smell: 3.25 | taste: 3.5 | feel: 3 | overall: 3.5 
look: 4 | smell: 4 | taste: 4.5 | feel: 4 | overall: 4.5 
look: 3.75 | smell: 4 | taste: 4 | feel: 3.75 | overall: 4 
look: 3.75 | smell: 3.5 | taste: 3.5 | feel: 3.75 | overall: 3.5 Pours a clear, very dark amber with a thin white head that leaves a little lacing. Smells and tastes of cloves, nutmeg, cinnamon, pumpkin, brown sugar, malts and some vanilla. Something quite artificial about the pumpkin flavor. Thick mouth feel, medium to heavy bodied, medium carbonation.   
look: 3.75 | smell: 3.5 | taste: 3.75 | feel: 3.5 | overall: 3.75 From notes 10/14/12: Pour a coppery amber producing 2 fingers of off-white, somewhat lasting head that leaves a thin film of lace. Aroma is brown sugar, nutmeg, clove, cinnamon and vegetal pumpkin wrapped in toasted and caramel malt. Taste is like the nose but a little more malt forward. Finish and aftertaste are spice heavy. Mouthfeel is medium-heavy bodied with moderate carbonation, fairly smooth with a light creaminess but a bit sticky.   
look: 4 | smell: 4 | taste: 4 | feel: 4 | overall: 4 
look: 3.5 | smell: 3 | taste: 3.75 | feel: 3.5 | overall: 3.75 
look: 3.5 | smell: 3.5 | taste: 3.5 | feel: 3.5 | overall: 3.5 The first time I had this, a few years ago, it was my favorite pumpkin. They changed something about it. The aftertaste is really weird, almost metallic tasting. The pumpkin doesn't really taste like pumpkin either. Alcohol is up front and can taste that.   
look: 4.25 | smell: 4 | taste: 4 | feel: 4 | overall: 4 
look: 4 | smell: 3.5 | taste: 3.5 | feel: 3.75 | overall: 3.75 
look: 3.75 | smell: 3.75 | taste: 3.75 | feel: 4.25 | overall: 4 
look: 3.75 | smell: 4.25 | taste: 3.25 | feel: 3.5 | overall: 3.5 
look: 4 | smell: 4.5 | taste: 4.5 | feel: 4.5 | overall: 4.5 
look: 4.75 | smell: 4 | taste: 4 | feel: 4 | overall: 4 
look: 4.25 | smell: 4 | taste: 4 | feel: 3.75 | overall: 4 
look: 5 | smell: 3.75 | taste: 3.75 | feel: 3.75 | overall: 4 
look: 4 | smell: 3.75 | taste: 3.75 | feel: 3.75 | overall: 3.75 
look: 3.75 | smell: 4 | taste: 3.5 | feel: 3.5 | overall: 3.75 Clear amber brown body, half finger of fine grained foam  Malts, brown sugar, grain, nutmeg, cocoa  Brown sugar, cinnamon, nutmeg, caramel, cocoa, grain, malt, graham cracker, a little bit of pumpkin  A little abrasive on the tongue  A little bitter, but good   
look: 4.25 | smell: 3.5 | taste: 4.25 | feel: 4 | overall: 4 
look: 3.75 | smell: 3.5 | taste: 2.5 | feel: 2.5 | overall: 2.75 
look: 3.75 | smell: 3.75 | taste: 4.25 | feel: 4.25 | overall: 4 
look: 4.25 | smell: 4.5 | taste: 4.25 | feel: 4.25 | overall: 4.25 A great pumpkin - light pumpkin flavor & aroma, smooth mouthfeel, nice spice, a little sweetness: top notch seasonal release 
look: 3.5 | smell: 3.5 | taste: 3.5 | feel: 3.5 | overall: 3.5 
look: 4 | smell: 4.25 | taste: 4 | feel: 3.75 | overall: 4 L-Pours a beautiful amber mahogany colored beer with a nice fizzy head that quickly dissipates. Very pretty beer.  S-Smells great and fresh. I get notes of pumpkin spice, cinnamon, nutmeg, apple cider, and maybe some graham cracker and biscuit as well. Smells very good, warm, and seasonal.  T- The taste pretty much follows the smell. Bitter enough from the hops, followed by a nice pumpkin spice and cinnamon flavor.   F- The mouthfeel is relatively thick. Thicker than I expected at least. There's a nice fizziness to it. Not too bad at all!   O- Overall this beer is extremely well made for a pumpkin brown ale. I'm typically not a huge fan of these, or really never a fan at all. But this is by far the best I've had from the style. Overall an extremely well made and enjoyable ale. A pleasure to drink, and it gets me in the mood for halloween. I think I'll get another sixer this October.   
look: 4.5 | smell: 4.5 | taste: 4.5 | feel: 4.5 | overall: 4.5 Punkin Ale has a thin, off-white head, a clear, bubbly, orange appearance, and no glass lacing. Aroma is of faint spices and pumpkin meat, with some strong malt. Taste is similar, with a sort of high-gravity malt liquor back note. Mouthfeel is light to medium, and Punkin Ale finishes mostly crisp.     RJT   
look: 4 | smell: 4.5 | taste: 4.5 | feel: 4 | overall: 4.5 
look: 4.25 | smell: 4.25 | taste: 4.25 | feel: 4.25 | overall: 4.25 
look: 4 | smell: 3.75 | taste: 4.75 | feel: 4.25 | overall: 4.5 My favorite pumpkin ale so far this year. Pumpkin flavor is detectable amidst a cocktail of spices, including cinnamon, nutmeg, and vanilla. Where this ale excels the most is it's body as a brown ale, which creates a naturally rich platform for pumpkin without the overbearing muddiness of a porter.   
look: 4 | smell: 4 | taste: 4.25 | feel: 3.75 | overall: 4 
look: 4 | smell: 4 | taste: 3 | feel: 3 | overall: 3.25 
look: 4 | smell: 4.25 | taste: 4 | feel: 4 | overall: 4 
look: 4.25 | smell: 3.5 | taste: 3.5 | feel: 3.75 | overall: 3.5 
look: 4 | smell: 3.5 | taste: 3.5 | feel: 4 | overall: 4 
look: 3.75 | smell: 3.75 | taste: 3.75 | feel: 3.75 | overall: 3.75 
look: 3.75 | smell: 3.75 | taste: 3.75 | feel: 3.75 | overall: 3.75 Only an average pumpkin beer. Nothing spectacular. 
look: 3.75 | smell: 3.75 | taste: 3.75 | feel: 3.75 | overall: 3.75 
look: 3.75 | smell: 3.5 | taste: 3.75 | feel: 4.25 | overall: 4.25 A spiced brown ale,(closer to a scottish ale) not overly pungent, but still has a good fall taste. For 7% ABV it is very smooth and easy to drink. Great for halloween parties.   
look: 3.75 | smell: 3.75 | taste: 3.75 | feel: 3.75 | overall: 3.75 
look: 4 | smell: 3.75 | taste: 4 | feel: 3.75 | overall: 3.75 
