look: 3.75 | smell: 4 | taste: 4.5 | feel: 4 | overall: 4.25 
look: 4.25 | smell: 4.5 | taste: 4.5 | feel: 4 | overall: 4.25 Year in, year out Racer 5 is consistently awesome. Bear Republic rocks! 
look: 4.25 | smell: 4.25 | taste: 4.25 | feel: 4.25 | overall: 4.25 
look: 4 | smell: 4.25 | taste: 4.25 | feel: 4 | overall: 4.25 
look: 5 | smell: 4.5 | taste: 4.75 | feel: 5 | overall: 4.75 
look: 4.5 | smell: 4.75 | taste: 4.75 | feel: 4.5 | overall: 4.75 This—more than Lagunitas—was one of the first beers that got me excited about IPAs and craft brewing. Still a fantastic example of the aroma, hop balance, and mouthfeel I look for in a West Coast IPA.   
look: 4 | smell: 4 | taste: 4.25 | feel: 4.25 | overall: 4.25 
look: 4 | smell: 4 | taste: 4 | feel: 3.75 | overall: 4 
look: 3.75 | smell: 3.75 | taste: 4.25 | feel: 4.25 | overall: 4 
look: 4 | smell: 4 | taste: 4.25 | feel: 4.25 | overall: 4.25 
look: 4 | smell: 4 | taste: 4 | feel: 4 | overall: 4 I'm not an IPA fan but I do enjoy this. Plenty of hoppy bitterness but also citrus notes that balance it out. Good carbonation level that contributes to a thicker mouthfeel.   
look: 4 | smell: 4.25 | taste: 4.25 | feel: 4 | overall: 4.25 
look: 3.75 | smell: 3.75 | taste: 3.75 | feel: 3.5 | overall: 3.75 Im not a huge IPA fan but every year, without fail, I get one bottle of racer 5 as part of a corporate gift basket (which contains 5 other non-related beers shoved into a plain, cardboard 6-pack holder). Every year I shrug and just stick it in the fridge. When the day finally comes that I get a wild hair and decide to crack it open, Im reminded that this is actually a pretty decent beer. Its pretty hoppy but its relatively smooth for being so hoppy. By the time I down my 12 oz. allotment I always find myself wishing they gave me more than one Racer 5.   
look: 3 | smell: 4 | taste: 4.5 | feel: 4.5 | overall: 4 
look: 2.75 | smell: 2.75 | taste: 2.75 | feel: 2.75 | overall: 2.75 
look: 4 | smell: 3.75 | taste: 3.75 | feel: 4 | overall: 4 
