look: 4 | smell: 4 | taste: 4 | feel: 4 | overall: 4 
look: 4 | smell: 4.25 | taste: 4 | feel: 4 | overall: 4 
look: 4.5 | smell: 4.25 | taste: 4.25 | feel: 4.5 | overall: 4.25 
look: 4.25 | smell: 4.5 | taste: 4.25 | feel: 4.25 | overall: 4.25 
look: 4 | smell: 4 | taste: 4 | feel: 4 | overall: 4 
look: 4.25 | smell: 4.75 | taste: 4.75 | feel: 4.25 | overall: 4.5 
look: 4.25 | smell: 4.5 | taste: 4.25 | feel: 4.25 | overall: 4.25 
look: 4 | smell: 4 | taste: 2.5 | feel: 3 | overall: 3.75 This is a high ABV beer and it tastes like it. It’s good beer but it’s not to my liking. Taste is very personal though, so enjoy. 
look: 4 | smell: 4.25 | taste: 3.75 | feel: 4 | overall: 4 From the bottle, it pours a hazy darker amber with a modest head. In the nose, it is HOPS, lots of hops, A good bit of bitter in the mouth as well, balanced by a bit of malt. Decent!   
look: 4 | smell: 4.25 | taste: 4.25 | feel: 4.5 | overall: 4.25 
look: 4.25 | smell: 4.25 | taste: 4.25 | feel: 4.25 | overall: 4.25 
look: 4.75 | smell: 4.75 | taste: 4.75 | feel: 4.5 | overall: 4.5 
look: 4 | smell: 4.25 | taste: 4.5 | feel: 4.25 | overall: 4.25 22oz bomber: This one pours a cloudy darker golden color. Small off white head with minimal lacing. Nice nose. Pine, some citrus and a fair amount of malts. The taste is very good. A pretty good hop bite to it: a bit more than expected. A big malt body, but the sweetness is suppressed. Mainly pine and some citrus hops. Very Nice!   
look: 4 | smell: 4 | taste: 4.25 | feel: 4.25 | overall: 4.25 
look: 4.5 | smell: 4.75 | taste: 4.25 | feel: 4.25 | overall: 4.25 This is one I look forward to every year. Pours a ruddy, foggy copper color with an eggshell colored head. Aroma is pine and citrus. Taste has a nice malty sweetness to it. Medium body, nicely carbonated. Gotta love it.   
look: 4 | smell: 4.5 | taste: 4.25 | feel: 4.5 | overall: 4.25 
look: 4.5 | smell: 4.5 | taste: 4 | feel: 4 | overall: 4 
look: 4.5 | smell: 4.75 | taste: 5 | feel: 4 | overall: 4.75 Gettin' it! 
look: 5 | smell: 4.25 | taste: 4.25 | feel: 4.25 | overall: 4.25 
look: 5 | smell: 4.5 | taste: 4.75 | feel: 4.75 | overall: 4.75 
look: 4.25 | smell: 3.5 | taste: 3.75 | feel: 3.75 | overall: 3.75 February 1st, 2015 - RuinTen has since taken off around San Diego, but I remember back in 2015 it looked novel and new, and somewhat pretty in the glass, where it burns with that characteristic Stone hue, red and blushing and angry looking. The foam kicks up a fearful storm, too, taking up fully half of this pilsener glass (an unwise choice, I know). The aroma is layered with resin and a leather sharpness defines the hop note. There's some grapefruit too and even a dash of dry lime, but the overall impression is of an appreciably dry and hoppy nose. Consistent with the smell, the flavor is dry and hoppy, but there's also a malty body to back it up. I also get the deep savory flavor of miso (as if smeared on a piece of meat prior to grilling). The aftertaste is little short, but reveals the miso glaze flavor bundled with a bitter twang. This ask a slow sipper, but enjoyable over that long time. I should also note that the booze stays relatively hidden, so caution is advised if drinking with excessive speed.   
look: 4.25 | smell: 4 | taste: 4.5 | feel: 4.5 | overall: 4.5 
look: 4 | smell: 4 | taste: 4 | feel: 4 | overall: 4 
look: 4 | smell: 4.25 | taste: 4 | feel: 4 | overall: 4 
look: 4 | smell: 4.5 | taste: 4 | feel: 4 | overall: 4 
look: 4 | smell: 3.25 | taste: 2.75 | feel: 3 | overall: 3 
look: 4 | smell: 4 | taste: 4 | feel: 4 | overall: 4 
look: 4 | smell: 4.25 | taste: 3.5 | feel: 4 | overall: 3.75 A rich looking copper/caramel colored beer. Also rich and smooth smelling. Taste is very nice also rich and smooth with just a right amount of hops, but just slightly bitter. Mouthfeel is good easy drinking in spite of the 10 % ABV. I like this one and the only knock on it is the bitterness in the after taste. On draft at Ron's Corner Tavern in a snifter.   
look: 3.75 | smell: 3.75 | taste: 4 | feel: 4 | overall: 4 
look: 4.5 | smell: 4.25 | taste: 4.25 | feel: 4.25 | overall: 4.25 
look: 3.75 | smell: 4 | taste: 4 | feel: 4 | overall: 4 This was poured into a snifter. The appearance was a hazy amber color with a slight transparency about it. A slim finger’s worth of white foaminess of a head slides into the beer. The smell had a juicy bittersweet blend of citrus, floral and piney hops running into an underlying score of malts, ever so delicate. The taste was pure bittersweet, such a nice balance from the hops blending spectacularly with the malts. A sweet juicy citrus aftertaste runs into the finish in a slight sticky sort of fashion. On the palate, this one sat about a light to medium on the body with a sneaky sessionability about it. 10.8%, hmmm, alcohol seems to hide itself stealthily. Overall, very nice DIPA I'd have again.   
