look: 4 | smell: 3.5 | taste: 3.75 | feel: 4.25 | overall: 4 
look: 4.5 | smell: 4 | taste: 4 | feel: 4 | overall: 4.25 Pale amber color, brilliantly clear. Pours a tightly bubbled white head with good retention.    Delicate noble hop aroma, some caramel sweetness, but overall just a nice, clean nose.    Nice mix of malty sweet and some spicy hop notes early. Overall very well balanced, and has a mix of sweetness and hop bitterness into the finish. Ultimately finishes slightly bitter.    Medium body and carbonation. Very unobtrusive mouthfeel.    Was stunned to realize that for all of the times I'd consumed this beer over the last 20+ years, I'd never reviewed it here. Always a bit surprised by the assertiveness of the hops in the finish. Is a classic for a reason, and definitely a beer that would be easy to put down in volume. A crushable beer that dates to a time before that term was in fashion!   
look: 3.75 | smell: 3.75 | taste: 3.75 | feel: 3.75 | overall: 3.75 
look: 3.75 | smell: 3.5 | taste: 3.75 | feel: 3.5 | overall: 3.5 
look: 4 | smell: 4.5 | taste: 4.5 | feel: 5 | overall: 4.75 
look: 4.75 | smell: 2.75 | taste: 2 | feel: 4 | overall: 3.25 Its ok when theres no real lager around. 
look: 3.75 | smell: 4 | taste: 4 | feel: 4 | overall: 4 NOTE: I compare all other beers to Sierra Nevada's Pale Ale; there may be better out there, but many that are worse.  This gives a 3 finger head.  The color is a beautiful copper amber.  The aroma is a nice hops with a touch of malt.  The taste is citrusy/malt up front with a slight citrus/pine toward the back of the palate.  Nice blended, rich bodied hoppy/malt mid palate with a finish of piny hops.   
look: 4 | smell: 4 | taste: 4.75 | feel: 5 | overall: 4.5 
look: 3.5 | smell: 3.5 | taste: 3.5 | feel: 3.5 | overall: 3.5 
look: 4 | smell: 4 | taste: 4 | feel: 4 | overall: 4 
look: 4.25 | smell: 3.75 | taste: 4 | feel: 3.75 | overall: 3.75 
look: 4.25 | smell: 3.25 | taste: 3.5 | feel: 3.5 | overall: 3.75 
look: 4 | smell: 3.5 | taste: 3.25 | feel: 3.5 | overall: 3.25 
look: 4 | smell: 3.75 | taste: 3.75 | feel: 3.75 | overall: 3.75 nice fluffy head and lacing...malty start and crisp finish...old reliable of craft beers.... 
look: 3.25 | smell: 3.25 | taste: 3 | feel: 3 | overall: 3 
look: 4.25 | smell: 3 | taste: 3.75 | feel: 3.75 | overall: 3.75 
look: 4 | smell: 4 | taste: 4 | feel: 4 | overall: 4 
look: 3.75 | smell: 3.5 | taste: 3.75 | feel: 4 | overall: 4 
look: 3 | smell: 3 | taste: 3 | feel: 3 | overall: 3 
look: 3.5 | smell: 3 | taste: 3.25 | feel: 3.25 | overall: 3.25 
look: 3.5 | smell: 3 | taste: 3 | feel: 2.75 | overall: 3 
look: 3.5 | smell: 3.5 | taste: 3.25 | feel: 3.25 | overall: 3.25 
look: 3.5 | smell: 3.25 | taste: 3.75 | feel: 4 | overall: 3.75 
look: 3.75 | smell: 3.25 | taste: 3.5 | feel: 3.75 | overall: 3.5 
look: 3.75 | smell: 3.5 | taste: 3.75 | feel: 3.5 | overall: 3.75 
look: 4.25 | smell: 4.25 | taste: 4.25 | feel: 4.25 | overall: 4.25 
look: 3 | smell: 3 | taste: 3.5 | feel: 4 | overall: 3.25 
look: 4 | smell: 3.75 | taste: 4 | feel: 3.75 | overall: 3.75 
look: 4.25 | smell: 3.5 | taste: 3.75 | feel: 4 | overall: 4 
look: 4.25 | smell: 4 | taste: 4.75 | feel: 4 | overall: 4.5 12 oz bottle poured into pint glass.  Copper in color, clear, with off-white, clear lacey head.  Smells of caramel , yeast bread, cereal, slight herbal spice.  Tastes of equal parts caramel maltiness and biscuit/breadiness, with earthy minerally undertones and slight herbal spice.   Medium body, medium carbonation.  Overall, exceptional in its subtle complexity for a so-called vienna style lager. It is malt and biscuit dominant as expected, but the with earthy, mineral, slight herbal-spice qualities as well. I could drink this forever and never tire of it.   
