look: 3.5 | smell: 3.5 | taste: 3.5 | feel: 3.5 | overall: 3.5 
look: 4 | smell: 4 | taste: 3.25 | feel: 3.25 | overall: 3.25 
look: 3.75 | smell: 3.5 | taste: 3.75 | feel: 4 | overall: 3.75 Look: Dark brown with an amber tint when held up to the light. A finger of white head.     Smell: Sugar, spices, and a little hop scent.     Taste: Bready malt, orange peel, and spices.    Mouthfeel: Average thickness, high carbonation.     Overall: Tasty and mild. A good way to start someone on better tasting beers.   
look: 3.75 | smell: 3.5 | taste: 3.75 | feel: 3.75 | overall: 3.75 
look: 4 | smell: 4 | taste: 4 | feel: 4 | overall: 4 
look: 3.75 | smell: 3.75 | taste: 3.75 | feel: 3.75 | overall: 3.75 
look: 3.75 | smell: 3.5 | taste: 3.5 | feel: 3.5 | overall: 3.5 
look: 4 | smell: 3.5 | taste: 4 | feel: 4 | overall: 4 
look: 2.75 | smell: 2.5 | taste: 2.75 | feel: 3 | overall: 2.75 
look: 3.75 | smell: 3.75 | taste: 3.5 | feel: 3.75 | overall: 3.75 
look: 3.75 | smell: 3.75 | taste: 3.75 | feel: 3.75 | overall: 3.75 
look: 3.75 | smell: 3.5 | taste: 3.5 | feel: 3.5 | overall: 3.5 
look: 4 | smell: 4 | taste: 4 | feel: 4 | overall: 4 H08 
look: 3.5 | smell: 3.5 | taste: 3.5 | feel: 3.5 | overall: 3.5 
look: 3.25 | smell: 3.25 | taste: 3.5 | feel: 3.25 | overall: 3 It's an okay Marzen but I'm not a big fan of the style, so Cheers! B- 
look: 3.5 | smell: 3.5 | taste: 3.75 | feel: 3.5 | overall: 3.5 
look: 3.5 | smell: 3.5 | taste: 3.25 | feel: 3.25 | overall: 3.25 Very nice beer. 
look: 3.5 | smell: 3.5 | taste: 3.5 | feel: 3.5 | overall: 3.5 
look: 3.5 | smell: 3.5 | taste: 3.5 | feel: 3.5 | overall: 3.5 
look: 4 | smell: 4 | taste: 3.5 | feel: 3.25 | overall: 3.5 
look: 3.5 | smell: 3.5 | taste: 3.5 | feel: 3.5 | overall: 3.5 
look: 3.25 | smell: 3 | taste: 3.25 | feel: 3.25 | overall: 3.25 
look: 3 | smell: 3.5 | taste: 3.5 | feel: 3.75 | overall: 3 
look: 3.5 | smell: 3.25 | taste: 4.25 | feel: 4 | overall: 3.75 Solid. We look forward to it year after year. Admittedly, Sierra Nevada octoberfest is my new fave but Sam’s is a super reliable choice. 
look: 3.75 | smell: 3.75 | taste: 3.75 | feel: 3.75 | overall: 3.75 
look: 5 | smell: 4.25 | taste: 4.5 | feel: 4.5 | overall: 4.5 
look: 4.25 | smell: 3.5 | taste: 3.5 | feel: 3.75 | overall: 3.5 A: crystal clear; copper colored; with a fairly aggressive pour, a 3 finger light beige head that receded to a thin cap; nice lacing;    S: toasted grains;    T: toasted grain from start to finish; mild spiciness; mild bitterness on the finish;    M: medium bodied; moderate carbonation; lightly dry finish;    O: good, but there are many better options;   
look: 3.5 | smell: 3.5 | taste: 2 | feel: 3 | overall: 2.75 One note, sweet. Better on draft than bottle. 
look: 5 | smell: 5 | taste: 4.75 | feel: 4.75 | overall: 4.75 
look: 3.5 | smell: 3.5 | taste: 3.5 | feel: 3.75 | overall: 3.75 This was my gateway to Oktoberfest beers back when. This year's tasted good. Looks darker than many Ofests, a deep brown, almost burnt orange color. Nice khaki head faded to lacing. Small is malt. Pretty much just malt. Taste is sweet malts with a slight hop bitterness in the finish, but not as balanced or clean as its German counterparts. Feel is, to me, rich and chewy. Decent carbonation to hold it together though. Overall, still a good beer I'll go back to. Prefer the Germans, but Sam is a good American Oktoberfest beer.   
look: 4 | smell: 4.25 | taste: 4 | feel: 4 | overall: 4 I really like this beer, refreshing not a hint of bitterness. Smells really good, has a good feel to it and is lightly carbonated. Drank it straight out of the bottle and I could see myself drinking this one a regular basis, to bad it is only a Fall release.   
look: 4 | smell: 4 | taste: 4 | feel: 4 | overall: 4 
look: 4.5 | smell: 4 | taste: 4 | feel: 3.75 | overall: 3.75 
look: 4.25 | smell: 3.75 | taste: 4.25 | feel: 3 | overall: 4 Very tasty on the malt side and inbetween a big quafting brew and an easy sippin' brew, too. Pleasantly comfortable to look at, too. Sam should maybe make this one available all year; meanwhile PROST!   
look: 3.25 | smell: 4.5 | taste: 4.75 | feel: 3.75 | overall: 4.5 
look: 4 | smell: 4 | taste: 4 | feel: 4 | overall: 4 
look: 3.5 | smell: 3.5 | taste: 3.5 | feel: 3.5 | overall: 3.5 
look: 4.5 | smell: 4.75 | taste: 4.75 | feel: 4.25 | overall: 4.5 
look: 3.75 | smell: 3.75 | taste: 3.5 | feel: 3.75 | overall: 3.5 
look: 5 | smell: 5 | taste: 5 | feel: 5 | overall: 5 I really like this beer. It is one of my favorite beers out there ! Cheers Sam Adam's ! And thank you. 
look: 5 | smell: 4.75 | taste: 5 | feel: 4.75 | overall: 5 This May have improved. It’s got the Umph of a classic Märzen with just enough sweet, but hop balance to bring in the season or create a memory. It may be my go to if no Ayinger. I’ll revisit that classic, for a double check, but just had it, so I’m surprised.   
look: 5 | smell: 4.75 | taste: 4.75 | feel: 4.75 | overall: 5 
look: 4.75 | smell: 4.75 | taste: 4.75 | feel: 4.75 | overall: 4.75 In my opinion this is the paramount of Octoberfest beers ! Everything else out there should be compared to this one. If you like a sweet malty brew, this one's for you ! It's only available in the fall, so hurry !   
look: 4 | smell: 4.25 | taste: 4.5 | feel: 4 | overall: 4.25 
look: 3.5 | smell: 4.25 | taste: 4 | feel: 3.5 | overall: 3.75 
look: 4 | smell: 4.25 | taste: 4.25 | feel: 4 | overall: 4.25 
look: 3.75 | smell: 3.5 | taste: 3.5 | feel: 3.25 | overall: 3.5 
look: 4 | smell: 3.75 | taste: 3.75 | feel: 3.5 | overall: 3.75 
look: 4.5 | smell: 3 | taste: 4.25 | feel: 4.5 | overall: 4.25 
look: 4 | smell: 3.75 | taste: 3.75 | feel: 3.75 | overall: 3.75 Overall like it. Always have. Poured nice almost amber color into chilled glass. Decent head that fades quickly. Nice malt flavor. Crisp, refreshing, goes down easy. Nice, dependable Octoberfest from SA.   
look: 4 | smell: 3.5 | taste: 4.75 | feel: 4.25 | overall: 4.25 
look: 4 | smell: 5 | taste: 4.5 | feel: 4.25 | overall: 4.25 
look: 3.75 | smell: 3.75 | taste: 3.75 | feel: 3.75 | overall: 3.5 
look: 3.5 | smell: 3.5 | taste: 3.5 | feel: 3.5 | overall: 3.5 
look: 4 | smell: 3.75 | taste: 3.5 | feel: 3.5 | overall: 3.75 
look: 3.5 | smell: 3.75 | taste: 3.5 | feel: 3.5 | overall: 3.75 
look: 3.5 | smell: 4 | taste: 4.25 | feel: 4 | overall: 4 
look: 3.5 | smell: 3.75 | taste: 3.75 | feel: 3.75 | overall: 3.75 
look: 3.25 | smell: 3.25 | taste: 3.25 | feel: 3.25 | overall: 3.25 
look: 3 | smell: 3.5 | taste: 3.75 | feel: 3 | overall: 3.5 
look: 4.5 | smell: 4.5 | taste: 4 | feel: 3.5 | overall: 4.25 
look: 5 | smell: 4 | taste: 4 | feel: 4 | overall: 3.5 Similar to the Boston lager without all the hoppiness. But its still a fantastic beer, especially if you like a malty lager. 
look: 4.25 | smell: 4 | taste: 4 | feel: 4 | overall: 4.25 Poured a dark orange into a frozen glass. Deep sweet malt with good carbonation. Some bread notes as well. Pretty good overall. 
look: 3.5 | smell: 3.5 | taste: 3.75 | feel: 3.75 | overall: 3.75 
look: 3.5 | smell: 3.75 | taste: 3.5 | feel: 2.5 | overall: 3 
look: 4 | smell: 3.75 | taste: 3.5 | feel: 3.75 | overall: 3.75 
look: 3.75 | smell: 3.5 | taste: 3.25 | feel: 3.5 | overall: 3.25 
look: 5 | smell: 3.75 | taste: 4.5 | feel: 3.5 | overall: 4.25 
look: 4.25 | smell: 3.5 | taste: 3.25 | feel: 3.25 | overall: 3.25 
look: 4 | smell: 3.25 | taste: 3 | feel: 3 | overall: 3 
look: 4 | smell: 3.5 | taste: 3.75 | feel: 3.5 | overall: 3.5 Poured from a 12oz bottle into glass. Label is notched for a best buy date of February, 2019.  Clear, pale amber colored body. Quick pour brought out a two finger head of off white foam. This settles to thin cap and ring. Leaves behind irregular spots of lacing on the drinking side of the glass.  Subtle aroma of lightly roasted malts. A little toasty.  Rather bold taste of lightly roasted malts, that go to caramel. Some spicy hops. Slightly metallic. A little bitter in the after taste.  Medium mouth feel. Good carbonation.   This beer really emphasizes the malts, which are sweet and bold. The label says "Hearty & Smooth Marzen". I would say more hearty than smooth.   
look: 4 | smell: 3 | taste: 4 | feel: 3.75 | overall: 3.5 
look: 4 | smell: 3.75 | taste: 3.5 | feel: 4 | overall: 3.75 From notes 8/25/12: Pours a clear maple syrup brown producing 1-2 fingers of tan, short-lived, frothy head that leaves little lace. Aroma is toasted and caramel malts with a hint of cereal and dark bread; there is a fruit and floral hint in the background.Taste is toasted caramel malt, thin notes of brown sugar, raisin and roasted nuts followed by a little spicy hop bit and a peppery finish that rolls over into the aftertaste with a little lingering bitterness.   
look: 4 | smell: 4 | taste: 3.75 | feel: 3.5 | overall: 4 
look: 4 | smell: 3.25 | taste: 3.75 | feel: 3.75 | overall: 3.75 
look: 4 | smell: 3.75 | taste: 3.5 | feel: 3.75 | overall: 3.75 
look: 4 | smell: 3.5 | taste: 4 | feel: 4 | overall: 4 It pours a reddess cooper color with a foamy off white. The smell is malts not too strong. The taste is smooth malts flavor again not to strong. Overall a good drink for the fall.   
look: 4.5 | smell: 3.75 | taste: 4 | feel: 4 | overall: 4.25 Great beer! Truly perfect for the fall season. 
look: 4 | smell: 3.75 | taste: 3.75 | feel: 3.75 | overall: 3.75 
look: 4 | smell: 3.5 | taste: 3.5 | feel: 3.75 | overall: 3.75 
look: 3.75 | smell: 3.5 | taste: 4 | feel: 3.75 | overall: 3.75 
look: 4 | smell: 3.75 | taste: 4.25 | feel: 4 | overall: 4 Very tasty and full flavored, not to heavy, you can actually enjoy 3-4 of these without feeling crazy full. 
look: 3.75 | smell: 3 | taste: 4 | feel: 3.75 | overall: 3.75 
look: 3.5 | smell: 3.25 | taste: 3.25 | feel: 3.5 | overall: 3.5 
look: 3 | smell: 3 | taste: 2.75 | feel: 3 | overall: 2.5 From a couple 12oz bottle into chilled stein. Clear amber about an inch of head that doesn’t stay long. Smells toasted malt and spices. Taste toasted malt over powers a bit and leaves it feeling a little heavy apron finish. Overall, for a beer that’s a dollar or less a bottle it’s good and I buy a case every year when I comes out. For an Oktoberfest it’s heavy and lacking in flavor and finish. It might just be me but I swear Sam Adams was better 3 or 4 years ago....   
look: 4.5 | smell: 4 | taste: 4.5 | feel: 4.5 | overall: 4.5 
look: 3.75 | smell: 4 | taste: 4 | feel: 4 | overall: 4 
