look: 3 | smell: 2.75 | taste: 3.25 | feel: 3.25 | overall: 3 
look: 3.75 | smell: 3.5 | taste: 3.75 | feel: 3.75 | overall: 3.75 
look: 3.5 | smell: 3.5 | taste: 3.5 | feel: 4.25 | overall: 3.75 I'm diggin this right now. The flavor + mouthfeel makes it real syrupy and soothing on this rainy day. This is basically like a syrupy well done red ale in taste and look, with some added "winter spices". A solid beer and pretty unique. I can't say I have had one like it before.   
look: 3.75 | smell: 3.75 | taste: 3.75 | feel: 3.75 | overall: 3.75 
look: 4.25 | smell: 3.5 | taste: 3 | feel: 3 | overall: 3 
look: 3.75 | smell: 4 | taste: 4 | feel: 4 | overall: 4 
look: 3.5 | smell: 3.5 | taste: 3.75 | feel: 3.5 | overall: 3.5 Clear, medium chestnut brown with two finger off white head. Leaves lots of lacing. Smells of sweet malt with chocolatey roasted malt and a hint of cinnamon. The flavor is similar, with the cinnamon and ginger subtly rounding out the lightly roasted flavor. It works pretty well. Medium light body. Faint lingering bitterness.   
look: 4 | smell: 4 | taste: 4 | feel: 4 | overall: 4 
look: 3.75 | smell: 3 | taste: 3.25 | feel: 3.25 | overall: 3.5 
look: 3.75 | smell: 3.5 | taste: 2.75 | feel: 3 | overall: 3.25 
look: 4 | smell: 3.5 | taste: 3.5 | feel: 3.75 | overall: 3.5 
look: 4.25 | smell: 4 | taste: 4.25 | feel: 4 | overall: 4.25 
look: 4 | smell: 3.75 | taste: 4 | feel: 4 | overall: 4 
look: 3.5 | smell: 3.75 | taste: 4.25 | feel: 4 | overall: 4 
look: 3.5 | smell: 4 | taste: 4 | feel: 3.5 | overall: 3.75 
look: 3.25 | smell: 3.25 | taste: 3.25 | feel: 3.5 | overall: 3.25 
look: 2.75 | smell: 3.5 | taste: 3.5 | feel: 3.5 | overall: 3.5 
look: 3.5 | smell: 3.75 | taste: 3.5 | feel: 3.25 | overall: 3.5 
look: 3.5 | smell: 3.5 | taste: 3.5 | feel: 3.5 | overall: 3.5 
look: 3.25 | smell: 3.25 | taste: 3.25 | feel: 3.25 | overall: 3.25 
look: 3.75 | smell: 3.5 | taste: 3.75 | feel: 3.75 | overall: 3.75 Medium brown beer. Creamy white head not super thick. Poured out of a bottle. Smells of some baking spices and roast. Tate follows. Mouthfeel is fairly thin. Overall pretty good beer but I’d probably rather just have the regular lager. Or on winter just something standard without the spices.   
look: 5 | smell: 5 | taste: 5 | feel: 5 | overall: 5 
look: 3.5 | smell: 3.5 | taste: 3.5 | feel: 3.5 | overall: 3.5 
look: 3.5 | smell: 3.5 | taste: 3.5 | feel: 3.5 | overall: 3.5 
