look: 4 | smell: 4.5 | taste: 4.25 | feel: 4.5 | overall: 4.25 
look: 4.5 | smell: 4.25 | taste: 4.5 | feel: 4.5 | overall: 4.5 
look: 3.75 | smell: 3.5 | taste: 4 | feel: 4 | overall: 4 
look: 4 | smell: 4.25 | taste: 4.25 | feel: 4.25 | overall: 4 
look: 4.5 | smell: 5 | taste: 4 | feel: 4.5 | overall: 4.25 More hop than citrus flavors. Paired well with the BLT I am having. 
look: 4 | smell: 4 | taste: 4 | feel: 4 | overall: 4 
look: 3.75 | smell: 4 | taste: 4.5 | feel: 3.5 | overall: 4 
look: 4.25 | smell: 4.25 | taste: 4.75 | feel: 4.75 | overall: 4.5 Outstanding, and easy drinking. Great flavor and feel with the perfect amount of bitterness. Easily one of my favorite IPA's. 
look: 3.5 | smell: 3.5 | taste: 3.5 | feel: 3.5 | overall: 3.5 
look: 4 | smell: 4 | taste: 4.25 | feel: 4.25 | overall: 4.25 
look: 4 | smell: 3 | taste: 3 | feel: 3.5 | overall: 3 
look: 4.25 | smell: 3.75 | taste: 3.5 | feel: 3.75 | overall: 3.75 Rating the canned version. Poors clear with a pretty orange amber color and a light foam head with good lacing.  Shockingly very little aroma. Taste is fine with a slight bitter aftertaste. For an IPA though the hops aren't very prominent. In summary not a bad drinking beer but nothing really great.   
look: 4.25 | smell: 4 | taste: 4 | feel: 3.75 | overall: 4.25 Slightly thin body with about medium carbonation.   Aroma is grapefruit,orange and grapefruit peel. Mostly citrus rather than bitter hops  Taste is identical to aroma, mostly orange/ grapefruit citrus with mild bitterness there's no pine or extreme bitterness which makes this incredibly easy to drink   
look: 4.25 | smell: 4 | taste: 3.75 | feel: 4.25 | overall: 4 
look: 4.5 | smell: 4.5 | taste: 4.5 | feel: 4.5 | overall: 4.5 
look: 4.5 | smell: 4.75 | taste: 4.5 | feel: 4.5 | overall: 4.75 Very nice orange color, very similar too a bells two hearted ale minus the grapefruit. Strong citrus hops, Medium carbonation and nice amount of alcohol. The only complaint is it looses its foam head after like 3 minutes in the glass. But an incredible ipa! Must try if you haven’t.   
look: 4.25 | smell: 4.75 | taste: 4.5 | feel: 4.5 | overall: 4.5 Pours like amber shades of grain. Strong citrus melody that matches the great taste. Goes down smooth and easy with a hoppy finish you expect. Overall this is an outstanding beer from a brewer that hits the mark every time.   
look: 4.25 | smell: 4.25 | taste: 4.5 | feel: 4.5 | overall: 4.25 
look: 4.5 | smell: 4.5 | taste: 4.75 | feel: 4.5 | overall: 4.75 
look: 4 | smell: 4 | taste: 4 | feel: 4 | overall: 4 Pours dark and clear. Nose is fruit rather than hops. Decent flavor, good not great. 
look: 4 | smell: 4 | taste: 4 | feel: 4 | overall: 4 
look: 4.25 | smell: 4.75 | taste: 4.5 | feel: 4.25 | overall: 4.5 
look: 4 | smell: 4 | taste: 3.75 | feel: 4 | overall: 4 
look: 4 | smell: 4.5 | taste: 4.5 | feel: 5 | overall: 4.75 
look: 4.5 | smell: 4.5 | taste: 4.5 | feel: 4.5 | overall: 4.5 
look: 3.5 | smell: 4 | taste: 4 | feel: 3.75 | overall: 4 
look: 3 | smell: 3 | taste: 3.75 | feel: 4.25 | overall: 3.75 It's a little hopier than I like in an IPA, but pretty good. Since it's widely available, I consider it the "benchmark" IPA, pretty much what an IPA should be.   
look: 5 | smell: 4.5 | taste: 5 | feel: 5 | overall: 4.75 
look: 4.25 | smell: 4.25 | taste: 4 | feel: 4 | overall: 4.25 Hop forward IPA with a fruity aroma. Leaves a heavy lace in the glass. A tasty, standard IPA. 
look: 4.25 | smell: 4 | taste: 4 | feel: 3.75 | overall: 4 
look: 4.5 | smell: 4.5 | taste: 4.25 | feel: 4.25 | overall: 4.5 
